FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	FLR_80_H1hesc_protection_mean	FLR_80_H1hesc_protection_median	FLR_80_H1hesc_protection_std	FLR_80_K562_protection_mean	FLR_80_K562_protection_median	FLR_80_K562_protection_std	FLR_80_protection_ks_stat	FLR_80_protection_ks_pvalue	FLR_80_H1hesc_tc_mean	FLR_80_H1hesc_tc_median	FLR_80_H1hesc_tc_std	FLR_80_K562_tc_mean	FLR_80_K562_tc_median	FLR_80_K562_tc_std	FLR_80_tc_ks_stat	FLR_80_tc_ks_pvalue	FLR_80_H1hesc_fos_mean	FLR_80_H1hesc_fos_median	FLR_80_H1hesc_fos_std	FLR_80_K562_fos_mean	FLR_80_K562_fos_median	FLR_80_K562_fos_std	FLR_80_fos_ks_stat	FLR_80_fos_ks_pvalue	FLR_80_H1hesc_flr_mean	FLR_80_H1hesc_flr_median	FLR_80_H1hesc_flr_std	FLR_80_K562_flr_mean	FLR_80_K562_flr_median	FLR_80_K562_flr_std	FLR_80_flr_ks_stat	FLR_80_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.347774568704	0.358878807518	0.0619349900251	0.243836357745	0.21458198315	0.0399939239208	-0.249946252858	-300.0	0.632586188082	0.653798365522	0.0685865927011	0.596353126345	0.605383063462	0.0336513069423	-0.0666024872494	-300.0	0.767918384092	0.765273236805	0.057836993116	0.697121918808	0.69570294255	0.0476480750147	-0.636669408177	-103.992402037	0.350048397297	0.349799677679	0.089738637835	0.313585406176	0.306115143712	0.0364279945776	-0.394934223753	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.520156103669	0.526529514297	0.0810303997158	0.393010933694	0.396936377121	0.0557886765572	-0.105596364187	-300.0	0.716523618248	0.720388301979	0.0438406604644	0.656801656742	0.665554063553	0.0229662299803	-0.247467229705	-300.0	0.37092112976	0.366841166994	0.069379377458	0.33488847343	0.333721986666	0.0495393575942	-0.350596333401	-26.2337636034	0.331287862206	0.332081567901	0.0614775324975	0.30870920862	0.30385358317	0.0286621952658	-0.403066963501	-158.353156781
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.458165816292	0.419632747632	0.0804682169727	0.326898038179	0.302083726969	0.0501828942368	-0.200467146189	-300.0	0.714903654143	0.720033107197	0.0451093304583	0.663195325638	0.674018167229	0.0238582117467	-0.123331645015	-300.0	0.508057718503	0.503341400524	0.0544719647938	0.472704495302	0.470355281941	0.052215869801	-0.335092134924	-153.278755794	0.321604646859	0.326540141061	0.0784451640195	0.307539839502	0.309682500471	0.0328215686572	-0.149392755242	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.513022845147	0.545512812276	0.0779358174376	0.360440476897	0.383315878504	0.0523545532578	-0.191842924788	-300.0	0.660603813889	0.672390862049	0.0256608115982	0.674412537504	0.679658930696	0.0500621721174	0.416388800514	-199.532231997	0.372087615099	0.368027438441	0.0810274967343	0.349248147962	0.344160298122	0.0600848389215	-0.125720095593	-11.2360880401	0.293714493493	0.297199008869	0.0917147188782	0.292537774428	0.28169722364	0.0352642355853	-0.189821439517	-82.5598461534
ETS1	-3.5009108624	6.8488314444	3.347920582	0.353345714947	0.332638920539	0.0657714425254	0.477809020111	0.445981824715	0.103545273163	0.0325989304002	-300.0	0.663416839657	0.67569452097	0.0253590839868	0.694848039374	0.700118941411	0.0503525355547	0.20975097028	-300.0	0.301833007004	0.298479583101	0.0560151731766	0.286625031358	0.281427898798	0.0421283303756	-0.236801890941	-68.0844520759	0.337112519929	0.341932796725	0.0764343401427	0.319529382004	0.31250441428	0.031871298843	-0.209682919005	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.498834950568	0.518302603459	0.0912765478993	0.353189426488	0.363206270393	0.0605374105819	-0.10053752211	-300.0	0.750417158076	0.754063413316	0.0403376892523	0.672092281865	0.680406543677	0.0197489660193	-0.341005177601	-300.0	0.474694807924	0.462403439558	0.0858269986989	0.436194632073	0.436810877334	0.0775112285134	-0.273044890969	-32.0873698423	0.345478999106	0.344768371126	0.0620848184283	0.331885376414	0.327824146655	0.0412482709768	-0.334458111048	-223.982984781
AR	-2.8208135212	6.4303512778	3.6095377566	0.486806163839	0.462795046903	0.0709416734486	0.363938944174	0.348668518847	0.0452462796204	-0.169861847097	-300.0	0.731257469876	0.736086275471	0.0433729306533	0.675322519354	0.684842731528	0.0197206296958	-0.21072774494	-300.0	0.720425473378	0.717890097409	0.056378749048	0.687525236496	0.685289986182	0.0323621784137	-0.430258016733	-53.1422935748	0.28901695869	0.293787821867	0.0747928802297	0.280580466582	0.281229570684	0.042618975999	-0.185897286901	-60.3003196355
SRY	-2.631585418	4.77859	2.147004582	0.348353767658	0.308378211003	0.108070446606	0.21957903253	0.193669933259	0.0674725456359	-0.0157823196988	-300.0	0.677039352454	0.686495238649	0.0453136176108	0.618314651275	0.623767568931	0.0203506476576	-0.217448519274	-300.0	0.280381767226	0.275910707366	0.074378274003	0.276784862804	0.264287803801	0.0481541159135	-0.123920210402	-10.4326219892	0.332650001962	0.334553132894	0.0643442386264	0.314208965652	0.319549085561	0.0412047471742	-0.25338451082	-116.388623251
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.563425227497	0.595460356864	0.0780406826139	0.421321822794	0.439842097723	0.0448986805014	-0.149365068967	-300.0	0.787615782607	0.793668090684	0.0428028987128	0.673520422079	0.684667978239	0.0225333137689	-0.326582075698	-300.0	0.550445473436	0.548825279279	0.0475024568438	0.527273826226	0.527356647711	0.0373569261928	-0.259198784678	-120.115884913	0.314888852209	0.31992832532	0.0918990960184	0.313175400824	0.309469345393	0.0377460664856	-0.0564848612599	-249.689284742
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.2529176609	0.240795359568	0.0860167580003	0.36416517235	0.348970699126	0.134918218584	0.24436718405	-300.0	0.763049301019	0.766660063952	0.0413974430643	0.675052092932	0.683708913377	0.0200889276862	-0.297791407988	-300.0	0.38231782582	0.379008276778	0.063134606801	0.369027071011	0.365752286602	0.0508015230807	-0.161386109819	-42.7377044207	0.329673806892	0.328435343444	0.0811259247727	0.327271121825	0.319063739	0.0321052094107	-0.164820736804	-114.519431941
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.313313993683	0.300207786561	0.0624122664479	0.449691241999	0.428952622115	0.100934762646	0.0452710103781	-300.0	0.650061031828	0.655098047429	0.0208295265674	0.672749836627	0.682269407182	0.0463220636862	0.00444729639786	-300.0	0.640066868241	0.635195052434	0.0452667772721	0.613459685965	0.613051757407	0.0322585507213	-0.436172377047	-91.2537209496	0.327075343659	0.330667858343	0.0644749166199	0.318140170029	0.319644581706	0.0364126334063	-0.166940451249	-142.766395148
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.537464463843	0.573995240314	0.0858394556376	0.382096679579	0.404271806045	0.0527910936267	-0.0950370435544	-300.0	0.743991685839	0.748485229431	0.0414692513411	0.677637787044	0.6868835022	0.0214407241719	-0.207672001126	-300.0	0.258831430154	0.254514732446	0.0594243947209	0.24955387228	0.246011567487	0.0426528022067	-0.0918141802028	-19.4142833165	0.345137797581	0.347026881876	0.0757585619895	0.344415229683	0.338242801435	0.0359462245366	-0.112094963941	-111.77632202
FLII	-1.1177311693	8.8445722222	7.7268410529	0.42677240866	0.393982960909	0.0759365344249	0.272632847252	0.248218828012	0.0508630100452	-0.11365412642	-300.0	0.664316226485	0.67257260681	0.0189003650457	0.670865638253	0.68166750835	0.0542654741733	0.173835158061	-300.0	0.401279071021	0.387120238244	0.103938353692	0.387221435957	0.381143572353	0.100903412378	-0.0586148184764	-4.9018676799	0.279826588613	0.278688987311	0.0308503249338	0.281643961874	0.286878997256	0.0545804258819	0.0502738444326	-16.8643156745
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.470225539797	0.455820548807	0.092417637083	0.333258549514	0.325377294685	0.0541230239418	-0.0218383611748	-300.0	0.74937790062	0.753096945658	0.0406741479751	0.69091420611	0.698963877143	0.0173064399887	-0.201271905172	-300.0	0.316524813083	0.31547600048	0.064190868097	0.314777952691	0.310710545125	0.0342140700006	-0.100180608612	-11.7101286393	0.33377037242	0.330790260257	0.0771184467257	0.329485052864	0.327639816064	0.0350410377149	-0.0435437359236	-22.9614957202
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.343156049842	0.310217366551	0.097853543999	0.147038489964	0.133162214299	0.0508084919505	-0.157519085339	-300.0	0.65993989483	0.681586828589	0.0682605978224	0.574704457172	0.584193572639	0.0326657106645	-0.104465612158	-300.0	0.365659447637	0.360323305019	0.105255214136	0.368575168216	0.365342189708	0.107063429612	0.0636980666392	-0.228939914066	0.278685307855	0.261817331111	0.113769392141	0.257708484053	0.261220305231	0.0445844503223	-0.0137584595447	-10.484992882
EGR2	-0.9853411587	4.5985511111	3.6132099524	0.545035239507	0.559514624918	0.111051626477	0.385262847332	0.395856357667	0.0625673611399	-0.0655842304281	-300.0	0.776196072484	0.78426718299	0.0560595282836	0.672839598448	0.690782485534	0.0268673001137	-0.220711413976	-300.0	0.61919828438	0.617920832233	0.0528549617191	0.611273008603	0.609844404788	0.0404342120929	-0.048429155018	-28.7050500314	0.336599005351	0.339259313087	0.0399688760806	0.348357020124	0.341179647775	0.106134810774	0.0691647085193	-71.8114160445
REST	-0.9317503519	8.5147308333	7.5829804815	0.439566222218	0.448413033074	0.0866979815405	0.619017033266	0.588034288006	0.144894633646	0.123192706648	-300.0	0.670198116091	0.684542072356	0.0548777540752	0.61324103828	0.62045602731	0.0278779668065	-0.0590783987766	-300.0	0.437854762935	0.434604897959	0.0471365002598	0.43184006157	0.429341841542	0.0300927732195	-0.0699287033458	-22.5333508433	0.299583194421	0.304640129106	0.0338490589315	0.315651169092	0.305500024367	0.0877722503197	0.0228999174272	-39.1489268597
