FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	HINT_H1hesc_protection_mean	HINT_H1hesc_protection_median	HINT_H1hesc_protection_std	HINT_K562_protection_mean	HINT_K562_protection_median	HINT_K562_protection_std	HINT_protection_ks_stat	HINT_protection_ks_pvalue	HINT_H1hesc_tc_mean	HINT_H1hesc_tc_median	HINT_H1hesc_tc_std	HINT_K562_tc_mean	HINT_K562_tc_median	HINT_K562_tc_std	HINT_tc_ks_stat	HINT_tc_ks_pvalue	HINT_H1hesc_fos_mean	HINT_H1hesc_fos_median	HINT_H1hesc_fos_std	HINT_K562_fos_mean	HINT_K562_fos_median	HINT_K562_fos_std	HINT_fos_ks_stat	HINT_fos_ks_pvalue	HINT_H1hesc_flr_mean	HINT_H1hesc_flr_median	HINT_H1hesc_flr_std	HINT_K562_flr_mean	HINT_K562_flr_median	HINT_K562_flr_std	HINT_flr_ks_stat	HINT_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.043843812477	0.0304114755803	0.0434741064829	0.028887781285	0.0200843690758	0.0281551404354	-0.0651295564339	-4.70684105761	0.665214466961	0.671037330668	0.0702776693601	0.602491188108	0.622136542484	0.0356786664115	-0.078269700913	-300.0	0.4777651456	0.474457831326	0.0443011687319	0.440204209493	0.431325301205	0.0226910594135	-0.451452735423	-300.0	0.336316343687	0.335446169318	0.0445504893781	0.306541943231	0.304752191276	0.0157246182936	-0.718418590057	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.170399592604	0.130537220898	0.158525976427	0.101507451984	0.0752946391903	0.0993124749596	-0.141371938183	-6.21989079557	0.719321471454	0.724154284418	0.0480846458171	0.632456629382	0.643108130589	0.0241588811276	-0.475191870301	-300.0	0.554418695828	0.555636680091	0.0344144262061	0.504166177338	0.505472649823	0.0181125758348	-0.573571805025	-300.0	0.316869090349	0.316156982856	0.030662465789	0.288884710555	0.287879455098	0.0131576226512	-0.711070597011	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.0433424572561	0.0307193588321	0.0413238010694	0.0279205321121	0.0200722604728	0.0268591620848	-0.0815967532403	-21.4480640265	0.724740387204	0.72957075916	0.0504377767935	0.639384196706	0.652836952906	0.0260205641126	-0.444410816191	-300.0	0.52424404365	0.522894169079	0.0289424406007	0.489490658838	0.488626673798	0.0162505088988	-0.505511717024	-300.0	0.330562831165	0.330718460337	0.0319453598842	0.308640273659	0.308651406979	0.0127569797871	-0.699812359657	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.0446363118169	0.0326765130349	0.0402469878648	0.0263801796923	0.0193906294851	0.0256631112445	-0.134103059048	-8.35072867872	0.670304255673	0.676537482331	0.0556463558866	0.63345424221	0.64754185562	0.0266115238303	-0.0101375047897	-300.0	0.508035341151	0.509018065278	0.0398128124539	0.474051022907	0.476007467915	0.0200794277969	-0.434615907719	-300.0	0.304299695935	0.304185313241	0.0397473442771	0.2862983094	0.28465254191	0.0148928957127	-0.626370033303	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.0443524712078	0.0321253882778	0.0415355999562	0.0278483437048	0.0190844138233	0.0285785269491	-0.0811532420676	-18.1361885693	0.683693841055	0.688491958407	0.0574441672352	0.630062296788	0.645368156615	0.0297844884221	-0.113891051218	-300.0	0.462256550536	0.461431440976	0.0324001770991	0.437590009329	0.435070565041	0.0164784220225	-0.409388071053	-300.0	0.334390623962	0.334313450569	0.0385676450159	0.316174759353	0.315195118	0.0141178610766	-0.6315160898	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.0472007802713	0.031933045301	0.0499921073612	0.0281351092977	0.0196813651691	0.0284410772129	-0.0781174337292	-7.47497534577	0.732048366735	0.736212890551	0.0447991766245	0.64956758064	0.658746808528	0.0217584066592	-0.450251636639	-300.0	0.404422506069	0.405253300858	0.032949767927	0.379040104577	0.382823817356	0.0160720580219	-0.413625121113	-300.0	0.330196083	0.329554437898	0.0279630997204	0.31138569229	0.311167613149	0.0132464905493	-0.636531979519	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.0463853395896	0.0351588044581	0.0434285222749	0.0273820892701	0.0191712835778	0.0288806877816	-0.123537087461	-12.2894717644	0.703984347116	0.708871582638	0.0483122233955	0.646563930066	0.657208688178	0.0224149341911	-0.269524772549	-300.0	0.526680332716	0.528122719392	0.0383948566505	0.502101778772	0.504140135629	0.0164680648977	-0.406253216316	-300.0	0.312311147169	0.312587325708	0.031403228452	0.298769690473	0.298383234848	0.0121816442925	-0.560424245799	-300.0
SRY	-2.631585418	4.77859	2.147004582	0.0487517044263	0.0355180910938	0.0440655331149	0.027961576417	0.0196431338296	0.0278169821004	-0.120991709411	-11.8683314712	0.657095404276	0.6632069491	0.0205844687283	0.659866816293	0.665549508758	0.0462898978008	0.156302288677	-300.0	0.549046221327	0.550986317277	0.0319771913797	0.521253712472	0.527775689126	0.0145231773394	-0.484373007021	-300.0	0.321449216637	0.320959551694	0.0295620585908	0.308017441663	0.307514825448	0.0150355466597	-0.568679470118	-300.0
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.044057334803	0.0318036657951	0.0421589130413	0.0273628474006	0.019280795294	0.0275189049871	-0.0492973220299	-29.4064746744	0.756409807427	0.76044042796	0.0508848620099	0.652767969278	0.667482639187	0.0262546437518	-0.4564407981	-300.0	0.591795231719	0.591177769587	0.0265198823937	0.570601139437	0.568052417665	0.015748159376	-0.358317140055	-300.0	0.308203970209	0.308119929588	0.0400658965435	0.29848008175	0.296527910422	0.0158928656279	-0.499025645667	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0456301044296	0.0304131884454	0.0445706415206	0.0266343885557	0.0181739615025	0.0265300000229	-0.0629166742324	-24.1979995165	0.71136355035	0.716702218056	0.0492811224694	0.650640290315	0.662671641924	0.0225548136229	-0.271901065552	-300.0	0.610354054942	0.61132168525	0.0282885908406	0.588152186193	0.589940425919	0.0145088672928	-0.382779123316	-300.0	0.314004418156	0.314006035032	0.032158075725	0.303490765555	0.302818920835	0.0130312393257	-0.524287869478	-300.0
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.0455326356155	0.0313466651356	0.0445999330642	0.0285913233079	0.020371025081	0.0284391155623	-0.0230951435953	-10.2944954835	0.651941724783	0.661218065063	0.0214971658835	0.670699553668	0.674664798703	0.0490356912041	0.195061422614	-300.0	0.5249755438	0.526540129725	0.0366455575402	0.503381777015	0.508312942404	0.0161032693178	-0.370357153745	-300.0	0.317906293785	0.317845506557	0.0301206506133	0.306648042601	0.306624530856	0.0137922687472	-0.499907159837	-300.0
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.0471458283908	0.0331230176494	0.0449005352644	0.0286189834686	0.0203369123476	0.0289014777063	-0.0429591386955	-15.5267798331	0.692636587759	0.697432685693	0.0500578594271	0.649991336948	0.662003534492	0.0251889747203	-0.0345216697541	-300.0	0.535772980491	0.537910016524	0.0341399358828	0.518368832676	0.5204688159	0.0191798968067	-0.236267634887	-300.0	0.333891979901	0.333778839639	0.0324092706276	0.323499336936	0.322809672542	0.0147656736378	-0.489600050612	-300.0
FLII	-1.1177311693	8.8445722222	7.7268410529	0.102565687445	0.0798376259626	0.0923658711892	0.057688761228	0.0448026198058	0.0508690899474	-0.0708264834746	-9.07245975022	0.637786423294	0.648497714512	0.0571266540582	0.609869466579	0.61364557089	0.0240013508369	-0.0760922575639	-300.0	0.559906034958	0.560847995693	0.0447809092994	0.557889309509	0.552189184412	0.0138653607881	-0.197744098287	-300.0	0.279170389968	0.279417858712	0.0330165880346	0.27575969671	0.27518322239	0.00988924046353	-0.218168467033	-300.0
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.0436401903779	0.0317906399718	0.0419614051003	0.0251331361371	0.0175791800482	0.0260539457579	-0.0203305519111	-10.28683901	0.739310303635	0.7434229781	0.0471921622273	0.665905421132	0.675581493056	0.0200183077606	-0.332560323487	-300.0	0.42202022992	0.423371023938	0.0293261681911	0.41391404437	0.416975749146	0.0123241106361	-0.236354030447	-300.0	0.317054470509	0.316778899319	0.0327227864158	0.31271528692	0.311870757845	0.012820813779	-0.265087638905	-300.0
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.126473138232	0.0882477382003	0.113203258753	0.0638019417288	0.0414265443513	0.0627019210629	-0.0980494043286	-7.36680408613	0.618841841768	0.642203131192	0.0820894220391	0.497080894954	0.505949635289	0.0354577444535	-0.324436369398	-300.0	0.401623453717	0.401379400276	0.0277170275745	0.406662168548	0.406970148636	0.0484001085937	0.0457609589645	-96.908272278	0.257798783818	0.257484909747	0.0482160883674	0.255825595575	0.253872765372	0.0159762108232	-0.130699168611	-203.370984112
EGR2	-0.9853411587	4.5985511111	3.6132099524	0.0438296921845	0.0304064086698	0.0425287351413	0.0251477831155	0.0164573966975	0.0269349282048	-0.0152489091175	-35.527868349	0.778826407004	0.786270746989	0.060329667703	0.650573249504	0.669399762171	0.0273590557405	-0.434039266332	-300.0	0.47884175873	0.475691152304	0.0391832076473	0.478541254289	0.470533473385	0.0195751250645	-0.00629945347201	-300.0	0.331253505466	0.331392377137	0.0522693877085	0.328903723223	0.326796706495	0.0191614065011	-0.182360497382	-300.0
REST	-0.9317503519	8.5147308333	7.5829804815	0.0448396963772	0.031990275984	0.0418546999756	0.0259819567903	0.0184196855286	0.0265429742866	-0.0211710490709	-24.9334846779	0.624052654539	0.627663367938	0.0302343172793	0.648654022316	0.664622549443	0.059323311838	0.0233420170651	-300.0	0.555342178597	0.555431204363	0.0421999586819	0.550152954863	0.548704943849	0.0234138291987	-0.0126487160455	-300.0	0.33173477196	0.331825466323	0.0375090890226	0.3291291999	0.327960097517	0.0148847220574	-0.122941449469	-300.0
RFX5	-0.9070030291	7.3384705	6.4314674709	0.0457936537219	0.0323223957978	0.0438593959247	0.0265361955148	0.0192459395624	0.024926848152	-0.00499589317027	-15.7920496127	0.737507604969	0.743451995991	0.0559503800313	0.658355216577	0.674012948125	0.0253421107798	-0.284254389912	-300.0	0.425278572498	0.424720937707	0.0307874659258	0.421456113043	0.419766060882	0.0160905409846	-0.0471053907379	-300.0	0.307521192887	0.307412839645	0.0437161001192	0.306130038851	0.304182466342	0.0160543417852	-0.0940070376471	-300.0
SOX3	-0.8815224709	7.0991445556	6.2176220847	0.049875661561	0.0360763954284	0.0480173865835	0.0263714160289	0.0180653328228	0.0266281911026	-0.0359625246035	-13.9995391442	0.7101796739	0.71476981644	0.047175766741	0.666312179008	0.676186334787	0.024852955187	-0.0171506022334	-300.0	0.501162394631	0.502180170068	0.0292586922634	0.492452970703	0.496551206241	0.0150852265156	-0.207850856023	-300.0	0.340915446567	0.340581706355	0.0262562914073	0.336813520611	0.336650051514	0.0129194726606	-0.217712601267	-300.0
FOXD3	-0.6445018836	6.6675806667	6.0230787831	0.0450393889927	0.0334701380133	0.0411313905942	0.0257481767754	0.0189807325849	0.0233515827477	-0.0232765847705	-35.7917179995	0.669506680002	0.672262056886	0.0181863812152	0.676063924582	0.684594807018	0.0440553526127	0.0860860847658	-300.0	0.384286096702	0.386086638183	0.0268606471341	0.37834659281	0.383404640888	0.0121464532554	-0.212702127963	-300.0	0.340788698542	0.341946712005	0.0294769355172	0.339897874554	0.33948488073	0.0117620811654	-0.10901295631	-300.0
HNF4G	-0.6026098016	2.9244216111	2.3218118095	0.0477273828915	0.0309750444674	0.0492686503982	0.0251038686566	0.0177792053166	0.0238518834812	-0.000197478833081	-6.84819089133	0.660865510603	0.671446671948	0.0206938502986	0.672657083401	0.676714162722	0.0501135007314	0.329347215674	-100.889085494	0.492922200629	0.494141644275	0.0267412696917	0.488777198964	0.491082236323	0.0113507452704	-0.210832611522	-300.0	0.324176738533	0.323662599642	0.0289658447061	0.319631021089	0.320867306575	0.0116154964937	-0.159501832994	-300.0
SOX9	-0.5931329762	6.5152251667	5.9220921905	0.0489651567627	0.0389997956117	0.0442172011638	0.0257348335576	0.0206909934866	0.0219684342131	-0.0749710568367	-9.56351597671	0.709137736515	0.714114760251	0.0480900899059	0.666250946289	0.676461808724	0.0235133126765	-0.0373798226949	-300.0	0.558796063153	0.559193171277	0.0340917437169	0.552820577065	0.555826591568	0.0151425893721	-0.162680212745	-300.0	0.319510402577	0.318458590196	0.0274737743589	0.315931998453	0.316161984581	0.0160525977121	-0.112611529428	-239.22814764
NKX3-1	-0.5837772725	5.3454291667	4.7616518942	0.0447201559059	0.031641272592	0.0385193629779	0.0242971178481	0.0191772668993	0.0197134045524	-0.0270685808773	-7.15323983626	0.658755949477	0.66780568783	0.0492242123053	0.612148620986	0.61620569566	0.0206798261318	-0.237063151677	-300.0	0.519488577413	0.520508595867	0.0404318850001	0.513560049334	0.517462764514	0.0152622737089	-0.230090635215	-300.0	0.29115527164	0.291251357299	0.0296007428288	0.291025478699	0.289800168861	0.0090542268476	-0.0494824763334	-128.762169178
INSM1	-0.5296980979	6.7003285	6.1706304021	0.0270848922555	0.0193062923392	0.0263656803273	0.0450019113231	0.0312102141819	0.0423139063537	0.021621346697	-21.406799072	0.786906205379	0.790671678398	0.0492017098457	0.673636463578	0.688400868875	0.0246711155572	-0.434854706271	-300.0	0.471406246599	0.469172873053	0.0168621173182	0.471879731781	0.47147152541	0.0302952696223	0.106467976373	-300.0	0.296421852437	0.295096625418	0.0161402106943	0.296766331056	0.296205975686	0.0397305892077	0.0531382481926	-218.953720208
ERG	-0.4811139683	3.9203937778	3.4392798095	0.0261142122414	0.0185146976335	0.0261917360235	0.0446031594196	0.0315282646702	0.0425748093705	0.0177542595418	-22.3300912723	0.651689512372	0.665862146423	0.0281808780392	0.667326210286	0.671579899721	0.0562806849918	0.377366945671	-300.0	0.449831846009	0.449148783765	0.0312031650857	0.44945374861	0.447353222252	0.0152464829166	-0.0294953445839	-300.0	0.307561123445	0.306396991203	0.0131652856818	0.307683929833	0.307620404235	0.0360424007748	0.0297249629819	-300.0
