FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	PWM_H1hesc_protection_mean	PWM_H1hesc_protection_median	PWM_H1hesc_protection_std	PWM_K562_protection_mean	PWM_K562_protection_median	PWM_K562_protection_std	PWM_protection_ks_stat	PWM_protection_ks_pvalue	PWM_H1hesc_tc_mean	PWM_H1hesc_tc_median	PWM_H1hesc_tc_std	PWM_K562_tc_mean	PWM_K562_tc_median	PWM_K562_tc_std	PWM_tc_ks_stat	PWM_tc_ks_pvalue	PWM_H1hesc_fos_mean	PWM_H1hesc_fos_median	PWM_H1hesc_fos_std	PWM_K562_fos_mean	PWM_K562_fos_median	PWM_K562_fos_std	PWM_fos_ks_stat	PWM_fos_ks_pvalue	PWM_H1hesc_flr_mean	PWM_H1hesc_flr_median	PWM_H1hesc_flr_std	PWM_K562_flr_mean	PWM_K562_flr_median	PWM_K562_flr_std	PWM_flr_ks_stat	PWM_flr_ks_pvalue
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.0119504035681	0.00977706170157	0.00863079085485	0.0217198919545	0.0169341366311	0.0151444045309	0.0662119622259	-300.0	0.653334926229	0.661359870378	0.0206870690091	0.674865135852	0.685677066805	0.0480829789712	0.0986555287658	-300.0	0.473252317228	0.471132051141	0.0496810843324	0.42970482646	0.427554419988	0.0242117935613	-0.304373866754	-300.0	0.634971647818	0.637014045922	0.0496653916369	0.617231207568	0.615550218115	0.0374147524977	-0.408263331179	-48.9694145491
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.0154594232216	0.0127765947813	0.00928471968991	0.0250764361441	0.0211523881747	0.0149691029973	0.143053690536	-300.0	0.666456924401	0.677342328252	0.053610314115	0.526371502462	0.530702330469	0.0266798513285	-0.190020847065	-300.0	0.447266319986	0.442657982258	0.0792644973662	0.395468390583	0.387502763074	0.0339112200098	-0.282423618921	-300.0	0.242796924697	0.243051828301	0.0408712959776	0.236775107178	0.235567037672	0.0211110906931	-0.43950135201	-74.2552924554
FLII	-1.1177311693	8.8445722222	7.7268410529	0.0142980432672	0.0118517618672	0.00746516820872	0.0267423918851	0.0221942152055	0.0151494984158	0.0406526248862	-300.0	0.644895142487	0.655280402563	0.0720523082877	0.509913778716	0.520474208655	0.0224116114179	-0.12311967728	-300.0	0.383771954038	0.380403411982	0.078473340319	0.350310387674	0.341752047688	0.0327609139561	-0.110221341657	-273.579760061	0.576752702072	0.573101602083	0.0774518343563	0.566637947093	0.568366237307	0.0366906153179	-0.0405225576112	-3.15763165379
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.0541884450682	0.0424283051245	0.0298822096126	0.0960006798186	0.075347358539	0.0579968484174	0.0453892042959	-300.0	0.680362070384	0.690916372825	0.0539897725195	0.531106204774	0.538033642378	0.0216981113344	-0.167260570807	-300.0	0.61031528705	0.60575442868	0.0674816805028	0.559616808893	0.557602259756	0.032480808429	-0.249505374818	-254.769271338	0.566583161697	0.563381067235	0.0556974970222	0.55658234868	0.555032704658	0.0548861916317	-0.180579501916	-12.176411493
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.00732146391849	0.00493364973939	0.0107791302521	0.0127137107271	0.00880817221184	0.0177274603317	0.291685374014	-300.0	0.668289163574	0.687936581898	0.0652271270281	0.57724572053	0.585248099196	0.0311879717584	-0.0438187852314	-300.0	0.510872755837	0.504969926094	0.119672081099	0.484131276301	0.466918158143	0.0448585439189	-0.0564563725189	-57.6419502673	0.684743341159	0.680083281213	0.0763059482691	0.667806430679	0.671810344025	0.0728464824794	-0.0343962008141	-1.54521909413
EGR2	-0.9853411587	4.5985511111	3.6132099524	0.00782525960788	0.00679585673376	0.00456270353006	0.0113502788836	0.00972761716636	0.00736861485415	0.251235477503	-300.0	0.637025629235	0.67135236572	0.0411879724739	0.661547482091	0.674811494796	0.0888399447984	0.630904532895	-244.696840779	0.497439086381	0.483070503014	0.0300955048157	0.505671460994	0.491288345621	0.0932370011788	0.0402621993646	-300.0	0.448162781964	0.447853873857	0.0414005283521	0.442277286548	0.441915147146	0.0363225512946	-0.104007893183	-47.7991172044
REST	-0.9317503519	8.5147308333	7.5829804815	0.0456643329203	0.0405506518924	0.0194813958855	0.0667889818282	0.0594396612691	0.0311306936341	0.256121706421	-300.0	0.66918141624	0.685110191764	0.0610261328292	0.577250060536	0.584709785912	0.0314693486833	-0.0484317796427	-300.0	0.484937620148	0.480309207563	0.0891821080771	0.454396206753	0.441131001948	0.0315044140117	-0.161673185757	-300.0	0.640496915016	0.638567967658	0.0603019171054	0.624196410113	0.630834922643	0.0435343644046	-0.0911814624684	-17.3384803707
RFX5	-0.9070030291	7.3384705	6.4314674709	0.0412465269363	0.0350455612808	0.0199940470527	0.0647268198673	0.0542492217846	0.0334939221575	0.213181351197	-300.0	0.675520563182	0.694659142929	0.0287496773869	0.734435717764	0.74196798814	0.0624604477492	0.121106701114	-300.0	0.430473962847	0.425790568509	0.0830937318283	0.410026771055	0.394374999472	0.0287725591647	-0.129362165911	-300.0	0.382021380239	0.383150387911	0.0546309548666	0.379228978778	0.379286179186	0.0544912405879	-0.0222841586725	-5.94508291066
SOX3	-0.8815224709	7.0991445556	6.2176220847	0.0116552086792	0.0091358193966	0.00855448037323	0.0183096562047	0.0145242315581	0.0139875626207	0.139499610358	-300.0	0.693424292964	0.702466518249	0.0196759786863	0.70786681488	0.713335523669	0.0413320122172	0.527091014856	-300.0	0.510618471046	0.50783761742	0.058598666875	0.473755827512	0.471716366522	0.0259627597868	-0.218522325609	-300.0	0.539309693139	0.53861482843	0.086773927844	0.528310652287	0.529129082649	0.0844590061939	-0.00656565656566	-2.63739293622
FOXD3	-0.6445018836	6.6675806667	6.0230787831	0.00994833190801	0.00754858352204	0.00782185616051	0.0180580558599	0.0141222426049	0.0132024873195	0.213391044698	-300.0	0.693324909171	0.703139838853	0.0462705268353	0.61971386866	0.62685139524	0.0191074194398	-0.0951995770772	-300.0	0.407260563176	0.403598517718	0.0502758839702	0.37163984596	0.369304850529	0.0316224330611	-0.212138996706	-300.0	0.297329797088	0.299561387901	0.0231941577577	0.300016485755	0.299758012262	0.0340207889917	0.027672850827	-6.79696372891
HNF4G	-0.6026098016	2.9244216111	2.3218118095	0.0149480713104	0.0121370494822	0.00886478012032	0.025328319878	0.0204399048937	0.0155573297815	0.0382779798237	-300.0	0.678785781786	0.692281026355	0.0596999710837	0.477790587687	0.487184358729	0.0222480260037	-0.155232928199	-300.0	0.272562777529	0.268757264475	0.0547431385436	0.246044445548	0.24116055801	0.0288834498714	-0.129274295245	-139.740680718	0.562219927179	0.560666168137	0.0903436503093	0.549526843318	0.549829674839	0.0708600761969	-0.105834053587	-4.34195088837
SOX9	-0.5931329762	6.5152251667	5.9220921905	0.0180365922166	0.0112706459265	0.0173700702159	0.0354161743484	0.0245118463395	0.0290725591717	0.130796954097	-300.0	0.697065616384	0.705336659518	0.0201186340531	0.706277653419	0.71176427558	0.0399667532877	0.516558451534	-287.825575866	0.368842491974	0.365171472598	0.0833970057958	0.325593105619	0.320883763126	0.0364302227036	-0.174893086814	-143.054969624	0.503510303653	0.498827094877	0.0927757639166	0.4921294137	0.495117195459	0.0863973566253	-0.0126583013826	-1.24170266248
NKX3-1	-0.5837772725	5.3454291667	4.7616518942	0.0133026411738	0.00688885741048	0.0137094187854	0.0286895073144	0.019614768428	0.0255066529143	0.142203431622	-300.0	0.684164925212	0.69586547169	0.053557072437	0.461132834839	0.471140807599	0.0200781799312	-0.165997738092	-300.0	0.503893927897	0.501278505093	0.0562026885665	0.452433351639	0.454616887283	0.0360508150487	-0.259914316388	-183.518610237	0.562240396436	0.558012291943	0.0422331387162	0.562993291515	0.559273487279	0.0861445456893	0.0257767834949	-0.567957238829
INSM1	-0.5296980979	6.7003285	6.1706304021	0.0202316913187	0.0172523772854	0.0116635337535	0.0303821580229	0.0255275075701	0.0187197277007	0.269932424857	-300.0	0.662098539226	0.686469393359	0.0779916258441	0.548316047883	0.559268148664	0.0369708294154	-0.0441172789522	-300.0	0.431869799514	0.426139497956	0.112107167495	0.425981558879	0.402443538172	0.0329140800946	-0.0578605069111	-300.0	0.14709519592	0.144464862302	0.022788246732	0.147172763069	0.145271799436	0.0395903779175	0.0351688604792	-4.04040767358
ERG	-0.4811139683	3.9203937778	3.4392798095	0.00548174008805	0.00423732829191	0.00449705616756	0.00884618495411	0.00705916253378	0.00750139789861	0.23721419444	-300.0	0.617281291331	0.62608187234	0.0301819559895	0.672458486755	0.692109385689	0.0668643398442	0.0368529085092	-300.0	0.485767444628	0.48185924369	0.0646849615701	0.455386333684	0.449024192515	0.0268091327918	-0.15817908216	-300.0	0.186549813263	0.185550448157	0.0186724747286	0.18828442413	0.185962469378	0.0519223618817	0.0540050248188	-2.43270941585
STAT1	-0.4733130873	8.6787737222	8.2054606349	0.0106642055528	0.00858245803589	0.00701868419688	0.0184444589002	0.0146731841891	0.0123950863084	0.122787992977	-300.0	0.668345705158	0.684843148274	0.0663465349114	0.503981198629	0.510957669983	0.0264948475593	-0.124838062999	-300.0	0.44669632196	0.442874624017	0.0637954971435	0.409018579236	0.405558044962	0.0315160662619	-0.200733193825	-300.0	0.450889629504	0.450267742849	0.0586544477249	0.456621004722	0.45381283009	0.064108626664	0.00657453936348	-2.74413522496
