FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Neph_H1hesc_protection_mean	Neph_H1hesc_protection_median	Neph_H1hesc_protection_std	Neph_K562_protection_mean	Neph_K562_protection_median	Neph_K562_protection_std	Neph_protection_ks_stat	Neph_protection_ks_pvalue	Neph_H1hesc_tc_mean	Neph_H1hesc_tc_median	Neph_H1hesc_tc_std	Neph_K562_tc_mean	Neph_K562_tc_median	Neph_K562_tc_std	Neph_tc_ks_stat	Neph_tc_ks_pvalue	Neph_H1hesc_fos_mean	Neph_H1hesc_fos_median	Neph_H1hesc_fos_std	Neph_K562_fos_mean	Neph_K562_fos_median	Neph_K562_fos_std	Neph_fos_ks_stat	Neph_fos_ks_pvalue	Neph_H1hesc_flr_mean	Neph_H1hesc_flr_median	Neph_H1hesc_flr_std	Neph_K562_flr_mean	Neph_K562_flr_median	Neph_K562_flr_std	Neph_flr_ks_stat	Neph_flr_ks_pvalue
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.0338813051408	0.0227849767953	0.0352821389915	0.0208756595325	0.0143036847588	0.0216458812626	-0.0401144904697	-9.96692264023	0.643118441556	0.652979206722	0.0235352450934	0.667368859308	0.672220699822	0.0504780971231	0.154846312703	-300.0	0.50291974965	0.50435394548	0.0349528460266	0.482209092344	0.486894775093	0.0151036665904	-0.37580946021	-300.0	0.317911165238	0.317845506557	0.0303172674446	0.306643571008	0.306606825687	0.0141054838512	-0.495204548918	-300.0
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.0343560795217	0.0230811920399	0.0368153504146	0.0213500316589	0.0147283227089	0.0223867560246	-0.0331055210912	-11.6600682429	0.68697648991	0.68962984884	0.051659677484	0.634426579078	0.647324745723	0.0284974648419	-0.0997494607762	-300.0	0.535904047734	0.537910016524	0.0339244976587	0.518435381715	0.5204688159	0.0188724943572	-0.242653140362	-300.0	0.333895130464	0.333778839639	0.0326395650725	0.323496415989	0.322811609377	0.0149552633131	-0.485918814626	-300.0
FLII	-1.1177311693	8.8445722222	7.7268410529	0.075433606244	0.055258954578	0.0714206773114	0.0420427052127	0.0301222545148	0.0411484211107	-0.0823201202884	-8.71647314298	0.60497332795	0.608760296039	0.0264633118272	0.626883123902	0.638428568784	0.0555426325168	0.00522084773593	-300.0	0.559934382791	0.560847995693	0.0445126556109	0.557842759588	0.552189184412	0.013672486986	-0.202762491758	-300.0	0.279160906717	0.279417858712	0.0331321009248	0.275763066193	0.275183402324	0.0100322606445	-0.213370114334	-300.0
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.0329457928959	0.0222341810106	0.0352907684765	0.0188899018275	0.0132686687919	0.0196610730097	-0.0239864036386	-8.92811321549	0.735377664969	0.740237007951	0.0488664106627	0.656793340334	0.667526377364	0.0227949137827	-0.343482616315	-300.0	0.503651625265	0.504754005576	0.0254149678534	0.49449230904	0.497129391738	0.0105174888099	-0.287198054065	-300.0	0.31708423385	0.316778899319	0.0332027482322	0.312760461181	0.31187312207	0.0132348045049	-0.257449640945	-300.0
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.0949950751922	0.0668535229364	0.0935176735373	0.0509155042663	0.0338156250128	0.0515107964481	-0.117626565305	-7.28544998387	0.594153821433	0.618014445408	0.0838099379448	0.485494897456	0.491518322222	0.0373246686038	-0.258415591696	-300.0	0.401490782956	0.401379400276	0.0274657741341	0.406748335297	0.406970148636	0.047682200475	0.0358348151854	-109.738172819	0.257797956445	0.257515928258	0.0491060521244	0.255920621488	0.253881951077	0.0161954216376	-0.122966741574	-185.582146028
EGR2	-0.9853411587	4.5985511111	3.6132099524	0.0316060472519	0.02049281779	0.0324352569737	0.018624759258	0.0116800331101	0.0209931826317	-0.0202150805293	-32.9524704289	0.773240152279	0.779141477136	0.0618903677307	0.633241152845	0.650621561987	0.0285728905406	-0.440027391636	-300.0	0.472348344402	0.469180063684	0.0385163880134	0.472055019361	0.464188238391	0.0191536103125	-0.00999730480244	-300.0	0.331254638343	0.331392377137	0.0525094218468	0.328924179141	0.326793478472	0.0192802534149	-0.179370773631	-300.0
REST	-0.9317503519	8.5147308333	7.5829804815	0.0315092334311	0.0217786360168	0.0323746189411	0.0190094203825	0.0128416449865	0.0193765943627	-0.00279772815783	-18.1693321474	0.617523567437	0.619458315396	0.0323022313497	0.627911494137	0.643640965179	0.0615430729677	0.206933128756	-300.0	0.555405316821	0.555431204363	0.0418823857723	0.550203519582	0.548704943849	0.0230561763722	-0.0197223736872	-300.0	0.331729718257	0.33182421524	0.037911689402	0.329155374005	0.327965265039	0.0151153425583	-0.117755465093	-300.0
RFX5	-0.9070030291	7.3384705	6.4314674709	0.034180720685	0.0239324069571	0.0352108408711	0.0197056569424	0.0136015290126	0.0198957221236	-0.0136715569725	-14.4773074044	0.730317294334	0.734931736815	0.0585893221632	0.639554552121	0.655889643533	0.0276292466936	-0.310198345492	-300.0	0.425310988898	0.424720937707	0.030533415023	0.421486031656	0.419766060882	0.0158630771765	-0.0529792096262	-300.0	0.307524843519	0.307404922836	0.0441398067493	0.306175860532	0.30418439722	0.0162563885648	-0.0891264692949	-300.0
SOX3	-0.8815224709	7.0991445556	6.2176220847	0.0350471123872	0.023017670019	0.03648076577	0.0205781469963	0.0138592647682	0.0219785195195	-0.0313660751254	-11.3949374778	0.706968316556	0.710561454198	0.0488055947436	0.65670486848	0.666663056445	0.0275373845634	-0.0392418003622	-300.0	0.501209653707	0.502180170068	0.0290084854111	0.4924499391	0.496551206241	0.0146313426039	-0.220584832244	-300.0	0.340941897782	0.340581706355	0.0266442448905	0.336797655482	0.336628099658	0.0133705619294	-0.210034676671	-300.0
FOXD3	-0.6445018836	6.6675806667	6.0230787831	0.0335964628304	0.0231120410173	0.0323234805399	0.0203823147041	0.0143650285894	0.0194328742458	-0.0190674112252	-29.821282983	0.66719764311	0.670665754932	0.0191008783365	0.670489498872	0.679135107883	0.0451291993149	0.156694265097	-300.0	0.400490634769	0.402184144322	0.0261031807127	0.394490661271	0.399390323764	0.0116215098638	-0.226085441843	-300.0	0.340758875991	0.341946712005	0.0296582435824	0.339902177374	0.339478718028	0.0119445238826	-0.106109431457	-300.0
HNF4G	-0.6026098016	2.9244216111	2.3218118095	0.019387714855	0.0130538260687	0.0206249256653	0.0356297837319	0.0210898744212	0.0399894481914	0.00566708301954	-5.33685832778	0.65108917478	0.663190014072	0.0230266397227	0.668386277043	0.67323104554	0.0510951701294	0.306073494509	-87.6436380887	0.493007766487	0.494141644275	0.0265574348132	0.488771172072	0.491082236323	0.0109978582691	-0.222473494274	-300.0	0.324193052297	0.323662599642	0.0291390596353	0.319636814995	0.320866996177	0.0119885013341	-0.152563179188	-300.0
SOX9	-0.5931329762	6.5152251667	5.9220921905	0.0360140155716	0.0256618947714	0.0347378925544	0.0207242110398	0.015792994804	0.0194083951737	-0.0199113319234	-5.24850763511	0.704709252847	0.709830674115	0.0493680604077	0.655632753204	0.666665134429	0.0266603362858	-0.052192453907	-300.0	0.559726459717	0.560115627845	0.0339188734619	0.553708275062	0.556743494556	0.014705870383	-0.175529087198	-300.0	0.319589886289	0.318458590196	0.0277471735222	0.315920614459	0.316157352724	0.0166443600779	-0.106741619322	-217.094003399
NKX3-1	-0.5837772725	5.3454291667	4.7616518942	0.0332927964196	0.0223114027731	0.0302593085609	0.0190031791363	0.0133992083538	0.0167550915385	-0.0115581399045	-5.15019601973	0.649945182552	0.660395114355	0.0495878565402	0.607076818062	0.612095015462	0.0235387195671	-0.186568537094	-300.0	0.51953355066	0.520508595867	0.0400587462291	0.513580017495	0.517462764514	0.0145931970885	-0.246579155582	-300.0	0.291186018788	0.291251357299	0.0300366511863	0.290942407553	0.289813056126	0.00934443213797	-0.0382619694825	-105.73383458
INSM1	-0.5296980979	6.7003285	6.1706304021	0.0204717916457	0.0137107089248	0.0216034249565	0.0327713038342	0.0224843600861	0.0332212690448	0.014202734724	-19.3448905264	0.782044855296	0.785049777539	0.0539124786651	0.653104549174	0.668427163418	0.0260683884643	-0.428704378173	-300.0	0.471447377269	0.469172873053	0.0167229325556	0.471917174695	0.47147152541	0.030224989604	0.10309349412	-300.0	0.296421872956	0.295096309566	0.0162599600985	0.296785315502	0.296191818036	0.0399539134642	0.0547441182171	-208.795004679
ERG	-0.4811139683	3.9203937778	3.4392798095	0.0322649828277	0.0220474293934	0.0327060374541	0.0192180168557	0.0129677051525	0.0201574832397	-0.003797792625	-23.0849687782	0.636222458856	0.65137430265	0.0311554287399	0.662742401649	0.664183650498	0.0576233816828	0.325608773701	-300.0	0.44981487701	0.449148783765	0.0310324277981	0.449429947925	0.447353222252	0.0149881298355	-0.0380685656731	-300.0	0.307579926065	0.306396829108	0.0133468949278	0.307684055097	0.307620404235	0.0363186284235	0.0335369431205	-300.0
STAT1	-0.4733130873	8.6787737222	8.2054606349	0.0366084494309	0.0257569203135	0.0344176425158	0.0205661292776	0.0133687852738	0.0223583667451	-0.0583801942775	-15.9368270368	0.748410244538	0.752596659009	0.0475839284736	0.653180516295	0.66549119228	0.0238982472517	-0.371324536437	-300.0	0.504130680264	0.502473697481	0.0370137530597	0.503286763871	0.500535814448	0.0165768499528	-0.0425744183597	-300.0	0.336352576519	0.336431720171	0.0334029146871	0.335476338281	0.335037313694	0.0124282136863	-0.00784099770194	-274.369370559
