FACTOR	SPEARMAN	PVALUE
ARID3A	0.867007558835684	2.08666047927384e-31
ATF3	0.614235221943348	1.07192649097053e-11
BHLHE40	0.355583958964769	0.000282827582896071
BRCA1	0.499245095730415	1.24184029576712e-07
CEBPB	0.671691229466067	2.02024416383553e-14
CTCF	0.344878487848785	0.000476010192937494
ELF1	0.249003888453437	0.0124820502499406
GABP	0.373786742770102	0.0001277810419169
JUN	0.480545821166574	4.1930472560021e-07
JUND	0.626760077479429	3.04726271402779e-12
MAFF	0.784647650537659	4.55277729987335e-22
MAFK	0.706429149353482	2.19862636963399e-16
MAX	0.514424418727832	4.37798741954704e-08
MYC	0.532998077944189	1.13843200236132e-08
NRF1	0.152991299129913	0.128468471656154
P300	0.717075702619689	4.8102365578472e-17
RAD21	0.33959795979598	0.000586551494203483
REST	0.440185903770247	4.58901487694994e-06
RXRA	0.534786731342051	9.95625952502522e-09
SP1	0.158476323061989	0.115300712338873
SP2	0.118830717482401	0.238978126832641
SRF	0.761212930597466	3.87191508439488e-20
TBP	0.717509246108575	4.51493702785386e-17
USF1	0.514278513531692	4.42315827560565e-08
USF2	0.452816715504743	2.24211266386237e-06
YY1	0.402004260734821	3.38616370748446e-05
