CELL	FACTOR	BinDNase_80	BinDNase_85	BinDNase_90	BinDNase_95	BinDNase_99	BinDNase_rank	Boyle	Centipede_80	Centipede_85	Centipede_90	Centipede_95	Centipede_99	Cuellar_80	Cuellar_85	Cuellar_90	Cuellar_95	Cuellar_99	DNase2TF_TC	DNase2TF_rank	FLR_80	FLR_85	FLR_90	FLR_95	FLR_99	FS	HINTBCN	HINTBC	HINT	Neph	PIQ_80	PIQ_85	PIQ_90	PIQ_95	PIQ_99	PWM	Protection	TC	Wellington_TC	Wellington_rank
H1hesc	ATF3	0.780748943541	0.787158725963	0.723543368882	0.723543368882	0.757093641548	0.757127748518	0.77655255697	0.565045051148	0.666511232348	0.666511232348	0.666511232348	0.666511232348	0.570547703266	0.570547703266	0.570547703266	0.570547703266	0.570547703266	0.830043610626	0.665167904243	0.667539489476	0.667539489476	0.667539489476	0.667539489476	0.667539489476	0.159894297166	0.872331950266	0.875643844248	0.859976438989	0.776567164901	0.669015256722	0.748918182637	0.803442567617	0.783231258724	0.752727570188	0.0832925937265	0.563985276461	0.564751087781	0.789611877595	0.668848331354
H1hesc	BACH1	0.252221526553	0.257524968555	0.216228713392	0.216228713392	0.237801049011	0.241057093937	0.266768551077	0.117473962372	0.177871366559	0.177871366559	0.177871366559	0.177871366559	0.140413101154	0.140413101154	0.140413101154	0.140413101154	0.140413101154	0.318696155889	0.17809320169	0.17704893648	0.17704893648	0.17704893648	0.17704893648	0.17704893648	0.0325339251136	0.37831996238	0.386398753187	0.353594417812	0.264670557938	0.22036222005	0.290585513457	0.344972393251	0.317727300938	0.2814649439	0.0189779016314	0.100450133061	0.11733245954	0.275408308487	0.179075041964
H1hesc	BRCA1	0.965990071263	0.971635038834	0.943430218592	0.943430218592	0.957542637521	0.965990071263	0.959604451918	0.842753623188	0.915225398351	0.915225398351	0.915225398351	0.915225398351	0.0	0.0	0.794451116983	0.794451116983	0.794451116983	0.977580270638	0.910801505325	0.897189526784	0.897189526784	0.897189526784	0.897189526784	0.897189526784	0.0314316598607	0.981583793738	0.975818720474	0.978681239491	0.957142285211	0.914885098887	0.957362478982	0.978601169029	0.978601169029	0.975878773321	0.0	0.529898310513	0.842553447033	0.96867243174	0.906257506606
H1hesc	CEBPB	0.218605167668	0.221453383959	0.205446140294	0.205446140294	0.213560456567	0.216306660101	0.298738680998	0.156932203081	0.190174653588	0.190174653588	0.190174653588	0.190174653588	0.175985954583	0.175985954583	0.175985954583	0.175985954583	0.175985954583	0.33988510224	0.223676358849	0.220522065314	0.220522065314	0.220522065314	0.220522065314	0.220522065314	0.0616240846067	0.381346555955	0.388771301582	0.366660738091	0.298565325716	0.22374156371	0.27534569769	0.315640097139	0.29565658751	0.270698377088	0.0496357907559	0.0996724076568	0.16653685136	0.306482718852	0.223730176525
H1hesc	CTCF	0.294252497244	0.29489345837	0.218970165904	0.218970165904	0.261143544001	0.247100078959	0.246166139271	0.0864447338813	0.155548718765	0.155548718765	0.155548718765	0.155548718765	0.0827924953216	0.0827924953216	0.0829534409796	0.0829534409796	0.0829534409796	0.307296264995	0.14012464631	0.196507480128	0.196507480128	0.196507480128	0.196507480128	0.196507480128	0.0876625871377	0.447733392402	0.450622147223	0.398746921416	0.229226143521	0.141209175943	0.205543671097	0.25997877207	0.229265371736	0.191835729155	0.204554658693	0.10712098473	0.0809018263775	0.262191608346	0.170334320646
H1hesc	EGR1	0.34094381057	0.346050956532	0.261303379928	0.261303379928	0.307331210186	0.297878028229	0.343045585476	0.10411275188	0.188368496715	0.188368496715	0.188368496715	0.188368496715	0.101834668474	0.101834668474	0.103163731669	0.103163731669	0.103163731669	0.414981771993	0.174253274706	0.151866141408	0.151866141408	0.151866141408	0.151866141408	0.151866141408	0.0163466435351	0.534620619753	0.548829019366	0.490738522306	0.32950517506	0.187901574649	0.282582769017	0.362564945147	0.316436418139	0.259069554335	0.0415498772283	0.092410211957	0.10383944133	0.312840154214	0.154948778175
H1hesc	FOSL1	0.784708805654	0.788297257286	0.734088660728	0.734088660728	0.762102461422	0.768080150556	0.776914837381	0.581830534054	0.683506236219	0.683506236219	0.683506236219	0.683506236219	0.581621432972	0.581621432972	0.581621432972	0.581621432972	0.581621432972	0.850490586729	0.677898295014	0.695109414605	0.695109414605	0.695109414605	0.695109414605	0.695109414605	0.0408991465894	0.912260893364	0.913502096659	0.916629883911	0.773560660055	0.683230288118	0.753765922867	0.798579579113	0.786653304922	0.761199705657	0.0153434465271	0.396210664908	0.581497143695	0.785572849843	0.680238785438
H1hesc	GABP	0.553573629529	0.564623569804	0.44203041134	0.44203041134	0.507434640574	0.498889841773	0.538162218725	0.203038692575	0.335172359339	0.335172359339	0.335172359339	0.335172359339	0.200313929763	0.200313929763	0.204955648474	0.204955648474	0.204955648474	0.657524021525	0.321093581436	0.348359387039	0.348359387039	0.348359387039	0.348359387039	0.348359387039	0.0395497458288	0.780459223805	0.782500633652	0.735595628545	0.548879660307	0.334395150624	0.474490690174	0.58780718649	0.526457536739	0.444606177456	0.0543000032689	0.215164308041	0.202467717908	0.561595047563	0.333064588154
H1hesc	JUN	0.764063137044	0.767172128018	0.705662644079	0.705662644079	0.739462361497	0.729289664404	0.78356866184	0.557415072279	0.655066636311	0.655066636311	0.655066636311	0.655066636311	0.595651228287	0.595651228287	0.595651228287	0.595651228287	0.595651228287	0.826769127306	0.667390854754	0.561162621306	0.561162621306	0.561162621306	0.561162621306	0.561162621306	0.227497798015	0.869495625073	0.873390641062	0.854412864649	0.780553327745	0.668630034826	0.754104181059	0.810456187002	0.788710951705	0.757321987649	0.01563463344	0.502965899175	0.558009761128	0.795958870265	0.669973939518
H1hesc	JUND	0.403269561574	0.41222958427	0.353037696578	0.353037696578	0.383684984113	0.388701480921	0.434770624311	0.209488507429	0.298146688381	0.298146688381	0.298146688381	0.298146688381	0.233084630013	0.233084630013	0.24043491957	0.24043491957	0.24043491957	0.512581492783	0.299070860352	0.224174566098	0.224174566098	0.224174566098	0.224174566098	0.224174566098	0.0483274764766	0.595869072709	0.606862062851	0.569674291421	0.43241814685	0.300268453381	0.392277804651	0.46500696576	0.426186642803	0.375822967653	0.0263969404114	0.165911549996	0.209225917672	0.448200093295	0.299855869695
