medVec	medVec	medVec	medVec
BinDNase.TC.	41.90621680105	54.9676368136	83.1547521957	97.13871913865
BinDNase.rank.	33.77438840275	48.4997876972	81.5329411173	96.8180746698
Boyle	50.29137846705	62.2854895391	85.50569034125	97.6284624222
Centipede..0.80.	22.5538828747	35.1553413785	76.2544087951	96.3127003217
Centipede..0.85.	33.8174516406	48.4997876972	81.68688382555	96.863278671
Centipede..0.90.	33.8635292898	48.4997876972	81.8844438678	96.92931730945
Centipede..0.95.	33.835052059	48.4997876972	81.75645660405	96.88542910215
Centipede..0.99.	33.77438840275	48.4997876972	81.5329411173	96.8180746698
Cuellar..0.80.	24.0859285435	36.3446431756	71.7803431182	95.338096435
Cuellar..0.85.	24.0859285435	36.3446431756	71.7803431182	95.338096435
Cuellar..0.90.	24.6432972108	37.0475419808	72.04055491975	95.876705017
Cuellar..0.95.	24.6432972108	37.0475419808	72.04055491975	95.876705017
Cuellar..0.99.	24.6432972108	37.0475419808	72.04055491975	95.876705017
DNase2TF.TC.	58.1890499039	69.5347311076	87.995248925	97.94574876
DNase2TF.rank.	33.65472314095	48.39020981115	83.7458429758	97.51679844055
FLR..0.80.	32.2879361316	42.3872918661	80.06463664455	97.0473957665
FLR..0.85.	32.6438525655	42.3872918661	81.5757731778	97.1962903514
FLR..0.90.	32.7454852579	42.3872918661	82.45572405335	97.3152387647
FLR..0.95.	32.71312223435	42.3872918661	82.19873722255	97.26892157435
FLR..0.99.	32.6438525655	42.3872918661	81.5757731778	97.1962903514
FS	1.901088686915	4.046908503325	16.6911992721	58.47465948865
HINT.BCN	64.68913456075	76.0184361192	90.52497483565	98.31820426405
HINT.BC	65.19343902705	76.60788862685	91.10270552895	98.3831564927
HINT	61.64844697845	73.2820004912	88.8191879902	98.03441033355
Neph	51.2766573091	62.94428630805	85.935972172	97.7328691545
PIQ..0.80.	32.1340228665	46.69587624255	82.45331892715	96.976539722
PIQ..0.85.	44.16781124225	57.15855984465	83.6038157116	97.0763291188
PIQ..0.90.	56.50518178725	63.6494281422	85.4501920851	97.28634108595
PIQ..0.95.	55.12265848295	61.41615848925	84.1320812089	97.113174112
PIQ..0.99.	52.3268796726	57.15804417925	82.2467444035	96.9281874811
PWM	2.88658637943	5.09599356056	24.57965910925	70.5654037476
Protection	22.1987244087	32.1522981019	67.6971700677	85.63715264365
TC	22.86737341215	35.1072058886	76.63058251295	96.6905006122
Wellington.TC.	52.9582882147	63.6493349886	85.7722194021	97.6871961813
Wellington.rank.	34.12622844	48.0686068422	81.56018045965	97.29278806295
