CELL	FACTOR	BinDNase_80	BinDNase_85	BinDNase_90	BinDNase_95	BinDNase_99	BinDNase_rank	Boyle	Centipede_80	Centipede_85	Centipede_90	Centipede_95	Centipede_99	Cuellar_80	Cuellar_85	Cuellar_90	Cuellar_95	Cuellar_99	DNase2TF_TC	DNase2TF_rank	FLR_80	FLR_85	FLR_90	FLR_95	FLR_99	FS	HINTBCN	HINTBC	HINT	Neph	PIQ_80	PIQ_85	PIQ_90	PIQ_95	PIQ_99	PWM	Protection	TC	Wellington_TC	Wellington_rank
H1hesc	ATF3	0.680634379646	0.699879762304	0.607692202966	0.608581448772	0.648404454304	0.668174089791	0.675020669243	0.405524925415	0.535819823465	0.536491117733	0.536078707159	0.535189655612	0.411887373018	0.411887373018	0.411887373018	0.411887373018	0.411887373018	0.737317822626	0.51442223327	0.531434771544	0.534414011542	0.535688241554	0.535282439939	0.534414011542	0.0765562538005	0.799205488405	0.800045125877	0.777820162027	0.677539676602	0.536006546979	0.643265975091	0.731616509487	0.719388197539	0.698761190832	0.0281066986249	0.414013073156	0.405963982633	0.702154617937	0.536358825123
H1hesc	BACH1	0.14814501914	0.158438896367	0.1166501875	0.118273853196	0.130995903049	0.140042040556	0.154199928778	0.0540449861859	0.0884373275969	0.089649976652	0.0888897867539	0.0873627243562	0.0619663565726	0.0619663565726	0.0619663565726	0.0619663565726	0.0619663565726	0.2009857832	0.0900703498794	0.0842717119291	0.0872458871946	0.0891702078335	0.0884947103851	0.0872458871946	0.0121194948878	0.258960665413	0.263608535847	0.243387085925	0.150638935747	0.126451652817	0.179946404065	0.249506737705	0.234063724084	0.212467481714	0.010850950904	0.0370552601742	0.0553075738048	0.166073780544	0.087910160411
H1hesc	BRCA1	0.101374399348	0.118654980578	0.0643203402937	0.0643203402937	0.0832775573456	0.101374399348	0.0974707440499	0.0226918565396	0.0440457274801	0.0440457274801	0.0440457274801	0.0440457274801	2.76645183079e-05	2.76645183079e-05	0.0223607941946	0.0223607941946	0.0223607941946	0.130370825984	0.0370542105231	0.0440125722636	0.0440125722636	0.0440125722636	0.0440125722636	0.0440125722636	0.000312634410918	0.193301428709	0.157391704348	0.149947823641	0.0998314858083	0.043992674337	0.0831352988076	0.150370301941	0.150370301941	0.149971987428	5.12393410751e-05	0.0157932791734	0.0226701718103	0.0933330847406	0.0342010993303
H1hesc	CEBPB	0.191646823763	0.198420231968	0.168622379771	0.171443407791	0.179102291102	0.18626794175	0.243359446656	0.0983185167732	0.140639496729	0.14255046069	0.141255018684	0.139505682027	0.123471426588	0.123471426588	0.123471426588	0.123471426588	0.123471426588	0.287646315136	0.168661888513	0.156895068613	0.160000824088	0.161918094425	0.161235460645	0.160000824088	0.0259209789855	0.332161852924	0.337855456488	0.320485048384	0.241713442702	0.166662242863	0.217789980333	0.272531254789	0.260654032359	0.244372564043	0.02352547617	0.0587160557358	0.112994049945	0.254219683116	0.165530516627
H1hesc	CTCF	0.676822147014	0.673619258982	0.657692792396	0.664025081931	0.657936155901	0.639928652775	0.578916658964	0.492451018175	0.601670260463	0.608391684176	0.60420672924	0.595768431085	0.477790372737	0.477790372737	0.479283067156	0.479283067156	0.479283067156	0.628032337051	0.528500125056	0.530915410576	0.54452028115	0.555449244051	0.551364473122	0.54452028115	0.247459045629	0.706525944526	0.71133333154	0.683311272536	0.569642232547	0.514247094223	0.546921650113	0.588255813634	0.563642144988	0.534056867446	0.493881732269	0.414093457017	0.427605124197	0.590275135663	0.519590716364
H1hesc	EGR1	0.260929245676	0.272427266247	0.211301134665	0.215162083903	0.231828058872	0.233456397389	0.264778402991	0.0981251200748	0.160595954113	0.163531399512	0.161666447805	0.158214262014	0.0983706122873	0.0983706122873	0.10059398503	0.10059398503	0.10059398503	0.334469343399	0.160745613873	0.138817969548	0.148951697347	0.154833710639	0.152772642226	0.148951697347	0.0106017336342	0.447964716902	0.460438697368	0.410942340558	0.254866218307	0.162495592795	0.219464341395	0.304715796522	0.27399678774	0.234968185238	0.0265729777273	0.0728170539955	0.101469337318	0.252210558379	0.141399660632
H1hesc	FOSL1	0.150003344066	0.171502082184	0.0993136490169	0.0994443764273	0.125872600202	0.149228981975	0.173919607954	0.0370040484203	0.0697870587398	0.0698568511928	0.0698087957735	0.0697474762429	0.0362676242989	0.0362676242989	0.0362676242989	0.0362676242989	0.0362676242989	0.178871974335	0.0551141991218	0.061554973544	0.0618219941921	0.0619843715663	0.0619494681476	0.0618219941921	0.000647193707771	0.263930765925	0.269439586548	0.26343602294	0.147701345324	0.0699889785592	0.125614916126	0.211062485965	0.209993892819	0.207801890535	0.000374140224313	0.0159814996157	0.0371023960599	0.142982020098	0.0555263445746
H1hesc	GABP	0.650125476897	0.661246185813	0.58090234944	0.585331645165	0.612263650385	0.609477160486	0.640678300725	0.342848335215	0.491673996727	0.495600347706	0.493198436925	0.487755742086	0.325505325274	0.325505325274	0.341553455369	0.341553455369	0.341553455369	0.72628519975	0.475893287021	0.482472711359	0.497441180386	0.505335677296	0.502830100196	0.497441180386	0.050803996069	0.821654488931	0.823380908566	0.800000328346	0.634621552891	0.487141798209	0.58548834563	0.687061480987	0.645988580056	0.588372514494	0.0776687650588	0.31856818983	0.342599690377	0.659750489271	0.475893223035
H1hesc	JUN	0.432071024741	0.463481550362	0.336500820477	0.336898604748	0.389136209955	0.424881620008	0.443172802885	0.160793746022	0.263534538279	0.263804284511	0.263634220071	0.263295791847	0.175537555212	0.175537555212	0.175537555212	0.175537555212	0.175537555212	0.525368950958	0.258799784567	0.22616035111	0.227485653649	0.227983929944	0.227819125512	0.227485653649	0.0509916420034	0.606087341086	0.6039509569	0.558368138138	0.435399040313	0.26655947218	0.393107008428	0.526846319886	0.519224364418	0.507368752513	0.0023803925538	0.147360448253	0.162463143771	0.484914284671	0.278412158643
H1hesc	JUND	0.39143306668	0.404308484709	0.343187021795	0.34907804437	0.365904802476	0.376441697333	0.430102604413	0.197968353378	0.286260828299	0.289986747846	0.287440361677	0.284053464637	0.234237118968	0.234237118968	0.246368929163	0.246368929163	0.246368929163	0.502249420258	0.306180681064	0.250988384849	0.261371640582	0.267100562119	0.265154701294	0.261371640582	0.0292302069716	0.593698446152	0.603382416314	0.56910029148	0.422731331104	0.306421987286	0.385272116331	0.469795031079	0.44185934903	0.405517828224	0.0243131330052	0.127964762118	0.20946987389	0.442185940195	0.296647124874
