ARID3A_F	ARID3A_R	ATF3_F	ATF3_R	BHLHE40_F	BHLHE40_R	BRCA1_F	BRCA1_R	CEBPB_F	CEBPB_R	CTCF_F	CTCF_R	ELF1_F	ELF1_R	GABP_F	GABP_R	JUN_F	JUN_R	JUND_F	JUND_R	MAFF_F	MAFF_R	MAFK_F	MAFK_R	MAX_F	MAX_R	MYC_F	MYC_R	NRF1_F	NRF1_R	P300_F	P300_R	RAD21_F	RAD21_R	REST_F	REST_R	RXRA_F	RXRA_R	SP1_F	SP1_R	SP2_F	SP2_R	SRF_F	SRF_R	TBP_F	TBP_R	USF1_F	USF1_R	USF2_F	USF2_R	YY1_F	YY1_R
-0.0353646824267	-0.0849764760773	-0.0228561618507	0.0447267551917	-0.106458894099	-0.12148846251	-0.439749196178	-0.0773208374506	-0.0628049619841	-0.0235293759716	-0.0280603813935	-0.0291912548584	-0.104717627062	-0.0828096616548	-0.109235098754	-0.0978475237726	-0.0182812179966	-0.0234975226843	-0.0571663941037	-0.0371136872414	-0.00689768893664	-0.00840211444358	-0.00746091025351	-0.0059883948257	-0.0596505675847	-0.093004594317	-0.0924744405162	-0.119157786764	-0.0367427568114	-0.0856630996423	-0.165641732746	-0.0852490229648	-0.028615765063	-0.0305779850134	-0.0285207238562	-0.0310538738182	-0.0845368165405	-0.0538790378867	-0.10502775846	-0.143303733294	-0.114624020197	-0.126245167616	-0.0545109011012	-0.0382665496656	-0.0367828549653	0.0730313961834	-0.0317342418109	-0.041314803179	-0.048308456861	-0.0623722801793	-0.0860355921333	-0.035867476727
-0.0804059402195	-0.0746498262942	-0.212544945091	-0.159532807437	-0.126025664133	-0.103279433314	0.314356180397	-0.125628264283	-0.0330708099747	-0.0302026011624	-0.0281611485031	-0.0345094978695	-0.084751652127	-0.0958125774215	-0.117428973666	-0.103422561412	-0.0297887578288	-0.0208599470685	-0.0661024231003	-0.0533026197031	-0.00912091166798	-0.00976848838871	-0.00539390233976	-0.00637716915816	-0.0791162240239	-0.0778244944822	-0.0977533366433	-0.107161577598	-0.0657307048958	-0.0748938283498	-0.113065372439	-0.0951592545695	-0.0288375292971	-0.0353541490312	-0.0269718014479	-0.0286171369795	-0.0884303879459	-0.0358480737761	-0.147154634536	-0.114160931805	-0.183485338802	-0.118945098584	-0.0586310119336	-0.0434203129862	-0.130841214645	0.0594659477661	-0.0389718131439	-0.0408771618973	-0.0659347956644	-0.0658923613676	-0.084205312414	-0.0874061015687
-0.0595556856482	-0.0831433757409	-0.0399954968889	-0.10710971363	-0.129483812275	-0.118147217507	0.133905332075	-0.475032796448	-0.0529781334718	-0.0301876208837	-0.0349318681	-0.028294692757	-0.100706678547	-0.0847088133799	-0.120376707709	-0.0948210019547	-0.0221165968197	-0.0217753276889	-0.0586734746249	-0.0538178579345	-0.00872588068547	-0.0074969655759	-0.00678417997426	-0.00608693400821	-0.109540101981	-0.0866159825668	-0.145068622241	-0.139527250346	-0.109320314904	-0.0423483070343	-0.100477110418	-0.0566809078443	-0.0364599240417	-0.0287220643988	-0.0267473592272	-0.0279958740238	-0.0784577595754	-0.0593106682986	-0.12160629611	-0.122888371134	-0.140375401998	-0.15365684652	-0.0500037659531	-0.0433875432749	-0.14731924914	-0.0208254256942	-0.0365587110474	-0.0433283200227	-0.0506307013867	-0.0702396968223	-0.0937213173099	-0.0493546306873
-0.0820541929528	-0.0839945449215	0.00774643073225	-0.214277145706	-0.125537586044	-0.145230852852	-0.328504918216	-0.372712073359	-0.0417880504112	-0.0290885298846	-0.0237827661458	-0.0443818880789	-0.0998535287103	-0.0712676975943	-0.135312073634	-0.0735307695232	-0.0222255880973	-0.0107268530751	-0.0406928851522	-0.0456781323701	-0.00813639270673	-0.009036776206	-0.00758429455527	-0.00725300673814	-0.0976657416984	-0.0929166821601	-0.145526803564	-0.117274308596	-0.0816647194445	-0.0522739193123	-0.112731901164	-0.102722077223	-0.0251091899555	-0.0476647830397	-0.0337176292426	-0.0294282011301	-0.084854305552	-0.0493142177881	-0.110208525608	-0.105533296228	-0.169887791135	-0.0688420373949	-0.068647869231	-0.0542203791785	-0.0836844507305	-0.0241072182917	-0.043677943615	-0.0438659012983	-0.0697913041618	-0.0598052503763	-0.0803601897343	-0.0575858594072
-0.0737832923764	-0.0900496475323	-0.0442663975571	0.084122159184	-0.14913284407	-0.121207516559	-0.0562067086226	-0.140970043482	-0.0355158095814	-0.0268664701323	-0.0425553768002	-0.0376794469912	-0.103104768539	-0.0835769982977	-0.0971146768639	-0.0875400283394	-0.0214437051053	-0.0208129000209	-0.056400528901	-0.0519025793036	-0.00902085541317	-0.00854063168551	-0.00660981115787	-0.00523735868684	-0.130246653901	-0.116086297555	-0.1182179016	-0.135021244417	-0.0912558816411	-0.0413623438636	-0.0764980680981	-0.0870690405074	-0.045345597976	-0.037817849382	-0.027304610321	-0.0300180517282	-0.0916821749365	-0.0485957958867	-0.111608287317	-0.0899845885453	-0.077793559587	-0.124508127171	-0.0631582083758	-0.0444410682119	-0.0388496324704	-0.008209821775	-0.0506748653189	-0.0470252826239	-0.0780390305384	-0.07236437553	-0.0827344762316	-0.0657637589684
-0.0420857240265	-0.0780386437678	0.0348765120388	-0.267706203314	-0.13802753832	-0.1017398526	-0.25895671973	-0.323560263343	-0.0270184385602	-0.0174418546201	-0.0485346391174	-0.0273614275723	-0.114047824346	-0.0804191879187	-0.107673763377	-0.0715024208087	-0.0224602768242	-0.00915169692556	-0.0537707763647	-0.0533584287103	-0.00845975284173	-0.00870731101138	-0.00663308305986	-0.00657591835338	-0.123487616469	-0.0797227630545	-0.149623755007	-0.128799037891	-0.0644975529937	-0.123399980306	-0.106583524509	-0.0886372634073	-0.0506458040294	-0.0292416796027	-0.0374784240177	-0.0460246780441	-0.0705122401959	-0.0621971433313	-0.11658459929	-0.0763832213586	-0.140350959952	-0.0478005128758	-0.0503412461436	-0.0566605664383	0.0215133487462	0.0884806730576	-0.0544219883851	-0.0457354010654	-0.0889061147641	-0.066874306128	-0.0577671164453	-0.0425002901658
-0.0547582958869	-0.0719758595155	-0.243252970924	-0.0184394663577	-0.150820615704	-0.0986602305585	-0.122283463222	-0.503672452829	-0.0419848917835	-0.0204359585947	-0.0664663163891	0.0326982118824	-0.100290878141	-0.084984748192	-0.107392994531	-0.0872554876603	-0.0173737433245	-0.0104233884101	-0.0540800123401	-0.0501958723303	-0.00985139907347	-0.00730853627815	-0.00875641077066	-0.00560655357858	-0.103771058187	-0.082284573944	-0.158455709796	-0.121491660087	-0.0588656029878	-0.121462932879	-0.121588881177	-0.0982296385582	-0.0701010951384	0.0363693093499	-0.0310622000541	-0.0184402793435	-0.0497725054204	-0.0531162267393	-0.12788910635	-0.0927524588127	-0.158673780093	-0.0672700323771	-0.0652053144891	-0.0544271234748	-0.0194790889143	-0.056703713626	-0.0520035200637	-0.0380675601583	-0.0858017113004	-0.0451209493582	-0.0516568080656	-0.0654280891616
-0.0800599761984	-0.0648739868545	-0.110954581979	0.0159470685514	-0.165579714544	-0.107202222542	0.15019076241	-0.319532172585	-0.0404071282558	-0.0278473753592	-0.0736483381999	0.0526283866136	-0.096241281175	-0.0804796937042	-0.0862054950503	-0.0874968317667	-0.0128956116772	-0.0190510068578	-0.0445296028633	-0.0535369913902	-0.00652685371718	-0.0104221661513	-0.00741521928388	-0.0073680504512	-0.110706511278	-0.0768179853853	-0.154965034623	-0.133905978847	-0.0659923255202	-0.0838637568496	-0.15588561776	-0.098314629388	-0.0766602932997	0.0576134802799	-0.0160998147291	-0.0271649417521	-0.058816247427	-0.0629183791084	-0.113105539849	-0.0926585939182	-0.179323286131	-0.0636270182984	-0.0442564126792	-0.0484574016753	-0.108893554293	0.0751354862106	-0.0458154157336	-0.033216964779	-0.0686777570567	-0.0491439248725	-0.0795584850626	-0.0234828261182
-0.0843720531956	-0.0597535004877	-0.108958016611	-0.0423816011781	-0.109552077378	-0.095514068776	-0.103785484733	0.0209157654289	-0.0297057799025	-0.00175540904061	-0.106140262985	0.0140829704208	-0.0916720043753	-0.0854833564716	-0.0840590006043	-0.0679730362289	-0.0143740752631	-0.00488485480869	-0.0529639044695	-0.0365011601306	-0.00706138905194	-0.0104765419142	-0.00513758132905	-0.00685913106674	-0.111532887189	-0.0708809441547	-0.188658590324	-0.10172085332	-0.0067854735007	-0.0538228078756	-0.0763756993442	-0.0686158709604	-0.111790388836	0.016247393111	-0.0388240473843	-0.0322618312909	-0.0480405223067	-0.064744524892	-0.0866315209784	-0.0611362993347	-0.124474299269	-0.0646184109829	-0.0547711429366	-0.0298953206542	0.0477456405001	-0.0554515447955	-0.0527004408505	-0.0291772789883	-0.0803781206684	-0.0366762530051	-0.0470427549615	-0.0609993382965
-0.0536775946589	-0.07489445201	-0.158073488581	0.149952649399	-0.116514927709	-0.0792698602404	0.126308193386	-0.493538208921	-0.0227528802532	-0.0212779305961	-0.0814579842242	-0.0433373378317	-0.0895895252732	-0.0740781827685	-0.110392742576	-0.0881368931833	-0.0102182570753	-0.00363981557774	-0.0433401267763	-0.0504186329444	-0.00740027393536	-0.0123748127595	-0.00448752367784	-0.00743925711445	-0.122626265776	-0.0691652645926	-0.130911029495	-0.0896061734671	-0.0390114593976	-0.161699923411	-0.111181219779	-0.0620752247925	-0.0854072475909	-0.0445444349007	-0.0344936881747	-0.0261240753083	-0.0691506960127	-0.0830982144145	-0.093659391906	-0.0550108092939	0.0027721471591	-0.0604406772406	-0.0540868537997	-0.0485527514568	0.139893337615	-0.137834429352	-0.0418435292772	-0.0285516564298	-0.0544551860613	-0.0391324293874	-0.0881423488682	-0.0538498798702
