FACTOR	SPEARMAN	PVALUE
ARID3A	0.693456390965791	1.28137807996359e-15
ATF1	0.748922892289229	0
ATF3	0.673329352926382	1.65495770435342e-14
BACH1	0.555187518751875	3.30318551752954e-09
BHLHE40	0.518499849984999	5.30169597850759e-08
CCNT2	0.581734173417342	0
CEBPB	0.723014470493715	1.99869384684012e-17
CTCF	0.34949894989499	0.000395382072999196
CTCFL	0.269198919891989	0.00691424533908857
E2F4	0.487116711671167	3.9791011053779e-07
E2F6	0.634819290856259	1.31599620937029e-12
EFOS	0.542229476334253	5.65201572707714e-09
EGATA	0.658963873281914	9.12215254351444e-14
EGR1	0.503462346234623	1.42989463436973e-07
EJUNB	0.619237923792379	0
EJUND	0.571713171317132	5.35534448362618e-10
ELF1	0.33196019190126	0.000740630402840306
ELK1	0.695721572157216	0
ETS1	0.17538606476546	0.0809211797544919
FOS	0.567668766876688	9.23232558682261e-10
FOSL1	0.578013801380138	1.4441220526365e-10
GABP	0.468682868286829	1.18932332394753e-06
GATA1	0.741998199819982	0
GATA2	0.637273551007879	1.01409318781695e-12
IRF1	0.796798070204817	3.63358559101538e-23
JUN	0.627082589509542	2.94794573152042e-12
JUND	0.603276327632763	0
MAFF	0.529026489730823	1.52882836035779e-08
MAFK	0.5400900090009	1.13322623898791e-08
MAX	0.296462314404278	0.00274457349676785
MEF2A	0.640331954194164	7.3049509601743e-13
MYC	0.213898673263216	0.0326068005964051
NFE2	0.591608710533967	9.08201695748597e-11
NFYA	0.442653593322104	3.99871647554812e-06
NFYB	0.442856285628563	5.00879119812714e-06
NR2F2	0.524808055232051	2.08246312176946e-08
NRF1	0.422466246624662	1.44692887867737e-05
PU1	0.401728172817282	3.9939139458673e-05
RAD21	0.310591059105911	0.00173821524749113
REST	0.623118050524573	4.41843819075909e-12
RFX5	0.563437414701024	1.04161268525416e-09
SIX5	0.644188418841884	0
SMC3	0.292097209720972	0.00329912668779281
SP1	0.258025802580258	0.00971644348650317
SP2	0.485892589258926	4.2872348372825e-07
SRF	0.642316012471376	5.89309645944972e-13
STAT1	0.644242020662818	4.77690183848782e-13
STAT2	0.651668942001651	2.09573567088247e-13
STAT5A	0.537785778577858	1.34839390243423e-08
TAL1	0.607442566587092	2.07237961060026e-11
TBP	0.577873254575388	3.07146147621696e-10
THAP1	0.512329992042019	5.0706961023471e-08
TR4	0.665068482950368	4.46739218636014e-14
USF1	0.628432728573871	2.5650479687272e-12
USF2	0.539785597919015	6.8171494219055e-09
YY1	0.536321632163216	1.50377127109012e-08
ZBTB33	0.445769251548689	3.35543919812196e-06
ZBTB7A	0.685048891066891	3.82509194070252e-15
ZNF143	0.670937119346729	2.21357108319574e-14
ZNF263	0.797134104816384	3.38000092599468e-23
