JUN_TP	JUN_FP	JUN_TN	JUN_FN
7.22684558655	1.183	0.418	1.918
7.028	1.234	0.357681783387	1.812
7.14274907527	1.077	0.252075018338	1.888
7.339	1.169	0.249	1.824
7.828	1.197	0.277700550289	1.945
8.37493605608	1.143	0.382	2.119
8.05	1.216	0.423	2.027
7.782	1.34561164327	0.29973613814	1.815
8.61840899025	1.341	0.357	2.183
8.478	1.276	0.377708563961	2.30422600339
7.839	1.329	0.26	2.030948091
7.875	1.82057586603	0.242	1.991
7.32	1.79573353499	0.249	2.115
7.55929918746	1.342	0.23773613814	1.963
7.516	1.6204077563	0.247	1.85
7.515	1.469	0.185	1.786
6.437	1.029	0.273739622401	1.80921471334
6.835	1.168	0.205	1.916
6.081	1.315	0.21	1.77
7.386	1.545	0.280585048143	2.09121559247
8.165	1.276	0.328874391074	2.30241081397
5.842	1.09	0.271	1.578
8.643	1.393	0.331585048143	2.06
9.33375705373	1.402	0.264417127923	2.35548811337
9.076	1.419	0.282	1.985
9.245	1.51612569188	0.271	2.055
9.916	1.251	0.263585048143	2.007
11.4478281612	1.232	0.323	2.002
11.942	1.3914940747	0.317	1.945
14.479968896	1.47166007697	0.27	2.16430780239
11.9274407615	1.89639484565	0.29	2.211
9.317	1.3504940747	0.194	2.021
10.9626132967	1.18466007697	0.296708563961	2.194
8.86	1.236	0.23	1.931
5.808	1.066	0.258	2.12
3.065	0.849	0.221	1.515
2.907	0.793	0.219	1.58516574872
3.75	1.207	0.287	2.301
2.332	0.873	0.249	1.567
2.103	0.708	0.222	1.304
3.76743307412	1.042	0.363	2.217
2.426	0.86	0.234	1.421
3.291	1.118	0.298	1.988
2.042	0.715	0.2	1.253
2.389	0.791	0.225336748289	1.359
3.794	1.009	0.271	2.113
2.686	0.789	0.217	1.47
3.034	0.825417127923	0.187	1.482
5.21821099981	1.15791962037	0.272	1.988
7.692	1.279	0.243	1.934
9.52647517707	1.342	0.243	2.007
9.57261103501	1.407	0.238	2.162
11.0203916507	1.551	0.255	2.309
12.9246485136	1.461	0.278876630404	2.246
12.33	1.455	0.305	2.435
10.397	1.318	0.244	2.403
9.47350854727	1.3408066358	0.285	2.258
9.413	1.36240325752	0.259	2.448
8.88634321853	1.155	0.259	2.382
10.09	1.61599311898	0.271919620366	2.371
8.426	1.40093712829	0.297	2.166
5.853	1.184	0.208	1.773
9.306	1.318	0.253	2.32
8.635	1.28986616462	0.283721351986	2.064
6.54524049328	0.898	0.199	1.688
7.106	1.043	0.257	2.186
7.17505816022	1.19	0.322739622401	1.923
7.71953693639	1.052	0.309	1.831
7.21	1.20204065675	0.262874391074	2.24385880922
7.50855180282	1.393	0.226	2.149
7.57863097447	1.10006029851	0.266	2.178
7.96443931312	1.128	0.245	2.37587938612
8.226	1.178	0.356788490651	2.471
7.843	1.17	0.259	2.20846671966
