EGATA_TP	EGATA_FP	EGATA_TN	EGATA_FN
3.66542184357	1.09225162167	0.194708563961	1.431
3.613	1.064	0.206	1.317
3.487	0.948	0.199	1.448
3.48	0.936693996491	0.15	1.386
3.573	0.991	0.185585048143	1.21
3.59996552679	0.963	0.180708563961	1.288
3.742	1.024	0.173008650003	1.358
3.838	1.024	0.194	1.528
3.405	1.077	0.183	1.409
3.713	1.054	0.18435097905	1.451
3.793	0.975181776472	0.2	1.47666007697
3.488	0.929	0.174	1.5331344065
3.94146904111	0.941	0.178	1.469
3.514	1.016	0.176	1.439
3.615	0.973	0.197	1.589
3.546	1.042	0.170910985093	1.42311992557
3.591	0.892	0.176	1.37479161078
3.353	0.807	0.169	1.335
3.448	0.846	0.184542964345	1.169
3.25	0.952449780083	0.15	1.198
3.48292012273	0.871	0.185	1.237
3.249	0.864	0.199	1.121
3.179	0.862	0.18	1.232
3.272	0.83	0.155	1.148
3.267	0.814	0.196	1.196
3.256	0.884	0.216	1.145
3.313	0.916	0.184	1.363
3.234	0.955	0.182	1.129
3.13388259289	0.968	0.172	1.124
3.009	0.877	0.208	1.245
3.057	0.812	0.150708563961	1.1
3.221	0.917	0.161554027642	1.103
3.109	0.97	0.158	1.157
2.993	0.873	0.21103790758	0.985
2.902	0.75	0.163	0.954
2.953	0.84	0.146	1.092
3.021	0.806	0.153	0.984
2.983	0.712	0.158708563961	0.969415520922
2.848	0.808	0.156	0.972
2.818	0.728	0.157708563961	1.008
2.628	0.807	0.18373613814	0.943
2.577	0.849	0.197	0.895
2.712	0.882561282655	0.178411123382	0.986
2.717	0.892	0.196357342191	0.973
2.788	0.847	0.186	0.997
2.855	0.81	0.181	1.1258494185
2.7	0.713	0.196	1.01
2.636	0.705	0.181260899774	0.945
2.41	0.64	0.19	0.944
