ZNF143_TP	ZNF143_FP	ZNF143_TN	ZNF143_FN
3.79154755687	1.272	0.307	1.07
3.658	1.26	0.252708563961	1.122
3.877	1.231	0.25242684127	1.038
4.152	1.259	0.262	0.962
3.883	1.4	0.273	1.147
3.648	1.274	0.266	1.155
4.056	1.26	0.231708563961	1.2
3.64008471729	1.473	0.24	1.254
4.281	1.331	0.312708563961	1.073
3.859	1.321	0.295125691884	1.183
4.788	1.19	0.28	1.232
4.27	1.33745196025	0.309	1.328
3.816	1.3	0.283	1.27
3.992	1.315	0.349	1.385
3.838	1.374	0.247	1.409
3.86	1.539	0.262417127923	1.452
4.176	1.446	0.275062753768	1.281
4.263	1.377	0.217708563961	1.352
4.227	1.237	0.222293612104	1.174
4.20648721652	1.257	0.24	1.309
4.11281108992	1.248	0.269	1.378
4.291	1.444	0.246708563961	1.43
4.327	1.138	0.243	1.447
4.52932399073	1.164	0.21	1.414
4.283	1.22	0.221	1.367
4.121	1.104	0.238825868026	1.247
4.125	1.161	0.226832968925	1.308
4.493	1.177	0.287	1.403
5.036	1.119	0.249	1.2
4.657	1.147	0.204874391074	1.143
4.684	1.129	0.242874391074	1.45053936182
4.69	1.102	0.218	1.354
4.412	1.151	0.219	1.338
4.56072386003	1.208	0.227	1.351
4.585	1.3	0.238	1.44947772832
4.72	1.486	0.243685679319	1.324
4.483	1.233	0.255826922535	1.517
4.51	1.09115949411	0.234	1.662
4.336	1.195	0.287	1.364
4.423	1.187	0.238	1.357
4.409	1.33441155692	0.235	1.446
4.349	1.486	0.24	1.428
4.415	1.365	0.302095849087	1.285
5.211	1.369	0.283	1.361
4.836	1.552	0.236	1.39
4.644	1.471	0.304	1.543
4.84951520168	1.288	0.238585048143	1.757
4.954	1.51	0.238	1.483
4.946	1.467	0.235	1.772
4.925	1.405	0.225444702102	1.63940705452
4.714	1.465	0.258	1.56371626458
4.769	1.571	0.26673613814	1.552
5.181	1.439	0.25	1.609
5.021	1.363	0.245950067798	1.783
5.283	1.281	0.26	1.646
5.505	1.487	0.28873613814	1.6
5.514	1.517	0.249	1.536
5.321	1.454	0.292417127923	1.627
5.01634162452	1.347	0.271	1.876
5.004	1.33224591203	0.220992072045	1.837
5.19885937225	1.482	0.251	1.734
5.052	1.605	0.272	1.54097379906
5.192	1.651	0.213	1.483
5.651	1.396	0.292708563961	1.76715688791
5.579	1.488	0.251	1.777
5.174	1.355	0.21639234624	2.02299599181
4.908	1.112	0.205	1.764
5.97868003825	1.291	0.402	1.757
6.31215487499	1.43224150384	0.19973613814	1.848
5.77752941376	1.199	0.241	1.59
6.63052557319	1.353	0.271	1.667
6.199	1.408	0.288	1.739
5.551	1.339	0.253	1.578
4.726	1.203	0.184708563961	1.543
4.992	1.212	0.227247189367	1.611
5.928	1.498	0.215	1.733
7.044	1.51	0.264	2.194
7.801082818	1.465	0.26	2.122
6.99934367518	1.484	0.235	2.109
7.16206206482	1.55560792927	0.269	2.67343070077
7.50147451935	1.59535762966	0.228	2.38668543977
6.05	1.49466937217	0.223	2.004
5.969	1.16198022687	0.242	1.86249446646
5.978	1.317	0.236	1.876
6.36851127445	1.286	0.266832968925	2.14632737967
7.39989128562	1.474	0.288	1.999
5.469	1.12183750111	0.221	1.713
4.702	1.23192464801	0.209417127923	1.52899207205
6.603	1.475	0.282	1.804
7.152	1.334	0.275	1.859
5.23037586143	1.445	0.278	1.61841766019
5.454	1.294	0.281708563961	1.637
4.99534591961	1.296	0.237	1.73953509299
4.849	1.244	0.238813497864	1.645
5.39	1.189	0.217	1.82
7.689	1.366	0.310874391074	2.482
5.84	1.43076004628	0.371708563961	2.216
8.60050132422	1.7	0.428372656621	2.758
6.22261883993	1.289	0.247	1.97
6.41309865963	1.573	0.269	1.927
6.435	1.71	0.189	1.97576594154
6.405	1.434	0.212542819807	2.126
8.697	1.866	0.270017391115	2.8565756336
7.109	1.81070371349	0.255	2.084
8.38498107982	1.996	0.272	2.731
6.06574884584	1.534	0.271475938274	1.847
6.5967856485	1.38	0.229	1.63
6.026	1.2723282082	0.22	1.586
5.709	1.366	0.266	1.767
5.79681266724	1.357	0.256708563961	1.698
7.44	1.451	0.208397729442	1.89584392752
6.608	1.54	0.271	1.913
5.336	1.257	0.277089568444	1.461
6.41436732829	1.302	0.242728210186	1.626
8.04210844809	1.232	0.310972728462	1.91276775375
6.78216108571	1.455	0.324	2.05131733848
6.53721558057	1.36518202679	0.268	1.684
6.5980281344	1.21998830681	0.271	1.803
6.16942137384	1.18388018121	0.28747311599	1.79216323551
7.352	1.399	0.241	2.032
7.51174366696	1.075	0.303	2.36609675159
6.715	1.215	0.266	1.825
7.468	1.244	0.279	1.955
7.027	1.211	0.255708563961	2.135
6.325	1.209	0.275	1.694
5.381	1.23265226828	0.190708563961	1.476
5.696	1.226	0.216	1.629
5.761	1.157	0.246	1.673
6.613747784	1.172	0.302874391074	1.88
6.31	1.352	0.218708563961	1.691
6.00777092705	1.473	0.205	1.591
6.1256846096	1.305	0.191	1.68403267473
6.112	1.371	0.270521093892	1.513
5.806	1.29	0.285	1.649
5.95404267992	1.398	0.219	1.68218963365
6.103	1.24	0.285	1.802
5.794702022	1.171	0.341	1.84015723148
5.716	1.245	0.331	1.928
5.649	1.155	0.266	2.183
5.976	1.157	0.272	1.973
5.90489549941	1.115	0.223	1.776
5.388	1.2349438185	0.232	1.833
5.369	1.17441099722	0.205	1.687
5.655	1.329	0.17673613814	1.659
5.155	1.288	0.186	1.916
5.3	1.397	0.289	1.76659022981
5.56286775556	1.99490034784	0.245	1.627
5.49345765581	1.52	0.248	1.562
5.269	1.56353818657	0.275444702102	1.55
5.34308501971	1.422	0.207	1.566
5.706	1.379	0.171417127923	1.597
5.292	1.34	0.23414943944	1.383
5.068	1.34688390658	0.194832968925	1.48397344477
5.18664811213	1.303	0.187	1.493
5.253	1.201	0.222	1.479
5.01781773689	1.377	0.208	1.361
5.591	1.222	0.206	1.51747090725
5.573	1.473	0.238	1.474
5.15438661644	1.069	0.224	1.4
5.53910086725	1.248	0.223	1.37763663937
5.46572322826	1.094	0.207710725783	1.244
5.339	1.077	0.189	1.343
5.051	1.12741577083	0.222	1.372
4.919	1.151	0.296	1.273
5.691	1.158	0.268	1.212
5.289	1.398	0.231	1.428
5.27	1.305	0.275	1.487
5.414	1.448	0.249	1.389
5.081	1.25	0.265	1.328
4.77	1.224	0.203	1.62
5.296	1.175	0.222	1.489
5.313	1.046	0.239074325039	1.394
4.941	1.109	0.207708563961	1.366
4.81	1.038	0.198	1.549
4.89148748845	1.175	0.216417127923	1.394
4.47102015539	0.999	0.217008650003	1.478
4.192	1.26	0.243	1.462
4.335	1.35697701236	0.219	1.6133412797
4.232	1.179	0.212	1.388
3.915	1.156	0.233	1.282
4.477	1.138	0.237	1.497
4.311	1.11260609139	0.233419303989	1.451
4.051	1.051	0.205	1.181
4.309	0.892	0.275	1.26300023663
4.04122350867	1.032	0.222417127923	1.231
3.936	1.107	0.207708563961	1.253
3.549	0.973	0.244585048143	1.2372496113
4.032	1.188	0.220241503837	1.089
4.017	1.054	0.202826922535	1.075
3.755	1.08	0.214	1.276
4.06083817757	1.224	0.188874391074	1.37980127313
4.2	1.149	0.235874391074	1.136
3.933	1.143	0.217	1.245
3.51	1.334	0.213708563961	1.189
4.122	1.125	0.212874391074	1.25598909133
4.04	1.113	0.194	1.226
3.703	1.223	0.262	1.199
3.778	1.194	0.222708563961	1.235
3.767	1.118	0.199	1.005
3.681	1.21568576939	0.209	1.299
