STAT5A_TP	STAT5A_FP	STAT5A_TN	STAT5A_FN
2.886	1.196	0.247	1.404
3.308	1.127	0.253	1.438
3.055	1.252	0.267	1.546
2.959	1.273625548	0.293708563961	1.469
3.108	1.172	0.29	1.509
3.018	1.068	0.28373613814	1.614
3.267	1.24843919627	0.277652076409	1.438
3.06	1.062	0.292621849922	1.475
2.922	1.115	0.260652076409	1.332
2.811	1.424	0.307605062243	1.255
2.981	1.201	0.322414859305	1.273
3.083	1.226	0.277	1.232
3.0	1.3138862527	0.27973613814	1.306
3.16303999751	1.126	0.323467153125	1.301
3.01	1.065	0.284	1.359
2.8811137377	1.176	0.246708563961	1.25
3.023	1.179	0.275	1.245
2.9367567699	1.28813910888	0.265	1.279
2.611	1.109	0.276	1.268
2.8247646613	1.08	0.274	1.175
2.82	1.17	0.257	1.251
2.641	1.201	0.274	1.191
2.57831736971	1.141	0.293407499303	1.194
2.842	1.114	0.284168992078	1.109
2.67095912851	1.08	0.259	1.125
2.639	1.036	0.25303114059	1.2168947377
