BACH1_TP	BACH1_FP	BACH1_TN	BACH1_FN
2.438	1.289	0.188	0.867
2.391	1.43	0.23	0.854
2.405	1.618	0.209	0.801
2.391	1.26	0.235	0.924
2.448	1.412	0.252689329774	0.822
2.459	1.476	0.249	0.884
2.323	1.342	0.177708563961	0.842
2.219	1.331	0.23	0.838
2.216	1.401	0.202	0.755
2.345	1.34877651595	0.248	0.699
2.331	1.64824415774	0.261	0.911
1.917	1.319	0.264	0.741
2.157	1.41547516934	0.204910985093	0.74
2.155	1.397	0.246585048143	0.835
1.973	1.215	0.227	0.766
1.909	1.347	0.232585048143	0.719
2.045	1.258	0.198	0.666
2.267	1.158	0.219708563961	0.695
2.173	1.25	0.221291518997	0.719
2.021	1.396	0.214	0.64
1.793	1.123	0.216880920061	0.65
1.865	1.216	0.254	0.642
1.988	1.2	0.206	0.711
1.81	1.45449820029	0.211	0.624
