MYC_TP	MYC_FP	MYC_TN	MYC_FN
4.261	0.945	0.243585048143	3.52649006623
4.34113281686	0.882	0.231096416169	2.94867549669
5.033	1.028	0.204	3.4238410596
5.17078336757	1.033	0.237918314244	3.0298013245
4.767	0.987	0.252	3.29966887417
4.959	0.901	0.245	3.2582781457
4.399	0.981	0.229	3.4917218543
4.28	0.895	0.246	3.67218543046
4.069	1.041	0.241	3.34437086093
4.16	1.00169262745	0.218	3.49668874172
4.247	1.01742181772	0.250708563961	3.51158940397
4.13	1.069	0.233	3.26158940397
4.18155946272	1.07	0.249708563961	3.60761589404
4.624	1.029	0.237	3.38079470199
5.23345133771	1.022	0.226	3.23178807947
4.48	0.971	0.196	3.60264900662
5.241	1.022	0.24	3.40728476821
4.662	1.031	0.258	3.67218543046
5.166	0.911	0.258	3.76986754967
4.982	0.991	0.245417127923	4.15066225166
4.293	1.0	0.286	3.78311258278
5.08861473425	0.927	0.276680831288	3.94867549669
4.407	0.941	0.265	3.55298013245
4.534	0.989	0.235	3.47350993377
5.054	1.016	0.254	4.02317880795
4.611	0.985	0.295	3.7417218543
4.916	1.046	0.244955322774	4.21026490066
4.534	0.97	0.231	4.3559602649
4.78584762506	0.987	0.27	3.8261589404
4.84	0.958	0.242	4.11092715232
4.512	0.924	0.3	4.1059602649
4.839	1.024	0.271	3.90728476821
4.75	1.15	0.296241503837	3.81953642384
4.92964832531	1.006	0.28423613902	3.84768211921
4.49	1.147	0.237	4.00165562914
4.67060194487	0.955	0.235	3.5380794702
4.65	0.972	0.274	3.55960264901
4.99804993395	0.97	0.267	3.68874172185
4.702	1.058	0.246	4.09437086093
4.522	1.025	0.245	3.93708609272
4.73	1.045	0.259708563961	3.7880794702
4.508	0.924	0.291	4.01158940397
5.203	0.963	0.263	4.01158940397
5.081	0.975	0.27	4.04801324503
4.939	0.988	0.275	4.07419454245
5.312	1.096	0.256	4.17218543046
4.855	1.041	0.311019296073	4.30243558513
5.147	0.985	0.242	3.95695364238
5.22653086658	1.006	0.301689400265	3.46026490066
5.581	0.981	0.260826922535	3.52649006623
5.24452239858	1.07880832058	0.249	4.09768211921
5.087	1.001	0.271	4.66225165563
4.975	1.206	0.291777998327	4.25415243385
5.089	1.115	0.271	4.18708609272
5.169	1.164	0.278	4.74915211932
4.838	1.2109593409	0.255	4.15728476821
5.274	1.135	0.257708563961	4.65066225166
5.385	1.084	0.246708563961	4.21688741722
5.083	1.085	0.253	4.01324503311
5.477	1.015	0.268848052746	4.65728476821
5.494	1.064	0.249	4.30298013245
5.3	1.092	0.266	4.33940397351
5.457	1.13855910083	0.26872606611	4.41225165563
5.563	1.017	0.236	3.92880794702
5.375	1.15	0.272	4.13245033113
5.57	1.14	0.26	4.27152317881
5.32981204154	1.011	0.268	4.06125827815
5.264	1.125	0.258	4.23841059603
5.52881010318	1.148	0.26	4.40584721868
5.418	1.04	0.319538734607	4.70695364238
5.826	1.119	0.278	3.87582781457
5.623	1.082	0.341	4.07119205298
5.407	1.143	0.331	4.26655629139
5.73031761001	1.18955011389	0.324	4.29635761589
5.475	1.2	0.273417127923	4.42549668874
6.09518839994	1.24837799664	0.322	4.44536423841
6.1116264317	1.223	0.289283190558	4.58112582781
5.799	1.221	0.288	4.64238410596
6.548	1.447	0.299	4.87086092715
6.32927137409	1.142	0.266	4.52152317881
5.644	1.279	0.242	3.67052980132
5.45042223542	1.19370856396	0.287554027642	3.95364238411
4.583	1.066	0.272	3.79470198675
5.0	1.167	0.256	3.55132450331
5.323	1.012	0.289	4.67218543046
5.55	1.181	0.299	4.25
6.468	1.122	0.372	4.7582781457
6.91	1.085	0.293	4.25993377483
6.73704952989	1.044	0.363	4.6821192053
6.537	1.045	0.288	4.49668874172
6.065	1.071	0.288	4.16225165563
5.58	0.968	0.347151011186	3.78466692691
5.128	0.909	0.264	3.35430463576
4.752	1.252	0.339	4.07284768212
4.8397980072	1.215	0.312	3.63907284768
4.911	1.261	0.317	4.43874172185
4.47081406218	1.38733377887	0.283	4.55327022478
3.956	0.895	0.266	3.98509933775
3.618	0.883	0.254	3.94414179899
4.047	0.84073613814	0.228	4.36589403974
3.861	0.901	0.227	4.29835490886
3.945	0.927	0.223	4.02483443709
3.894	0.943	0.232	3.67549668874
4.041	0.985	0.27	4.26202743319
4.953	1.073	0.26	4.26490066225
4.394	0.979	0.254	4.05629139073
4.882	1.056	0.236	4.52152317881
