E2F4_TP	E2F4_FP	E2F4_TN	E2F4_FN
6.81890253636	3.147	0.394	4.89900990099
6.574	2.927	0.433	5.5801980198
7.44556689982	3.371	0.56	6.58217821782
7.077	3.50866825106	0.574	5.90297029703
6.745	3.013	0.523	6.29504950495
7.03893537165	3.087	0.481	6.34851485149
6.74361037993	3.265	0.387	7.16435643564
6.186	3.17	0.422	6.46534653465
6.966	2.818	0.395	5.43366336634
7.693	3.141	0.477690122523	5.65940594059
7.242	2.902	0.572	6.29900990099
7.385	2.896	0.506591709388	5.88712871287
6.604	2.975	0.485	6.08118811881
6.85123368661	3.204	0.536	7.3504950495
7.214	3.49128778313	0.479	6.85148514851
7.391	3.30938246441	0.43135097905	6.15247524752
7.029	3.33	0.417	6.53267326733
6.905	3.064	0.389	6.67920792079
7.43375177409	3.29	0.427	6.74851485149
7.18066581433	3.528	0.548	6.33069306931
7.213	3.532	0.498	6.55917713683
7.81796162308	3.212	0.525	6.57821782178
7.988	3.672	0.465860331804	6.30099009901
8.211	3.39968629697	0.582	7.04356435644
8.045	3.651	0.557	7.59603960396
7.96424789318	3.662	0.411	7.74851485149
8.161	3.397	0.439708563961	7.28910891089
8.08559791908	3.05	0.457	7.0198019802
7.691	2.964	0.451	6.68118811881
7.70833021685	3.124	0.456	6.07128712871
8.171	2.776	0.446708563961	6.78384044473
7.949	3.159	0.503	6.44356435644
7.989	3.233	0.518042212892	7.02178217822
8.52610276659	3.627	0.602	7.41188118812
7.444	3.365	0.562	6.94653465347
7.706	3.196	0.534	7.48712871287
7.6	3.352	0.519	7.35841584158
7.92129597268	3.678	0.53	8.13465346535
8.097	3.13	0.555	8.20594059406
8.535	2.99	0.469812694674	8.15214192467
8.385	3.32945099873	0.524	7.66336633663
7.657	3.231	0.718531476571	8.49504950495
8.15484593557	3.273	0.667	8.39603960396
8.64227090713	3.137	0.655	8.04968857024
7.686	3.356	0.715	8.31287128713
8.527	3.24	0.561	8.46138613861
8.231	3.202	0.534	7.67326732673
8.495	3.188	0.593	8.81345555015
8.88902148451	3.05702783224	0.49198586232	9.17408941853
8.374	3.084	0.478	8.6396039604
8.178	3.45750305199	0.539992072045	8.73477054005
8.389	3.47429019091	0.453	7.34257425743
8.868	3.21157890108	0.412708563961	6.93069306931
8.30290134598	3.25136059	0.462	8.23366336634
8.284	3.444	0.353	8.10495049505
7.951	3.591	0.433	7.70495049505
8.225	3.47	0.409	7.93465346535
8.812	3.491	0.476	8.20198019802
9.4250300382	3.616	0.420032457143	8.55445544554
9.806	3.76808643638	0.379	8.57406128025
9.734	3.221	0.403	7.74653465347
9.529	3.542	0.436519763386	7.53580739972
9.99491154193	3.553	0.408980603858	8.0297029703
8.743	3.43	0.487660076966	7.38415841584
8.654	3.516	0.51	7.88712871287
8.57946437754	3.95131001444	0.605	7.69306930693
8.362	3.641	0.49	8.85544554455
8.513	3.489	0.628	9.10495049505
8.035	3.37	0.714	7.92871287129
8.611	3.107	0.648	7.93750662743
8.398	2.934	0.526	8.02772277228
8.18041191107	3.345	0.744	7.58811881188
8.987	3.187	0.525	8.57227722772
8.416	3.058	0.483708563961	7.58613861386
9.42603271233	3.14	0.401	7.51881188119
8.509	3.347	0.4	7.79801980198
8.755	3.724	0.465	7.81386138614
9.15712909492	3.699	0.437	6.72673267327
9.036	3.149	0.494	7.05940594059
10.172	3.329	0.467874391074	7.58217821782
9.881	3.154	0.356	7.05544554455
9.70071834096	3.261	0.406	7.34851485149
9.077	3.18925819344	0.391	7.05544554455
9.71038840198	3.083	0.409	6.59405940594
8.938	3.541	0.398417127923	7.4198019802
8.622	3.469	0.483	7.3900990099
8.731	3.766	0.418	6.81188118812
7.894	3.743	0.46	7.35643564356
8.806	3.544	0.586	7.27524752475
9.421	3.52	0.419	6.72871287129
9.78337712452	4.04147021472	0.412	6.59801980198
9.071	3.339	0.373	6.29306930693
9.156	3.31893601715	0.41	6.83366336634
9.18	3.753	0.493	7.76633663366
8.291	3.54	0.506	7.70495049505
8.975	3.806	0.786708563961	9.9603960396
7.114	3.177	0.449	8.25148514851
7.2	3.23	0.566	10.403960396
8.657	3.493	0.597	14.003960396
10.1	3.744	0.883	15.8693069307
6.686	2.917	0.519	10.0811881188
10.7337714545	3.746	0.66473613814	14.6415841584
8.497	3.184	0.647	12.2239700826
7.674	3.006	0.470699326392	9.50891089109
7.266	2.965	0.419	8.77227722772
9.649	4.15699066988	0.476	9.90891089109
8.698	3.712	0.426	9.2495049505
9.603	3.629	0.485	8.58004130811
8.337	3.492	0.536	7.47722772277
8.92871846039	3.428	0.595	7.17227722772
9.395	4.025	0.471	7.97623762376
9.656	3.727	0.46	7.8
9.371	3.701602055	0.446	7.32871287129
9.81061308479	3.952	0.462	7.53663366337
9.237	3.284	0.547708563961	6.65148514851
8.591	3.299	0.571	6.90693069307
9.547	3.287	0.485	8.13069306931
8.34	3.205	0.574	7.26138613861
9.70786637347	3.307	0.564	7.7900990099
8.85025741941	3.082	0.604	7.30693069307
8.857	3.755	0.889420133145	7.51089108911
10.2015393482	3.665	0.683	8.40594059406
8.818	3.286	0.489	7.5900990099
8.646	3.146	0.479	7.08316831683
8.596	3.345	0.575	7.93267326733
8.521	3.64	0.479730745376	8.6495049505
8.338	3.443	0.353	8.26138613861
8.188	3.51516595043	0.4	8.04412907481
7.666	3.318	0.516	7.73663366337
7.972	3.31775698304	0.351024835166	8.4297029703
8.081	3.522	0.42	8.05544554455
8.94653030503	3.51029096142	0.456	8.41386138614
8.177	3.134	0.456	8.06930693069
7.78	3.417	0.397	8.83366336634
8.308	3.179	0.358	9.46336633663
9.167	3.127	0.389	9.14455445545
9.002	3.155	0.384	8.12962722923
9.74774887846	3.121	0.438	8.0198019802
9.07901501874	2.799	0.362	8.55445544554
8.976	3.09763854067	0.363	8.13465346535
9.43158001031	3.02	0.357	8.16633663366
8.98	3.039	0.372708563961	7.76435643564
8.39	2.861	0.417	7.92277227723
8.732	3.053	0.367	7.66534653465
7.81289022568	3.47662250019	0.407708563961	8.26614019456
8.836	3.506	0.40273613814	8.30693069307
8.48281154824	3.298	0.393	8.7603960396
8.481	3.15464574025	0.465	7.69702970297
8.42	3.706	0.59	7.69702970297
7.948	3.177	0.443	7.70891089109
8.73168228574	3.115	0.455708563961	7.87128712871
8.31322560471	3.543	0.47	7.97623762376
7.67	3.348	0.490392882825	7.00396039604
8.685	3.605	0.504	6.86336633663
7.549	3.261	0.469652588275	6.40792079208
8.102	3.12	0.381	6.92277227723
8.186	2.887	0.428	6.92079207921
7.97634217648	2.851	0.377	7.85742574257
8.39657529765	2.89	0.431037929444	7.9603960396
8.511	3.003	0.45	6.85148514851
7.67292425201	3.007	0.545554027642	7.56831683168
7.935	3.16	0.35	7.86930693069
8.541	3.24166135539	0.367	6.94575373817
8.408	2.975	0.499	7.42178217822
8.452	2.837	0.526	7.36831683168
8.685	2.971	0.492	7.71485148515
8.566	2.923	0.375	6.20792079208
8.35	2.65	0.412	7.20594059406
8.44592813381	2.8027360859	0.453	7.45742574257
9.4035129433	3.159	0.547	7.02772277228
8.055	3.133	0.724	6.47326732673
8.55672653886	2.894	0.466	7.11287128713
7.91654384183	2.946	0.591252628031	6.16831683168
7.24	2.71804770407	0.424	6.70495049505
7.349	2.779	0.495569906038	6.71287128713
7.45593599994	3.077	0.416	5.91683168317
7.616	3.098	0.513	6.90297029703
7.421	2.93648145451	0.488	6.17623762376
7.51127645436	2.768	0.46	6.83366336634
7.2	3.46242239632	0.508	7.64698084263
7.113	3.197	0.541	6.41584158416
6.793	3.08	0.514	6.73663366337
7.443	2.73	0.583344290918	6.28712871287
6.97445545566	2.763	0.435417127923	7.13861386139
