NFYA_TP	NFYA_FP	NFYA_TN	NFYA_FN
6.85359021905	1.761	0.317	0.940748782148
7.096	1.59	0.238708563961	0.941859186251
7.626	1.506	0.259961450709	0.939159172808
7.498	1.564	0.253	1.07427836403
7.628	1.958	0.231	1.12035921013
8.502	1.936	0.24	1.123
6.987	2.04711922079	0.28	1.173
7.567	2.174	0.286	1.391
7.756	2.285	0.261554027642	1.03
8.26954777961	1.924	0.256	1.15697861251
8.367	1.665	0.207	1.153
7.494	1.772	0.248708563961	1.22900126672
8.351	1.871	0.28	1.113
8.96	1.541	0.229	1.19940869779
8.92371578674	1.77	0.254	1.263
8.82392897494	1.864	0.228	1.29606521264
7.506	2.066	0.228	1.158
8.361	1.968	0.269	1.32917141867
8.09	1.717	0.263	1.12559515007
7.806	1.93	0.307	1.391
7.47024512536	2.307	0.287	1.19
7.6969325715	2.324	0.308	1.08406892543
8.28733752315	1.82	0.27773613814	1.276
8.947	1.999	0.294	1.141
10.021	2.147	0.22	1.229
9.21	2.45	0.272	1.398
9.023	2.459	0.302	1.34220541726
9.321	2.743	0.271	2.1138397933
8.568	2.505	0.258678238531	2.10998682205
8.697	2.232	0.242	1.496
9.3975035287	2.232	0.271466025229	1.297
10.747	1.891	0.256	1.399
11.3962026801	2.309	0.229	1.73816485361
10.896	2.712	0.313	1.847
11.334	2.48104046083	0.243	1.7671604036
11.577	2.323	0.225	1.83578278003
10.6408836283	2.551	0.245	1.89261700312
9.587	2.698	0.277708563961	1.77927117309
10.2558863939	2.507	0.222	1.455
9.469	2.40334212767	0.26474432812	1.515
8.966	2.857	0.278	1.545
11.5492402448	2.757	0.269	1.484
10.632	2.62582623306	0.234	1.92520095286
11.685	2.754	0.258	1.789
12.7973207405	2.717	0.247	1.714
12.9764930774	2.766	0.241	2.238
12.4158561807	2.707	0.213	1.931
11.572	2.88699575026	0.227	1.77331308659
11.402	2.763	0.26846900398	1.71
10.5435624556	2.61	0.266	1.55808375458
9.544	2.496	0.318	1.73543968311
11.016692133	2.724	0.27	1.70927844515
10.397	2.748	0.254974682308	1.88446436473
12.3237209947	2.65857615759	0.253	1.812
13.9383392805	3.21283716404	0.273594776949	2.12091179577
13.39	2.981	0.227	2.89100007483
12.631	2.811	0.241	2.61143549541
12.033	2.8	0.267	2.40111852158
13.5517105952	2.903	0.222	2.07067805963
11.448	2.835	0.245	2.22072604575
11.9469659194	2.746	0.309	2.23433494111
12.5376538689	2.608	0.256	1.622
14.4808755389	2.827	0.269321186283	1.91441712792
15.257	3.006	0.226	2.27
16.5011395053	3.771	0.268885507019	2.72936006184
16.4280706572	3.74624839884	0.295	3.27298541163
17.002797672	3.46886700268	0.301	2.948
16.246	3.74117971116	0.247	3.01897995221
15.6977814292	3.366	0.316	3.17917197622
13.747681665	3.47627500985	0.323	2.73318902928
14.1113930896	2.93614063748	0.305	2.525
14.952	3.169	0.402	2.23456250476
16.206	3.68434075279	0.336	2.36335115913
16.629	3.35714656456	0.251521093892	2.28274998812
17.9736040356	3.72813539543	0.249874391074	2.90214081685
22.0818172999	6.12989093192	0.294	3.68616797271
23.3387023566	6.43858171433	0.294	3.15723903513
20.2806245079	5.049	0.281	3.09023062971
16.9221120045	4.471	0.222794401926	2.19000110436
17.4243213223	4.132	0.231	2.783
19.1036086513	3.754	0.268582955036	2.54116947146
11.26531672	3.293	0.193	1.818
15.931	3.794	0.228	2.3883788598
