NFE2_TP	NFE2_FP	NFE2_TN	NFE2_FN
3.06	1.137	0.263	1.426
2.935	1.03	0.227826922535	1.46
2.819	1.148	0.218	1.35
3.121	1.147	0.268	1.303
2.715	1.009	0.24	1.3
2.785	1.066	0.181	1.21032416585
2.891	1.052	0.286	1.265
2.566	0.892	0.200417127923	1.274
2.501	0.989757044121	0.204	1.255
2.716	0.937	0.226	1.24
2.623	0.948	0.206	1.37
2.572	0.952	0.175	1.394
2.737	0.88	0.18	1.196
2.412	0.83	0.223	1.204
2.589	0.904179212776	0.162	1.266
2.527	0.979	0.17	1.264
2.312	1.038	0.164708563961	1.115
2.169	0.928	0.206	1.112
2.072	0.947	0.22	1.137
2.197	0.883	0.180097373153	1.178
2.122	0.913	0.265826922535	1.209
2.439	0.91	0.255	0.991
2.251	0.865	0.211708563961	1.1722829616
2.244	1.022	0.168	0.994
2.167	0.909	0.200244015316	1.118
