SMC3_TP	SMC3_FP	SMC3_TN	SMC3_FN
2.462	1.627	0.284677645291	1.21
2.369	1.596	0.252	1.289
2.132	1.551	0.259	1.284
2.344	1.353	0.274	1.233
2.135	1.447	0.24	1.213
2.109	1.797	0.287	1.134
2.123	1.551	0.281	1.158
2.351	1.468	0.287	1.187
2.405	1.963	0.272	1.107
2.071	1.715	0.272708563961	1.221
2.085	1.669	0.294708563961	1.104
1.951	1.569	0.253	1.086
2.373	1.758	0.274	0.83
1.866	2.40643365989	0.263708563961	0.81
1.802	1.92	0.283	0.901
1.888	1.599	0.348	0.836
1.74	1.736	0.299032700766	0.851586165176
1.774	1.514	0.301708563961	0.809
1.86	1.451	0.242585048143	0.779
1.706	1.813	0.294665135678	0.803
1.512	1.74778543068	0.246	0.75
1.433	1.564	0.271	0.754
1.64494399207	1.506	0.268614798388	0.708
