EFOS_TP	EFOS_FP	EFOS_TN	EFOS_FN
3.92	0.978	0.238	1.90384977612
3.665	1.033	0.238	1.747
3.706	0.926	0.214	1.948
3.304	0.914	0.279	1.806
3.953	0.909	0.186	1.744
3.624	1.004	0.177	1.842
3.431	0.942	0.205	1.962
3.773	0.942	0.208	2.001
3.33002617488	0.85202168823	0.203	1.964
3.412	0.795064627113	0.186	1.701
3.487	0.913	0.209	1.841
3.703	0.947	0.249	1.882
3.532	1.058	0.238	1.654
3.898	1.157	0.221	2.05
3.796	1.253	0.172	1.92
3.636	1.112	0.204	1.876
4.286	1.072	0.218660378587	2.124
3.59620890584	1.03083425585	0.193	2.411
3.897	1.039	0.256	2.01
3.957	1.14468316456	0.222	1.714
3.749	1.113	0.189	2.10124273511
2.566	0.774	0.199	1.477
3.196	1.09	0.276	1.955
4.06090815236	1.133	0.277585048143	2.101
4.211	1.45726250154	0.221	2.055
3.976	1.236	0.204	2.154
4.253	1.50741008282	0.289640574982	2.791
5.52665872798	1.386	0.311	2.506
4.948	1.291	0.262	2.143
4.167	1.38925362213	0.253	2.207
4.667	1.119	0.227	2.044
4.711	1.095	0.247	2.1
4.319	1.288	0.202	2.142
4.15670797777	1.535	0.285	2.31751219703
4.793	1.195	0.253	2.177
3.803	1.031	0.245	1.796
3.885	1.214	0.227	2.235
3.361	0.967	0.212	2.356
2.281	0.729	0.194	1.561
2.374	0.942	0.198	1.408
4.506	1.574	0.356	2.573
2.316	0.599	0.132	1.522
1.187	0.389	0.148	0.718
2.266	0.773	0.216708563961	1.292
4.563	1.452	0.404	2.65
2.209	0.784	0.212293612104	1.467
2.255	0.713	0.214	1.373
3.415	1.007	0.237	1.967
3.921	1.061	0.353	1.997
3.35087027756	1.042	0.365	1.682
4.775	1.265	0.21	1.957
5.13916962627	1.32	0.334	1.938
5.566	1.12188690983	0.234	2.40970454651
4.59288137837	1.28145370988	0.247	2.06
4.831	1.36790257003	0.229	2.133
4.96060406033	1.207	0.193	1.911
4.73845587358	1.35	0.285319017782	1.963
4.913	1.57	0.521304121984	2.473
5.039	1.577	0.268	2.326
4.411	1.377	0.233	2.087
5.139	1.371	0.291	1.972
4.232	1.189	0.266708563961	1.969
3.472	1.134	0.163	1.784
2.522	0.853	0.135	1.425
4.211	1.09	0.210417127923	1.828
3.758	1.277	0.277251383768	1.595
3.834	1.207	0.324	1.987
3.884	1.235	0.321	1.947
4.32654182914	1.122	0.405	1.907
4.143	1.455	1.60350453861	2.067
3.995	1.235	0.491	1.831
3.921	1.124	0.333417127923	1.798
4.24	0.935	0.487836628489	1.806
3.848	0.966	0.316	1.85
3.888	0.950946239778	0.25	1.894
4.005	1.331	0.248	1.734
3.786	1.103	0.181	1.738
3.519	1.288	0.311	1.813
3.741	1.243	0.262	1.596
3.673	1.202	0.225	1.601
3.301	1.122	0.252	1.482
3.31	1.174	0.267	1.561
3.115	1.07	0.216403894297	1.748
3.016	0.966	0.192	1.53
3.351	1.09	0.213	1.605
3.023	1.268	0.24	1.728
3.08	1.181	0.24	1.616
3.285	0.979	0.279554027642	1.925
3.31854791274	0.98	0.296	1.657
3.128	0.963	0.343	1.751
3.511	1.141	0.327	1.952
3.156	1.008	0.351	1.872
3.198	0.951706073059	0.280585048143	1.866
3.174	0.891	0.296	1.823
3.29	0.919	0.264	1.82
3.087	0.923	0.226	1.98303426384
3.059	0.885	0.225	1.715
2.869	0.967532660693	0.222	1.833
2.997	0.821	0.301708563961	1.716
3.093	0.958	0.264883906579	1.372
2.765	0.962	0.289	1.381
3.059	0.794	0.213	1.407
3.06	0.988	0.248	1.482
3.014	0.832	0.24773613814	1.371
2.885	1.14774495578	0.192	1.549
2.825	1.031	0.211	1.259
2.816	1.018	0.21	1.25
2.695	1.001	0.269	1.356
2.682	0.953	0.286	1.406
2.926	1.041	0.237	1.599
2.593	1.032	0.235	1.489
2.618	0.925	0.19	1.547
2.432	0.897	0.190708563961	1.552
2.428	0.9	0.225	1.318
2.505	0.783	0.270141447643	1.214
2.684	0.839	0.278	1.354
2.671	0.849	0.24	1.304
2.598	0.723	0.283	1.218
2.461	0.818	0.231	1.586
2.41	0.894	0.282	1.319
2.41	0.826	0.23	1.261
2.045	0.829	0.312	1.217
2.281	0.762	0.246708563961	1.148
2.304	0.816	0.307	1.199
2.088	0.831	0.248708563961	1.244
2.165	0.747	0.237	1.033
2.229	0.706	0.359	0.997
2.245	0.818	0.218	1.088
2.425	0.854	0.225	0.983
