SP2_TP	SP2_FP	SP2_TN	SP2_FN
10.4193980312	4.17	0.334241503837	9.9689119171
8.87	4.149	0.313417127923	5.86528497409
9.156	4.714	0.297708563961	5.50777202073
8.996	4.046	0.356	5.88601036269
9.259	3.886	0.342685597943	6.91191709845
9.735	3.9779520266	0.319708563961	9.02590673575
9.391	3.558	0.395417127923	7.52849740933
10.019	3.744	0.328	7.68393782383
10.4079103578	3.759	0.401708563961	8.51295336788
11.548	3.73259461576	0.40873613814	8.22279792746
11.1412726646	3.725	0.325	8.74093264249
11.305	3.747	0.35347256118	9.21243523316
10.755	3.676	0.405	6.83937823834
11.8385035504	3.58526613597	0.413528160216	6.16062176166
11.013	3.744	0.41173613814	10.0155440415
11.415	3.953	0.359	9.89119170984
11.057	4.079	0.399708563961	7.57512953368
11.638	3.63	0.388	11.3575129534
12.4257893129	3.763	0.38387681203	12.6690200481
12.3211901836	3.823	0.337	9.24870466321
11.4746613528	3.891	0.309	9.31088082902
11.809	4.738	0.303	8.9067357513
12.074	4.313	0.305	8.40932642487
10.879	4.02	0.389	9.40932642487
11.314	3.882	0.378	12.2590673575
12.5011421946	3.725	0.494	12.5077720207
10.978	4.449	0.39072081194	11.2849740933
10.665	4.249	0.356	9.86528497409
10.974	5.14	0.309	9.46632124352
10.826	4.352	0.295	10.5958549223
11.701	4.01	0.328	9.23834196891
11.388	4.68	0.298187130843	10.481865285
11.117	5.4527623516	0.312	11.5388601036
11.409	4.729	0.323	9.29015544041
11.639	3.735	0.319	7.55440414508
12.9104202391	3.974	0.371	9.17616580311
13.042	4.144	0.415	9.04663212435
14.3025360583	4.26	0.413	7.78756476684
14.4951939741	4.40828846065	0.360708563961	8.28497409326
13.203	3.91983240119	0.409708563961	9.62176165803
12.821	4.445	0.456	10.8341968912
13.974	4.02	0.47271387112	11.3212435233
14.8352845246	4.371	0.408	9.77202072539
12.302	4.298	0.448	10.2227979275
15.3300937455	4.51250703447	0.49167585703	14.9378238342
14.038	4.195	0.51923218104	13.1398963731
13.356	4.128	0.29673613814	12.378238342
14.0135948966	3.918	0.344726433794	15.0207253886
14.196	4.338	0.347	11.7202072539
14.699	4.77981700791	0.326	13.207253886
14.673	4.449	0.344434997755	13.4559585492
15.1977429008	4.62	0.409	11.170984456
13.397	4.384	0.332	13.3056994819
