IRF1_TP	IRF1_FP	IRF1_TN	IRF1_FN
2.399	0.832154614905	0.169	0.433926960334
2.5535713437	0.807	0.11042684127	0.46
2.27071348512	0.751	0.136934031034	0.467
2.16258913496	0.966	0.136711699961	0.417
2.11968126217	0.92	0.175	0.467
2.335	0.832	0.141708563961	0.489
2.0707687698	0.78	0.3	0.405
2.173	0.662	0.161	0.472
2.371	0.704	0.116	0.473
2.23	0.67865835998	0.11	0.455
2.41179974815	0.668	0.134	0.446
2.14578338605	0.831	0.108	0.454
2.176	0.737	0.140800122129	0.38
2.392	0.86	0.12	0.405
2.99454240463	0.713626451065	0.114	0.418
2.223	0.792	0.145	0.402
2.129	0.949	0.116	0.382
2.191	0.907	0.228598133975	0.374
2.081	0.928	0.136	0.379
2.265	0.913	0.096	0.412
2.231	0.965	0.114	0.374
1.917	1.047	0.112	0.45
1.867	0.98	0.109	0.381
2.086	1.115	0.108	0.371402006164
2.49404344341	1.064	0.098	0.417
2.39375842844	0.79	0.153	0.441
2.094	0.834	0.119	0.41
2.054	0.759411996185	0.126	0.463
1.948	0.79	0.107	0.429957937361
2.11006850778	0.987	0.104	0.413
1.796	0.916198231138	0.107	0.4
1.926	0.99016930357	0.106	0.385
1.929	0.978	0.115268899983	0.518660873547
1.81252469647	1.10650720944	0.122	0.440683180217
1.678	1.114	0.127	0.409
1.813	0.881	0.094	0.389
1.93	1.025	0.169	0.369585048143
1.821	0.942	0.128241503837	0.398
1.842	0.922	0.128108056052	0.510906710935
1.952	1.054	0.112	0.432
1.805	1.115	0.0867085639614	0.391454936837
2.038	1.09016413365	0.109	0.375
1.89	0.984	0.117	0.405377896552
1.82810240662	1.24968814044	0.121860041839	0.348717145858
2.0	1.007	0.117125691884	0.480025267681
1.853	0.868	0.123	0.44
