IRF1_TP	IRF1_FP	IRF1_TN	IRF1_FN
1.705	0.708743129794	0.099	0.54
1.76	0.744	0.182231833863	0.59
1.715	0.774	0.109708563961	0.53
1.654	0.874	0.10687656714	0.475
1.79	0.832240953682	0.154	0.469977795758
1.786	0.881960054517	0.110534959957	0.43
1.942	1.005	0.111849879555	0.459
2.104	0.79	0.109585048143	0.48
2.15597969493	0.909	0.0945850481431	0.481872078784
1.97	0.843	0.110585048143	0.494
1.87	0.748	0.100708563961	0.545396591577
2.15	0.752	0.123	0.440992072045
2.17	0.737	0.109	0.44
2.033	0.834	0.117708563961	0.477
1.846	0.89	0.111585048143	0.466872078784
1.851	0.815	0.215	0.462
2.28813347448	0.828	0.119	0.481847665168
2.181	0.977	0.114	0.474992072045
1.995	0.775	0.079	0.484
2.27323256721	0.828	0.0829360271934	0.500923284343
2.137	0.842	0.0848134978642	0.445
2.249	0.798	0.088	0.46
1.88	0.88	0.085	0.414
2.042	0.814	0.130874391074	0.413992072045
2.089	0.74	0.073	0.453
2.091	0.69	0.081	0.42
2.21985023162	0.778	0.083	0.464
2.53576771784	0.748	0.096	0.413
2.002	0.722	0.0829500677984	0.406
1.938	0.801	0.087	0.452
2.20949366225	0.836718872831	0.097	0.425
2.436	0.751	0.12	0.437
2.012	0.711	0.096	0.431
2.26	1.232	0.112	0.42
2.107	1.017	0.102	0.408
2.385	0.788	0.128	0.445
2.331	0.826989429394	0.117807610522	0.405
2.192	0.918	0.0917085639614	0.426
2.172	0.786	0.091	0.437
2.073	0.695	0.100708563961	0.515
2.204	0.771	0.0787085639614	0.479
2.53117433766	0.872	0.082	0.455
2.74512733873	0.764	0.0958076105222	0.489
2.397	0.711	0.129	0.482
2.613	0.807	0.207	0.582
2.474	0.872916692236	0.130708563961	0.592
2.49	0.814	0.142708563961	0.458
2.30980597415	1.125	0.117516174484	0.523
2.7	0.929	0.1	0.539
2.76230799396	0.836	0.095	0.49
2.20948594395	0.821	0.113	0.612917748279
2.478	0.991719423433	0.0677085639614	0.477
2.456	1.064	0.135	0.515954890424
2.287	1.362	0.384456388751	0.495
2.53712546872	0.791	0.112	0.475
2.489	1.027	0.103	0.470126906607
2.433	1.081	0.246	0.620118605694
2.293	0.943	0.180585048143	0.545
2.387	0.977	0.184	0.542
2.223	0.881	0.139708563961	0.672
2.367	0.769	0.097	0.537
2.458	0.779	0.14235097905	0.459
2.507	0.755	0.152	0.47
2.61404457041	0.823842042636	0.145585048143	0.514
2.497	0.903	0.158	0.525
2.494	0.917	0.152	0.518
2.555	0.776	0.114	0.536
2.943	0.855	0.16	0.488
2.781	1.072	0.272708563961	0.478
2.86758565202	0.881	0.107918314244	0.539
2.676	0.945417127923	0.101172485391	0.598
2.512	0.769	0.0999091849479	0.531
2.43668689112	0.752	0.0877085639614	0.481
2.635	1.01070856396	0.0909183142444	0.562
2.522	0.923	0.093	0.525
2.5	0.892429870035	0.112	0.554
2.758	0.888	0.078	0.55
2.339	0.777708563961	0.104503362388	0.406
2.285	0.802	0.0687085639614	0.406230063134
2.902	1.199	0.165521258635	0.555
2.803	0.939	0.089	0.49
2.876	1.20758504814	0.217	0.543
2.947	0.955	0.167	0.482
2.37990981558	0.811708563961	0.0897361381404	0.371
2.114	0.695	0.077	0.352
2.546	0.646	0.128812694674	0.505928361413
2.697	0.688	0.131812694674	0.531
2.709	0.574	0.0607085639614	0.47
2.412	0.645	0.067	0.512
2.048	0.567	0.152	0.5
2.115	0.483	0.114	0.419
2.165	0.448	0.081	0.386
2.019	0.429	0.041	0.394
1.964	0.513	0.053	0.369
1.728	0.45	0.045	0.347
1.057	0.333	0.023	0.313
0.669	0.255	0.019	0.171
0.609	0.229	0.017	0.179
0.584	0.207	0.012	0.136
1.032	0.266	0.034	0.263
1.079	0.3	0.0341256918841	0.3
1.034	0.331	0.023	0.267
0.632	0.187	0.0247085639614	0.166
0.662	0.234	0.026	0.175
0.641	0.184	0.0237085639614	0.141
1.136	0.324	0.026	0.273
1.52	0.399	0.023	0.434533585939
1.752	0.465	0.042	0.427
1.815	0.419424860255	0.053	0.368
1.675	0.459	0.045	0.427
1.949	0.524	0.057	0.41
2.075	0.662579217173	0.048	0.458
2.493	0.604	0.0351256918841	0.555
2.639	0.789	0.081	0.489
3.20277245491	0.773	0.07	0.561
2.456	0.662752062074	0.054	0.533
1.974	0.595	0.0637085639614	0.449
2.147	0.505	0.057	0.456
2.57969521719	0.736	0.0788809200613	0.562273047063
2.258	0.647	0.161	0.499
2.74196924498	0.686	0.103708563961	0.588
2.754	0.772	0.076	0.54
2.073	0.669	0.097	0.439612677312
1.961	0.727	0.079	0.384
2.584	0.827	0.123458319748	0.581826922535
2.98608860633	1.04841712792	0.1	0.58
2.215	0.897	0.0878839065792	0.486
2.67	0.872	0.0929196203663	0.51
2.494	0.835	0.099	0.510874391074
2.259	0.876	0.0986281843277	0.61528209698
2.298	0.871	0.0964583197476	0.575
2.38606555495	0.799	0.103	0.528
2.42	0.773	0.103658552307	0.435
3.09013855124	0.736	0.114746542901	0.466
2.817	0.803	0.121	0.504874391074
2.538	0.876454698901	0.098	0.455
2.34898449804	0.842	0.138074586936	0.462
2.542	0.958938532939	0.141	0.542
2.594	0.93	0.123739622401	0.492
2.179	1.011	0.108457329648	0.453826922535
2.134	0.936	0.105	0.611
2.337	0.882	0.089	0.547
2.55177901684	0.979	0.113342643202	0.493902422764
2.32	0.942	0.101	0.525
2.27	0.777	0.109	0.496
2.519	0.887	0.115998425278	0.426
2.726	0.794	0.0938249772582	0.438607929273
2.312	0.743	0.086	0.518
2.192	0.726	0.12	0.531902422764
2.03	0.766	0.292	0.572
2.312	0.765	0.105	0.488
2.30941994819	0.767	0.129	0.41993800796
2.213	0.808345622384	0.102585048143	0.475636767898
2.376	0.712	0.106708563961	0.471
