ZBTB7A_TP	ZBTB7A_FP	ZBTB7A_TN	ZBTB7A_FN
3.76062992126	1.19392375496	0.294	1.82108626198
3.2188976378	1.29393005884	0.288	1.66134185304
4.34645669291	1.24717804794	0.305	2.11501597444
5.94015748031	1.56620858211	0.428	3.17891373802
9.38582677165	2.11758161862	0.748	5.58785942492
9.13385826772	2.16673680337	0.811	4.99680511182
7.76220472441	1.905	0.533	4.40575079872
7.47559055118	1.965	0.614520289849	3.86900958466
7.50551181102	1.877	0.576	4.18530351438
7.65196850394	1.99184204264	0.558979374664	4.47603833866
5.38897637795	1.575	0.427	2.98083067093
4.22204724409	1.008	0.287	2.23642172524
3.5968503937	0.897	0.26	2.00638977636
3.73700787402	1.004	0.327	2.04605580708
4.87244094488	1.125	0.263	2.14376996805
4.4062992126	0.914	0.227	1.86261980831
4.42677165354	1.04765207641	0.242	1.67092651757
4.18897637795	1.009	0.261	1.73846876035
3.43622047244	0.937	0.292	1.77635782748
3.74488188976	0.889	0.355965349406	1.85942492013
4.30078740157	1.115	0.333	1.97763578275
3.93070866142	0.882708563961	0.344	1.87220447284
3.64409448819	0.947185777433	0.298	1.76677316294
3.76220472441	0.982	0.508	1.71884984026
4.2031496063	0.98	0.407	1.86900958466
4.12598425197	1.1	0.372	1.72843450479
4.72598425197	1.178	0.361	2.09904153355
4.88661417323	1.364	0.364	2.13738019169
4.33385826772	2.12594928163	0.262	2.33226837061
4.47716535433	1.27	0.313	2.16293929712
4.50078740157	1.062	0.342	1.91373801917
4.1968503937	1.233	0.359	2.66134185304
3.9874015748	0.944	0.260660076966	2.0447284345
4.2031496063	0.966	0.303621854496	2.04792332268
4.04251968504	1.072	0.33	1.66773162939
3.33543307087	0.977	0.28	1.98402555911
3.56220472441	1.05	0.272	2.08945686901
3.35590551181	1.173	0.303	2.28434504792
3.45511811024	1.433	0.262	2.30990415335
3.56062992126	1.141	0.273	1.64536741214
3.54645669291	0.984	0.291648778229	3.90349122816
3.70866141732	1.086	0.308648778229	2.38658146965
3.52283464567	1.071	0.414	2.29392971246
3.53543307087	1.004	0.369	2.04792332268
3.42834645669	0.883	0.316	1.92971246006
3.56535433071	0.956	0.309	1.88817891374
3.40157480315	1.014	0.306	1.89137380192
2.9874015748	0.969	0.261	1.87539936102
3.34960629921	0.839	0.253	1.99041533546
3.06771653543	1.011	0.26	1.75399361022
3.25196850394	1.165	0.281	1.92971246006
3.63149606299	1.582	0.291	2.08945686901
3.51653543307	1.222	0.301	2.11481854682
3.5811023622	1.103	0.287527239774	2.38977635783
3.81732283465	1.328	0.293338184698	2.02555910543
3.60157480315	0.96	0.28	2.29392971246
3.93070866142	1.235	0.296	2.14696485623
3.54015748031	0.993	0.297767893931	2.3482428115
3.56928422513	1.187	0.294767893931	2.30990415335
3.72755905512	1.461	0.315	1.78913738019
3.28346456693	0.959	0.292	1.93290734824
3.55748031496	0.855	0.292	1.86900958466
3.90866141732	1.047	0.290585048143	1.8178913738
3.87801186078	1.11	0.321	1.41214057508
3.8188976378	1.019	0.301	1.5303514377
3.78582677165	0.993	0.336	1.61661341853
4.49921259843	0.929	0.441	1.70926517572
4.41102362205	1.116	0.396	1.81469648562
3.77007874016	1.214	0.4	1.98402555911
3.57007874016	1.369	0.455	1.96485623003
3.25196850394	1.027	0.32	2.06389776358
3.24724409449	1.077	0.42	2.13738019169
4.1072181181	1.002	0.366	1.80511182109
4.07716535433	1.046	0.273	1.71565495208
3.50708661417	1.222	0.288	1.76038338658
3.90078740157	1.158	0.297	1.98722044728
3.05669291339	0.927	0.308744225027	2.2428115016
3.44724409449	0.965	0.351	1.9552715655
3.27401574803	1.111	0.36	2.2428115016
3.12913385827	1.129	0.347	2.13418530351
3.44251968504	1.221	0.298	1.94249201278
3.35433070866	1.071	0.287	2.03833865815
3.28661417323	1.032	0.275	2.26517571885
3.49763779528	1.31815717397	0.282	2.07667731629
3.88976377953	1.161	0.314	2.23642172524
3.72440944882	1.22902415202	0.313	1.96166134185
3.81732283465	1.223	0.275	1.64217252396
3.67874015748	1.218	0.298930268014	1.97763578275
3.8157480315	1.232	0.267	1.68690095847
3.57007874016	1.149	0.339	1.91572743154
4.25815220026	1.108	0.323	1.91249303464
3.49330836593	1.181	0.338	2.0
3.57165354331	1.209	0.300739622401	2.18849840256
3.36062992126	1.33	0.34	2.37380191693
3.55118110236	1.558	0.303	2.28434504792
3.12598425197	1.226	0.303	2.32587859425
3.67559055118	0.978326258534	0.334	2.5750798722
3.45667589392	1.033	0.31	2.1054313099
2.97165354331	1.299	0.341	1.85942492013
3.03779527559	1.027	0.292	2.12779552716
3.32598425197	1.065	0.319	2.00958466454
3.56261777479	0.983	0.3	1.90415335463
3.34214533385	1.05	0.322459439217	2.03514376997
3.33898483777	0.965	0.315417127923	2.24600638978
3.70866141732	1.149	0.315	2.64856230032
4.34330708661	1.255	0.34	2.48881789137
3.88188976378	1.47128956831	0.3	2.03194888179
