CTCF_TP	CTCF_FP	CTCF_TN	CTCF_FN
2.428	1.77	0.292	0.646677645291
2.538	1.741	0.285	0.66
2.392	1.815	0.261	0.68
2.463	1.429	0.293	0.683
2.275	1.577	0.253	0.724
2.4	1.787	0.283	0.742
2.327	1.573	0.332	0.75
2.527	1.652	0.333	0.609
2.82	2.081	0.303	0.622
2.574	1.72	0.316708563961	0.676
2.295	1.999	0.352708563961	0.681723863726
2.131	1.74	0.31	0.593
2.475	1.917	0.278	0.507
2.125	2.68043365989	0.267708563961	0.639
2.195	1.781	0.294	0.549
2.167	1.717	0.372	0.496
1.921	1.927	0.342618865942	0.578
2.101	1.672	0.313708563961	0.44
2.26	1.583	0.277585048143	0.541
2.163	1.888	0.315665135678	0.504
2.074	1.81478543068	0.304	0.574
1.818	1.779	0.271	0.492
1.91494399207	1.593	0.273614798388	0.449
