MAFF_TP	MAFF_FP	MAFF_TN	MAFF_FN
1.619	0.747	0.227	0.298
1.543	0.722	0.318	0.301
1.623	0.749	0.213	0.316
1.517	0.65	0.185	0.273
1.59169765529	0.729	0.261	0.239
1.456	0.768	0.268585048143	0.254
1.423	0.691	0.32	0.273
1.425	0.714	0.358	0.218
1.241	0.688	0.330718729977	0.283
1.362	0.787	0.229	0.261
1.217	0.732	0.247	0.29
1.392	0.771	0.266	0.287
1.45128372482	0.807069500697	0.258	0.273
1.572	0.733	0.344	0.272
1.39827250655	0.743	0.227708563961	0.274
1.335	0.808	0.211	0.305
1.282	0.870971648489	0.213	0.282
1.167	0.788	0.29	0.33
1.186	0.717	0.227125691884	0.342
1.277	0.714	0.254	0.29973613814
1.226	0.731	0.187	0.351
1.268	0.785	0.208	0.313
1.21816502099	0.723	0.225	0.252
1.275	0.754	0.258554027642	0.296
