GABP_TP	GABP_FP	GABP_TN	GABP_FN
7.324	1.942	0.296	2.94624085798
7.379	1.872	0.236	2.80176963687
7.886	1.831	0.29	2.55342181772
6.825	1.668	0.325	2.673
6.68865146113	1.891	0.285775963929	2.526
6.552	2.037	0.291	2.85252619137
6.736	2.497	0.326	2.397
7.31235844415	3.04646170862	0.336	2.554
6.712	2.296	0.324	2.728
6.506	1.917	0.329	2.497
5.848	2.211	0.315	2.494
6.259	2.13093000976	0.31	2.579
6.01169927005	2.114	0.342	2.287
6.97436500556	2.102	0.296	2.47439308848
6.739	2.106	0.316708563961	2.502
6.68677535316	2.089	0.315880920061	2.487
6.109	2.063	0.295	2.836
6.157	2.172	0.324	2.906
6.363	2.194	0.295252480016	2.408
6.0533062276	2.182	0.327	2.101
6.277	2.219	0.297	2.29
6.446	2.003	0.336792705319	2.11739811439
6.141	1.838	0.29	2.032
5.71673065947	2.04814208484	0.3	2.88615026186
5.795	1.85	0.344	2.524
