REST_TP	REST_FP	REST_TN	REST_FN
1.877	1.446	0.31	0.384
2.05415013849	1.446	0.249	0.352
2.11595849481	1.61283797328	0.237	0.34
1.782	1.421	0.267	0.354
1.968	1.23	0.256417127923	0.345
2.198	1.363	0.311	0.4
2.16056620333	1.202	0.293	0.443796129674
1.96964722723	1.456	0.263	0.524039970426
1.846	1.499	0.263444702102	0.453
2.055	1.801	0.263	0.409
1.748	1.469	0.279	0.442
1.864	1.559	0.235	0.494
2.13524720848	1.438	0.392547678017	0.368
1.952	1.506	0.272	0.429
1.978	1.421	0.265	0.401
1.811	1.406	0.275	0.394648778229
1.794	1.36	0.268	0.457
1.663	1.465	0.291	0.357
1.642	1.485	0.251	0.490960019065
1.57564153398	1.403	0.257007453335	0.329
