USF2_TP	USF2_FP	USF2_TN	USF2_FN
4.252	0.923	0.259	1.533
4.334	0.969	0.309876630404	1.527
4.33	1.003	0.273	1.433
3.755	1.081	0.26873613814	1.359
4.105	1.03	0.341	1.562
4.553	1.141	0.32	1.845
4.508	0.977	0.354553128477	1.847
4.411	0.833349590199	0.402813497864	1.817
4.537	0.989	0.258454936837	1.91896045434
4.853	1.00367337054	0.339007453335	2.112
5.021	0.937	0.288417127923	1.998
4.75	0.955	0.242	2.176
4.458	1.234	0.305825868026	2.114
4.514	1.29351825216	0.276972728462	1.859
5.23757607446	0.963	0.272138780266	1.787
4.933	0.89	0.264554027642	1.854
4.632	0.989849692298	0.25025729033	1.873
4.794	0.936	0.241860642674	2.292
5.21521509698	1.048	0.292918314244	2.077
5.479	0.978	0.288	2.35218646607
5.071	1.08	0.257	2.47371405271
4.881	0.944	0.238648778229	2.132
5.349	0.896	0.299708563961	2.213
5.54020401799	0.886	0.407	2.091
5.757	0.983	0.292	2.253
5.577	1.099	0.331	2.154
5.531	1.062	0.287874391074	2.254
5.82	1.031	0.211986786742	2.181
6.691	1.23	0.26194212934	2.181
6.121	1.068	0.216	2.095
6.156	1.011	0.22873613814	1.923
5.489	1.054	0.32173613814	2.001
5.734	0.981	0.416	1.918
5.812	0.978	0.232708563961	2.039
6.134	1.029	0.222	2.218
6.077	0.936	0.254	2.09155368218
6.35701009872	0.956	0.24851776398	2.146
6.642	1.034	0.24	2.346
7.078	1.03	0.243	2.22
7.096	0.96	0.265708563961	2.367
6.31	0.951	0.269289192683	2.405
6.303	0.892	0.236708563961	2.65
6.82	0.985	0.226	2.703
6.687	0.992	0.303	3.068
6.814	0.98	0.218	2.99713617381
7.09895436279	1.14	0.256417127923	2.614
6.99974022454	1.22	0.211454936837	2.77
7.353	1.146	0.231610529215	2.825
7.65984993162	1.014	0.238	2.636
7.305	1.065	0.216	2.977
6.487	1.182	0.276	2.915
6.371	1.088	0.266	2.587
6.747	1.031	0.374	2.5082039634
7.40812123624	1.12	0.25	2.528
7.84809655823	1.067	0.354405144303	2.829
8.177	1.156	0.271	3.22585042241
8.06921750143	1.183	0.266	3.092
8.38220824561	1.159	0.239148524915	3.199
7.905	1.122	0.235	3.622
8.173	1.13390629504	0.244652076409	3.163
8.071	1.148	0.324	3.271
7.912	1.098	0.546	3.079
7.213	1.07655910083	0.254549924916	3.078
7.44	1.113	0.282	3.10853031908
7.37889339009	1.231	0.407	3.51167914522
7.85149381624	1.251	0.353	3.744
7.694	1.149	0.329	3.147
7.257	1.173	0.301	3.735
7.48373784913	1.08865231798	0.288	4.10268902712
7.46	1.227	0.353	3.83161198694
7.7901548037	1.149	0.445538734607	3.689739353
7.566	1.124	0.42	3.82764382837
7.228	1.318	0.408	3.211
7.816	1.194	0.312	2.97
8.05	1.207	0.306	3.47337799664
