USF2_TP	USF2_FP	USF2_TN	USF2_FN
7.99001985789	1.248	0.318832968925	3.786
7.79535302363	1.22	0.395	3.413
8.27	1.407	0.287	3.645
8.48104393979	1.486	0.283	3.787
9.22	1.445	0.249874391074	3.51646702789
11.0384404713	1.504	0.304708563961	4.049
9.28617407525	1.33	0.269	3.219
5.70379740266	0.99835097905	0.24	2.456
5.822	1.165	0.26	3.19280772046
7.961	1.72711106672	0.227	4.40780772046
11.5198094091	1.73100455858	0.292	5.185
12.1788038354	1.68400423781	0.264	5.40874043773
11.5805127002	1.394	0.408	4.98402312383
12.9300626099	1.34570856396	0.247	5.75567777379
14.4128921055	1.433	0.349	6.15725139493
13.9602377748	1.39961159948	0.461	5.39765594965
10.557534671	1.425	0.272	4.009
6.76280772046	1.268	0.299	3.175
5.696	1.177	0.293	3.386
9.67747765949	1.6767488919	0.334	6.12039894121
8.11332295123	1.612	0.356	5.63797267043
2.882	1.15	0.214	2.298
2.912	1.452	0.308	2.857
3.67	1.429	0.323	3.52
3.248	0.926	0.260918314244	2.718
2.918	0.977	0.163	2.244
3.217	1.145	0.226	2.635
3.998	1.37	0.28	3.282
3.725	1.005	0.222	3.14740185433
3.059	0.932	0.212	2.122
9.24787370311	1.63399121266	0.259	4.65017466149
11.0541371087	1.284	0.418899171374	5.56100852618
6.06480507297	0.985	0.30225620809	3.58225204679
6.79	1.092	0.229	3.30450872425
10.7820531162	1.41760400602	0.235454936837	4.28749215648
13.5028040061	1.382	0.223	5.001
13.6961007828	1.374	0.215397729442	5.06437356432
12.085	1.296	0.236	4.50991341741
11.4270595806	1.371	0.216	4.414
12.0469948061	1.423	0.291554027642	4.33490723466
11.0070289124	1.438	0.273	3.911
8.256	1.108	0.288	3.114
6.023	0.948	0.179874391074	2.55549981078
5.495	0.909	0.18	2.462
7.337	1.216	0.232	2.779
10.466802048	1.467	0.235	3.742
9.039	1.169	0.229273047063	3.709
8.166	1.32273385016	0.225	3.551
8.85671117382	1.217	0.225	3.777
8.2506926711	1.186	0.24	3.757
8.31605580951	1.161	0.188565640642	3.95447253388
8.272	1.168	0.288	3.67662262451
7.92725768353	1.054	0.357	3.951
7.4456741033	1.162	0.19	3.362
7.518	1.207	0.27	3.063
7.254	0.979	0.271	3.01784707663
6.761	1.14332209628	0.239	3.46786157158
7.061	1.071	0.264	3.77286850454
7.23664558457	0.973047121643	0.272	4.12383090252
7.136	1.13558504814	0.347844572311	4.011
7.795	1.122	0.336	3.449
8.488	1.187	0.284491059327	3.49393022607
7.92	1.173	0.273	3.31586051941
7.55937580233	1.05	0.236	3.18289950484
7.90737580233	1.074	0.216	3.32
7.39285803385	1.191	0.210236712173	3.647
7.63442398661	0.985	0.206	4.351
7.556	1.003	0.24	4.405
7.245	1.006	0.286	4.15237601291
7.371	0.989	0.524918314244	4.217
6.818	1.17	0.259	3.73424737673
6.917	1.055	0.296984788895	3.408
7.308	1.15196782324	0.323	3.34237888419
7.119	0.91	0.338064627113	3.039
6.258	1.008	0.288310130305	3.1038066358
6.41449492263	1.034	0.263	2.834
6.39717549135	0.903	0.248938251077	2.993
6.07577316012	0.936	0.303	2.97495621942
5.805	0.922	0.306	3.092
6.105	1.015	0.331	3.13
6.511	0.956	0.274141447643	2.749
5.898	0.954	0.312	2.705
5.837	0.937	0.453	2.764
5.654	1.058	0.366	2.714
5.798	0.975	0.458	3.06046013742
5.466	0.894	0.261526467483	3.196
6.02767356397	0.902	0.311918314244	3.1054475779
6.31067356397	0.902936831043	0.332	2.89284174566
6.089	0.84	0.236	2.544
5.719	0.82	0.263881844409	2.41464582854
4.988	0.971235629059	0.278101446787	2.642
5.284	0.96	0.303919620366	2.55
5.818	1.116	0.307	2.701
6.20836272251	0.96	0.462	2.351
5.24	1.005	0.276	2.459
5.323	1.072	0.313	2.267
5.629	1.106	0.262537942376	2.493
5.49	1.008	0.361	2.243
5.68	0.865	0.358	2.499
5.994	0.998	0.281	2.364
5.311	0.957	0.247	2.415
4.807	0.92	0.297	2.322
4.614	0.848	0.305	2.44
4.606	0.896	0.257	2.87046755186
4.409	0.904	0.317	2.47
4.472	0.857	0.355	2.333
4.48	1.126258094	0.277	2.168
4.863	1.004	0.264025062213	2.492
5.024	1.018	0.217	2.589
4.942	0.823	0.202	2.357
5.029	0.884	0.214874391074	2.349
4.744	0.927	0.221299676367	2.464
4.618	0.882	0.256	2.045
5.03653134415	0.84	0.224	2.065
4.71653134415	0.939	0.236834255846	2.24
4.352	0.783	0.225	2.152
4.66	0.813	0.237	2.378
4.286	0.87	0.196454936837	1.994
4.59	0.874	0.25796333957	2.118
4.691	0.853229550585	0.21	2.02
4.493	0.81	0.248	1.982
4.743	0.773	0.244648778229	1.865
4.17	0.726	0.258321186283	1.979
4.025	0.772	0.369	2.049
4.0089181804	0.901	0.300534542775	1.756
