SIX5_TP	SIX5_FP	SIX5_TN	SIX5_FN
4.312	1.456	0.308	1.42234332425
4.24	1.556	0.250708563961	1.60217983651
4.64	1.461	0.25242684127	1.5204359673
4.591	1.542	0.262	1.63215258856
4.547	1.634	0.274	1.56948228883
4.296	1.631	0.267	1.65940054496
4.345	1.556	0.232708563961	1.64032697548
3.985	1.729	0.247	1.54495912807
4.898	1.517	0.316708563961	1.20163487738
4.567	1.594	0.296125691884	1.28610354223
5.21908849593	1.394	0.289	1.5068119891
4.785	1.53145196025	0.308	1.64305177112
4.889	1.48	0.283	1.7029972752
4.783	1.528	0.351	1.63760217984
4.942	1.484	0.248	1.77656675749
4.775	1.698	0.260417127923	1.85013623978
5.341	1.645	0.276062753768	1.57220708447
5.39	1.665	0.214708563961	1.6757493188
5.113	1.398	0.222293612104	1.50953678474
5.37548721652	1.455	0.241	1.55040871935
5.267	1.309	0.268	1.99455040872
5.24	1.585	0.245708563961	1.66757493188
5.088	1.288	0.247	1.48773841962
5.506	1.347	0.209	1.54495912807
5.525	1.367	0.22	1.3378746594
5.642	1.275	0.239825868026	1.37602179837
5.488	1.396	0.229832968925	1.35694822888
5.81	1.406	0.297	1.5340599455
6.218	1.271	0.25	1.36784741144
5.589	1.346	0.204874391074	1.40159016803
5.786	1.312	0.242874391074	1.560052757
5.813	1.32	0.218	1.78201634877
5.241	1.227	0.219	1.83651226158
5.56072386003	1.322	0.225	1.85013623978
5.297	1.418	0.239	2.039448851
5.54	1.633	0.243685679319	1.77384196185
5.481	1.417	0.258826922535	2.37329700272
5.481	1.32015949411	0.235	2.11989100817
5.654	1.324	0.286	1.8310626703
5.319	1.348	0.237	1.79836512262
5.76482065593	1.38741155692	0.239	1.80653950954
5.431	1.569	0.24	1.64032697548
5.929	1.524	0.300095849087	1.38147138965
6.379	1.591	0.283	1.61580381471
6.392	1.7	0.234	1.59673024523
5.799	1.669	0.304	1.65122615804
6.12726400871	1.546	0.240585048143	1.8038147139
6.047	1.676	0.236	2.02997275204
6.053	1.769	0.235	2.40871934605
6.114	1.654	0.225444702102	2.07084468665
5.795	1.681	0.257	2.07356948229
5.90571504905	1.805	0.26673613814	1.8583106267
5.811	1.694	0.248	2.17166212534
5.993	1.697	0.243950067798	2.43051771117
6.425	1.591	0.255	2.3242506812
6.591	1.661	0.29573613814	2.24795640327
6.392	1.787	0.25	1.82561307902
6.49	1.677	0.292417127923	2.25885558583
6.315	1.64434162452	0.272	2.86920980926
6.309	1.57124591203	0.220992072045	2.50136239782
6.579	1.763	0.259	2.14441416894
6.48	1.792	0.274	1.82833787466
6.323	2.029	0.212	1.88010899183
