USF1_TP	USF1_FP	USF1_TN	USF1_FN
2.519	0.644	0.244	0.626
2.8251768077	0.687	0.269876630404	0.776
2.462	0.613	0.237	0.835
2.202	0.57	0.271	0.93
2.265	0.632	0.32	0.9
2.616	0.703	0.303334922635	0.956
2.584	0.648	0.304553128477	0.728
2.699	0.645	0.381813497864	0.712
2.673	0.66	0.239454936837	0.723960454344
2.713	0.687673370545	0.326692427959	0.757
2.758	0.696	0.267417127923	0.703
2.396	0.698	0.205	0.627
2.513	0.678	0.247	0.789
2.788	0.686597546046	0.244972728462	0.755
3.14057607446	0.616	0.268138780266	0.872
2.885	0.672	0.257559948062	0.892
2.5398496923	0.637	0.22525729033	0.756
2.531	0.697	0.216860642674	0.921
2.6139983706	0.725	0.241918314244	0.922879917386
2.809	0.633	0.257	0.890879917386
2.875	0.583	0.252	0.642
2.787	0.603	0.236648778229	0.75
3.13320401799	0.609	0.253	0.63
3.022	0.623	0.365	0.802
2.976	0.627	0.25	0.726
2.85	0.747	0.272	0.711
2.971	0.778	0.251874391074	0.74
3.344	0.715	0.206986786742	0.817
3.673	0.895	0.23794212934	0.765
3.272	0.86	0.221	0.659
3.135	0.778	0.24373613814	0.724
2.66	0.692	0.24873613814	0.853
2.981	0.601	0.221	1.219
3.208	0.639	0.233999402049	0.824
3.243	0.663	0.210290838087	0.803
3.303	0.639	0.227	0.872
3.464	0.678	0.24435097905	0.81016678493
3.612	0.62	0.248	0.866
4.042	0.711	0.238	0.775
3.984	0.606	0.292708563961	0.831
3.422	0.656	0.286163583757	0.831
3.956	0.571	0.255535486496	0.871
4.116	0.611	0.245	0.874
3.709	0.70582071029	0.258	1.005
4.015	0.707	0.241	0.933
4.26874022454	0.74	0.239927013637	0.866
4.08974022454	0.714	0.229454936837	1.033
3.797	0.614	0.277543185531	1.067
3.5	0.603	0.249	1.0
3.885	0.676	0.234	0.971090826782
3.632	0.695	0.203	0.98
3.401	0.72	0.209	1.5542039634
3.653	0.672	0.361	1.9922039634
4.001	0.648	0.237	1.607
4.108	0.765	0.298405144303	1.364
4.301	0.785	0.229	1.54322167622
4.471	0.768	0.237	1.306
4.662	0.836	0.246	1.28584457415
4.423	0.837	0.247	1.19909082678
4.459	0.788906295038	0.234652076409	1.124
4.767	0.869	0.279	1.14
5.1	0.820892721978	0.53	0.973
4.638	0.684559100834	0.236549924916	1.153
5.00788478606	0.746	0.257	1.113
4.73189339009	0.858	0.386	1.143
4.71647842007	0.725	0.318	1.217
4.96947842007	0.803	0.299	1.028
4.763	0.896	0.252241503837	0.968
4.072	0.739	0.236	0.992
4.229	0.825	0.319	0.855
4.441	0.816	0.375	0.818
4.657	0.773	0.288	1.02627379006
4.8448548794	0.802	0.313	1.19927379006
4.71535898836	0.75	0.331	1.035
4.543	0.829	0.287	1.12537799664
4.481	0.897	0.279832968925	1.27648580596
4.80235302363	0.891	0.382	1.01748580596
4.78035302363	0.936	0.287	1.107
4.611	0.977	0.262	1.069
4.754	0.956	0.270874391074	1.184
5.587	1.04263185168	0.294708563961	1.287
4.57694701695	1.021	0.22	1.015
2.862	0.803	0.222	0.852
3.44735898836	0.705	0.204	1.201
4.79311106672	0.838	0.268	1.884
6.29936948396	1.129	0.302	1.98793711769
6.29780807326	1.07	0.253	1.599
5.93386980426	0.864	0.448	1.497
6.503	0.967708563961	0.283	2.056
7.2379636332	0.971708563961	0.383	1.82265594965
7.05107571239	0.85635097905	0.567	1.58853789783
5.76306260332	0.796	0.309	1.33950511263
3.727	0.78	0.342874391074	1.35373518254
3.796	0.808741597856	0.304	1.539
5.45218467367	1.408	0.478	2.59209703115
5.05262355453	1.348	0.467	2.59939413403
1.985	0.864	0.215	0.865
2.148	1.05	0.295	1.189
2.68	1.114	0.291	1.319
2.266	0.72	0.257918314244	0.962
2.106	0.741	0.198	0.965
2.278	0.892	0.267	0.961
2.853	1.043	0.295	1.235
2.624	0.72773613814	0.234	1.1
2.134	0.7	0.197	0.692
5.89539147197	1.09	0.379	1.568
6.58599453123	0.962456029404	0.487899171374	1.80818653767
3.975	0.755	0.337	1.071
4.241	0.76	0.254	1.116
6.09260400602	0.869	0.243454936837	1.268
7.49872422025	0.932	0.232	1.62194796637
7.99692885302	0.941	0.261	1.55318463452
6.56469961688	0.84	0.229	1.246
6.4	0.886	0.225	1.585487813
