SRF_TP	SRF_FP	SRF_TN	SRF_FN
2.75265392781	0.638	0.204	0.608
2.55626326964	0.672	0.226415832708	0.699
2.60191082803	0.652	0.204	0.687
2.70912951168	0.66	0.208	0.668
2.52653927813	0.744	0.200125691884	0.7
2.45753715499	0.626	0.239	0.685
2.46284501062	0.758	0.236293612104	0.637
2.62951167728	0.812	0.241844095651	0.696
2.62738853503	0.742	0.297384727036	0.642
2.53927813163	0.713	0.193	0.653
2.77282377919	0.711	0.161	0.683
2.80467091295	0.902	0.179	0.623975419417
2.9076433121	0.783713933898	0.187	0.808
2.45116772824	0.726739622401	0.193	0.786
2.48832271762	0.662874391074	0.220830671369	0.704
2.32802547771	0.766	0.19573613814	0.702
2.5	0.79	0.199995498678	0.586
2.80360934183	0.694	0.304	0.63
2.64649681529	0.667	0.2	0.688
2.65711252654	0.788	0.189	0.748
3.33074661127	0.792	0.204	0.872778764997
3.3067940552	0.755	0.18	0.828
3.31608023144	0.787	0.179	0.785778764997
3.42038216561	0.895	0.261	0.84
3.14543524416	0.963	0.354261609855	0.798
2.91401273885	0.966067245562	0.217	0.71274710972
3.09789058822	0.784	0.228	0.771
3.33864118896	0.746	0.201	0.72374710972
3.25070631246	0.728	0.182	0.676
3.17303609342	0.671	0.181	0.756
2.95966029724	0.592	0.22835097905	0.734
3.20276008493	0.666	0.222874521157	0.729
3.57749469214	0.711	0.24073613814	0.774
4.09904174973	0.78	0.188	0.786
3.93233388233	0.681	0.193708563961	0.946681145522
3.53821656051	0.813	0.336843775834	0.789
3.39525587986	0.86	0.208	0.866
3.42675159236	0.808	0.237944726751	0.908
3.41719745223	0.78	0.173	0.899
3.51170306699	0.739458175179	0.167	0.937
4.2626331176	0.701930268014	0.172	0.922
4.02688513667	0.787	0.167	0.97202114285
3.98455164401	0.766	0.17	0.939579551466
3.84863806753	0.722	0.173	0.936
3.50743099788	0.778	0.226	0.958585078508
3.56157112527	0.692755280956	0.182	0.85
3.47133757962	0.708	0.228	0.832
3.7101910828	0.703	0.207	0.966
3.8152866242	0.761227068897	0.181	0.852
3.97452229299	0.709	0.251	0.82
3.77494692144	0.770193104724	0.389340249557	0.887
3.78662420382	0.731	0.323	1.03408916136
3.70063694268	0.742	0.224	0.84
4.0127388535	0.751	0.23	0.97
4.06007467915	0.902	0.204	0.872
3.69851380042	0.824	0.196638831975	0.856
4.0940652279	0.783	0.212	0.972
3.57112526539	0.757	0.182	0.855
3.42993630573	0.79	0.176	0.842
3.44585987261	0.748	0.19	0.787
3.65392781316	0.883	0.15673613814	0.898
3.7983014862	0.926	0.226	0.954
3.85456475584	0.917	0.176	0.965
3.77070063694	0.934	0.182	0.995
4.05544809705	0.814	0.175	0.877
3.73779193206	0.772	0.141	1.01630032514
3.53503184713	0.798	0.171	0.847
3.48513800425	0.855	0.16973613814	1.13521659159
3.7983014862	0.839585048143	0.183	0.897
3.39596602972	0.934	0.216	0.971
3.61147689271	0.774	0.159	0.941
3.70063694268	0.744	0.161	0.922
3.50212314225	0.741	0.145	0.969
3.483014862	0.711144588439	0.188	0.973
4.48020702485	0.828	0.177	1.21421980813
4.66985138004	0.896	0.198	1.32835087077
5.10017254981	0.959	0.19	1.289
5.06291060426	0.944	0.165	1.28636693994
4.44798301486	0.867	0.172	1.069
4.1155092581	0.695	0.116	0.787
3.85774946921	0.705	0.148	1.004
3.60403397028	0.758	0.124	0.827736172935
3.84110895213	0.694	0.169	0.983
3.55626326964	0.688	0.140874391074	1.01050335627
3.98955918887	0.691	0.145	1.10032889746
3.83651804671	0.777	0.131874391074	1.15842964206
4.09447983015	0.701	0.136417127923	1.02732889746
3.991507431	0.765	0.133	1.00042964206
4.03366540778	0.619293612104	0.133	0.834
3.70276008493	0.749	0.168	0.774
3.44798301486	0.657	0.184	0.826
3.32590233546	0.633	0.148708563961	0.846
3.63503374139	0.815	0.171	0.972
3.65074309979	0.747	0.18	0.893
4.50973023921	0.766004821413	0.187	1.36260637551
4.53793338164	0.803	0.171	1.19840565818
3.72280117073	0.775098627301	0.145	0.931606375507
3.43610963034	0.608	0.118454936837	1.05140565818
1.59647420682	0.39835097905	0.06	0.504
1.26645435244	0.298	0.057	0.423
1.39384288747	0.338	0.066	0.353962707377
1.57537154989	0.328	0.089	0.488
3.57912250287	0.628	0.14	0.956298870901
3.38658528624	0.803	0.168	1.101
4.10022550746	0.881	0.169	1.37932729234
4.24440388187	0.92	0.170708563961	1.264
3.82484076433	0.938	0.196	1.00181180402
4.12208067941	0.789	0.182	0.916
3.45647558386	0.663	0.121	0.685
3.56794055202	0.664	0.161	0.743
4.37699855642	0.788	0.179708563961	0.807831028679
4.27600849257	0.856365669288	0.128125691884	0.915
4.18259023355	0.695	0.129	0.915285965516
4.17197452229	0.781114425786	0.13	0.993
3.60615711253	0.82973613814	0.187992072045	0.799819709159
4.33573897946	0.753	0.168	0.962
3.66854172481	0.848	0.12	0.704
3.3906581741	0.809	0.16	0.829
3.29299363057	0.778	0.197	0.756
3.67197452229	0.707634390631	0.232	0.809
3.52123142251	0.704	0.348	0.994831028679
4.13800424628	0.998	0.192	1.044
4.75833197668	1.051	0.223	1.07481970916
4.45481672635	0.779	0.2	1.36293704927
4.67608150026	0.931	0.197	1.24936477232
4.38833840987	0.754	0.194	1.18094653187
3.78343949045	0.744993118979	0.174	0.86230365684
