ZBTB33_TP	ZBTB33_FP	ZBTB33_TN	ZBTB33_FN
5.719	2.772	0.310998425278	0.681
5.316	3.00573683643	0.356	0.666702211423
5.7522604241	3.047	0.352	0.629
5.408	2.936	0.439	0.669
5.795	3.046	0.40273613814	0.663
5.874	3.496	0.443	0.629
5.656	3.13	0.319	0.7525937587
5.718	3.218	0.306874391074	0.683
6.441	2.976	0.315420648856	0.627
6.053	2.995	0.323168992078	0.7485937587
5.644	3.16126036736	0.326798998462	0.927
6.25953225285	3.20391253511	0.345	0.74673613814
6.137	3.1	0.321	0.79
6.151	3.557	0.262	0.643
6.16255326087	3.275	0.316	0.64773613814
6.006	3.48	0.34	0.655
6.02	4.06193893922	0.343	0.606
5.969	3.59419686006	0.409	0.64
6.09	3.37	0.397606375507	0.773
6.188	3.28642219897	0.407	0.724
6.077	3.202	0.336	0.763
5.90527697022	3.532	0.346	0.812
6.188	3.7325722323	0.313320486115	0.943860041839
5.925	3.44650939432	0.289	0.892
5.9573317137	3.591	0.321	0.987
6.472	3.44752462817	0.291	0.937856085853
5.87530810767	4.171	0.383	0.943
5.886	4.114	0.474	0.907
6.471	3.603	0.396	0.957996044014
5.936	3.3	0.423	0.881
5.895	3.141	0.343	0.698
6.004	3.471	0.539	0.94173613814
6.466	3.025	0.443992072045	0.909
5.981	3.31672749199	0.426	1.123
6.198	4.041	0.528	0.972
6.61992079304	3.507	0.400992072045	0.924
6.243	3.42	0.392	1.158
6.119	3.746	0.518	0.847
6.402	3.383	0.417736423039	0.918
7.0840085512	3.11	0.437	0.93
7.29012896511	3.23116432441	0.336	0.873
6.547	2.875	0.362	0.909
8.21265597769	3.259	0.403	1.227
7.178	3.142	0.344	0.953949017537
6.794	3.214	0.349657455937	1.096
8.53312424372	3.012	0.388	0.99
7.366	2.94	0.323	1.009
7.158	3.45584096405	0.413721715057	1.223
7.794	3.111	0.317	1.195
7.412	3.052	0.361	1.265
7.504	3.43290466043	0.375	1.139
7.711	3.322	0.383	1.072
7.885	3.4	0.337	1.08227858884
7.697	3.53	0.477111988453	1.02474183825
7.793	3.537	0.362	0.994
7.564	3.805	0.31135097905	1.03929013207
7.674	3.642	0.442357342191	1.02673888794
7.643	3.79434982281	0.378	1.065
8.08677942328	3.945	0.391	0.936
8.10110487883	4.002	0.428	0.866
7.665	3.255	0.37873997515	0.841
8.92076830532	3.705	0.420934194922	0.947
8.58015621614	3.558	0.348	0.927
8.492	3.259	0.422708563961	0.865756897292
9.36440351898	3.729	0.374351322845	0.928
8.7296189365	3.66805648122	0.361935321433	0.983
8.684	3.63	0.363585048143	1.05
8.24743505027	3.785	0.385417127923	0.954
8.70258588497	3.935	0.357621374785	1.056
8.777	3.52	0.41	1.242
9.07421390807	3.50124363118	0.38	1.214
8.864	3.524	0.369	1.04229013207
9.10991648482	3.692	0.345	0.96965835998
8.732	4.276	0.519	0.863998425278
7.826	3.806	0.320742706045	0.863105511376
8.282	3.832	0.376	0.993
8.124	3.554	0.352392882825	0.918
9.12	4.55067286127	0.378742706045	1.13773521237
9.856	4.20362645471	0.37946900398	1.159
9.326	4.07675705676	0.375	0.981
10.874	3.934	0.338	0.92830620758
8.143	3.096	0.281585048143	0.605
7.808	3.375	0.299	0.561
8.156	3.1	0.336598133975	0.785756897292
6.182	2.357	0.27	0.553
8.008	3.505	0.327956464806	0.593
8.279	3.527	0.276241503837	0.566758472014
8.648	3.32	0.253	0.61073997515
10.324	3.614	0.287874391074	0.813
9.828	4.32583071056	0.259	0.805
8.313	3.987	0.281807911696	0.78073997515
8.428	4.272	0.32	0.82765835998
8.142	4.251	0.303	0.681
5.736	3.365	0.301	0.558
5.553	4.76512714129	0.338	0.561
5.063	3.859	0.33	0.565
3.418	2.719	0.278	0.54
4.631	2.799	0.401423269863	0.738
3.872	2.276	0.249	0.623
4.573	2.708	0.293	0.792
5.711	3.23	0.38474432812	0.998
4.446	3.38460251989	0.339	0.745
4.202	2.521	0.36	0.592
4.453	2.909	0.34674432812	0.807
3.76	2.69432696159	0.258	0.625
5.40695306144	3.358	0.42773613814	0.655
5.533	3.7185932734	0.344	0.851
5.821	3.113	0.337708563961	0.889
8.06015563222	3.444	0.36	0.912
8.43	3.553	0.371	0.812
8.233	3.746	0.399814046058	0.791
10.2187625119	3.5245120653	0.278	0.786454936837
10.211	3.498	0.289	0.695
9.19492713527	3.517	0.346001176901	0.671
8.96	3.06638175667	0.347	0.788454936837
8.57162062715	2.942	0.329	0.612
6.887	2.609	0.293	0.725886087724
8.947	3.16195230529	0.299	1.05743507379
8.05168439228	3.38632579406	0.34	0.904
8.526	3.74055768143	0.309	0.803
10.4266257815	4.618	0.383	0.956
9.359	4.514	0.388618396616	0.97
9.826	4.11754987752	0.423343051096	0.767
8.707	3.98	0.398	0.874
7.84192713527	3.444	0.291	0.918
7.513	3.369	0.34	1.24887751349
8.371	3.542	0.29	1.037
8.60099561017	3.859	0.308	1.111
8.8721519893	3.553	0.293	1.20787751349
8.314	3.471	0.352	1.334
8.784	3.409	0.402	1.27235097905
9.298	3.887	0.291	1.28
8.90526814035	3.932	0.313	1.241
9.04444676327	3.707	0.357	1.241
8.523	3.902	0.312	1.215
8.58616337638	3.96852192143	0.312	1.161
9.02799471861	3.735	0.334	1.096
8.353	3.801	0.34	1.12006617852
8.572	3.415	0.317	1.103
8.237	3.551	0.488	1.129
8.738	3.706	0.59	1.11628990392
8.697	3.895	0.478	0.878
7.663	3.616	0.51497881677	1.009
8.335	3.6000293014	0.797708563961	0.940198730913
7.781	3.727	0.384	0.980602241634
7.89216123915	3.749	0.449015523785	1.11319481534
7.352	3.412	0.550129802188	0.978
7.535	3.566	0.428	0.8355933143
7.77016651441	3.268	0.399708563961	0.989857009118
7.491	3.502	0.56595429835	0.912
7.333	3.994	0.362	0.759991072666
8.02853665923	3.613	0.339	0.914993247884
8.069	3.379	0.319	1.19456549744
7.558	3.527	0.343778764997	1.008
7.291	4.583	0.351	0.88
7.86	3.625	0.33	0.842
7.86062872195	3.36	0.298	0.837
7.537	3.625	0.348	1.056
7.674	3.609	0.325	0.849241503837
7.504	3.38794008574	0.374530979522	0.831798998462
7.48196517389	3.66507806414	0.309	1.029
6.968	3.771	0.29	0.922
6.793	3.26697779962	0.325	1.127
7.068	3.563	0.286	1.12199945998
6.528	3.513	0.258	1.01399324788
6.351	3.615	0.290585048143	0.954589023452
6.573	3.156	0.306554027642	0.845
6.07088925648	3.145	0.391	0.971993247884
6.436	2.891	0.40635097905	0.960571077153
6.7720534062	3.267	0.363945202466	0.915
6.82588925648	3.154	0.258	0.899
6.312	3.049	0.295995498678	0.865
6.43612616827	3.513	0.254	0.954
6.72288730962	3.09	0.336251658289	0.777705969835
6.613	3.351	0.277647575086	0.916538734607
6.441	3.214	0.282	0.916
6.492	2.788	0.287	0.854
6.635	2.954	0.365	0.898
6.587	3.116	0.394736423039	1.047
6.381	2.974	0.421	0.803
6.466	3.179	0.271	0.888
6.206	3.481	0.489	0.97
6.144	3.45	0.618045535049	0.649
5.976	3.52463430902	0.337	0.763
6.015	3.128	0.402	0.79
6.5	3.415	0.429454936837	0.677
6.71891145319	3.185	0.350719290995	0.862
6.305	3.027	0.388	0.775
5.783	3.29607635732	0.372826922535	0.639
5.519	3.145	0.359	0.867
6.117	2.982	0.383	0.607104046315
5.591	3.06284606294	0.383	0.484
5.364	3.091	0.437403585284	0.629
5.484	3.024	0.308	0.558106412388
5.259	2.994	0.313	0.51
5.22	3.013	0.288	0.416
4.993	2.807	0.375	0.503
5.286	2.944	0.339	0.575
5.258	2.887	0.352	0.584
5.0	3.07658597436	0.361	0.517
