RFX5_TP	RFX5_FP	RFX5_TN	RFX5_FN
6.1554770318	1.466	0.281622236397	1.09322033898
6.08127208481	1.703	0.345874391074	1.03389830508
6.42402826855	1.586	0.361	1.28389830508
5.8445229682	1.596	0.319	1.37711864407
6.10247349823	1.588	0.362922431797	1.33050847458
4.93992932862	1.603	0.311	1.02542372881
5.5371024735	1.548	0.285	1.25
6.51236749117	1.76836804016	0.363168992078	1.21186440678
5.48409893993	1.713	0.328619549055	1.63983050847
5.66431095406	2.224	0.364	1.49152542373
6.01413427562	1.694	0.309	1.18220338983
5.47703180212	1.763	0.290708563961	1.04237288136
6.31198631383	1.507	0.285	1.77966101695
7.3109540636	1.647	0.356	1.86016949153
7.53003533569	1.318	0.297	1.11016949153
6.0035335689	1.632	0.351	2.02542372881
5.3109540636	1.68824875104	0.327	1.93675249443
5.29681978799	1.469	0.326	0.817796610169
6.19081272085	1.575	0.375	1.3093220339
5.62190812721	1.609	0.38474432812	1.07627118644
6.97879858657	1.442	0.292	1.15254237288
6.69964664311	1.807	0.349200889346	0.919491525424
6.5371024735	1.561	0.3752167516	1.0593220339
7.02120141343	1.411	0.364	1.0593220339
6.6890459364	1.781	0.39	1.18644067797
8.20494699647	1.692	0.417	1.52118644068
7.18374558304	1.608	0.457	1.36440677966
6.08480565371	1.533	0.309	1.79661016949
6.5371024735	1.492	0.310708563961	1.5325499296
5.66431095406	1.51	0.335	1.1906779661
5.85255169344	1.473	0.291	1.55084745763
6.35335689046	1.45	0.346	1.49576271186
7.08833922261	1.556	0.347	1.97457627119
6.96819787986	1.77607429535	0.341708563961	1.60169491525
7.27905528531	1.639	0.332	1.04661016949
6.56917626396	1.483	0.348	1.75
7.62544169611	1.474	0.362	1.8093220339
7.6148409894	1.426	0.348	1.82203389831
7.52650176678	1.445	0.422249897742	1.3813559322
8.61345091994	1.494	0.371	1.23305084746
7.09540636042	1.532	0.33	1.18220338983
8.47349823322	1.474	0.297	1.21610169492
8.20176543057	1.431	0.333	1.36440677966
6.72791519435	1.623	0.314	1.34322033898
7.41696113074	1.71	0.389	1.81779661017
8.60777385159	1.681	0.368	2.11440677966
9.36749116608	1.909	0.293	2.11440677966
8.71378091873	1.736	0.398	1.54661016949
7.03180212014	1.637	0.282	1.29237288136
8.23674911661	1.702	0.388	1.79237288136
7.5371024735	1.954	0.307	1.52966101695
8.07067137809	1.693	0.325	1.34745762712
8.37102473498	1.784	0.327	1.07627118644
7.71731448763	1.844	0.394	1.36016949153
9.16607773852	1.89916601023	0.314	1.6313559322
7.51590106007	1.79995074119	0.337	1.37288135593
7.79858657244	1.732	0.424	2.48728813559
8.19787985866	1.698	0.365	2.04237288136
8.37455830389	1.737	0.404	1.94915254237
7.87632508834	1.701	0.373	1.49152542373
7.74911660777	1.746	0.31	1.51271186441
8.44169611307	1.831	0.294	1.80508474576
7.57243816254	2.14562206818	0.343	1.35593220339
7.42756183746	2.177	0.336	1.40677966102
6.73144876325	1.993	0.345	1.34322033898
6.79858657244	1.899	0.319	1.91525423729
7.73851590106	1.732	0.356	1.70338983051
8.03533568905	1.692	0.382801651429	1.85169491525
9.61130742049	1.928	0.394	2.30508474576
7.36749116608	1.841	0.347891025978	1.5
6.89045936396	1.82	0.304	1.98728813559
6.75265017668	1.826	0.305	1.75
7.37102473498	1.706	0.261585048143	2.94491525424
6.76325088339	1.541	0.314	1.67372881356
8.10917305796	1.734	0.308	1.91101694915
8.98586572438	1.765	0.37	1.90254237288
8.22727032441	1.878	0.391	2.00423728814
8.21908127208	1.714	0.336	1.95762711864
8.35967773003	1.555	0.379	1.73728813559
8.71731448763	1.682	0.319	1.8686440678
9.8480565371	1.891	0.336	1.79237288136
10.426656316	2.127	0.449647722862	1.71610169492
9.26148409894	1.995	0.389	1.25423728814
9.00706713781	1.677	0.3	1.56355932203
11.9505300353	1.849	0.43	2.11016949153
13.1489011356	2.29426320028	0.436	3.01694915254
12.2791519435	1.887	0.324	1.58898305085
12.5053003534	1.87368840512	0.34	1.71186440678
9.96113074205	1.873	0.385	1.55084745763
12.0140201504	2.161	0.372	3.23714131104
11.0140394694	1.995	0.325	4.87040152817
10.1731448763	1.934	0.399	2.08474576271
8.62897526502	1.774	0.268	3.27966101695
9.48056537102	2.259	0.302	3.24152542373
7.81978798587	2.181	0.361	3.26694915254
9.13427561837	2.10970856396	0.362	3.84322033898
11.9436105698	2.205	0.299	3.68644067797
9.57243816254	1.569	0.277	2.05084745763
10.554770318	2.051	0.411	3.72033898305
8.66431095406	1.94	0.373	2.70338983051
4.21908127208	1.328	0.323	1.58898305085
7.2332155477	2.113	0.378	3.54661016949
7.83745583039	2.151	0.353	3.13983050847
4.50883392226	1.66	0.269	2.52118644068
7.27915194346	1.828	0.34	3.13983050847
8.86925795053	1.923	0.376	2.48305084746
8.97173144876	2.035	0.345708563961	2.57627118644
11.4854457918	1.813	0.338	2.05084745763
8.75618374558	1.8	0.376708563961	1.81779661017
12.2876127592	1.952	0.361	2.99152542373
14.5287504509	1.935	0.31	2.8813559322
11.3791030158	1.756	0.335	1.39830508475
10.1342756184	1.673	0.266	1.45762711864
8.58303886926	1.799	0.258	2.24576271186
9.08127208481	1.799	0.317	1.93220338983
13.3205673002	2.196	0.264	2.68644067797
11.0848056537	1.912	0.35	1.87288135593
7.91519434629	1.577	0.29	1.33898305085
8.85159010601	1.685	0.358	1.84745762712
11.2332155477	1.823	0.375417127923	2.06779661017
11.519434629	1.737	0.295711699961	1.93644067797
9.08833922261	1.646	0.309812694674	1.65677966102
8.05300353357	1.743	0.331	1.69915254237
7.86925795053	1.715	0.296	1.97457627119
8.60424028269	1.834	0.339	1.5
9.42377155043	1.574	0.311	1.28813559322
9.83745583039	1.65835415752	0.298	1.68982626467
9.27561837456	1.749	0.343	1.49152542373
8.96466431095	1.836	0.305	1.93220338983
9.12014134276	1.917	0.343	1.54237288136
11.8357880617	1.933	0.388092635445	1.4422353395
8.37809187279	1.809	0.380324136805	2.10169491525
7.56890459364	2.012	0.325	2.27118644068
7.75971731449	2.009	0.31	2.53654872574
8.77385159011	1.733	0.33073613814	2.17372881356
10.3082307562	1.625	0.312	2.60169491525
8.4628975265	1.67	0.477714972783	1.91949152542
8.19081272085	1.495	0.319	1.5593220339
8.10600706714	1.502	0.292708563961	1.83474576271
7.43462897527	1.297	0.307	1.99576271186
8.48409893993	1.471	0.271	1.63983050847
8.18374558304	1.606	0.280708563961	1.83050847458
8.21201413428	1.594	0.332	2.02542372881
10.0201521728	1.68	0.287	2.02966101695
7.3074204947	1.463	0.326	2.52966101695
7.55477031802	1.757	0.291	2.07203389831
8.87985865724	1.621	0.305	2.65254237288
8.36749116608	1.565	0.362	2.91949152542
8.56890459364	1.511	0.33	2.96186440678
8.67844522968	1.497	0.362622163897	2.58474576271
8.28268551237	1.649	0.3	2.0
6.67491166078	1.55191475702	0.382	2.25
6.8161411992	1.481	0.342708563961	2.27542372881
7.27561837456	1.45	0.364	2.18644067797
8.13427561837	1.501	0.315454936837	1.72881355932
8.25402362633	1.435	0.342919620366	1.71610169492
7.74911660777	1.568	0.288	2.96438414246
10.1024734982	1.5163262187	0.338	2.89830508475
6.89399293286	1.277	0.316	1.70338983051
6.59363957597	1.4	0.380698516083	1.44915254237
6.57950530035	1.95185209632	0.331007453335	1.41101694915
7.78301976233	1.305	0.317	1.35169491525
