SP1_TP	SP1_FP	SP1_TN	SP1_FN
11.143	3.414	0.386	9.21954674221
10.667	3.636	0.427	9.54249291785
10.409	3.73110199569	0.375	9.111898017
11.4893408877	3.913	0.617	9.56798866856
11.188	3.588	0.504	9.43059490085
10.651	3.48172829585	0.465	9.0269121813
11.47	3.51	0.392	9.62464589235
11.306	4.48	0.456	10.1303116147
11.331	3.186	0.392	8.65155807365
12.407778959	3.651	0.373	10.4065155807
12.0346372426	4.009	0.425	9.111898017
10.561	4.117	0.397	9.05773918534
11.1382356877	3.713	0.375	8.89660056657
9.799	3.821	0.375	7.62606232295
10.87	3.718	0.393585048143	8.59915014164
10.532	3.78	0.332	8.17138810198
10.49	3.534	0.381708563961	8.71529745042
10.913	3.411	0.543	9.51118423748
10.173	4.24	0.386	8.85269121813
10.481	3.349	0.344832968925	8.66430594901
11.1800806829	2.908	0.335	8.36260623229
10.454	2.92	0.345	8.08142768163
10.3335812152	2.803	0.408	8.35552407932
9.058	2.98960881205	0.43527436433	8.10339943343
9.487	3.008	0.417475938274	7.79886685552
9.095	2.844	0.39073613814	8.2209631728
8.706	2.693	0.351906234427	7.75705286317
9.368	2.929	0.387564513597	8.20821529745
8.86136516435	3.248	0.393	8.25035587221
8.544	3.261	0.422	7.15864022663
9.315	3.499	0.403614012668	8.29246059362
9.13615406782	3.214	0.35030027335	7.5821529745
8.764	3.282	0.359417127923	6.91076487252
7.862	3.227	0.477	6.84277620397
8.545	2.9529248539	0.384417127923	6.59773371105
8.271	2.776	0.348834255846	6.36685552408
