SP1_TP	SP1_FP	SP1_TN	SP1_FN
8.137	3.545	0.584417127923	5.58073654391
8.576	3.387	0.46	5.5835694051
8.92676020481	3.697	0.415163935634	5.68413597734
9.87780152917	3.477	0.448417127923	6.63456090652
8.96182240916	3.937	0.389417127923	5.9178470255
7.971	3.605	0.355	5.54532577904
8.844	3.273	0.401507305322	6.1104815864
9.344	3.361	0.451582955036	6.43201133144
9.659	3.26	0.437708563961	7.1671388102
9.446	3.576	0.47573613814	6.90793201133
9.507	3.527	0.434708563961	6.48725212465
9.511	3.78914884606	0.420264298356	6.18555240793
10.6173810286	3.2435343272	0.384	7.29178470255
9.468	3.323	0.438736423039	7.14677454508
9.174	3.734	0.384	6.44541520914
10.908	3.31954543298	0.399	6.9178470255
11.083	3.61439145847	0.407580233791	7.03868108591
11.02	3.581	0.313	7.03966005666
10.7718223444	3.333	0.428708563961	6.36543909348
10.336	3.402	0.412	7.18555240793
10.479	3.209	0.494293939953	8.22061792651
9.976	3.636	0.611	7.81303116147
10.453	3.654	0.508	6.69971671388
9.757	3.659	0.492	8.01274787535
9.948	3.903	0.45372081194	7.82577903683
10.086	3.65	0.393	7.89943342776
9.614	3.224	0.527	7.54208011893
10.208	3.575	0.433	7.87535410765
9.733	3.684	0.433	7.89235127479
9.857	3.398	0.439	8.50849858357
10.759	4.64607855358	0.386	8.39366078558
10.094	3.759	0.354	8.85552407932
10.832	3.842	0.32	8.23937677054
11.0754624116	4.578	0.454244015316	8.16005665722
10.841	4.76577867213	0.455	8.62747875354
11.392	3.893	0.482	8.82436260623
12.7798462666	3.571	0.542	8.51174626793
12.398	3.524	0.551	9.49291784703
12.363	3.756	0.572	9.59348441926
11.892	3.843	0.579	10.1855524079
12.4663708572	3.637	0.499708563961	9.25212464589
10.495	3.467	0.516708563961	10.1798866856
11.742	4.24169133647	0.55879651086	8.76203966006
10.3287192124	3.459	0.601	8.18696883853
11.497	4.083	0.36773613814	9.3597733711
11.118	3.724	0.391726433794	8.66288951841
10.82	3.993	0.381	8.9447592068
10.953	4.307	0.406	9.23229461756
12.767	3.928	0.350434997755	9.3328611898
13.7115507632	3.76874933061	0.458	9.20254957507
12.915	4.13	0.386	9.70679886686
12.7697470407	4.92519718607	0.368742946367	9.63597733711
