STAT2_TP	STAT2_FP	STAT2_TN	STAT2_FN
2.56682769726	0.913	0.218229657797	0.751
2.67471819646	0.941	0.093	0.761629962471
2.78099838969	1.089	0.140874391074	0.73
2.45249597424	1.091	0.161708563961	0.78
2.68599033816	1.264	0.089	0.686
2.59420289855	0.979	0.088	0.688
3.08051529791	0.936	0.100585048143	0.68
3.14975845411	0.977	0.110849879555	0.698
3.37198067633	0.969	0.11	0.763661255549
3.543536986	0.922	0.09	0.767
2.93880837359	0.992	0.096	0.715
2.94524959742	1.142	0.134107109969	0.688
3.24798711755	0.953	0.146708563961	0.69
2.93236714976	1.06154514194	0.12	0.805
2.89049919485	0.977	0.153648778229	0.726
2.97906602254	0.932	0.228083608727	0.748
2.88727858293	1.132	0.10735097905	0.78
2.58937198068	1.013	0.095	0.853042032991
2.9806763285	1.019	0.10635097905	0.844
2.66827697262	0.908	0.105	0.677
3.04669887279	0.934	0.125585048143	0.752723675726
2.53784219002	0.917	0.091	0.753
2.9694041868	0.901	0.186	0.788
2.692431562	0.886	0.19035097905	0.773
2.9500805153	0.961	0.137	0.786
2.94041867955	0.993	0.135	0.828
3.346215781	0.996	0.265	0.959115671773
3.36231884058	0.986	0.120950067798	0.877
3.46591583976	0.978	0.132	0.951
2.93236714976	0.961	0.179	0.901
3.25603864734	1.021	0.0877085639614	0.869
3.73107890499	1.0777072166	0.094	1.02631701697
3.66988727858	1.339	0.105	0.928
3.09822866345	1.0	0.083	0.875
3.23188405797	0.959	0.146	0.861635685658
3.28502415459	1.097	0.135417127923	0.791
3.43961352657	1.12513929932	0.115	0.785
3.17713365539	1.053	0.108807610522	0.782
3.1690821256	1.059	0.113708563961	0.864
3.15942028986	0.952	0.106	0.762
2.9500805153	1.038	0.092	0.793
3.0998389694	1.081	0.096	0.772
3.38325281804	0.982	0.108	0.879
3.59581320451	1.094	0.096	0.841
3.28019323671	0.958	0.117708563961	0.798
3.21417069243	0.876	0.101	0.792
3.53945249597	1.052	0.132708563961	0.832
3.37842190016	0.956	0.123708563961	0.942
3.43156199678	0.981	0.0908076105222	0.91
3.64332093122	0.876	0.102	0.933
3.87799635014	1.151	0.098	0.869
3.29307568438	1.048	0.0917085639614	0.936
3.47826086957	1.086	0.095	0.987
3.45088566828	1.175	0.0967085639614	1.007
3.14814814815	1.181	0.09	0.888874391074
3.22544283414	1.061	0.127	0.971
3.27214170692	1.112	0.089	0.802
3.33172302738	0.989	0.125	0.926
3.17874396135	1.045	0.114	0.925
3.681713665	1.069	0.105	0.922
3.3768115942	1.131	0.136708563961	0.806
3.47826086957	1.159	0.115	1.03390675477
3.41223832528	1.029	0.12935097905	1.022
3.48953301127	0.807	0.109708563961	0.924
3.63607085346	0.857433789293	0.089	0.994537119552
3.57004830918	1.19759690172	0.132	0.909
3.74074074074	1.034	0.154708563961	0.927
3.78099838969	0.998	0.122	0.905
3.53458568108	0.896	0.105	0.918873353818
3.36714975845	0.992055094201	0.0997085639614	0.845
3.65539452496	0.949	0.159032700766	0.955
3.74557165862	0.985	0.102587437248	1.017
4.21430964896	1.092	0.111418017068	0.843
3.61513687601	1.039	0.132	0.929
3.66827697262	1.02070856396	0.105	0.841
3.42190016103	1.103	0.139610529215	0.863
3.10144927536	1.167	0.096	0.829
3.57809983897	1.009	0.103708563961	0.893
3.35587761675	1.11570856396	0.109708563961	0.864
3.62157809984	1.314	0.107708563961	0.87
4.27375201288	1.376	0.147	1.031
3.43639291465	1.165	0.129	0.929
3.31078904992	0.981	0.109585048143	0.792
3.36876006441	0.941	0.091	0.866
