E2F6_TP	E2F6_FP	E2F6_TN	E2F6_FN
4.641	1.572	0.298125691884	2.307
4.169	1.733	0.344	2.719
4.77256689982	1.772	0.399	2.871
4.398	1.488	0.437754982631	2.85
4.614	1.77195165325	0.352	2.932
4.72993537165	1.629	0.525708563961	2.84771670718
4.76361037993	1.55	0.284	3.326
4.055	1.446	0.332485741938	3.38779565882
4.196	1.581	0.312	2.752
4.155	1.63131134434	0.333	2.88
4.242	1.689	0.394	2.83
4.401	1.756	0.349591709388	2.932
4.26	1.664	0.375	2.812
4.345	1.77223368661	0.389	3.111
4.31592882699	2.066	0.35	3.256
4.654	2.054	0.33835097905	2.838
4.399	1.731	0.328	2.92
4.422	1.615	0.333	2.822
4.87975177409	1.83292469858	0.32	3.062
4.614	1.568	0.362	3.024
4.49268781637	1.91	0.354	3.1743844541
4.85	1.864	0.392	3.005
4.54	1.851	0.338860331804	3.18730700821
4.757	1.808	0.488708563961	2.93351164756
5.112	1.772	0.426	2.971
4.75224789318	1.763	0.272	3.356
5.01568944765	1.563	0.33	3.298
4.608	1.542	0.281708563961	3.078
4.855	1.661	0.355	3.015
4.95533021685	1.737	0.342	2.766
5.052	1.641	0.323708563961	2.822
4.717	1.787	0.368	3.225
4.679	1.797	0.372	2.929
4.483	1.865	0.461272120516	3.057
4.76	1.922	0.404	2.966
4.559	1.76305648217	0.379	3.137
4.568	1.624	0.490417127923	3.043
4.549	2.187	0.417397540578	3.502
4.52804858831	1.739	0.384	3.302
5.13	1.677	0.359	3.397
4.375	1.97545099873	0.34	3.45288217866
4.794	2.051	0.405	3.636
5.11784593557	1.705	0.496	2.959
4.9041843401	1.671	0.523	2.957
4.649	1.919	0.546	3.738
4.65	1.97	0.361708563961	3.55
5.034	1.837	0.367708563961	3.347
5.017	1.804	0.436	3.688
5.304	1.87902783224	0.335	3.92868603528
5.405	1.953	0.346	3.268
5.156	1.869	0.43180556991	3.3
5.148	2.11029019091	0.326	3.4853303465
5.52657890108	2.05	0.354417127923	3.23107205094
4.993	2.20790134598	0.342	3.364
5.431	2.33880107632	0.366	3.534
5.236	2.091	0.347874391074	3.381
5.53	2.144	0.3	3.188
5.53438952227	2.039	0.331417127923	3.273
5.821	2.014	0.304	3.38
6.258	1.924	0.304	3.783
6.496	2.049	0.324	3.381
6.01597585563	2.112	0.296	3.121
6.1299321453	1.971	0.366980603858	3.489
5.256	1.785	0.352	3.196
5.00342525149	1.996	0.307	3.17
5.215	2.326	0.455	3.217
5.002	1.77	0.389	3.36
5.437	1.821	0.501	3.57501028473
5.263	1.787	0.448	3.347
5.015	1.926	0.534	3.448
5.264	1.828	0.415	3.371
5.096	1.859	0.633	3.61493403103
5.178	1.851	0.389	3.546
5.066	1.893	0.38	3.311
5.073	2.072	0.28	3.502
4.813	1.968	0.331	3.065
5.01992028278	2.124	0.343	3.23
5.4	2.327	0.288	3.54512355375
5.184	2.00147692187	0.268	3.362
5.99310284571	2.079	0.344	3.641
5.976	2.23413427848	0.35	3.414
5.909	2.077	0.346	3.611
5.805	1.935	0.338	3.399
5.816	2.103	0.359585048143	3.538
5.548	2.269	0.336	3.744
5.39	1.853	0.284	3.272
5.016	2.076	0.299	3.449
5.115	2.186	0.25	3.375
5.329	2.18236176983	0.394	3.334
5.488	2.42256868621	0.279	3.302
5.551	2.342	0.279417127923	3.286
5.738	2.12	0.313247189367	3.009
5.48	1.963	0.3	2.819
5.636	2.157	0.35	3.278
5.903	2.308	0.397	3.478
5.9	2.282	0.406	3.972
4.544	1.861	0.303	3.307
4.73	1.987	0.326417127923	4.576
5.598	2.057	0.343	5.858
6.583	2.588	0.476708563961	6.032
4.128	1.319	0.28835097905	3.878
7.591	2.548	0.568417127923	6.737
6.01	2.044	0.511	5.74810489173
5.485	2.003	0.358708563961	4.462
5.55605533082	1.88990958789	0.317	3.59523092148
6.51399066988	2.346	0.406417127923	4.75
5.988	2.29	0.294	4.378
5.994	2.00189599173	0.372	3.643
5.668	1.92366511587	0.336	3.393
5.89071846039	2.006	0.363946364961	3.813
5.656	2.03066535222	0.426	3.739
5.842	2.171	0.328	3.593
5.675	2.226	0.317	3.563
6.00161308479	2.38	0.434	3.526
5.467	2.16924393005	0.313	3.131
5.47	2.14	0.279	3.042
5.897	2.264	0.309	3.831
5.524	2.112	0.29	3.392
5.67914134881	1.879	0.32	3.528
5.606	2.122	0.344	3.853
5.839	2.523	0.342005181289	4.044
6.61412267143	2.306	0.355	3.929
5.626	1.991	0.266	3.366
5.303	2.29793935165	0.288841302962	3.304
5.312	2.109	0.285	3.253
5.323	2.1	0.292	3.572
5.117	2.556	0.310247189367	3.761
5.135	2.12401371796	0.253	3.638
5.298	1.9	0.354	4.004
5.36907484669	1.95275698304	0.271	3.892
5.136	1.891	0.282	3.847
5.288	2.11929096142	0.317708563961	4.56798209358
5.552	1.873	0.293	3.59
4.939	2.065	0.349	3.421
5.252	2.53	0.365	3.66926571949
5.77632067391	2.328	0.287	3.415
5.118	2.121	0.282	3.498
5.69374887846	2.108	0.305	3.292
4.792	2.127	0.245	3.472
4.915	1.859	0.274	3.333
4.868	2.124	0.309874391074	3.495
5.056	1.986	0.31	3.45
4.909	1.868	0.26	3.533
5.352	2.2	0.274	3.27135539147
5.18289022568	2.157	0.247	3.26840079825
5.427	2.007	0.246	3.366
5.227	1.969	0.328	3.141
5.408	2.10764574025	0.288	3.085
5.42316385859	2.18590257003	0.275	3.232
4.817	1.974	0.288	3.119
4.97163481909	1.867	0.297998425278	3.231
4.721	2.206	0.298	3.808
4.962	1.797	0.297267273899	3.49394447117
5.725	2.016	0.272	3.512
4.974	1.663	0.314	3.393
5.336	1.704	0.265	3.345
5.283	1.74	0.268874391074	3.588
5.074	1.61	0.262	3.483
4.879	1.619	0.246708563961	3.14
5.183	1.871	0.264	3.326
