ATF1_TP	ATF1_FP	ATF1_TN	ATF1_FN
5.78012036362	1.18835604061	0.201	1.003
5.36400440899	1.105	0.187	1.002
4.80765466674	1.126	0.222	1.074
4.75	1.132	0.241	1.29434933898
4.456	1.037	0.232	1.16630527522
4.395	1.176	0.216	0.88
4.602	1.216	0.224	0.86
4.569	1.24	0.25	0.773
4.379	1.15	0.226	0.75
4.236	1.155	0.22	0.817
4.385	1.192	0.237	0.872
4.4	1.171	0.238	0.939
4.417	1.114	0.194	0.797
4.629	1.176	0.217	0.742
4.057	1.359	0.228	0.956
4.036	1.378	0.214	0.968
4.096	1.169	0.228	0.928
3.83	1.217	0.218	0.892
3.852	1.174	0.217	0.778
3.737	1.105	0.209	0.858
3.682	1.091	0.208	0.849
3.786	1.1235895086	0.208	0.889
3.75	1.061	0.233	0.939
3.409	1.089	0.24	0.814
3.244	1.21	0.214	0.842
