"","FACTOR","EXPR_FOLDCHANGE","EXPR_H1hesc","EXPR_GM12878","Boyle_flr_ks_stat","Boyle_fos_ks_stat","Boyle_tc_ks_stat","Centipede_90_flr_ks_stat","Centipede_90_fos_ks_stat","Centipede_90_tc_ks_stat","Cuellar_90_flr_ks_stat","Cuellar_90_fos_ks_stat","Cuellar_90_tc_ks_stat","Dnase2Tf_flr_ks_stat","Dnase2Tf_fos_ks_stat","Dnase2Tf_tc_ks_stat","FLR_90_flr_ks_stat","FLR_90_fos_ks_stat","FLR_90_tc_ks_stat","FS_flr_ks_stat","FS_fos_ks_stat","FS_tc_ks_stat","HINTBCN_flr_ks_stat","HINTBCN_fos_ks_stat","HINTBCN_tc_ks_stat","HINTBC_flr_ks_stat","HINTBC_fos_ks_stat","HINTBC_tc_ks_stat","HINT_flr_ks_stat","HINT_fos_ks_stat","HINT_tc_ks_stat","Neph_flr_ks_stat","Neph_fos_ks_stat","Neph_tc_ks_stat","PIQ_90_flr_ks_stat","PIQ_90_fos_ks_stat","PIQ_90_tc_ks_stat","PWM_flr_ks_stat","PWM_fos_ks_stat","PWM_tc_ks_stat","TC_flr_ks_stat","TC_fos_ks_stat","TC_tc_ks_stat","Wellington_flr_ks_stat","Wellington_fos_ks_stat","Wellington_tc_ks_stat"
"11","ZNF354C",-2.0658905111,4.5824435,2.5165529889,-0.20475943233,0.0104707792208,-0.0995234061582,-0.328586605591,-0.0684135460546,-0.215975265696,-0.241111111111,-0.131440411665,-0.0684786712239,-0.515257578127,-0.427655632597,-0.255954666604,-0.432675024687,-0.422501351966,-0.0756305715225,-0.0499429295115,-0.017675655843,0.0179981990248,-0.518837285627,-0.334805404785,-0.0757372805039,-0.484739150922,-0.431328579612,-0.431328579612,-0.510501137592,-0.374311550646,-0.0971876610376,-0.166637826059,-0.432625338388,-0.375244866769,-0.502130062361,-0.0266953045132,-0.0754105007524,-0.022627591287,-0.034862520737,-0.0547640596339,-0.193733789475,0.105907332003,-0.112344299671,-0.227387881468,-0.219093191089,-0.23886329923
"12","NFIL3",-1.9969227889,5.4661834444,3.4692606556,-0.20200845666,-0.0952380952381,0.0707597004356,-0.226235496347,-0.110440251572,0.00460257490343,-0.249369369369,-0.111261822984,-0.0262446045838,-0.505616532156,-0.275227907034,-0.0172686366979,-0.304026683585,-0.290169908889,-0.0580359306368,-0.0443938875584,-0.0547619047619,-0.0783145962987,-0.511705668326,-0.178473577419,-0.06084586807,-0.453119468156,-0.288580459989,-0.288580459989,-0.496532244422,-0.206364890062,-0.0394473648455,-0.239420884633,-0.329697829234,-0.415834830828,-0.476913082131,0.0112849678674,-0.0532089063762,-0.15160311566,-0.195022680489,0.0508537920407,-0.161625749641,0.0994592506388,-0.0294087025938,-0.187426835593,-0.237158243579,-0.0391703188695
"13","FOXH1",-1.9547421,7.0327085556,5.0779664556,-0.443218673219,-0.0264626462646,-0.111516790672,-0.387707641196,-0.083689314235,-0.208043973164,-0.399562715765,-0.228180861502,-0.0705165373039,-0.513772809415,-0.345667653683,-0.027557102813,-0.402371414638,-0.335180541464,-0.0722458805267,-0.0445100105374,-0.0044477028348,-0.00482582228034,-0.519121353143,-0.344073801638,-0.0723697793066,-0.398561050766,-0.435933759226,-0.435933759226,-0.505654774583,-0.372807715009,-0.0997976741108,-0.444444444444,-0.37694192713,-0.0830154565477,-0.490205025478,-0.0861298389844,-0.0719392284675,-0.120961145194,-0.150059927951,-0.0671767026239,-0.213367410428,0.0421297470331,-0.115122074763,-0.229422015684,-0.296773911523,-0.292999798447
"14","E2F3",-0.9704539,7.6233014444,6.6528475444,-0.23147369596,-0.0405060769078,-0.0559566857542,-0.210111240246,0.0241416903498,-0.101312699587,-0.0382624137785,0.110038293843,-0.0122152025065,-0.328509586718,-0.162832638692,-0.332520164467,-0.0939978043861,-0.156976923958,-0.0216044176502,-0.0146549187986,-0.0357054503835,0.0391062712058,-0.331441140328,-0.165611969379,-0.0219711152527,-0.230105017076,-0.165598341875,-0.165598341875,-0.32294183682,-0.117159346977,-0.0411780676002,-0.205861651404,-0.116647835796,-0.0947768253789,-0.311268215353,0.106187255551,-0.020825793025,-0.0926796338828,0.305804792815,-0.0101535140273,-0.114862806743,0.0889772709357,-0.0701665955679,-0.12524454793,-0.0833126358274,-0.141274760162
"15","SOX3",-0.8926029722,7.0991445556,6.2065415833,-0.102461277983,0.0106080547513,-0.0497799638691,-0.0905172413793,-0.0621695479118,-0.262959790945,-0.183169014085,-0.135326867245,-0.0223523942032,-0.331141194442,-0.217963770959,-0.125268127074,-0.269486844947,-0.201101194538,-0.0237493620289,-0.018967032967,-0.0232413793103,-0.0473288923132,-0.336475352256,-0.173696439202,-0.0249211483191,-0.209636251704,-0.226635742222,-0.226635742222,-0.321873758632,-0.21684826991,-0.0493616104631,-0.0541379310345,-0.22449685937,-0.116276844262,-0.303750547474,0.0249516637367,-0.0211957216431,0.0278928677123,0.0727473011677,-0.012863193175,-0.123611354609,0.146911083923,-0.0300839823328,-0.103857618405,-0.22076247943,-0.22140364594
"16","FOXD3",-0.8880820389,6.6675806667,5.7794986278,-0.0411183027688,0.0038062283737,-0.03829356293,-0.0236874236874,0.0291229211186,-0.26311959022,-0.00428785607196,-0.165662219053,-0.02352435425,-0.299608395559,-0.248475228128,0.103614036755,-0.0590585358116,-0.239080683139,-0.0234334591202,0.0268195507412,0.0159519168291,-0.032729510374,-0.301778489618,-0.265578178266,-0.0243162554505,-0.263298390425,-0.266936815493,-0.266936815493,-0.295827101174,-0.34401410159,-0.0473165373363,-0.00957396505662,-0.263520341633,-0.335811437663,-0.285146973471,-0.0178685700561,-0.0216558404477,-0.180831984058,0.0147302531924,-0.0146291928322,0.000460035353199,0.147948158685,-0.0194419137941,-0.0321145929159,-0.307980049875,-0.155167923762
"17","GABPA",-0.7648685556,8.661842,7.8969734444,-0.190619307832,-0.203526448363,0.0674090995662,-0.149000232504,-0.0625337934019,0.155631154655,0.0429892141757,-0.139255515974,0.0917718401423,-0.174605238564,-0.0693667566599,-0.0139252044055,-0.0663820322637,-0.0572862413753,0.0836409296874,-0.0186694415105,0.0233331166791,0.188337448856,-0.179689404604,0.00959554430057,0.0795575516906,-0.174385853222,-0.076974077814,-0.076974077814,-0.167545627149,0.0383797912576,0.117728274044,-0.132142857143,0.0054000043842,-0.024826849442,-0.154544848277,-0.0641009487511,0.0921782652677,0.0212095501645,-0.00989049945075,0.0549005427999,-0.0470981165946,0.00952807493089,0.0201022198729,-0.0541686146865,0.0410731867411,0.0804001152439
"18","EGR1",-0.7124214333,8.4510034444,7.7385820111,-0.179116592874,0.125284036203,-0.0569555182421,-0.158052615099,0.000493717948784,-0.143740167655,-0.0188473648005,-0.0155841433469,-0.0200423060626,-0.222268122719,-0.0998113271339,-0.311855863714,-0.0622357414117,-0.095878888862,-0.0197291221838,-0.00494967637349,0.0587742653528,0.100979726978,-0.225145936644,-0.0866814707256,-0.0198612793007,-0.213926301543,-0.102905339943,-0.102905339943,-0.217644783357,-0.0171495907723,-0.0430899018757,-0.220728922078,-0.0639659046472,-0.136056841677,-0.209280090679,0.031537942875,-0.0195061479428,-0.106052910784,0.181850584142,-0.0146229304392,-0.064333607668,0.0489489663486,-0.0609974594797,-0.0692809121358,0.020469622905,-0.198928564087
"19","SOX5",-0.6926883222,3.8766035556,3.1839152333,-0.0820017090365,-0.087415480876,-0.0216427282621,-0.0790419161677,-0.0343886286545,-0.293269045165,-0.285163853029,-0.134414879343,-0.00324232503399,-0.31573246768,-0.232208574685,-0.0978436313187,-0.281690731496,-0.21909500866,0.0267348279752,-0.00410050340016,-0.134210526316,0.0260249890391,-0.31942045673,-0.18780554713,0.0212384483082,-0.26314354138,-0.240734766314,-0.240734766314,-0.311345485956,-0.191228660513,-0.0306388354208,-0.0441823899371,-0.277198147653,-0.284842807156,-0.298207758375,0.0184913185841,0.0363334217865,-0.148242695227,-0.174095312134,0.0272264922211,-0.152040499939,0.0975882895197,0.0413303928179,-0.157822334857,-0.252002803925,0.0994627844087
"20","REST",-0.6212560778,8.5147308333,7.8934747556,-0.134799573134,0.0914298914299,0.0659815109686,-0.111736842105,0.0376085199114,0.0666502598879,-0.0308932586566,-0.0320279222274,0.0840897223029,-0.1793904763,-0.03729879013,-0.00400092431498,-0.124304457596,-0.0297957658255,0.0727036945984,0.0161344891014,-0.00534302541519,0.107007863681,-0.183391681297,-0.124971666418,0.0680903904255,-0.149068459871,-0.042815086398,-0.042815086398,-0.174086883646,-0.0640716790507,0.049523077219,-0.150165125495,-0.00920275936952,-0.195239548961,-0.165344025417,0.0803561497537,0.080078495985,-0.0337371115437,0.155816644207,0.0531910600967,-0.0529511988893,0.0829950079992,0.0415851024039,-0.0416271818635,-0.0202584954981,0.0212988539987
"21","ERG",-0.5708799333,3.9203937778,3.3495138444,-0.0366001546043,0.0195431855998,0.00132097711621,-0.0172388528365,0.0169348959354,-0.0781209604617,-0.0849728412703,0.0175468394758,0.0205998000402,-0.189272116597,-0.0786162629774,-0.32604455782,-0.0175823798216,-0.0653324368831,-0.0165769880384,0.022491262709,0.0702622753137,0.0431914500151,-0.193602755922,-0.0908252571585,-0.0168348594244,-0.175633842344,-0.0883675515202,-0.0883675515202,-0.183003373001,-0.0712451912155,-0.00161783826013,-0.0395637042696,-0.00125278280695,-0.248531525437,-0.170841668728,0.0331788971248,-0.0160554114265,-0.102500481297,0.0972636901727,0.0307290426642,-0.0471278812784,0.0807050077434,-0.0215729800716,-0.0464192418953,-0.060169198895,-0.045798471177
"22","NKX3-1",-0.5650047333,5.3454291667,4.7804244333,-0.138888888889,-0.0321428571429,0.0337278998433,-0.135364659814,-0.0471034273582,-0.0955706243948,0.023781512605,-0.0492877024486,0.0173975315045,-0.222265333585,-0.203785721354,0.0777849092112,-0.127694429618,-0.182013969346,-0.00127402277406,-0.0411781609195,0.027731092437,0.275282525514,-0.227400676468,-0.0938283212369,-0.00458705388702,-0.155981390909,-0.218303691909,-0.218303691909,-0.211003724367,-0.0662275584784,0.0168974288842,-0.154530201342,-0.346642228788,-0.0378543441654,-0.188934452916,-0.102931312004,0.00560534034334,-0.00399025852379,-0.212873140397,0.079850384785,-0.0183806347053,0.0500991934693,0.0299506365482,-0.0472491909385,-0.175343811395,0.394778709056
"23","TP53",-0.5304638611,9.9692148611,9.438751,0.0133879781421,-0.00134852359916,0.0315708441444,0.0114173228346,-0.0146666666667,-0.239892394791,-0.111829573935,-0.00341185902377,0.0243344256163,-0.146054840968,-0.0546369600246,-0.000728643359318,-0.157599188407,-0.0371832743206,0.0157930510826,0.00893217893218,0.0780487804878,0.0702097618489,-0.15159951715,-0.0804665611879,0.0128946834179,-0.131717222126,-0.0674919947347,-0.0674919947347,-0.14138135605,-0.0466189868943,0.00479355699803,-0.0272972972973,-0.0671490539337,-0.27057657047,-0.133715570476,0.0264992027128,0.0184748595637,0.0655127379419,-0.0786194001134,0.0590531114369,-0.0443639291465,0.0655517603393,0.00495192606695,-0.0469452030306,-0.0952894438138,-0.0134899557669
"24","KLF4",-0.5264230167,4.3891591111,3.8627360944,-0.11553611485,0.0370018115942,-0.0433510683205,-0.126727199869,-0.0328891125792,-0.0234103833688,0.0315956443963,-0.109279396382,-0.00174677307413,-0.152474826903,-0.0761733435575,-0.289939318115,-0.0295754079323,-0.0716640759645,-0.00657937698553,0.0131937230025,0.0557342286019,0.348691124754,-0.154955859973,-0.0381738355363,-0.00689041808089,-0.113377725145,-0.0786097786046,-0.0786097786046,-0.148112103716,0.0605530048531,-0.0264538763589,-0.154561928134,-0.0297389497235,-0.00840527687882,-0.139536868565,0.00280430672041,-0.00612853927699,-0.155575994593,0.142881658039,0.000955509759057,-0.0383683952644,-0.0021422203038,-0.0330259549038,-0.0445289829072,0.0811329942647,-0.125812672024
"25","HLTF",-0.5141725,8.3729281667,7.8587556667,-0.0586524822695,-0.0510452726701,-0.0471534947346,-0.0555151231889,0.018980600989,-0.0227779722465,-0.0877544564613,0.0426637122429,-0.0130314975334,-0.150609555871,-0.050542107019,-0.331097970367,-0.141342933096,-0.0466419173408,-0.0142212554638,0.0482773653823,-0.00372024635188,-0.0331839077744,-0.153966776212,-0.0626156322153,-0.014452286594,-0.16471635307,-0.0542366350215,-0.0542366350215,-0.145218943634,-0.0306645891297,-0.0410995841986,-0.070927522722,-0.015983341559,-0.0171838897443,-0.14107797507,0.112599921956,-0.0138502918953,0.0474889812836,0.234674853152,-0.00877609668474,-0.0491019682588,0.0516162630029,-0.0549881305215,-0.0529569386923,-0.0314116777531,-0.1614747773
"26","CEBPB",-0.5116559222,6.3966905556,5.8850346333,-0.0372193953906,-0.0387918190437,0.0218885446593,-0.0374643874644,-0.0121921556704,-0.168663162812,-0.126666666667,-0.0774054469393,0.00905637067162,-0.157066072114,-0.152033870345,-0.110659987609,-0.132375212618,-0.131605520927,-0.00452583031129,0.00358472322939,0.0272534464475,-0.0204149002281,-0.166172494773,-0.132722059657,-0.00642866525885,-0.187128365269,-0.164611687936,-0.164611687936,-0.149513882282,-0.111439143455,-0.00843935501151,-0.009375,-0.162434832749,-0.039552950741,-0.129025538129,0.0755575176816,-0.000803714375532,-0.0661912532135,-0.08251123538,0.0384611177881,-0.0322076108295,0.0947688090855,-0.0168895274758,-0.0541300226543,-0.100329781837,-0.0952740536042
"27","MAFB",-0.3975071222,5.0393535,4.6418463778,-0.0573847576957,0.048587674248,-0.0220867059912,-0.0171079986869,-0.0537385614717,-0.151938347023,0.0419305873982,0.0313426546861,0.00426664049689,-0.120612100377,0.0277087304305,-0.0754729236927,-0.104192032054,0.04123159536,-0.00455732691097,-0.00796232218378,-0.00536540738349,-0.0188073312942,-0.124554192379,0.0257365338075,-0.00519725981098,-0.17731810092,0.0168995416758,0.0168995416758,-0.112613995741,0.0295845381403,-0.0253589660173,-0.0519607843137,0.0463682108019,-0.101156041617,-0.10437251715,-0.102476227869,-0.00350840236404,0.0493116778458,-0.0974306166275,0.0305197430295,-0.0453319210386,-0.00185918676392,-0.0331038425167,-0.0582626750697,0.0921539600296,-0.0992623453034
"28","E2F1",-0.3927608556,7.4081001111,7.0153392556,-0.129359430605,-0.0927123552124,-0.0361828892305,-0.130508474576,0.00346223645399,-0.0651690607194,0.0274777090969,0.0570741528107,0.0114265912727,-0.108614467327,0.0113806516177,-0.289962455442,-0.0932617209531,0.0170494563822,0.00731073532435,0.000250404174015,0.0539942770907,0.101023469278,-0.110961473264,-0.0325285062476,0.00685926307155,-0.104381349369,0.00810632141655,0.00810632141655,-0.102842351604,0.0217496558866,-0.0153421825132,-0.144252873563,0.0440065347297,-0.0953682627247,-0.0904792504208,0.0748193337493,0.00822396020145,-0.189618756251,0.307054315678,0.00740447567577,-0.0409526612925,-0.0276907326755,-0.0415413689775,-0.0410103989808,0.0517373530915,-0.135100717178
"29","GFI1B",-0.3699532556,5.525732,5.1557787444,-0.0688311688312,0.0136480471444,0.00139876738534,-0.0928065515715,-0.106095956162,0.0637361805244,-0.00619047619048,0.0246343966626,0.0151423906263,-0.193136367961,-0.143610644569,-0.0589055977,-0.0536775825311,-0.122259018178,-0.0046533635843,-0.0224815463316,0.0475189234651,-0.0185346016667,-0.201087204434,-0.00613825976974,-0.00592072333644,-0.171178477067,-0.154441090826,-0.154441090826,-0.184399869904,-0.0567449369644,-0.0132133288448,-0.018016194332,-0.172738417604,0.0542013431305,-0.168387688126,-0.00907075225014,-0.00213712642301,-0.0736338100102,-0.0973076865833,0.0596492115438,-0.0899559645776,0.0459001741845,0.0339033635593,-0.0995831384012,-0.0418326693227,0.0395750287771
"30","INSM1",-0.3575675111,6.7003285,6.3427609889,-0.0968621999967,0.0868885251864,-0.0496169267936,-0.0927117175655,0.0268363941915,-0.152235597309,0.0288767230423,0.0466620533747,-0.00962922507916,-0.0697949462016,-0.010991989452,-0.106499071479,-0.0486698692303,-0.00647421163922,-0.0108179394661,0.0231298337891,0.0309759859,0.213517807726,-0.0721246888221,-0.0402230517635,-0.0108665096858,-0.0994273665518,-0.0142293239723,-0.0142293239723,-0.066365917129,-0.0302665858406,-0.0392143668607,-0.0690246424263,0.0119210540942,0.00225278449037,-0.0605283051433,0.0842178785755,-0.0107178719609,-0.0555694395735,0.175027180835,-0.00692146142853,-0.0147402987317,0.0787321124561,-0.0563613039214,-0.00665385498058,0.0895972368575,-0.209101665561
"31","TCF12",-0.3528880278,8.6383393611,8.2854513333,-0.0657472890146,0.0395997082894,-0.0299650057647,-0.0688444186913,0.0571186760895,0.030494921954,0.00992545742037,-0.0102646192797,0.000289087017201,-0.134939837752,-0.104014998124,-0.0830487384748,-0.0950288815067,-0.0953308283334,-0.00936811053583,0.0367629209382,0.0718675265765,-0.0191835573554,-0.137341325311,-0.0707927976063,-0.00953642225866,-0.119391964893,-0.109574958042,-0.109574958042,-0.13021659509,-0.0133032497129,-0.0279247319326,-0.0558308285235,-0.0493448410963,-0.0595426782702,-0.123303964036,0.0913878659769,-0.00911776086551,-0.112867888413,0.113766603102,0.0129023921728,-0.0215931560421,0.0545998650085,-0.0390906384011,-0.026979969853,-0.0163755458515,-0.172047890708
"32","MECOM",-0.3505778778,2.913285,2.5627071222,-0.0829113924051,-0.0404314544189,0.0572680500926,-0.0422738386308,-0.0003934382502,0.165917816413,-0.0751577402788,-0.0713143329192,0.0337048170101,-0.172398902042,-0.13857555654,0.034247681323,-0.115437556244,-0.124013319518,0.0530190940502,0.026637958264,-0.00890688259109,0.274778898156,-0.177073217267,-0.0355889035835,0.0461870075044,-0.200079011681,-0.14817435502,-0.14817435502,-0.165553408043,-0.0529130495622,0.0275158129663,-0.0586038961039,-0.165341751802,0.311705650258,-0.152734494403,-0.0206442312315,0.0668018839798,0.0550496331463,-0.155856415454,0.0833547873084,-0.025848302764,0.0312087246401,0.126850056872,-0.0480781866662,-0.150413507926,0.0271704685838
"33","FOXO1",-0.3458356944,8.8310241667,8.4851884722,-0.0438556067588,-0.0291265253693,0.00302907770882,-0.0571706110915,0.0263742591588,-0.274733544422,-0.0705212274065,-0.0834561415361,0.00740205522159,-0.138187187038,-0.131811132397,-0.0292852307852,-0.173710750048,-0.117670894024,0.00795427737602,0.0189474673786,0.0524390243902,-0.0137053513549,-0.140916311188,-0.0883026959944,0.00578130698082,-0.140028567525,-0.138400436961,-0.138400436961,-0.131972664944,-0.136975421305,-0.00848703908951,-0.0133885438233,-0.123133354823,-0.276311341979,-0.119552263018,0.0425482082021,0.0135058447252,-0.117257472649,-0.0809650065584,0.0321495310462,-0.0211136563216,0.0611008353575,0.157538188161,-0.0321520901443,-0.152118434773,-0.0942696515481
