"","FACTOR","EXPR_FOLDCHANGE","EXPR_H1hesc","EXPR_GM12878","Boyle_flr_ks_stat","Boyle_fos_ks_stat","Boyle_tc_ks_stat","Centipede_90_flr_ks_stat","Centipede_90_fos_ks_stat","Centipede_90_tc_ks_stat","Cuellar_90_flr_ks_stat","Cuellar_90_fos_ks_stat","Cuellar_90_tc_ks_stat","Dnase2Tf_flr_ks_stat","Dnase2Tf_fos_ks_stat","Dnase2Tf_tc_ks_stat","FLR_90_flr_ks_stat","FLR_90_fos_ks_stat","FLR_90_tc_ks_stat","FS_flr_ks_stat","FS_fos_ks_stat","FS_tc_ks_stat","HINTBCN_flr_ks_stat","HINTBCN_fos_ks_stat","HINTBCN_tc_ks_stat","HINTBC_flr_ks_stat","HINTBC_fos_ks_stat","HINTBC_tc_ks_stat","HINT_flr_ks_stat","HINT_fos_ks_stat","HINT_tc_ks_stat","Neph_flr_ks_stat","Neph_fos_ks_stat","Neph_tc_ks_stat","PIQ_90_flr_ks_stat","PIQ_90_fos_ks_stat","PIQ_90_tc_ks_stat","PWM_flr_ks_stat","PWM_fos_ks_stat","PWM_tc_ks_stat","TC_flr_ks_stat","TC_fos_ks_stat","TC_tc_ks_stat","Wellington_flr_ks_stat","Wellington_fos_ks_stat","Wellington_tc_ks_stat"
"1","PBX1",-6.6090431889,10.0427314444,3.4336882556,-0.207142857143,-0.354794520548,-0.182513661202,-0.296201141853,-0.267349599553,-0.422374429224,-0.535251141553,-0.361495844313,-0.147191504301,-0.76723571224,-0.634186265669,-0.463232383635,-0.742863597617,-0.624424136971,-0.147372336068,-0.272599469496,-0.0762711864407,-0.168664377027,-0.76962426283,-0.663265306122,-0.148163287862,-0.780786877178,-0.642115390186,-0.642115390186,-0.763727745166,-0.679943235788,-0.1751144094,-0.146448087432,-0.644022472715,-0.441176470588,-0.755888062645,-0.461116619443,-0.146922164968,-0.43586963125,-0.118722164783,-0.144137353434,-0.596057024801,-0.411507159267,-0.195178399229,-0.593092042677,-0.545268078611,-0.281355932203
"2","MYCN",-5.9884396833,9.2460594444,3.2576197611,-0.623785277859,-0.538371260913,-0.14722213806,-0.574362266735,-0.32804643495,-0.348708487085,-0.513524141364,-0.0223679053818,-0.104969937316,-0.756619358974,-0.535476097051,-0.288878505511,-0.718315962283,-0.529014776943,-0.069575037543,-0.196488734098,-0.275698924731,-0.0786133304148,-0.758376471361,-0.704521464474,-0.0741602148867,-0.753415653696,-0.538920271505,-0.538920271505,-0.752897865672,-0.404743284702,-0.135154724475,-0.601458112407,-0.513237028133,-0.426773455378,-0.745874350476,-0.277507029175,-0.060449742195,-0.33987979547,0.199288311705,-0.111451551044,-0.503110617448,-0.0914976657979,-0.145593149283,-0.532639597189,-0.55354602167,-0.241505376344
"3","TCF7L2",-4.6467866111,8.5839345,3.9371478889,-0.590030160858,0.00997876857749,-0.188122171946,-0.590846338535,-0.267640883037,-0.353230810738,-0.412608695652,-0.209019289208,-0.147726859429,-0.720845184961,-0.463626526957,-0.338771893244,-0.641910229721,-0.44545024976,-0.14888300513,-0.136189324303,-0.129166666667,-0.168709677419,-0.724189230535,-0.652428567732,-0.14900828788,-0.617166786487,-0.471799738981,-0.471799738981,-0.715520495606,-0.617842731092,-0.176841924775,-0.622563176895,-0.474695296882,-0.336426788234,-0.704794162931,-0.192743786215,-0.148700314091,-0.30368355222,-0.0362617199347,-0.144489092997,-0.480421629661,-0.224651213065,-0.194434834215,-0.46217395039,-0.365668202765,-0.316666666667
"4","TCF7L1",-4.0784858,9.0248868889,4.9464010889,-0.691478696742,-0.188989169675,-0.178847586078,-0.69785041225,-0.184053445734,-0.32,-0.370552067747,-0.156502860486,-0.143115833583,-0.710996350465,-0.553369818801,-0.322821555587,-0.530368239787,-0.546676938785,-0.143984809417,-0.151994075439,-0.237187088274,-0.16287737758,-0.713022062932,-0.581234794573,-0.144274365826,-0.709158635935,-0.557367746899,-0.557367746899,-0.70778196069,-0.470949126725,-0.170992247197,-0.691908030199,-0.438957250892,-0.251062537948,-0.702713784554,-0.115023719598,-0.143515468533,-0.155542208475,0.169430809077,-0.135776226734,-0.445277189983,-0.115244268284,-0.192113329137,-0.459320368198,-0.354775394577,-0.336956521739
"5","AR",-2.9986960778,6.4303512778,3.4316552,-0.156565656566,-0.389205031139,-0.142810001531,-0.213456594819,-0.0786992151431,-0.199032849146,-0.224114445654,-0.242698615329,-0.10458026538,-0.591231116942,-0.421855008945,-0.178159115613,-0.351999014173,-0.407191939002,-0.109760037255,-0.0176164569874,-0.12868852459,-0.124140318225,-0.596287568865,-0.437141547154,-0.111830081337,-0.559432452913,-0.430320770257,-0.430320770257,-0.584226826202,-0.393965893187,-0.129737245292,-0.218656716418,-0.443237845741,-0.294512778327,-0.570987536707,-0.240274805443,-0.109032285867,-0.0930203248141,-0.136887130735,-0.0915029221016,-0.29303534961,0.0628183076315,-0.138976628254,-0.281385395567,-0.379493621956,-0.305074053737
"6","FOXP1",-2.8214203,6.9324866111,4.1110663111,-0.438080056104,-0.611337001722,-0.150650589494,-0.442457206923,-0.0972713982779,-0.380568151532,-0.187760534535,-0.260324566814,-0.105045846873,-0.596220911653,-0.49976336011,-0.200387610684,-0.455566117673,-0.492671649966,-0.104911517066,-0.123332641935,-0.0509335649153,-0.116735022755,-0.598304425611,-0.437889308939,-0.104991286075,-0.596310846542,-0.505029111456,-0.505029111456,-0.592463947528,-0.60655894305,-0.134382652476,-0.402133683644,-0.503050950813,-0.412196148634,-0.586285627186,-0.311931382685,-0.104843568352,-0.0558263903506,0.0515142961049,-0.10435503284,-0.286645858752,-0.0202310080273,-0.148544402148,-0.326589688434,-0.6574283987,-0.314986934719
"7","SRY",-2.7415056944,4.77859,2.0370843056,-0.0603295956507,0.0832548461286,-0.122240431337,-0.117000577923,-0.116049519178,-0.369761480841,-0.315791217896,-0.263291387942,-0.0901685002557,-0.605629719986,-0.487509496073,-0.164159341758,-0.461894128794,-0.479986385743,-0.0827766272342,-0.0643209876543,-0.0166666666667,-0.107985391508,-0.608440050185,-0.449687303993,-0.0847167640028,-0.546168500394,-0.491229243997,-0.491229243997,-0.602268946062,-0.464358045852,-0.117966048822,-0.0393162393162,-0.513803558731,-0.380244105263,-0.596877578472,-0.313398554941,-0.0795119541577,-0.169787065353,-0.119021205647,-0.0788055225285,-0.259522313011,0.0923614071133,-0.109766133182,-0.285996902811,-0.493510981416,0.0430268697933
"8","TFAP2C",-2.7044155444,5.9932067222,3.2887911778,-0.626676887992,-0.159206223926,-0.136878543176,-0.617204205801,-0.0424124476407,-0.14530815098,-0.253936784627,-0.0956831292974,-0.0958507306697,-0.586032776071,-0.485008842726,-0.330435426986,-0.392038676483,-0.480216559568,-0.0995883188816,-0.0212970765827,-0.234075556129,0.0760768126633,-0.58824754062,-0.344683950651,-0.0996252190412,-0.603362577657,-0.488624698449,-0.488624698449,-0.5831965912,-0.453497711508,-0.126408824413,-0.641212821359,-0.449528016396,-0.210116278971,-0.578235363264,-0.0224379187749,-0.0995706585913,0.0134539884105,0.228885726873,-0.0918798590125,-0.305390774253,-0.118801218641,-0.141366080163,-0.316866339242,-0.211087617776,-0.239867026485
"9","BCL6",-2.5050076889,5.507985,3.0029773111,-0.305567226891,-0.218585858586,-0.119515407182,-0.318384817465,-0.177001793833,-0.344909744994,-0.167759275489,-0.109019485536,-0.0839236579657,-0.586481317972,-0.374107944968,-0.27636791824,-0.482104666613,-0.361189243925,-0.0915240568837,-0.0661570076996,0.00950877656937,-0.0718391000139,-0.590728205991,-0.550801354128,-0.0917738131113,-0.60401837746,-0.383232089276,-0.383232089276,-0.580155430841,-0.507282539288,-0.11288243905,-0.153983228512,-0.323351492859,-0.211630215277,-0.568513159491,-0.0349166002127,-0.091133230928,-0.140006411474,0.0156907458658,-0.0693774967793,-0.26634913913,-0.041204588119,-0.124704411343,-0.261325374342,-0.233073079325,-0.261428119232
"10","NR5A2",-2.2446374333,5.4651116667,3.2204742333,-0.628133006825,0.0129407004971,-0.0833010447237,-0.603542110064,0.0178819444444,0.0354484279425,-0.340254351089,-0.148859914845,-0.0684981444542,-0.554227272718,-0.286680087958,-0.361939920736,-0.440408689882,-0.277278206595,-0.0803893772966,-0.0184396939014,-0.0875373878365,0.0551963787615,-0.557405559988,-0.26909516883,-0.0805941698984,-0.511839861711,-0.295327602677,-0.295327602677,-0.550255603261,-0.280111348131,-0.0917770198369,-0.578209056861,-0.250298905949,-0.150662634472,-0.54409963949,0.00166337434011,-0.0801640045988,-0.0201291026457,0.0182950891662,-0.0504827205601,-0.260937880489,0.0772320115087,-0.0985491641897,-0.277595631248,-0.215602760405,-0.194343395274
