XXXXX	1.1	1.2	2.1	2.2	2.3	3.1	3.3	3.5	4.2	5.1	6.2
1.1	XXXXX	0.9266	0.8053	0.0662	0.501	0.6196	0.4964	0.4046	0.5059	0.3103	0.9348
1.2	0.9266	XXXXX	0.7341	0.1363	0.4054	0.3648	0.3791	0.432	0.4396	0.633	0.7341
2.1	0.8053	0.7341	XXXXX	0.1	0.5049	0.7	0.4	0.6667	0.4	0.7	1
2.2	0.0662	0.1363	0.1	XXXXX	0.0227	0.1	0.1143	0.3833	0.2	0.1	0.1
2.3	0.501	0.4054	0.5049	0.0227	XXXXX	0.8053	0.4964	0.2081	0.5692	0.6196	0.3538
3.1	0.6196	0.3648	0.7	0.1	0.8053	XXXXX	0.8571	0.2667	0.8	1	0.4
3.3	0.4964	0.3791	0.4	0.1143	0.4964	0.8571	XXXXX	0.1636	0.8	1	0.4
3.5	0.4046	0.432	0.6667	0.3833	0.2081	0.2667	0.1636	XXXXX	0.3333	0.1833	0.8333
4.2	0.5059	0.4396	0.4	0.2	0.5692	0.8	0.8	0.3333	XXXXX	1	0.2
5.1	0.3103	0.633	0.7	0.1	0.6196	1	1	0.1833	1	XXXXX	0.4
6.2	0.9348	0.7341	1	0.1	0.3538	0.4	0.4	0.8333	0.2	0.4	XXXXX
