XXXXX	1.1	1.2	2.1	2.2	2.3	3.1	3.3	3.5	4.2	5.1	6.2
1.1	XXXXX	0.4267	0.3103	0.001	0.0108	0.0524	0.8027	1	0.2372	0.1719	1
1.2	0.4267	XXXXX	0.8396	0.7341	0.0244	0.0044	0.4462	0.5358	0.3516	0.233	0.5363
2.1	0.3103	0.8396	XXXXX	1	0.2016	0.7	0.8571	0.5167	0.8	0.7	0.7
2.2	0.001	0.7341	1	XXXXX	0.001	0.1	0.1143	0.0667	0.2	0.1	0.1
2.3	0.0108	0.0244	0.2016	0.001	XXXXX	0.9348	0.1771	0.0547	0.9565	0.9348	0.2016
3.1	0.0524	0.0044	0.7	0.1	0.9348	XXXXX	0.4	0.0167	0.2	0.4	0.7
3.3	0.8027	0.4462	0.8571	0.1143	0.1771	0.4	XXXXX	1	0.8	0.8571	0.8571
3.5	1	0.5358	0.5167	0.0667	0.0547	0.0167	1	XXXXX	0.3333	0.2667	0.6667
4.2	0.2372	0.3516	0.8	0.2	0.9565	0.2	0.8	0.3333	XXXXX	0.8	0.8
5.1	0.1719	0.233	0.7	0.1	0.9348	0.4	0.8571	0.2667	0.8	XXXXX	0.7
6.2	1	0.5363	0.7	0.1	0.2016	0.7	0.8571	0.6667	0.8	0.7	XXXXX
