XXXXX	1.1	1.2	2.1	2.2	2.3	3.1	3.3	3.5	4.2	5.1	6.2
1.1	XXXXX	0.9266	0.5049	0.4012	0.0587	0.1008	0.4092	0.0271	0.1976	0.2342	0.5613
1.2	0.9266	XXXXX	0.4484	0.2945	0.1516	0.3648	0.5209	0.0831	0.2637	0.2945	0.8396
2.1	0.5049	0.4484	XXXXX	1	0.3103	0.7	0.6286	0.5167	0.8	0.7	1
2.2	0.4012	0.2945	1	XXXXX	0.082	0.2	0.2286	0.0667	0.2	0.2	0.4
2.3	0.0587	0.1516	0.3103	0.082	XXXXX	0.9348	0.6422	0.6781	0.9565	0.8696	0.9348
3.1	0.1008	0.3648	0.7	0.2	0.9348	XXXXX	0.6286	0.5167	0.8	0.7	1
3.3	0.4092	0.5209	0.6286	0.2286	0.6422	0.6286	XXXXX	0.3152	0.8	0.6286	0.8571
3.5	0.0271	0.0831	0.5167	0.0667	0.6781	0.5167	0.3152	XXXXX	0.8889	0.8333	0.6667
4.2	0.1976	0.2637	0.8	0.2	0.9565	0.8	0.8	0.8889	XXXXX	1	1
5.1	0.2342	0.2945	0.7	0.2	0.8696	0.7	0.6286	0.8333	1	XXXXX	0.7
6.2	0.5613	0.8396	1	0.4	0.9348	1	0.8571	0.6667	1	0.7	XXXXX
