METHOD	CORRELATION	P-VALUE
PIQ	-0.245704266510812	0.060896027395169
Neph	-0.18375219170076	0.163217574071278
Wellington	-0.18375219170076	0.163217574071278
Boyle	-0.165225014611338	0.210510691888207
Cuellar	-0.158679135008767	0.22934158549624
DNase2TF	-0.156516656925774	0.235812999317843
FLR	-0.143249561659848	0.278283078783588
HINT-BCN	-0.122384570426651	0.354830742483495
HINT-BC	-0.0871420222092344	0.510644150170007
PWM	-0.0724722384570427	0.584505850152124
HINT	-0.0141437755698422	0.915234156713267
Centipede	0.0515488018702513	0.697504460273954
FS	0.122267679719462	0.355293223427242
