METHOD	CORRELATION	P-VALUE
Wellington	-0.452067752414336	0.0138156305138113
Centipede	-0.380984453871022	0.0414453524383952
Neph	-0.363270551830066	0.0527480993106173
DNase2TF	-0.345785308179276	0.0661589291659226
Boyle	-0.335613377113472	0.0750981218992903
FS	-0.32628731776605	0.0840855025421166
Cuellar	-0.254247733148366	0.183210691204232
HINT-BCN	-0.248008010192581	0.194564571362489
PWM	-0.191855894905042	0.318749498145097
PIQ	-0.190631809359767	0.321905531891628
FLR	-0.145011018717262	0.452930236479656
HINT	-0.0972461091643653	0.615777972775343
HINT-BC	-0.0662771814519008	0.732659616553831
