P53_F	P53_R
0.0657311669129	0.0598227474151
0.0443131462334	0.0583456425406
0.0339734121123	0.0672082717873
0.0531757754801	0.082717872969
0.069423929099	0.056129985229
0.0878877400295	0.0583456425406
0.0701624815362	0.0539143279173
0.0450516986706	0.0605612998523
0.0657311669129	0.0635155096012
0.0841949778434	0.0649926144756
0.0664697193501	0.0568685376662
0.0612998522895	0.0524372230428
0.062776957164	0.0435745937962
0.0635155096012	0.0664697193501
0.0612998522895	0.0775480059084
0.0686853766617	0.0620384047267
0.0952732644018	0.0605612998523
0.0871491875923	0.0679468242245
0.0583456425406	0.0428360413589
0.0324963072378	0.118906942393
0.0937961595273	0.104135893648
0.0997045790251	0.0302806499261
0.0435745937962	0.0539143279173
0.0568685376662	0.082717872969
0.069423929099	0.0745937961595
0.0583456425406	0.0768094534712
0.0753323485968	0.0649926144756
0.0812407680945	0.0531757754801
0.0450516986706	0.0598227474151
0.03988183161	0.124815361891
0.128508124077	0.0731166912851
0.0923190546529	0.0258493353028
0.0465288035451	0.0568685376662
0.0649926144756	0.107090103397
0.0664697193501	0.0886262924668
0.0509601181684	0.0553914327917
0.0553914327917	0.0738552437223
0.0738552437223	0.0642540620384
0.069423929099	0.0598227474151
0.0612998522895	0.0472673559823
0.0642540620384	0.0664697193501
0.0620384047267	0.0753323485968
0.0420974889217	0.0605612998523
0.0583456425406	0.0576070901034
0.0524372230428	0.062776957164
0.0539143279173	0.062776957164
0.0590841949778	0.0664697193501
0.069423929099	0.0546528803545
0.0598227474151	0.0672082717873
0.062776957164	0.0516986706056
