P53_F	P53_R
-0.0126118340667	-0.0155349347575
-0.0227606034868	-0.0142708513811
-0.0315362729916	-0.0195295570351
-0.0256402643318	-0.0136460926658
-0.0126310339974	-0.0188585561813
-0.00323584770078	-0.0186637339232
-0.0170045073524	-0.0203502632588
-0.0279923459475	-0.0121497384879
-0.0133708837093	-0.0139354586584
-0.00279173577874	-0.0143968049083
-0.0118334107403	-0.019733766013
-0.0137491406473	-0.0263482281482
-0.0184756956456	-0.0226774933707
-0.0170928035111	-0.0117946123744
-0.0153972482724	-0.00924656947924
-0.0107478036815	-0.0182950721382
0.0110382575758	-0.0263509305311
-0.00537133431912	-0.0189366846049
-0.0211674185284	-0.0218813446235
-0.013136490985	-0.0134777714836
-0.00144150146838	-0.00112557247034
-0.0156261871894	-0.0131882316475
-0.0159483571844	-0.0148769543004
-0.0221027599213	-0.00466932642816
-0.0285386490557	-0.000282584565212
-0.026110524398	-0.0186641891007
0.00227148275698	-0.0306090881316
-0.00391691037429	-0.0294513094076
-0.0156185004492	-0.0115947514057
-0.00873463971934	-0.00087160548672
-0.0138565917699	-0.0141267701447
-0.0172450360505	-0.0203611951027
-0.0180425426765	-0.0241929101169
-0.0231115817341	0.00341425534446
-0.0231938073278	0.00519241605642
-0.0252399773728	-0.0155396234917
-0.0207592864963	-0.013161953033
-0.0123730070638	-0.0142340862484
-0.0115729697618	-0.0167632473837
-0.0146462508598	-0.0272186213587
-0.016461466072	-0.0145376399447
-0.0173697014079	-0.0117042864617
-0.0220666648862	-0.0191335070946
-0.0195260298671	-0.0177503625602
-0.0177246327164	-0.0145778639611
-0.0192392695026	-0.0130407138749
-0.016120751775	-0.0127807155469
-0.012556870345	-0.0211251855242
-0.0166868819266	-0.0204748772124
-0.0137223470768	-0.0204454408602
