K562(DU)_AVERAGE_BIAS	K562(DU)_CG_CONTENT	MCF-7(DU)_AVERAGE_BIAS	MCF-7(DU)_CG_CONTENT	IMR90(UW)_AVERAGE_BIAS	IMR90(UW)_CG_CONTENT
1.71157008478148	0.436197916667	1.64556260136781	0.49609375	1.79303913058044	0.373697916667
1.09256008912373	0.427083333333	1.14833112615046	0.506510416667	1.13669096874146	0.377604166667
0.850714696038698	0.458333333333	0.93003777862172	0.475260416667	0.829311620275265	0.380208333333
0.65729142271661	0.458333333333	0.777483880596854	0.489583333333	0.599013309803276	0.420572916667
0.504524066845968	0.481770833333	0.645258228732651	0.506510416667	0.412594260205929	0.416666666667
0.372560790711809	0.470052083333	0.526566483831028	0.5	0.244115262118819	0.427083333333
0.249213513701243	0.481770833333	0.425227221917017	0.51953125	0.086465083262547	0.470052083333
0.150330295463344	0.49609375	0.323899828715918	0.537760416667	-0.0535088390002315	0.42578125
0.0483540423011613	0.484375	0.225798187152512	0.479166666667	-0.173985197865722	0.473958333333
-0.0464360638018038	0.483072916667	0.136361623001401	0.53125	-0.290040257035343	0.484375
-0.13125101252587	0.4921875	0.0607707508473033	0.497395833333	-0.396734475765593	0.484375
-0.206632247090941	0.483072916667	-0.00960118642004984	0.515625	-0.494024637412854	0.479166666667
-0.277307203015	0.55078125	-0.0891758427565166	0.497395833333	-0.603627597583829	0.505208333333
-0.351343700394106	0.51953125	-0.175849054949628	0.516927083333	-0.71403706589347	0.505208333333
-0.430375823484357	0.467447916667	-0.25450959099646	0.509114583333	-0.821064113799651	0.510416666667
-0.511238795047824	0.489583333333	-0.33357393918405	0.520833333333	-0.915435999604377	0.501302083333
-0.588956239212587	0.513020833333	-0.418772909941725	0.505208333333	-0.998402554602072	0.509114583333
-0.666948127003222	0.513020833333	-0.504651972631152	0.4921875	-1.10268448286865	0.484375
-0.748860673726147	0.5	-0.590558524833855	0.505208333333	-1.21032819145995	0.515625
-0.834313772273343	0.555989583333	-0.662735435139043	0.506510416667	-1.3257692736686	0.5546875
-0.919711693885323	0.54296875	-0.747062412514182	0.536458333333	-1.42531891601138	0.540364583333
-1.01881283173148	0.5234375	-0.841442652806599	0.506510416667	-1.53560045119551	0.537760416667
-1.1094494159669	0.515625	-0.944394247271693	0.5078125	-1.6476031203291	0.501302083333
-1.19915132137798	0.51953125	-1.05789927758777	0.524739583333	-1.76269631468109	0.557291666667
-1.29838290494809	0.50390625	-1.16553349614963	0.497395833333	-1.89109049054222	0.555989583333
-1.42060207285361	0.546875	-1.27446669016436	0.459635416667	-2.04328796729912	0.60546875
-1.54165430827225	0.526041666667	-1.37456933739976	0.502604166667	-2.20994245940233	0.567708333333
-1.66120726584608	0.514322916667	-1.48839017699413	0.481770833333	-2.36442982896431	0.557291666667
-1.80643854094568	0.515625	-1.6385311878938	0.4765625	-2.55590539329895	0.557291666667
-1.98077620127248	0.522135416667	-1.79433821321009	0.47265625	-2.79143800910939	0.578125
-2.18776958108851	0.50390625	-1.98868512361896	0.45703125	-3.1618661851154	0.580729166667
-2.5810549369562	0.50390625	-2.31624222539889	0.46875	-3.79490998584908	0.561197916667
