H1-hESC_AVERAGE_BIAS	H1-hESC_CG_CONTENT	HeLa-S3_AVERAGE_BIAS	HeLa-S3_CG_CONTENT	HepG2_AVERAGE_BIAS	HepG2_CG_CONTENT	Huvec_AVERAGE_BIAS	Huvec_CG_CONTENT	K562_AVERAGE_BIAS	K562_CG_CONTENT	MCF-7_AVERAGE_BIAS	MCF-7_CG_CONTENT	LNCaP_AVERAGE_BIAS	LNCaP_CG_CONTENT
1.32132208133864	0.73828125	1.33397942043997	0.65625	1.29033800735713	0.677083333333	1.41410490706127	0.641927083333	1.29028946740148	0.798177083333	1.1774148045447	0.62890625	1.22920442482739	0.786458333333
0.975236928277201	0.70703125	0.994414366614143	0.68359375	0.966806626350283	0.686197916667	1.00388876357026	0.661458333333	0.83839986695977	0.71484375	0.872486701100144	0.596354166667	0.819337015953967	0.70703125
0.738172532332254	0.68359375	0.800145905965131	0.649739583333	0.742040613206528	0.671875	0.796231963778908	0.64453125	0.672892203861099	0.680989583333	0.7247090685811	0.602864583333	0.655209685607507	0.678385416667
0.570090685032558	0.690104166667	0.60926497079773	0.639322916667	0.554040695588392	0.639322916667	0.628968557152749	0.584635416667	0.532119886179983	0.661458333333	0.620339346033973	0.588541666667	0.522514610907684	0.66796875
0.423120712021812	0.6328125	0.461657800872179	0.6171875	0.415960546138993	0.625	0.492393086651907	0.55078125	0.400223991171694	0.653645833333	0.533144178132321	0.572916666667	0.404041219860267	0.6484375
0.288464463571512	0.63671875	0.361354819187052	0.606770833333	0.300679901461702	0.600260416667	0.370023087111755	0.57421875	0.267551891203162	0.61328125	0.440127073545783	0.555989583333	0.284532046011337	0.602864583333
0.162122509920416	0.608072916667	0.270498960520523	0.6015625	0.209204857504813	0.611979166667	0.279822192093467	0.565104166667	0.1551937717805	0.609375	0.359359703934187	0.559895833333	0.192772851508457	0.596354166667
0.0588097995516789	0.600260416667	0.173298155583738	0.576822916667	0.126202402830452	0.576822916667	0.205642675454553	0.533854166667	0.0625438304297699	0.600260416667	0.29180569144891	0.591145833333	0.104082259979023	0.595052083333
-0.0344423875562161	0.591145833333	0.101018155146279	0.595052083333	0.0553084867656277	0.5625	0.130499586497709	0.565104166667	-0.00928578444692229	0.579427083333	0.228449151691901	0.569010416667	0.0331858784600212	0.58203125
-0.127199880801819	0.563802083333	0.0314895221532155	0.55859375	-0.0164954852047865	0.5625	0.0505803465506286	0.541666666667	-0.0723055566155816	0.572916666667	0.165298247211621	0.544270833333	-0.0357268749702774	0.5546875
-0.22673572788323	0.58984375	-0.0460067173354842	0.55078125	-0.0888137702117598	0.555989583333	-0.0149976705497393	0.53125	-0.138569096286519	0.55078125	0.103952267512708	0.55859375	-0.0993282170960989	0.532552083333
-0.306958295822821	0.555989583333	-0.112104192804039	0.5546875	-0.168894883719077	0.563802083333	-0.0779417950430522	0.5390625	-0.20523875815745	0.544270833333	0.0442043977395461	0.545572916667	-0.162572818816837	0.55078125
-0.387569157199994	0.5390625	-0.178880789279483	0.549479166667	-0.241701814676502	0.5390625	-0.142655191756304	0.536458333333	-0.267637205299352	0.549479166667	-0.0144816199358338	0.548177083333	-0.227129531664494	0.524739583333
-0.47637505876321	0.51953125	-0.247807596686316	0.532552083333	-0.311455752702335	0.513020833333	-0.20780369558812	0.5078125	-0.333834601055511	0.53125	-0.0773193912739101	0.51171875	-0.292579775810888	0.526041666667
-0.560222294089602	0.522135416667	-0.316397247521818	0.513020833333	-0.37945537168975	0.545572916667	-0.27439161646146	0.522135416667	-0.404761789089479	0.490885416667	-0.130596151092447	0.5234375	-0.354725929323687	0.5234375
-0.633719716227129	0.52734375	-0.379893480288804	0.524739583333	-0.442531042902976	0.526041666667	-0.342903026145057	0.513020833333	-0.4800514398499	0.518229166667	-0.188473337128055	0.515625	-0.420870690496889	0.501302083333
-0.709278753803205	0.522135416667	-0.445047514789664	0.51953125	-0.51240615600261	0.537760416667	-0.407470500376265	0.481770833333	-0.554632863972358	0.490885416667	-0.251230996493577	0.514322916667	-0.489640438039747	0.479166666667
-0.780449679466903	0.471354166667	-0.507237213048121	0.484375	-0.580910483555206	0.479166666667	-0.477948216572171	0.470052083333	-0.626116927500132	0.4765625	-0.304184205501914	0.509114583333	-0.552766285752761	0.484375
-0.848841199160713	0.485677083333	-0.569705311347403	0.50390625	-0.643408849970017	0.48828125	-0.544640325764938	0.506510416667	-0.689091758660828	0.4765625	-0.354565162165721	0.489583333333	-0.61602906264065	0.47265625
-0.920247592901191	0.4609375	-0.632264724337658	0.4765625	-0.71503177019996	0.502604166667	-0.612558338390236	0.498697916667	-0.751435574498768	0.4609375	-0.409643971941815	0.434895833333	-0.684498826243181	0.45703125
-0.986781012982011	0.44921875	-0.699973693895756	0.493489583333	-0.794397197571205	0.471354166667	-0.683613923055915	0.427083333333	-0.819451785150147	0.447916666667	-0.468092082416069	0.493489583333	-0.747285966890939	0.4296875
-1.0617129878606	0.440104166667	-0.77119578663048	0.471354166667	-0.87240993900224	0.434895833333	-0.753719377969313	0.5078125	-0.899590568495999	0.471354166667	-0.522422952102296	0.473958333333	-0.814598633904711	0.459635416667
-1.13584695095325	0.407552083333	-0.841172769096826	0.424479166667	-0.945388410958426	0.427083333333	-0.822354649118003	0.46484375	-0.980367068168931	0.44140625	-0.578072169405428	0.463541666667	-0.883065475893362	0.4375
-1.2188755400965	0.423177083333	-0.908497738777812	0.44921875	-1.0236972193139	0.4296875	-0.891676552237616	0.42578125	-1.05327531203662	0.416666666667	-0.647078633298836	0.4609375	-0.963527851666308	0.41796875
-1.30316252587169	0.3984375	-0.980774962818799	0.416666666667	-1.10257503624113	0.43359375	-0.962630443824258	0.423177083333	-1.13975452488839	0.40625	-0.711085664265471	0.440104166667	-1.05237392668393	0.40625
-1.38742525033412	0.393229166667	-1.06755233065597	0.399739583333	-1.19044007264955	0.403645833333	-1.04237968737637	0.444010416667	-1.24292631984635	0.368489583333	-0.796458477856221	0.458333333333	-1.1432075306383	0.375
-1.47378078274354	0.365885416667	-1.1574157616761	0.37890625	-1.27888317764251	0.395833333333	-1.13181504361083	0.438802083333	-1.3473195015015	0.365885416667	-0.890406508650893	0.440104166667	-1.25241137796506	0.365885416667
-1.5730208930847	0.345052083333	-1.26640213470258	0.360677083333	-1.39191707649865	0.369791666667	-1.22466720882303	0.427083333333	-1.4641305726059	0.3515625	-0.998030368424941	0.4375	-1.3819440250687	0.361979166667
-1.70057780000751	0.358072916667	-1.40553608263018	0.368489583333	-1.52763192851547	0.350260416667	-1.32741918045022	0.420572916667	-1.57961727402803	0.354166666667	-1.13363538228966	0.388020833333	-1.51560282572667	0.34765625
-1.8641728659636	0.311197916667	-1.57881493906531	0.32421875	-1.71005250297065	0.330729166667	-1.464131754893	0.404947916667	-1.72148103692862	0.3125	-1.3120266427977	0.364583333333	-1.67516221967154	0.34375
-2.09825592744757	0.256510416667	-1.82857315035551	0.286458333333	-1.96641262227671	0.26953125	-1.69603728623779	0.359375	-1.94117555464812	0.28125	-1.55121389034107	0.354166666667	-1.95842739834524	0.34375
-2.49590686845555	0.205729166667	-2.31226089356535	0.231770833333	-2.4543105519857	0.21875	-2.19809410370673	0.286458333333	-2.43213024481537	0.208333333333	-2.03406583108429	0.264322916667	-2.53470967360163	0.239583333333
