H7-hESC_AVERAGE_BIAS	H7-hESC_CG_CONTENT	HepG2_AVERAGE_BIAS	HepG2_CG_CONTENT	Huvec_AVERAGE_BIAS	Huvec_CG_CONTENT	K562_AVERAGE_BIAS	K562_CG_CONTENT	m3134_AVERAGE_BIAS	m3134_CG_CONTENT
2.20982611766085	0.479166666667	1.42017403338955	0.580729166667	1.62104891342485	0.505208333333	1.53029110969753	0.561197916667	1.94411015950996	0.522135416667
1.60697943347574	0.483072916667	0.906075732844215	0.610677083333	0.9973465607824	0.515625	1.02261625239178	0.540364583333	1.37048908586654	0.540364583333
1.36096203379943	0.520833333333	0.66055159551091	0.579427083333	0.73710148178392	0.544270833333	0.735480854414636	0.549479166667	1.10191565726325	0.51171875
1.13495234679921	0.526041666667	0.482043311699746	0.58984375	0.515202675796093	0.529947916667	0.540100458203174	0.576822916667	0.898481808950932	0.546875
0.962247245162509	0.524739583333	0.304646553776579	0.58203125	0.330923292661126	0.545572916667	0.377497649739645	0.569010416667	0.694837992521432	0.553385416667
0.827598729788627	0.557291666667	0.154813812588976	0.56640625	0.183389482449975	0.536458333333	0.214222911707486	0.53515625	0.554210715740921	0.529947916667
0.699125621669272	0.502604166667	0.0165585228357518	0.5625	0.0431291634603606	0.546875	0.0623022285576044	0.541666666667	0.411292553848968	0.526041666667
0.575013463307583	0.514322916667	-0.0928246190271088	0.541666666667	-0.0906095528946174	0.536458333333	-0.0761209559814966	0.56640625	0.267676894249101	0.526041666667
0.458750668698155	0.513020833333	-0.218554730839053	0.53515625	-0.206924898915313	0.524739583333	-0.196075598968591	0.524739583333	0.143109498807217	0.528645833333
0.344109737589087	0.540364583333	-0.331816894250557	0.526041666667	-0.321288441404376	0.515625	-0.312569107847975	0.486979166667	0.0295396045427066	0.501302083333
0.229952027199076	0.510416666667	-0.438843924666415	0.545572916667	-0.42219875984362	0.497395833333	-0.435004699909231	0.520833333333	-0.0995823801703599	0.50390625
0.113968233823674	0.502604166667	-0.534763241488811	0.536458333333	-0.525471321691199	0.513020833333	-0.540435240579824	0.549479166667	-0.213098730417941	0.497395833333
0.00563889183386578	0.5	-0.628218964856291	0.532552083333	-0.645184605771011	0.552083333333	-0.650001682466929	0.505208333333	-0.319430362164294	0.51171875
-0.106421825175364	0.53515625	-0.724459280647984	0.5234375	-0.745095426223371	0.526041666667	-0.761408004212165	0.515625	-0.424056263907367	0.514322916667
-0.206295076431148	0.528645833333	-0.811913965564085	0.513020833333	-0.850535928004495	0.501302083333	-0.85643778639863	0.518229166667	-0.529246702714728	0.5234375
-0.315882556999635	0.498697916667	-0.891203399178942	0.522135416667	-0.945202992971876	0.486979166667	-0.963986680462743	0.501302083333	-0.625397838185862	0.48828125
-0.406555045624317	0.514322916667	-0.988525186721813	0.505208333333	-1.03642274492217	0.510416666667	-1.06404891854258	0.524739583333	-0.717224284177335	0.528645833333
-0.505254828355705	0.490885416667	-1.08537052101124	0.501302083333	-1.138437270605	0.5	-1.16248450683322	0.497395833333	-0.818181791150723	0.481770833333
-0.60169510127612	0.522135416667	-1.18075513563968	0.489583333333	-1.23547919329184	0.51171875	-1.27360890719542	0.470052083333	-0.924900128001335	0.5078125
-0.712157502749207	0.502604166667	-1.27205741095675	0.53125	-1.33390455249886	0.506510416667	-1.38751188325125	0.501302083333	-1.02072611136633	0.49609375
-0.830621425306832	0.5390625	-1.37365152588832	0.50390625	-1.43823938099226	0.494791666667	-1.49709401711916	0.50390625	-1.12118027511028	0.510416666667
-0.95155778978271	0.479166666667	-1.4830832805938	0.48046875	-1.54303209281525	0.53515625	-1.61786905799008	0.51171875	-1.2199947966124	0.494791666667
-1.06395991970898	0.532552083333	-1.58160898845791	0.45703125	-1.64234587114369	0.4921875	-1.74455462350928	0.470052083333	-1.31918276645834	0.498697916667
-1.19170960771826	0.485677083333	-1.67740204428196	0.473958333333	-1.74409037965656	0.473958333333	-1.86167688069684	0.4921875	-1.42291665808241	0.520833333333
-1.31395526947754	0.509114583333	-1.79802719545098	0.481770833333	-1.85952474073286	0.477864583333	-1.97646553545991	0.46875	-1.52318291843289	0.506510416667
-1.44164673770972	0.485677083333	-1.92415507852729	0.4375	-2.0056172436864	0.49609375	-2.10037748969548	0.4453125	-1.63885670611535	0.470052083333
-1.59626482541602	0.438802083333	-2.05121214212006	0.428385416667	-2.16027991998198	0.471354166667	-2.25409817419885	0.436197916667	-1.78181209320301	0.451822916667
-1.79202351971432	0.463541666667	-2.19218507821978	0.404947916667	-2.31952948238421	0.466145833333	-2.42547385556306	0.444010416667	-1.95313372323451	0.43359375
-2.01855971764485	0.427083333333	-2.34787555234317	0.403645833333	-2.48132438626248	0.463541666667	-2.610553953679	0.471354166667	-2.12676837079645	0.475260416667
-2.2713846626315	0.498697916667	-2.53812864502912	0.420572916667	-2.67831237210779	0.442708333333	-2.81657574622741	0.4296875	-2.3213349340392	0.4765625
-2.5749044248103	0.466145833333	-2.78184593835248	0.360677083333	-2.96912564021202	0.38671875	-3.07814848586662	0.388020833333	-2.55136360995351	0.43359375
-3.17314688909995	0.407552083333	-3.28761691443881	0.272135416667	-3.47265125885168	0.393229166667	-3.49187045448478	0.3828125	-2.98932254730984	0.388020833333
