FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Cuellar_99_GM12878_protection_mean	Cuellar_99_GM12878_protection_median	Cuellar_99_GM12878_protection_std	Cuellar_99_K562_protection_mean	Cuellar_99_K562_protection_median	Cuellar_99_K562_protection_std	Cuellar_99_protection_ks_stat	Cuellar_99_protection_ks_pvalue	Cuellar_99_GM12878_tc_mean	Cuellar_99_GM12878_tc_median	Cuellar_99_GM12878_tc_std	Cuellar_99_K562_tc_mean	Cuellar_99_K562_tc_median	Cuellar_99_K562_tc_std	Cuellar_99_tc_ks_stat	Cuellar_99_tc_ks_pvalue	Cuellar_99_GM12878_fos_mean	Cuellar_99_GM12878_fos_median	Cuellar_99_GM12878_fos_std	Cuellar_99_K562_fos_mean	Cuellar_99_K562_fos_median	Cuellar_99_K562_fos_std	Cuellar_99_fos_ks_stat	Cuellar_99_fos_ks_pvalue	Cuellar_99_GM12878_flr_mean	Cuellar_99_GM12878_flr_median	Cuellar_99_GM12878_flr_std	Cuellar_99_K562_flr_mean	Cuellar_99_K562_flr_median	Cuellar_99_K562_flr_std	Cuellar_99_flr_ks_stat	Cuellar_99_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.100059244325	0.0876525674668	0.0356376317116	0.11361232728	0.095669130215	0.0490533661876	0.0774861377763	-300.0	0.749800527065	0.755756729871	0.0271950310006	0.75391274864	0.764108991095	0.0591934193692	0.557014157014	-2.7124236842	0.583132022183	0.580603087232	0.0543526664942	0.532231177231	0.528658609549	0.039261410987	-0.375847119904	-300.0	0.447263137739	0.4447771673	0.0481253497041	0.40513157072	0.405967464584	0.0197934319127	-0.475797715766	-31.681005184
FLII	-5.7267807974	8.5333091889	2.8065283915	0.164273876531	0.143858382109	0.07131217718	0.119728663878	0.102752305186	0.0509858224803	-0.134564161418	-300.0	0.7562218026	0.763770612884	0.0660876208486	0.679587594718	0.691187644005	0.0482451989475	-0.0888888888889	-12.712509766	0.570803895153	0.569208168018	0.0723901000759	0.536184501737	0.531068770804	0.0448765646256	-0.151985660373	-300.0	0.550663623937	0.605228131131	0.176621285521	0.546104603177	0.54777026508	0.0353610520109	-0.422027972028	-10.6109234119
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.11404854606	0.107374390343	0.0428561352819	0.100657226537	0.093137233916	0.0336348309065	-0.0221168931951	-286.916991997	0.758956455182	0.771691980303	0.056178317521	0.761050735884	0.771858239917	0.0672866341842	0.655027279813	-1.06675063591	0.488011200383	0.484485654234	0.0553473103225	0.451982761128	0.446759760344	0.037701929374	-0.297392647464	-300.0	0.54015080947	0.542298594037	0.0525508254263	0.499521959241	0.501839562686	0.0119088172699	-0.509259259259	-28.0348629389
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.18389088236	0.170076709501	0.0459408602158	0.202516477278	0.183926149408	0.0632315606674	0.116520825736	-171.472924208	0.729377226964	0.73080347531	0.0163577993996	0.763361158464	0.77263982387	0.0497161284046	0.0540622645064	-30.2285626387	0.559322260531	0.558045550513	0.0511315424396	0.523101024348	0.522363784162	0.0339772647339	-0.274257383224	-300.0	0.533655463412	0.535368424132	0.0415163094539	0.499350454992	0.498565187379	0.0158654929818	-0.456167668306	-31.0159210689
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0964926400516	0.0854727446385	0.0366536694941	0.11604390468	0.0985113286714	0.0565350457376	0.1035726919	-300.0	0.711390597053	0.723469694413	0.0434151147463	0.762214168923	0.772956407595	0.0515377240742	0.011393954418	-41.6585155937	0.485893069331	0.477925145617	0.0770346758167	0.470194434193	0.457903133994	0.0488314631089	-0.0705001056471	-300.0	0.457091479623	0.457506542379	0.0354189465564	0.431274649413	0.430921519038	0.01358179559	-0.483732949702	-55.8298366129
TP53	-3.4232058254	9.438751	6.0155451746	0.26490500785	0.23051340125	0.103623472963	0.193452239892	0.183454356822	0.0554769641992	-0.257146816494	-300.0	0.755619669546	0.765672633467	0.0359290297661	0.776441424078	0.784795240028	0.05043997553	0.341471051389	-3.91004153871	0.55856033517	0.557845196305	0.077108048346	0.533191123706	0.531831016476	0.0510239574227	-0.0732831964187	-113.228898339	0.312484997692	0.312616880976	0.0660990877095	0.31147317235	0.301813060243	0.0189030812428	-0.104444444444	-3.96522105733
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.184307702033	0.160266299401	0.07795419061	0.136311147042	0.116486880038	0.0531848824908	-0.13066149944	-300.0	0.721750729367	0.726165012177	0.0221854650343	0.772850994266	0.785569068124	0.0750683327078	0.00844805530907	-20.9491521523	0.466666408919	0.464215131438	0.0374255815676	0.452905444772	0.44912083213	0.0311328331908	-0.0998183844144	-294.944444095	0.443078800006	0.442467686388	0.0380551706602	0.457175857192	0.45637414249	0.0629980631925	0.0652777777778	-1.95030721043
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.197917016824	0.161364735702	0.107217268231	0.146768476139	0.123121944546	0.0721827836039	-0.0537925943581	-142.456451709	0.768020306122	0.782681986638	0.092455893969	0.670544352653	0.675446137096	0.0215508112405	-0.0691946624777	-13.9210062107	0.448945774405	0.45138136017	0.0452146008952	0.428778301144	0.428698998656	0.0329260279796	-0.147495784714	-173.391498245	0.369524983051	0.366885519646	0.0838492222525	0.353948012149	0.351991242857	0.0206548504206	-0.102038369305	-1.84432935433
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.145830113551	0.131451014726	0.0583550332497	0.102700055277	0.0915640298712	0.0351557754089	-0.0918437044424	-285.678483979	0.778633975942	0.785495000792	0.0463562562639	0.652073690624	0.657577060059	0.0295762581862	-0.110840704795	-9.45470442111	0.508727901069	0.495648725854	0.0560224300464	0.513433226106	0.506414816766	0.0887493245805	0.0401660180732	-39.6181439447	0.125163004636	0.124876666692	0.0933192536866	0.123845971665	0.117246277752	0.00506407289595	-0.34573283859	-4.27695854274
STAT4	-2.825769995	5.2946641167	2.4688941217	0.241179128749	0.218158116274	0.0708559768398	0.204081888515	0.189297395006	0.0481074866129	-0.149397458899	-300.0	0.776638613378	0.786221707001	0.0647768328126	0.667713886075	0.678823665873	0.0478449781915	-0.095832744523	-21.7449363373	0.576446428197	0.57641305326	0.043380840921	0.557600571925	0.555820214407	0.0331030343929	-0.140983800818	-300.0	0.388533157953	0.388298427296	0.0698624138677	0.379783600316	0.37799754282	0.014323284968	-0.0949254449254	-4.34866537768
TP63	-2.7040282939	7.2572711722	4.5532428783	0.193166743052	0.156605615438	0.0946198031449	0.15348310044	0.128976938963	0.0634197291636	-0.00784119474716	-300.0	0.735046888749	0.734532427194	0.01804340737	0.777095149727	0.789118439152	0.0643736822885	0.0687155570546	-20.0905326899	0.539649592072	0.531267143856	0.0490602701516	0.549019504398	0.544365306241	0.0707576441436	0.0217753744104	-90.0739348086	0.154901899687	0.155025521718	0.0453830800115	0.152486608476	0.149750988065	0.00904627663357	-0.195812479146	-8.89523964625
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.210996855219	0.17744754193	0.0947374775295	0.166731213138	0.140284401799	0.0668807563237	-0.0301441544275	-300.0	0.78068689535	0.786008739819	0.0438476259637	0.677047641336	0.681048508944	0.0282261868359	-0.0947784718252	-20.7754961447	0.526771341013	0.525325821962	0.0573383319218	0.509697867621	0.509036821847	0.037995375134	-0.0315611857891	-225.570660614	0.128374586964	0.126600669647	0.00738580699748	0.128698938668	0.129759831151	0.0494174262798	0.0470527189705	-2.23584671683
MEF2C	-2.312784923	10.5691021611	8.2563172381	0.184856841838	0.158306448602	0.076754013435	0.149624948496	0.128868049242	0.0575006151192	-0.0883677226002	-300.0	0.778318458238	0.796526408377	0.071662658782	0.783837055615	0.796825000368	0.0886732062224	0.679339622492	-1.86488196219	0.368343622308	0.369683296534	0.0346130453667	0.356322284038	0.356425905955	0.0238649274944	-0.116500765905	-300.0	0.239869411768	0.239620228371	0.041828504297	0.235865068869	0.234084965291	0.00591178714744	-0.150869565217	-10.4446280474
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.173183840444	0.15236677076	0.0629385445053	0.135142587017	0.122345084863	0.0444310776924	-0.0842296578069	-300.0	0.78282699099	0.78947914716	0.0469293030079	0.690862705789	0.703147350784	0.0440916000712	-0.0726655524408	-19.0256797029	0.512908943368	0.510905781005	0.0300703329769	0.515927363436	0.515503836841	0.0507852348702	0.058758396893	-79.123569095	0.621855177999	0.641817079289	0.154331460529	0.617826554891	0.621457860499	0.0613025153649	-0.116302367942	-3.14156222335
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.153285332523	0.134422205397	0.0516020558312	0.186208546894	0.160306212901	0.0746069921972	0.00722592202721	-170.972453092	0.779657792533	0.789348083145	0.0684612173103	0.646895132409	0.646021108471	0.0177353351267	-0.0878406350217	-16.2127917836	0.346531579901	0.347670006382	0.0405975941661	0.337533852068	0.337493393652	0.0299714900663	-0.00510862905316	-70.3530384918	0.548207489303	0.557701116922	0.0896141256086	0.545089415733	0.545389801891	0.0376780735195	-0.0300904977376	-1.75329625409
REL	-2.0628250132	8.3178302778	6.2550052646	0.254892739824	0.227572618286	0.0721885886452	0.305656102003	0.270182659333	0.10578569229	0.0294866722974	-247.457504372	0.788398770781	0.791003523611	0.0402245232269	0.674975100191	0.677688837397	0.0229279898926	-0.099958677721	-14.0387045134	0.676202984004	0.673752409263	0.0525274377525	0.661964190553	0.65988234767	0.0348196058263	-0.0338771298617	-170.171955119	0.317013250717	0.321088025925	0.0385525951573	0.320197895982	0.328078643629	0.0546719993055	0.213636363636	-0.0846510698321
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.170899321432	0.147585985559	0.0869939613278	0.111764370076	0.0950586701931	0.0534483672434	-0.0593433619874	-300.0	0.757370468907	0.767883275201	0.0405950090053	0.789003271395	0.797981024066	0.0617203599389	0.0833571429753	-15.2691447767	0.635803457875	0.637930975329	0.0444944942646	0.622055436061	0.623510363021	0.0276501313966	-0.0722614615638	-300.0	0.635978744331	0.636079106604	0.0377901018181	0.623423345659	0.621725492317	0.0113015099083	-0.192993630573	-6.65571674844
NR3C1	-1.8464264783	9.6750664889	7.8286400106	0.246905985825	0.208746549925	0.104605323283	0.189298174402	0.162678021547	0.0713441305769	-0.10776769168	-300.0	0.741870989599	0.740614023811	0.0135909831155	0.788030828899	0.797026753491	0.0588679068206	0.0264543713022	-12.6601154828	0.442940649286	0.443157681361	0.0424645923585	0.453265542491	0.454330845448	0.0611399829108	0.0554985355626	-52.2890539566	0.184497162334	0.182100611526	0.00454984328816	0.18549322337	0.186241245614	0.0554575402318	0.00173951828724	-1.71169430192
