FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	HINT_GM12878_protection_mean	HINT_GM12878_protection_median	HINT_GM12878_protection_std	HINT_K562_protection_mean	HINT_K562_protection_median	HINT_K562_protection_std	HINT_protection_ks_stat	HINT_protection_ks_pvalue	HINT_GM12878_tc_mean	HINT_GM12878_tc_median	HINT_GM12878_tc_std	HINT_K562_tc_mean	HINT_K562_tc_median	HINT_K562_tc_std	HINT_tc_ks_stat	HINT_tc_ks_pvalue	HINT_GM12878_fos_mean	HINT_GM12878_fos_median	HINT_GM12878_fos_std	HINT_K562_fos_mean	HINT_K562_fos_median	HINT_K562_fos_std	HINT_fos_ks_stat	HINT_fos_ks_pvalue	HINT_GM12878_flr_mean	HINT_GM12878_flr_median	HINT_GM12878_flr_std	HINT_K562_flr_mean	HINT_K562_flr_median	HINT_K562_flr_std	HINT_flr_ks_stat	HINT_flr_ks_pvalue
TP63	-2.7040282939	7.2572711722	4.5532428783	0.0212823435307	0.0174913173647	0.0134039247959	0.0160270684567	0.013159249476	0.00933559862924	-0.148309060858	-300.0	0.810438274603	0.817887906515	0.0550764539586	0.772560595578	0.787298686504	0.0303723791905	-0.12414128235	-300.0	0.509696646092	0.49845836371	0.105936667261	0.484680452989	0.469047538006	0.0876463035757	-0.0916853214466	-15.6992590429	0.336885637233	0.336436838115	0.0608101937986	0.330192512888	0.326042706691	0.023216937325	-0.370945252096	-300.0
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.0346172871208	0.030296482355	0.014161712421	0.0291783594015	0.0260351343941	0.0101087465675	-0.0900248105106	-300.0	0.885134899933	0.890842332294	0.0393431249968	0.788868587467	0.797492396938	0.0241621367602	-0.624460502397	-300.0	0.357165198791	0.340860413067	0.0711957868585	0.329336706952	0.31997595927	0.0698525234933	-0.130214707936	-23.623932076	0.337656852951	0.337752422354	0.0338001833834	0.327996044208	0.327552239969	0.0144756436284	-0.38321143521	-300.0
MEF2C	-2.312784923	10.5691021611	8.2563172381	0.0195472183928	0.0155988882238	0.0129908346185	0.014426782398	0.0115532624052	0.00949490545474	-0.114049616914	-300.0	0.792857076645	0.80131430831	0.0259055071108	0.796236735955	0.801871210491	0.0404513343102	0.15953518283	-300.0	0.325989047077	0.306476636904	0.0935929102398	0.299305881209	0.288597208826	0.0735386965962	-0.116201519675	-23.4153237469	0.337390902332	0.337031938892	0.0288159568956	0.329019455231	0.328969460741	0.0145697725341	-0.299317198249	-300.0
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.0428196045048	0.0364599857569	0.0223289018187	0.0308137107041	0.0264097507609	0.0146127712548	-0.115875908797	-300.0	0.825900836828	0.832206609598	0.0506324998379	0.776461757519	0.78873247958	0.027389203063	-0.196953304171	-300.0	0.372790623635	0.360433507	0.099652020129	0.355546176575	0.345547246851	0.0806282358963	-0.0599078620355	-9.03224856189	0.300057249725	0.299909529708	0.0372394607336	0.293043799273	0.292725916526	0.0146337946	-0.229587391967	-300.0
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.0247112450964	0.0196295209894	0.0153373047346	0.0181791526615	0.0147626423132	0.0108463102734	-0.179776143456	-300.0	0.791293329972	0.800956755057	0.0257434606514	0.79856607682	0.803176571928	0.0443677492247	0.177403479556	-264.719329994	0.252679684731	0.229936041395	0.118472428228	0.222258961336	0.210369441655	0.0760233461838	-0.076249873238	-4.41742576089	0.326848904807	0.326433232027	0.0292301124159	0.317046645224	0.318263054798	0.0167936803903	-0.296518498068	-300.0
REL	-2.0628250132	8.3178302778	6.2550052646	0.0347290107995	0.0303968826345	0.0145591923985	0.0288975905368	0.0258334417385	0.0102566300971	-0.0751213641704	-300.0	0.851131062841	0.857895269592	0.0453279409202	0.790179953982	0.800994936675	0.0273461460063	-0.464630343449	-300.0	0.397387567559	0.383827757311	0.0780806129204	0.367778086712	0.358468309231	0.0718018699482	-0.125934169989	-19.1620819963	0.345703588325	0.345673460534	0.0401115495978	0.339471294249	0.338827000244	0.0164663143751	-0.246215751316	-300.0
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.0216428246198	0.017104021937	0.0152069078195	0.0150775422197	0.0120097051857	0.0107728895994	-0.0341631736645	-300.0	0.784911352221	0.794560190525	0.0464140044879	0.763762859889	0.769141686579	0.027156686599	-0.0816627934496	-300.0	0.304681391935	0.288933325632	0.0820895246348	0.280434091029	0.272602715742	0.0673901691561	-0.128145767145	-18.1653432406	0.314771260346	0.314760461187	0.0309822789726	0.309728318695	0.309672145378	0.0144563003998	-0.122099049133	-300.0
NR3C1	-1.8464264783	9.6750664889	7.8286400106	0.025474158952	0.020125205314	0.0154790255116	0.0186640230366	0.0148552641499	0.0108876579482	-0.148190628061	-300.0	0.820217244764	0.825497894482	0.0424724013428	0.789939445334	0.798604146737	0.0251124891819	-0.0725073723647	-300.0	0.378246502384	0.357396703133	0.0963421849457	0.345121628779	0.328945313742	0.0907909488145	-0.127087464199	-12.2957857174	0.295997280412	0.29606746834	0.030460145752	0.292091793004	0.291661335011	0.014869100888	-0.0730083000549	-300.0
IRF1	-1.7207699439	8.2650849333	6.5443149894	0.00684652955115	0.00609635470414	0.00497245889735	0.00876532058655	0.00766775350745	0.00686427178597	0.0773339417368	-300.0	0.844773978292	0.85031877639	0.0370809630689	0.7975791785	0.806009592853	0.0243185288434	-0.424637916268	-300.0	0.357043159744	0.346458385859	0.0711541174318	0.338687802754	0.330179957839	0.0637961828817	-0.116203792006	-71.9829872472	0.284538206148	0.268106307484	0.157123020866	0.319728482875	0.343345389349	0.170045467132	0.104409330544	-280.222599791
SOX9	-1.6463590651	7.5684512556	5.9220921905	0.0348127195148	0.023538922114	0.0288576479092	0.0228118148822	0.0150597312416	0.0197456647961	-0.145485733513	-300.0	0.79540765766	0.804402288736	0.0253377765926	0.809506513188	0.814446615223	0.0434876286724	0.17358604604	-267.717533722	0.304807782777	0.262593536471	0.130098959346	0.256900499352	0.238793693282	0.113577488753	-0.100536062378	-4.53523928694	0.315021475551	0.315277623834	0.0163264826987	0.317712312147	0.318349445106	0.0281489420402	0.0110003115234	-223.404475565
RFX5	-1.5997156902	8.0311831611	6.4314674709	0.0641201465063	0.053564813686	0.0331455476806	0.0462429782473	0.0390509171484	0.0223560546868	-0.0761412124721	-300.0	0.840209316405	0.847121832813	0.0485272258961	0.787789665037	0.800225803509	0.0276155388563	-0.33850132228	-300.0	0.260601842096	0.250821148107	0.080815685292	0.246816286985	0.232316599716	0.0646223808262	-0.0812094091557	-19.3913977342	0.306385214729	0.304325781427	0.0183432450717	0.307192247274	0.307176016776	0.0448177649189	0.0150742838261	-300.0
ELF1	-1.3094928196	9.8966036556	8.587110836	0.00904099854521	0.00726427066872	0.00795117663506	0.00692159713964	0.00561198899965	0.00566143000024	-0.0214308454053	-300.0	0.785292418954	0.794312813532	0.0323826992656	0.785464824693	0.800375769424	0.0563059981681	0.167190035097	-300.0	0.340771792268	0.328584104458	0.0880687513123	0.320204356236	0.307247833451	0.0745223744143	-0.0830938987056	-37.4179924511	0.327780656878	0.326230426238	0.0175569133712	0.328021763606	0.32781092898	0.0464668435109	0.116295476919	-300.0
GATA3	-1.2686822069	5.6419831222	4.3733009153	0.0182163912187	0.0149417090637	0.0152153516876	0.01032879872	0.00757271911815	0.00979495442856	-0.109607326824	-300.0	0.764818497551	0.77700724242	0.0650528073509	0.729452550083	0.733279792917	0.0266762476096	-0.215417937492	-300.0	0.351703146401	0.339508090757	0.13171455546	0.345388247038	0.317503749554	0.100253067161	-0.0562870699881	-4.06295798133	0.324103621141	0.323439206474	0.0095929996161	0.325362826639	0.325185440797	0.0409103956458	0.0512067401517	-300.0
T	-1.1067090704	6.8493768111	5.7426677407	0.0144264834539	0.0116186734862	0.0125495403544	0.0204281808541	0.0160203981342	0.017243952047	0.0110097397184	-300.0	0.787586910521	0.798923296122	0.0518280981558	0.744452738004	0.751520767769	0.0301802453444	-0.238184562604	-300.0	0.430686381939	0.41806239849	0.0973346162171	0.407102619854	0.39618006533	0.0894731497425	-0.0821428571429	-5.46791737929	0.277827040987	0.277414021422	0.0184672920155	0.277987739735	0.277905025551	0.029311606666	0.199126291899	-8.36662034482
TCF7L2	-1.0379809175	8.1292303778	7.0912494603	0.0175270389256	0.0128220048048	0.0151284627147	0.0121887250521	0.00902910062188	0.0106899117267	-0.133945656404	-300.0	0.797823611968	0.806237001839	0.025442724808	0.821314393957	0.826275357778	0.0410088619046	0.0573130184674	-300.0	0.424036454663	0.405754428148	0.0913343379903	0.400952615262	0.391990613998	0.0764406738695	-0.0636015175429	-8.04855385079	0.320467092956	0.320204118405	0.0133145119525	0.320796412789	0.320579753136	0.029444234532	0.183623931083	-37.4258280699
CREB1	-0.9881595307	9.1957632556	8.2076037249	0.00907894341284	0.00643621749924	0.0137279248698	0.013118039257	0.00917752288529	0.018273264372	0.0842807700834	-108.930837576	0.772595953002	0.793725578346	0.0677187089614	0.725000892064	0.735712472794	0.0375717824123	-0.269254935281	-300.0	0.46515488326	0.440577382632	0.151632222379	0.42525859075	0.396760988043	0.126423212915	-0.109761388286	-4.34734908311	0.255197567206	0.255340420312	0.0182783066341	0.257849977903	0.255717600011	0.0509330580847	0.177545057425	-11.433274072
STAT3	-0.8814597069	10.6886940667	9.8072343598	0.153086992106	0.132659109747	0.0837011686215	0.0912585228363	0.0781765227405	0.0475465797189	-0.160423158935	-300.0	0.773196231917	0.785815052798	0.0253075022082	0.789781898868	0.793684139568	0.0604278644402	0.179367386803	-300.0	0.362182713099	0.351185474033	0.0893244815996	0.34717210297	0.333850850027	0.0862629309346	-0.0446247836503	-3.61537857316	0.282122844015	0.281860759314	0.0148430788304	0.285100388645	0.282597449963	0.0542955452482	0.0802445383291	-196.221250572
ELK4	-0.795803281	8.3372889	7.541485619	0.0515640838397	0.0446256712196	0.0233721507318	0.0412331073141	0.0360667223431	0.0158373471149	-0.0188735224749	-300.0	0.75824473793	0.77086221667	0.0398145135038	0.772787667836	0.796974336521	0.0715889579838	0.00800701911811	-300.0	0.338285251442	0.329885769088	0.0938230808387	0.322065817488	0.310432111497	0.0686770720657	-0.0714601532355	-30.3009590328	0.314176415512	0.314061872907	0.022619656237	0.317953128531	0.315273798389	0.0608980452846	0.145563323285	-138.380587886
GFI1	-0.5620815095	5.9600981444	5.3980166349	0.0497018927293	0.0382963164526	0.0332123106062	0.0325816459293	0.0251262050773	0.0213301577689	-0.0693251720727	-300.0	0.796973875884	0.810579934016	0.0290286192932	0.806886750053	0.813585336242	0.0562198363492	0.189397953015	-300.0	0.275137629682	0.254951789839	0.0962465379814	0.268227303306	0.252565701616	0.0893511855318	-0.0337540972972	-5.79412711563	0.344758566043	0.344736515557	0.0241385677008	0.350704668932	0.347886823267	0.0554784524343	0.000454621130052	-300.0
HOXA5	-0.5275261365	3.8746430889	3.3471169524	0.0318379246838	0.026802996418	0.0206391002273	0.0231546678253	0.0196405635995	0.0145245759736	-0.0367742824846	-300.0	0.836574624159	0.841824845591	0.0426533880449	0.797325830484	0.806892561372	0.0239907451544	-0.150019237118	-300.0	0.313611494282	0.29321045183	0.109900177431	0.29805511057	0.279497955239	0.0948745514067	-0.0369245719495	-5.76073177716	0.308561849682	0.308533699856	0.0147756991165	0.312183658955	0.311437924579	0.0360356318638	0.00655057179317	-300.0
SREBF2	-0.459857972	9.3969251889	8.9370672169	0.0525563401944	0.0437926926477	0.030084367238	0.0374415809168	0.0319202329286	0.0192683853055	-0.0461978923111	-300.0	0.861196747519	0.865909280651	0.0407546418289	0.804217655901	0.813023617541	0.0224642081711	-0.424702806934	-300.0	0.461884206741	0.444673639716	0.110133934994	0.445715526197	0.426447425453	0.0883477045157	-0.046918653423	-4.43686887686	0.30765824539	0.306727725667	0.0326921383454	0.303579202814	0.303536868295	0.0125109354154	-0.0386259621533	-300.0
ZFX	-0.433919887	8.1387332944	7.7048134074	0.0269634414458	0.0237856149274	0.0131480170844	0.0203561202778	0.0181880611588	0.0089952786922	-0.0406855255483	-300.0	0.783761743222	0.802061708221	0.0309140587464	0.810662284063	0.819108223611	0.057540633433	0.127632484076	-300.0	0.443543173852	0.43028032394	0.101442951596	0.428225361332	0.406633366755	0.0803490424415	-0.0312223169562	-25.8766149811	0.325178617596	0.323401239616	0.0478969019107	0.320145211374	0.319949505137	0.0193428246108	-0.0496587096538	-300.0
SPI1	-0.4202474275	7.6557025333	7.2354551058	0.00828990132658	0.00726892997715	0.00478421192234	0.0110251163679	0.00952935181075	0.00685051039573	0.0688831638911	-300.0	0.85352392473	0.862896646599	0.060763756934	0.783249517183	0.803899513976	0.0308822525	-0.336150580581	-300.0	0.377992786065	0.371103409628	0.0870047664354	0.367271746736	0.353107100656	0.0623738135303	-0.0367239569242	-78.9107115996	0.337389354584	0.333772558424	0.0634773100225	0.330240479907	0.329988330618	0.021921809366	-0.0726879398733	-300.0
NFATC2	-0.4050990344	7.8968279444	7.4917289101	0.0621430989602	0.0529816363509	0.028582358237	0.0511125804509	0.0455839691794	0.0194809717402	-0.00748706962369	-300.0	0.79958240073	0.804362759646	0.0254835577521	0.800989848795	0.809816640399	0.0432406563563	0.191847632891	-300.0	0.322856151404	0.29634045894	0.117602849741	0.297090269442	0.287971536262	0.0747420641873	-0.0350991946019	-4.25316108005	0.317122683064	0.316374003578	0.0283713660241	0.312890566034	0.312689399178	0.0177845765559	-0.0692820815429	-300.0
SRF	-0.368290577	8.5141720056	8.1458814286	0.0200923761295	0.0166294795248	0.0145136170594	0.0133029095762	0.0112968365649	0.0100139359739	-0.111676752881	-300.0	0.847745576234	0.852614764596	0.040925689561	0.80654058619	0.815431947192	0.0229618526219	-0.255198372954	-300.0	0.255729783936	0.242963941309	0.0734353767179	0.24890372419	0.23821911022	0.0677640584968	-0.0228905061085	-3.70529610337	0.315073879255	0.314162720512	0.0385034181798	0.310579759811	0.310379114481	0.0148293319856	-0.0264059128358	-300.0
NKX2-5	-0.3477572392	6.1980671333	5.8503098942	0.0559151839438	0.0458567256451	0.0307622278559	0.0407675883669	0.0341048345354	0.0201681142965	-0.0570384092581	-300.0	0.794116450921	0.800066858467	0.0264639033006	0.795773930643	0.805951896166	0.0463910286434	0.212836422	-300.0	0.365765729657	0.350537037542	0.0907945096536	0.354830841393	0.34134737803	0.0821101103985	-0.0311391041765	-4.88891272345	0.291743496407	0.290765513891	0.0339030579188	0.287183615017	0.287111528605	0.015094240256	-0.0435939178467	-300.0
SOX17	-0.315282727	6.6900928222	6.3748100952	0.00597672613896	0.00474423206954	0.00638674214249	0.00799746321078	0.0061275256386	0.00898327997675	0.106125167941	-300.0	0.798751997517	0.809908192406	0.0264595153052	0.823954942676	0.83055293069	0.0465157368986	0.0928862012999	-300.0	0.376466481446	0.363142520811	0.0797604639671	0.361680205234	0.351934234442	0.0696278181039	-0.0318610478549	-9.68817650419	0.310195842779	0.308933944191	0.0366848013234	0.304611896037	0.304675383291	0.013270504829	-0.101969408713	-300.0
REST	-0.3104942741	7.8934747556	7.5829804815	0.0493991677492	0.0429581408858	0.0202065211392	0.0671426671732	0.0595220035648	0.0311653976669	0.0141490099598	-300.0	0.78590665496	0.800067619427	0.0549736164407	0.746230794408	0.753054518258	0.0298873494689	-0.239431231122	-300.0	0.467106472027	0.457808569043	0.0879258889416	0.462585545711	0.446481066653	0.0731457823027	-0.00945798188066	-6.59269567415	0.333414736572	0.332161772584	0.0390868110835	0.327718578124	0.327698367211	0.0158313972958	-0.0997327370036	-300.0
RXRA	-0.3028018288	7.0916307389	6.7888289101	0.0289097914577	0.0248841472278	0.014268221611	0.02287792317	0.0199358303218	0.0097645918649	-0.0725531708797	-300.0	0.848097350221	0.853251072495	0.0420866820634	0.801858095701	0.811280840161	0.023713017808	-0.258625387102	-300.0	0.294997854714	0.280681580482	0.0781282564659	0.283649793585	0.268388292942	0.0727870029422	-0.0286526194778	-7.2090471621	0.308065965794	0.307197263016	0.0359419783857	0.303397659606	0.30327405238	0.0162284276244	-0.0667353471013	-300.0
USF1	-0.3023841979	7.3838312667	7.0814470688	0.0220264259607	0.0182585695155	0.0142360830517	0.0157781680931	0.0129527828776	0.00948380839854	-0.0885891610354	-300.0	0.779947227797	0.798651323977	0.066397099745	0.731060474463	0.739865198527	0.0345677735264	-0.279451791814	-300.0	0.499530241418	0.486634318477	0.108463172265	0.495797052432	0.483073488464	0.0849868844213	-0.00153753380733	-3.96718275822	0.342286469734	0.337574632447	0.0654336162089	0.333276324211	0.332940925178	0.0231514012708	-0.122599121319	-300.0
YY1	-0.2742424783	9.2492416	8.9749991217	0.0198043934255	0.0156255266697	0.0154123172914	0.0141930574128	0.0114181665163	0.0107641178816	-0.10383103214	-300.0	0.845419917888	0.85238637557	0.049202055029	0.798508490308	0.811912803708	0.0271020547923	-0.224881122508	-300.0	0.260778722086	0.253720525243	0.0694327493949	0.24932030815	0.24161570083	0.0616002221573	-0.0501246091875	-14.1497874831	0.351762968053	0.35022979927	0.0508343827812	0.345387908229	0.345402731731	0.0190554109324	-0.10262427346	-300.0
RELA	-0.2724742439	8.8449193444	8.5724451005	0.0633296140707	0.0554754264424	0.0247314126024	0.0511034396895	0.0456459075766	0.0167641271658	-0.0425353173043	-300.0	0.865359154734	0.871160352514	0.0409283983014	0.807028431103	0.816336902168	0.0239229635998	-0.412625241196	-300.0	0.386545822902	0.37025205578	0.0760454120407	0.371308263597	0.360412601188	0.0750084817015	-0.0300176829342	-5.88047081329	0.314523811965	0.313988677703	0.0343124275015	0.309677445319	0.309717882478	0.0134229674094	-0.0837107082882	-300.0
NR2F1	-0.269684032	5.6412763389	5.3715923069	0.0178351079003	0.0133195580832	0.0159744502674	0.0114589914058	0.00863698645559	0.0110563782487	-0.109299880943	-300.0	0.839369893207	0.844626047243	0.0425600564946	0.806227458561	0.815703682239	0.0248194174137	-0.0538727466014	-300.0	0.359350497085	0.340356717861	0.11009079037	0.347507935329	0.326368498943	0.107787649356	-0.0172547332186	-1.99753693788	0.330630180261	0.330046591634	0.0318609862785	0.325355872039	0.325299112364	0.0184027617174	-0.12617672295	-300.0
SOX10	-0.2637979979	5.3629255111	5.0991275132	0.0277278536344	0.0231993317616	0.0155710209513	0.0195256110375	0.0161655027953	0.0103390501945	-0.0698831350754	-300.0	0.794027689731	0.807171139963	0.0268212572371	0.815462465789	0.822119310984	0.0494302863511	0.158206059667	-300.0	0.443930281354	0.431533648978	0.0826485117674	0.43632983497	0.42277522053	0.0693824914496	-0.00744421270737	-5.42233025922	0.335060369185	0.333657106831	0.040594040563	0.328914007009	0.3288994877	0.014036853002	-0.147409186938	-300.0
NFYA	-0.2394532122	8.3065107889	8.0670575767	0.215581942341	0.188952285576	0.0982625744636	0.147240909166	0.132136863063	0.0641080924317	-0.0836874143447	-300.0	0.862058907006	0.877592660286	0.0792065439321	0.770978646304	0.799111374853	0.0412361345137	-0.333314514079	-300.0	0.384980100979	0.375122857751	0.0827982072886	0.395052373371	0.379674182906	0.116586636048	0.0152652621302	-6.79866208925	0.357284952005	0.341116285546	0.118897090543	0.338841024665	0.336328607059	0.0524040191859	-0.00960143518844	-300.0
FOXP2	-0.217106004	2.4335675278	2.2164615238	0.0181591721962	0.0138299912012	0.0135917194667	0.0122900391762	0.0095767326975	0.00938307154651	-0.0270759913361	-300.0	0.798675697005	0.808430091056	0.0461707783459	0.753026921256	0.758066306641	0.0258789856626	-0.265854905383	-300.0	0.29196381012	0.281538792998	0.0681974246274	0.281467062254	0.272436202531	0.0673915857364	-0.0607674921515	-9.09029543748	0.328111626098	0.328097021749	0.030876729647	0.323708309019	0.323484126062	0.0125166576599	-0.0879173923331	-300.0
TCF7L1	-0.2158135534	8.4069930667	8.1911795132	0.0277284301388	0.0230003411686	0.0137619832587	0.0203336137229	0.0173802342609	0.00898831689771	-0.025385768533	-300.0	0.798057931207	0.804255546441	0.026350295391	0.798184816712	0.80927118339	0.0466617307244	0.237532531657	-300.0	0.324792636261	0.31738471688	0.0745757448532	0.321277690107	0.307656529757	0.0539672376131	-0.0417346692419	-17.4889706484	0.321853016836	0.321852027292	0.0339167014607	0.317527936353	0.317515596245	0.0124209304226	-0.127781477326	-300.0
SP2	-0.1813165365	6.2019310444	6.0206145079	0.00559688423676	0.00481105037438	0.00480165235116	0.00781744152942	0.00671817830747	0.00689195787402	0.0970027003373	-300.0	0.807246927201	0.81627716019	0.0247325087658	0.820180553421	0.826007792362	0.0392898079119	0.263500751041	-300.0	0.355313286587	0.346019021067	0.0729057108309	0.345740387041	0.337252872315	0.0581917555058	-0.0540647023199	-26.6823381135	0.32544300278	0.324361950556	0.0382523288537	0.31908754025	0.319280712992	0.0170378622472	-0.0745316718771	-300.0
INSM1	-0.1721305868	6.3427609889	6.1706304021	0.0221144031995	0.0186565521431	0.013029356977	0.0304176796908	0.0256311841547	0.0188170083829	0.0095835741112	-300.0	0.866684173281	0.872466917852	0.0438801168755	0.800798575208	0.81210569966	0.0243753579081	-0.427907595744	-300.0	0.31849981025	0.304952082311	0.0887923968062	0.307737635764	0.289235053389	0.0779969173753	-0.0146532459822	-9.44845801652	0.299891086579	0.298155092289	0.0407110047831	0.293679116639	0.293487499372	0.0142584331968	-0.148824507689	-300.0
