FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	HINT_GM12878_protection_mean	HINT_GM12878_protection_median	HINT_GM12878_protection_std	HINT_K562_protection_mean	HINT_K562_protection_median	HINT_K562_protection_std	HINT_protection_ks_stat	HINT_protection_ks_pvalue	HINT_GM12878_tc_mean	HINT_GM12878_tc_median	HINT_GM12878_tc_std	HINT_K562_tc_mean	HINT_K562_tc_median	HINT_K562_tc_std	HINT_tc_ks_stat	HINT_tc_ks_pvalue	HINT_GM12878_fos_mean	HINT_GM12878_fos_median	HINT_GM12878_fos_std	HINT_K562_fos_mean	HINT_K562_fos_median	HINT_K562_fos_std	HINT_fos_ks_stat	HINT_fos_ks_pvalue	HINT_GM12878_flr_mean	HINT_GM12878_flr_median	HINT_GM12878_flr_std	HINT_K562_flr_mean	HINT_K562_flr_median	HINT_K562_flr_std	HINT_flr_ks_stat	HINT_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.00850611287899	0.00674771831961	0.0074350412561	0.00705758521398	0.00567612554089	0.00575638615619	-0.0605069435837	-300.0	0.822622323762	0.830647748602	0.0490519343422	0.751909508373	0.763822537167	0.0310981049638	-0.538751770384	-300.0	0.39506226686	0.383588169643	0.082371176352	0.343652534531	0.330747767858	0.0685271043146	-0.271565949849	-164.897762095	0.340225701116	0.340205069109	0.0386732566471	0.310290921337	0.309283874076	0.0157343052907	-0.617214471667	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.0254796911487	0.0209444457861	0.0144871216633	0.0189575653544	0.015422382749	0.0100001785713	-0.134211207225	-300.0	0.801866329222	0.808432034558	0.0521133433633	0.74820854349	0.75912265592	0.0298576542999	-0.322430191253	-300.0	0.378240810487	0.368857479451	0.0869927073079	0.35570665483	0.348672998859	0.0716645384263	-0.116337285903	-13.7559552196	0.289265495002	0.289348998206	0.0320897847437	0.265770595301	0.265210929711	0.0105950515312	-0.53454455546	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.0289569318839	0.0244845882203	0.0158390877565	0.0233064206108	0.0209165572415	0.0117027250124	-0.130375817411	-300.0	0.804163821444	0.813173809165	0.0573226434741	0.750712909889	0.766754156585	0.0343017866282	-0.333616950127	-300.0	0.416234591896	0.405423798222	0.0999282791772	0.370477850845	0.351816969096	0.088054818096	-0.203778706711	-53.765512801	0.318821137021	0.319308968945	0.0461085830708	0.296910437221	0.295277364323	0.0180874823082	-0.553996555998	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.0600673398971	0.0522580562769	0.0241540022524	0.0512436360016	0.045623437743	0.0173277089833	-0.0095510060525	-300.0	0.880848027144	0.886231070148	0.0394625822136	0.767275668184	0.776321790014	0.0241849731766	-0.682430304196	-300.0	0.332094088357	0.31745740351	0.0897329350167	0.292663698194	0.276012551557	0.0841635287613	-0.177037165124	-49.0610160868	0.313171506336	0.313243175638	0.0288198804664	0.292777543664	0.292435976561	0.0148378402035	-0.603261987239	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0109929278927	0.00940588247296	0.00717244687776	0.00885421819015	0.0076383639635	0.0054584815931	-0.0785155421175	-300.0	0.886188104068	0.894601136403	0.0543939078682	0.758605956198	0.775961520713	0.0297795320632	-0.668422305066	-300.0	0.380913323278	0.371965413055	0.0837657337255	0.347392105555	0.332146189916	0.0680412675551	-0.157365665385	-144.006549348	0.339633460848	0.339502151209	0.0514984319582	0.320761915829	0.318659141744	0.0192509511222	-0.543293839674	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.0465842479643	0.0382387566277	0.0262777559236	0.0349576913386	0.0284545341086	0.0187221952767	-0.151616387178	-300.0	0.772224537378	0.78392492451	0.0297477317314	0.791576301306	0.798526849059	0.0500040900012	0.0680757512316	-300.0	0.406490095042	0.380772956729	0.134297584487	0.358019729401	0.331038070066	0.110715200382	-0.144222074678	-11.5707710651	0.30103779894	0.300857193758	0.0405405197785	0.289634456146	0.287930441815	0.017494934603	-0.418356670446	-300.0
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.0183355633099	0.0146359450983	0.0124021949124	0.0134573732895	0.0109772677824	0.00892781938467	-0.0621372564454	-300.0	0.859359703799	0.865294140304	0.0430947511301	0.778512640297	0.788567270686	0.0269953497201	-0.597100204418	-300.0	0.331277404653	0.312352397066	0.0981776066025	0.288619909167	0.282701482665	0.0584409985016	-0.140627205521	-25.9116964251	0.341589328063	0.341819472585	0.0334502356784	0.329700157547	0.329242777529	0.0171669996261	-0.42243505583	-300.0
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.0190623655238	0.0152652776355	0.0164405975918	0.0136157141675	0.0111489561428	0.0122148396724	-0.0655869096103	-300.0	0.782845548632	0.792577654382	0.0474399185621	0.732495314701	0.737517212635	0.0267892355445	-0.360629665491	-300.0	0.255653488917	0.227335771541	0.124691808133	0.227728277283	0.213429355618	0.09304817698	-0.0474886405502	-2.12490969952	0.275528290112	0.27546522456	0.0336282219846	0.265953622417	0.265714079241	0.0184477136442	-0.320444932677	-300.0
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.10018069433	0.0900263581979	0.0503671811703	0.0715428098482	0.062084902487	0.0349668457932	-0.078098161677	-300.0	0.769616453994	0.787325955847	0.0361785449791	0.7988508769	0.80894503715	0.0624282146416	0.0265446083378	-300.0	0.397377472394	0.387888168212	0.0848219616318	0.371925503621	0.357109511269	0.0756214249728	-0.119216655092	-17.3356109844	0.286118489243	0.285297788253	0.0631126617822	0.273468324149	0.271911887571	0.0278349817395	-0.461547021575	-300.0
STAT4	-2.825769995	5.2946641167	2.4688941217	0.0264197531209	0.0212283079433	0.0146145737942	0.0201246960819	0.0167527234603	0.0104055048274	-0.212760586506	-300.0	0.861376911128	0.866283988607	0.0388522958413	0.790010317177	0.797825868023	0.0245924609549	-0.590539441194	-300.0	0.307244638677	0.268021081791	0.14165108242	0.257387767776	0.244949662038	0.0821265699153	-0.103607889437	-12.5934591185	0.314245175862	0.313674898124	0.0291833035885	0.302890474858	0.302889455494	0.0182942728806	-0.368870558812	-300.0
