FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	HINTBCN_GM12878_protection_mean	HINTBCN_GM12878_protection_median	HINTBCN_GM12878_protection_std	HINTBCN_K562_protection_mean	HINTBCN_K562_protection_median	HINTBCN_K562_protection_std	HINTBCN_protection_ks_stat	HINTBCN_protection_ks_pvalue	HINTBCN_GM12878_tc_mean	HINTBCN_GM12878_tc_median	HINTBCN_GM12878_tc_std	HINTBCN_K562_tc_mean	HINTBCN_K562_tc_median	HINTBCN_K562_tc_std	HINTBCN_tc_ks_stat	HINTBCN_tc_ks_pvalue	HINTBCN_GM12878_fos_mean	HINTBCN_GM12878_fos_median	HINTBCN_GM12878_fos_std	HINTBCN_K562_fos_mean	HINTBCN_K562_fos_median	HINTBCN_K562_fos_std	HINTBCN_fos_ks_stat	HINTBCN_fos_ks_pvalue	HINTBCN_GM12878_flr_mean	HINTBCN_GM12878_flr_median	HINTBCN_GM12878_flr_std	HINTBCN_K562_flr_mean	HINTBCN_K562_flr_median	HINTBCN_K562_flr_std	HINTBCN_flr_ks_stat	HINTBCN_flr_ks_pvalue
TP63	-2.7040282939	7.2572711722	4.5532428783	0.349752810346	0.305970623518	0.228296138586	0.306922324176	0.284670619036	0.163171136981	-0.0925353155442	-51.7175740245	0.807731477419	0.818467381698	0.0659712941471	0.743890877553	0.762641530674	0.0366912858912	-0.349422228633	-300.0	0.503425524067	0.496921897785	0.0531929462038	0.496193933834	0.481323350592	0.0315208773122	-0.135755745549	-300.0	0.336843019624	0.336427312483	0.0591749039676	0.3299773355	0.326042496864	0.0220200375447	-0.388156569693	-300.0
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.448132494555	0.392758728576	0.209070260568	0.408604413669	0.37588590827	0.154407180065	-0.0739085021264	-44.8387841353	0.878461519779	0.885379217964	0.0488517093444	0.766695982931	0.780167889971	0.0284745147782	-0.705335730996	-300.0	0.454461737034	0.450161848448	0.0426700039424	0.438939178241	0.433498882431	0.0330444415847	-0.149794354085	-300.0	0.337670173724	0.337764509604	0.0331537982346	0.327969043379	0.32755622742	0.0138338803563	-0.397476442325	-300.0
MEF2C	-2.312784923	10.5691021611	8.2563172381	0.329081323392	0.328880350905	0.219464244362	0.326635735503	0.261845164069	0.166158519068	-0.0610404958128	-65.132386362	0.758385890877	0.768214113539	0.0304906377017	0.770629811777	0.777707786058	0.0489266773688	0.0958348615467	-195.62353878	0.606522726578	0.609018271002	0.0390064128549	0.589657958019	0.594777797345	0.0289319721724	-0.204887590373	-300.0	0.337343811555	0.337031938892	0.0287572685458	0.329047012871	0.328971612176	0.0140483657933	-0.304761591062	-300.0
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.404907852388	0.370256237243	0.249384959584	0.327879698044	0.29117392556	0.180925531386	-0.0987781791696	-97.2952497375	0.816260152868	0.824199296572	0.0535780897084	0.748381095221	0.760806711231	0.0306005742397	-0.389650745153	-300.0	0.357759839254	0.352677127657	0.0317519054024	0.376729110097	0.354157702518	0.0758399248301	0.0594020048393	-228.562894431	0.300035421517	0.29990660901	0.0365092691436	0.293038480075	0.292743492742	0.0140818486973	-0.241520695084	-300.0
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.307099118788	0.292551411518	0.21653718829	0.297979570924	0.238793667735	0.161027034891	-0.0622347339362	-25.5003541662	0.790633107155	0.797124429733	0.0519243421963	0.756444573474	0.767016560643	0.0305052556186	-0.150875106236	-300.0	0.495465129601	0.499467149091	0.0470428327461	0.486257676848	0.488446758194	0.0291222223208	-0.0978500551268	-300.0	0.326800236961	0.326397953567	0.0287319455985	0.317050001569	0.318276304053	0.0160561252215	-0.304915728453	-300.0
REL	-2.0628250132	8.3178302778	6.2550052646	0.469721587374	0.433255921399	0.212610782074	0.409498802371	0.37524040773	0.155070474533	-0.0647267455426	-39.1988489693	0.842052295116	0.850362390533	0.0557631235146	0.762878095088	0.779054372794	0.0326639264047	-0.510074378338	-300.0	0.446100630632	0.441989584728	0.0430867437327	0.435346127615	0.429681109957	0.0329864066499	-0.0981096504637	-300.0	0.345708669634	0.345686174262	0.0393412000365	0.339446261927	0.33884856308	0.015754657439	-0.260223179302	-300.0
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.302814632629	0.279504695857	0.213073717749	0.28977708421	0.238967942424	0.15942786425	-0.041603294998	-49.2862581826	0.760027154443	0.770938454573	0.0290603632315	0.778931730069	0.785646367811	0.0518357469159	0.0625121148435	-300.0	0.4970148602	0.499956930783	0.0375309786446	0.486150977616	0.492259428057	0.0267128491175	-0.125171505406	-300.0	0.314774239271	0.314767223695	0.0304228246217	0.309724372835	0.309700625217	0.0139111865814	-0.131614824371	-300.0
NR3C1	-1.8464264783	9.6750664889	7.8286400106	0.317730120848	0.278349554326	0.239314672654	0.310886725221	0.222244886215	0.180297560465	-0.0242134424513	-31.6378038545	0.81141901846	0.818269381899	0.0491574836039	0.766181681294	0.777929262323	0.0291509941485	-0.282123173106	-300.0	0.46569314691	0.467053483687	0.0513657178992	0.45583251748	0.459941422934	0.03328518824	-0.0402780176135	-212.578527472	0.295979279196	0.296068072813	0.0299677230625	0.292066059052	0.291667163933	0.0141981202521	-0.0805854562368	-300.0
IRF1	-1.7207699439	8.2650849333	6.5443149894	0.404007735398	0.3566015924	0.239744305029	0.371141823371	0.346229264718	0.173177264613	-0.0613593681502	-226.472237834	0.844837350235	0.85137530218	0.0442535289053	0.774420899088	0.783827564021	0.0270951577169	-0.507056912021	-300.0	0.734272957598	0.730971883141	0.0239967577002	0.722930697087	0.721297886684	0.020583399776	-0.236889692586	-300.0	0.283288611501	0.265987958947	0.157094533289	0.317587570705	0.340560930686	0.170305136062	0.107476038807	-280.145930937
SOX9	-1.6463590651	7.5684512556	5.9220921905	0.409741707461	0.357872724549	0.278778439188	0.344036898216	0.314069581944	0.205730494939	-0.0855104364535	-24.2793941352	0.812695683146	0.819225445463	0.0501736823365	0.768530577076	0.779893390355	0.0292553205181	-0.268571389573	-300.0	0.536260927975	0.540096126901	0.0349081705921	0.52901382324	0.533853452932	0.0254746563073	-0.0770301964233	-300.0	0.317766643399	0.318399304219	0.0273967934472	0.315046763939	0.315276105651	0.0154605899517	-0.000829918849729	-271.0075751
RFX5	-1.5997156902	8.0311831611	6.4314674709	0.35037452327	0.296643353464	0.221147166411	0.3043844829	0.277731470805	0.159608552743	-0.044706297877	-62.2406295762	0.832298180418	0.841511190742	0.0576411528417	0.765529905689	0.782893434348	0.0326464944387	-0.416129194573	-300.0	0.426949364097	0.411493582888	0.0411039113691	0.432189272802	0.417012346616	0.066719029637	0.0267693249031	-212.655361402	0.30628030854	0.304331780028	0.0176027410606	0.307206453374	0.307193448475	0.0437375589892	0.00610681219018	-300.0
ELF1	-1.3094928196	9.8966036556	8.587110836	0.285703593431	0.238017403531	0.153072149863	0.312688780248	0.253291629062	0.205017104456	0.00234756604033	-97.0827378679	0.747499852791	0.766170472934	0.0383189476657	0.762377554324	0.773274268105	0.067236670713	0.180943245649	-178.586440648	0.547599049347	0.53033476312	0.0402702446744	0.549150484147	0.537128609967	0.0577872783266	0.0315133833472	-300.0	0.327787944395	0.326228093803	0.0169849753604	0.327948563714	0.327826600911	0.0454871785746	0.109413648086	-300.0
