FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	PIQ_95_GM12878_protection_mean	PIQ_95_GM12878_protection_median	PIQ_95_GM12878_protection_std	PIQ_95_K562_protection_mean	PIQ_95_K562_protection_median	PIQ_95_K562_protection_std	PIQ_95_protection_ks_stat	PIQ_95_protection_ks_pvalue	PIQ_95_GM12878_tc_mean	PIQ_95_GM12878_tc_median	PIQ_95_GM12878_tc_std	PIQ_95_K562_tc_mean	PIQ_95_K562_tc_median	PIQ_95_K562_tc_std	PIQ_95_tc_ks_stat	PIQ_95_tc_ks_pvalue	PIQ_95_GM12878_fos_mean	PIQ_95_GM12878_fos_median	PIQ_95_GM12878_fos_std	PIQ_95_K562_fos_mean	PIQ_95_K562_fos_median	PIQ_95_K562_fos_std	PIQ_95_fos_ks_stat	PIQ_95_fos_ks_pvalue	PIQ_95_GM12878_flr_mean	PIQ_95_GM12878_flr_median	PIQ_95_GM12878_flr_std	PIQ_95_K562_flr_mean	PIQ_95_K562_flr_median	PIQ_95_K562_flr_std	PIQ_95_flr_ks_stat	PIQ_95_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.111215214354	0.0430833379626	0.217230730936	0.0128079738367	0.00782676908212	0.0142402951012	-0.228193256521	-8.06599146786	0.737369649034	0.758697540483	0.0423494745822	0.770473472629	0.783484472313	0.0679183655615	0.107945865161	-300.0	0.472133622127	0.469596288866	0.0317921320166	0.429377879731	0.426905717151	0.0244057883928	-0.43566023661	-300.0	0.331122512821	0.330620401426	0.0820780415286	0.305546397618	0.30059045124	0.0350184668248	-0.38291880591	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.173886429832	0.0937418461368	0.272323412258	0.0192070997181	0.0104826341723	0.0243349176366	-0.314585115483	-3.58132154612	0.721933838524	0.731942766381	0.0694413380313	0.691930728002	0.699983732263	0.037577263351	-0.0714662476853	-300.0	0.583533282516	0.580857757638	0.0431581768011	0.53767299128	0.532179422467	0.0273600160946	-0.366628793547	-300.0	0.289492955098	0.2894775626	0.0508025658063	0.267082296246	0.265672451917	0.0193804531545	-0.383464200596	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.0825789922231	0.00800619087621	0.203635519136	0.0129466952049	0.00561629766166	0.0159085906039	-0.0198967698968	-2.34357163892	0.750949347117	0.770512589979	0.0383632100578	0.761706475188	0.772218027939	0.0668553312867	0.202607387598	-101.394196792	0.570403101577	0.569043645139	0.0339343448179	0.527496077069	0.525806470157	0.0232807071839	-0.46433447173	-300.0	0.298172638886	0.297479551437	0.0935422421473	0.28323550972	0.275734482682	0.0420835019243	-0.288570651263	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.0867851518759	0.00881745511432	0.206503074442	0.0131389373272	0.00782984387932	0.0161572771119	-0.101440029165	-3.88092230563	0.882393595198	0.887887881931	0.0428122071196	0.76705645129	0.777322063411	0.025468739485	-0.579813664596	-300.0	0.559376959054	0.557278015686	0.0290664180282	0.523705733878	0.520325261883	0.020145848814	-0.396350215162	-300.0	0.290661653707	0.290777603222	0.0676944444488	0.274267252181	0.27148337144	0.0342969267745	-0.34174687287	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0944639102591	0.00764747792997	0.207753110249	0.012341340154	0.00743255345567	0.0134216626944	-0.0235051993068	-2.81457891921	0.804611652786	0.820573215002	0.0866298523847	0.722892558168	0.756365340274	0.0447056142764	-0.172793207147	-300.0	0.491537085073	0.487270346971	0.0382084376813	0.466636469813	0.458827900376	0.023143270391	-0.320104932051	-300.0	0.341799624203	0.339421286041	0.13451499331	0.338408871556	0.318763171101	0.0573915131391	-0.185942363602	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.170649282218	0.06880084966	0.253473996663	0.0143794430835	0.00903615103158	0.0186792650947	-0.394398926586	-7.22000420908	0.767484759448	0.782540221512	0.0612829604855	0.709377538013	0.716220689179	0.0330545362129	-0.330924134457	-300.0	0.502236067092	0.503508680064	0.0402736121998	0.479537763919	0.481516853129	0.026825506499	-0.183648512578	-300.0	0.301746251528	0.301089450364	0.0606628780061	0.290879239336	0.287889546647	0.0300209183122	-0.310367254323	-300.0
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.0883295480473	0.0259554260603	0.198903023697	0.0140038071492	0.00837808063478	0.0159220413853	-0.115497862928	-3.67644157423	0.759749567224	0.77596122263	0.0651972038156	0.682042097082	0.689808047328	0.0350677887695	-0.35611387195	-300.0	0.512641642064	0.511144555376	0.0367343265709	0.495427314634	0.491864956552	0.0258027001751	-0.133698491509	-300.0	0.334761818061	0.334532837522	0.0625386182913	0.32540200276	0.322917933842	0.0389150992938	-0.174968322972	-287.987947362
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.187027746676	0.0453273350859	0.323416337331	0.0120798488105	0.00705468233921	0.0120385125379	-0.264817304457	-2.71938381044	0.788061876309	0.7978225214	0.0454097869718	0.757827401298	0.762454377834	0.0272481999665	-0.132830243292	-300.0	0.52688494058	0.529874227773	0.045833451172	0.506853832853	0.512928910558	0.0349617367577	-0.117687390474	-300.0	0.291612899194	0.291459680706	0.0383591595884	0.281806951489	0.281485136474	0.027058239088	-0.293144946373	-300.0
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.18443936146	0.103610431925	0.299889028267	0.0113810732192	0.00620573689934	0.0109829603906	-0.465296973502	-4.80432201752	0.757846624006	0.784126334372	0.0424673646973	0.799443324342	0.813767580259	0.0761840224471	0.0924937815718	-300.0	0.391940003719	0.388800482839	0.0391736926436	0.380670404955	0.375736395377	0.0260047394617	-0.097129230839	-300.0	0.278131823556	0.274233558156	0.110247059365	0.277228111859	0.26241767693	0.0484656726649	-0.207448132028	-225.079345628
STAT4	-2.825769995	5.2946641167	2.4688941217	0.129740688952	0.0152161019732	0.264977835483	0.011891848597	0.00646055190555	0.0164036642996	-0.12113990185	-2.82927934444	0.774305343959	0.787617586967	0.0580391116531	0.689378446238	0.696717086967	0.034776271391	-0.396861144819	-300.0	0.646370326621	0.6466255656	0.0314268204832	0.624262571655	0.625290683831	0.0234924808198	-0.220967939825	-300.0	0.315667745172	0.314300882097	0.0519068143336	0.302136527683	0.302584985292	0.0403762052695	-0.197995496156	-285.356485332
