FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	PWM_GM12878_protection_mean	PWM_GM12878_protection_median	PWM_GM12878_protection_std	PWM_K562_protection_mean	PWM_K562_protection_median	PWM_K562_protection_std	PWM_protection_ks_stat	PWM_protection_ks_pvalue	PWM_GM12878_tc_mean	PWM_GM12878_tc_median	PWM_GM12878_tc_std	PWM_K562_tc_mean	PWM_K562_tc_median	PWM_K562_tc_std	PWM_tc_ks_stat	PWM_tc_ks_pvalue	PWM_GM12878_fos_mean	PWM_GM12878_fos_median	PWM_GM12878_fos_std	PWM_K562_fos_mean	PWM_K562_fos_median	PWM_K562_fos_std	PWM_fos_ks_stat	PWM_fos_ks_pvalue	PWM_GM12878_flr_mean	PWM_GM12878_flr_median	PWM_GM12878_flr_std	PWM_K562_flr_mean	PWM_K562_flr_median	PWM_K562_flr_std	PWM_flr_ks_stat	PWM_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.0789508353391	0.0148764245622	0.181804852082	0.0234485721883	0.00816536671886	0.0257103621874	-0.0336550836551	-3.80558246547	0.794957056765	0.801378854634	0.0567908429995	0.713513835222	0.728591679276	0.0345683764714	-0.444985882153	-300.0	0.434992163348	0.430379008747	0.0443181636737	0.39389895486	0.388629737609	0.0337160450596	-0.412280708545	-300.0	0.340866061325	0.340027197576	0.103435878737	0.317084728478	0.309143510674	0.0432810441403	-0.225671266579	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.187976520089	0.131576632236	0.257330725125	0.0548733088158	0.0339017567333	0.0603333647547	-0.169036095987	-2.59100376359	0.75239234935	0.756571289391	0.0549032435281	0.712937102047	0.723499366289	0.0354522343255	-0.0623681566342	-300.0	0.290796532572	0.286455009564	0.0617603438994	0.273880174389	0.266258610666	0.0433405257233	-0.0916730995554	-200.113445264	0.288879521013	0.288725414285	0.0592709447533	0.267167270225	0.265728311915	0.024834919984	-0.238407972088	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.0467493140725	0.0153195987779	0.148758007657	0.0246259677184	0.00379943037821	0.0280560286618	-0.267881183509	-17.1529014131	0.770095773035	0.777328491146	0.0684131927965	0.71501307723	0.735075701286	0.0412092588423	-0.150540226443	-300.0	0.447461412559	0.43945423179	0.0648035987785	0.411889629597	0.405089301808	0.0525742179898	-0.245714900115	-300.0	0.318740141319	0.317695386386	0.120126206836	0.307274101059	0.29547624443	0.0490664857523	-0.101351192156	-142.407815417
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.0564139790898	0.0160880330348	0.159727478274	0.0242517508457	0.0067610020915	0.0252549564425	-0.142638470234	-8.15762967654	0.856531498732	0.862429090896	0.0471949765212	0.743950888389	0.75677698583	0.0291120496111	-0.637494478311	-300.0	0.480300355583	0.475940449237	0.0502641061293	0.447252441456	0.442993531185	0.0388895568079	-0.268308031231	-300.0	0.312894854858	0.312208802199	0.0953262506708	0.297274919153	0.29113704033	0.0465445948148	-0.133608981222	-246.673552513
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0628881472661	0.0147184249519	0.159629522284	0.0234733403036	0.00447943274716	0.025239783186	-0.131257456269	-9.50622040468	0.865550470878	0.873576144742	0.0595651939485	0.732508252625	0.750419947878	0.0331050817549	-0.635720003732	-300.0	0.421369532961	0.410918304957	0.0547726175866	0.392450418067	0.384398244179	0.0479644294761	-0.23511145558	-300.0	0.346088759754	0.339176513864	0.161537114094	0.342948691972	0.31792772075	0.0702036263953	-0.0638829337934	-268.206576032
TP53	-3.4232058254	9.438751	6.0155451746	0.149372487898	0.0391149708583	0.25182475189	0.0245859897072	0.0159827482608	0.0282948539107	-0.155177978594	-3.02623640191	0.739130164347	0.75428214452	0.0359190525551	0.767611975634	0.773319805834	0.0569014337534	0.0655035718635	-158.05052046	0.303490686049	0.296243113171	0.0750516570221	0.290339473877	0.282529296229	0.054433640438	-0.0248515679186	-43.63610285	0.302489309209	0.301217145528	0.0840488787938	0.294356877528	0.288934665887	0.0409084797464	-0.0911539713489	-111.812343916
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.0276238992807	0.0119170851537	0.0276044575379	0.0778196453886	0.0191381262809	0.182871404158	0.0574588307904	-1.30075452133	0.840820645852	0.846337923859	0.0462775546374	0.752772179019	0.764118151458	0.0361898735799	-0.518608888634	-300.0	0.437023730087	0.431008014788	0.0620142217657	0.422462589463	0.413540681986	0.0435815039857	-0.0954295978675	-132.871466441	0.340928578733	0.339977908246	0.0801964905134	0.33269755075	0.329519546229	0.0478786214816	-0.0265961561568	-86.6146268093
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.112853975033	0.0158772752746	0.253497832203	0.0224235697188	0.00799980722873	0.0226412315955	-0.0926640502328	-2.22598467356	0.746706157914	0.748210668901	0.0330308384753	0.753357926754	0.762951245309	0.0504890977439	0.133104828822	-97.6530578323	0.422047954502	0.420781993593	0.0609672221423	0.404056932676	0.400169854319	0.0371038033552	-0.111562526475	-52.0629353411	0.291094296385	0.29083110587	0.0549544291413	0.28230369414	0.28045784872	0.0324012603436	-0.108499486799	-114.135727271
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.167463263348	0.0699862313064	0.293049478369	0.0238772503486	0.0159932943111	0.0242464033119	-0.208091563902	-2.39020190085	0.717181793312	0.72855135586	0.04666632603	0.723605798618	0.74694640292	0.0789730178144	0.0164548959101	-250.795463346	0.348334213189	0.336967718585	0.0780641899588	0.336670430113	0.322465134627	0.0582971152553	-0.0474521653822	-53.7305367975	0.288863895114	0.286017017624	0.119570189979	0.282320018504	0.26818105142	0.0543987622132	-0.127040646591	-129.735656037
STAT4	-2.825769995	5.2946641167	2.4688941217	0.023338322098	0.0122877216939	0.0237998716453	0.0998676553219	0.0148889398871	0.219767344818	0.0615630008115	-1.04776409776	0.844456468657	0.847862277896	0.0427943220228	0.761261037813	0.771133868202	0.0328762889046	-0.522761726384	-300.0	0.567959404956	0.564506013556	0.0576270349561	0.550121652032	0.544093431051	0.0369195922594	-0.142001567354	-163.231351346	0.316394927984	0.315339306519	0.0737170275836	0.302980228714	0.300666267669	0.0494518426578	-0.065082833766	-101.011292579
