FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Wellington_GM12878_protection_mean	Wellington_GM12878_protection_median	Wellington_GM12878_protection_std	Wellington_K562_protection_mean	Wellington_K562_protection_median	Wellington_K562_protection_std	Wellington_protection_ks_stat	Wellington_protection_ks_pvalue	Wellington_GM12878_tc_mean	Wellington_GM12878_tc_median	Wellington_GM12878_tc_std	Wellington_K562_tc_mean	Wellington_K562_tc_median	Wellington_K562_tc_std	Wellington_tc_ks_stat	Wellington_tc_ks_pvalue	Wellington_GM12878_fos_mean	Wellington_GM12878_fos_median	Wellington_GM12878_fos_std	Wellington_K562_fos_mean	Wellington_K562_fos_median	Wellington_K562_fos_std	Wellington_fos_ks_stat	Wellington_fos_ks_pvalue	Wellington_GM12878_flr_mean	Wellington_GM12878_flr_median	Wellington_GM12878_flr_std	Wellington_K562_flr_mean	Wellington_K562_flr_median	Wellington_K562_flr_std	Wellington_flr_ks_stat	Wellington_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.516772455138	0.551720019111	0.188293634358	0.430820909348	0.466829909222	0.132169128491	-0.0337923183494	-34.64856192	0.817937507608	0.826901171442	0.0507513482112	0.749538161415	0.76222216987	0.0336681388678	-0.486609758598	-300.0	0.504964934748	0.501198316869	0.0497224357282	0.453580010935	0.449140139041	0.0361181798685	-0.531016731017	-26.9734959994	0.340637387718	0.340205780258	0.0704604906479	0.312412308617	0.309230966128	0.0326388398592	-0.423491501485	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.430047251103	0.471480374964	0.173804010239	0.35353661031	0.38222030382	0.120778510917	-0.0328282828283	-12.6356703172	0.794517470136	0.802212827308	0.0540580299919	0.737289214523	0.745527688565	0.0323388596629	-0.213993054727	-300.0	0.187417532146	0.175037803146	0.0665198503395	0.153888786304	0.148472771935	0.0613931151312	-0.194031054648	-2.25615055136	0.28906499355	0.288990726087	0.0439019292102	0.266243203767	0.265455031522	0.0219435764414	-0.389424595913	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.487618833801	0.524987011012	0.209430611761	0.372639088555	0.41647014755	0.137246218967	-0.093202367253	-16.1441137668	0.802346234747	0.811928115144	0.0607877905999	0.745608126571	0.763328678928	0.0357702857362	-0.286413547979	-300.0	0.519330092794	0.518666114602	0.0524697340823	0.476356687717	0.473271368963	0.0407695564552	-0.500468666174	-31.6298161429	0.318171528107	0.317530921842	0.0872795864003	0.301395133147	0.295813886734	0.0419252690711	-0.23895236583	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.517585122328	0.557562241552	0.196564385444	0.394647866776	0.417553814476	0.133835262664	-0.114699333127	-27.7062096721	0.874590978696	0.881927525876	0.0431427968365	0.75996486439	0.771085051982	0.0281155370878	-0.66927073823	-300.0	0.402305354123	0.401246354897	0.0587644054915	0.36791194606	0.366618329313	0.0388785477179	-0.287153824416	-12.7200823654	0.313037227343	0.313078252067	0.0535845141154	0.293686445279	0.292064655615	0.0297827780454	-0.35704504224	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.460384472641	0.477647882274	0.166128828806	0.362347882844	0.385750347068	0.111240092677	-0.0478729738926	-44.7478476013	0.881749152089	0.891407884335	0.0574635033951	0.751772537335	0.770485532514	0.0323917816714	-0.655662334098	-300.0	0.428023116549	0.433101343659	0.0491735735572	0.404751122202	0.402756393685	0.0474222817535	-0.28686921897	-15.6921641237	0.340191305497	0.339052928976	0.0951925638433	0.325844430867	0.317502589603	0.045958165091	-0.240207403211	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.528056066344	0.572735314153	0.232519814999	0.368342754456	0.408407211221	0.157932042978	-0.112906300927	-9.01205645035	0.764408351354	0.777476241332	0.0325609110926	0.786116026929	0.794559637963	0.0541886235663	0.0751009735086	-281.845480121	0.61696105668	0.614997244794	0.116513176412	0.586529857562	0.573585677008	0.0654668580897	-0.124955908289	-1.62770248896	0.301343511214	0.300595048531	0.0813890077906	0.294505585244	0.28856356935	0.0375879521005	-0.131716137047	-103.89971239
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.523967307208	0.580866127516	0.237881443692	0.386837057933	0.425346651847	0.165696452186	-0.062652394327	-15.0123520593	0.8596541329	0.867244399	0.0473364274217	0.772100458087	0.782809896546	0.0303118995265	-0.56688485722	-300.0	0.638479031233	0.63579714559	0.0595557170261	0.612219051734	0.611597334113	0.0319429076969	-0.272649119708	-6.66182442241	0.33418746161	0.333617140903	0.0615985652043	0.324287726535	0.322075402247	0.0455476905377	-0.102195562453	-153.563550277
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.621181056643	0.660103646906	0.252273360894	0.50192505513	0.548905849544	0.170257389381	-0.0611883830428	-5.273600084	0.78018179291	0.790427683555	0.0496597936043	0.729821646655	0.735332919479	0.027447844275	-0.346861574118	-300.0	0.489054835769	0.490482342358	0.0979953906066	0.459563512899	0.452267458658	0.0886658541152	-0.231632653061	-2.89722293076	0.292096417659	0.29170818814	0.0643286695656	0.283303512953	0.280531271674	0.0449250406088	-0.111937918972	-41.0669089231
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.598348788159	0.629231779374	0.19484476355	0.428829415045	0.454387138072	0.160314434611	-0.086554596676	-11.26604611	0.750691843911	0.773325282183	0.0421704176706	0.787613855877	0.800489809885	0.0716753893164	0.0391547030299	-299.999999968	0.460413126565	0.428431450661	0.120380446944	0.408285686213	0.400127546066	0.104657958183	-0.100687285223	-0.669456484147	0.288386608373	0.284699668059	0.109471723906	0.278068918381	0.264953407613	0.0560247167518	-0.253499046468	-205.770419021
STAT4	-2.825769995	5.2946641167	2.4688941217	0.635994614604	0.686453369446	0.231970415199	0.463629114241	0.504768086283	0.169777279049	-0.0818298787659	-15.2597142155	0.857139810409	0.863423066596	0.0408296147851	0.784718921759	0.792871230015	0.0273436798475	-0.557358304747	-300.0	0.344222686875	0.350470501939	0.0753714318688	0.343811104347	0.335709778336	0.071944061621	-0.0310882420705	-1.03177565701	0.315470104297	0.314372437181	0.0593848677086	0.302079674582	0.300944222709	0.0437385317082	-0.1308565649	-138.833667221
