FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Wellington_GM12878_protection_mean	Wellington_GM12878_protection_median	Wellington_GM12878_protection_std	Wellington_K562_protection_mean	Wellington_K562_protection_median	Wellington_K562_protection_std	Wellington_protection_ks_stat	Wellington_protection_ks_pvalue	Wellington_GM12878_tc_mean	Wellington_GM12878_tc_median	Wellington_GM12878_tc_std	Wellington_K562_tc_mean	Wellington_K562_tc_median	Wellington_K562_tc_std	Wellington_tc_ks_stat	Wellington_tc_ks_pvalue	Wellington_GM12878_fos_mean	Wellington_GM12878_fos_median	Wellington_GM12878_fos_std	Wellington_K562_fos_mean	Wellington_K562_fos_median	Wellington_K562_fos_std	Wellington_fos_ks_stat	Wellington_fos_ks_pvalue	Wellington_GM12878_flr_mean	Wellington_GM12878_flr_median	Wellington_GM12878_flr_std	Wellington_K562_flr_mean	Wellington_K562_flr_median	Wellington_K562_flr_std	Wellington_flr_ks_stat	Wellington_flr_ks_pvalue
TP63	-2.7040282939	7.2572711722	4.5532428783	0.496121246547	0.52805875427	0.193923683335	0.362792678855	0.397373030547	0.13415654685	-0.088551297102	-18.3822767644	0.803304247079	0.813638659513	0.0625344927033	0.758185235709	0.776024087242	0.0350549109502	-0.111504442769	-300.0	0.466077627703	0.465952958015	0.0530034058673	0.447012675772	0.44453170808	0.0341126424602	-0.220572624654	-5.62922240006	0.339206298828	0.336512036342	0.106540837487	0.338302227035	0.327547944407	0.0520514338966	-0.0702695332762	-128.725379306
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.52120665887	0.547392722887	0.19047425117	0.383357625455	0.43193015953	0.139187354491	-0.0651837339904	-18.1114978948	0.878888924166	0.885499013464	0.043361295417	0.781131678008	0.791528581584	0.0273591828731	-0.606499699448	-300.0	0.751694668495	0.74626825671	0.0558542748116	0.716839498308	0.715195831863	0.0558063046909	-0.367723917814	-7.31646742404	0.337549501864	0.33761866677	0.0635183007865	0.329243177141	0.327045106291	0.0269174270275	-0.136079083861	-268.488004391
MEF2C	-2.312784923	10.5691021611	8.2563172381	0.508816195166	0.556091241285	0.208212801794	0.381188784886	0.412371543345	0.138384973128	-0.0874220086794	-16.7050373481	0.787816999124	0.797180209353	0.0275621935739	0.794392086539	0.800208831226	0.0440703576491	0.195564580914	-300.0	0.454616340303	0.453681372945	0.0389333965291	0.444748116533	0.442916527888	0.0306774239801	-0.145232403718	-7.32949257171	0.339220802371	0.337881906481	0.0714788063219	0.330788472059	0.328098061715	0.0427664201386	-0.0819439308966	-88.9917240757
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.430197560524	0.467108329147	0.209069425601	0.32126677352	0.355455867597	0.128245444946	-0.0355755251242	-19.7870452311	0.820871281991	0.828328243673	0.0536362049032	0.767321754746	0.779274430861	0.0300149663909	-0.187889297129	-300.0	0.567425567312	0.567287978809	0.0587752452297	0.542557298481	0.538354472321	0.0519765787666	-0.175789473684	-2.80116660987	0.300467718796	0.30000462393	0.0567227998151	0.293626211545	0.291906333356	0.031639323566	-0.0711210944985	-163.12039988
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.540090007335	0.595036024384	0.210400686927	0.394455459506	0.43629496797	0.129964517543	-0.183295180476	-12.2697070172	0.782546691065	0.792956213527	0.0263788541376	0.796148066397	0.801379170579	0.0492139594468	0.167971103899	-166.388799011	0.681606961626	0.673498356081	0.0797150668052	0.643178039543	0.646832312091	0.0518208991786	-0.271694971695	-3.73149305684	0.329452476393	0.328046853749	0.0595796974661	0.313868445208	0.314878636639	0.0464205104873	-0.126343981879	-57.6621745768
REL	-2.0628250132	8.3178302778	6.2550052646	0.535192854038	0.554013474586	0.195253045626	0.368092247966	0.408544449825	0.139280383718	-0.109429169972	-18.4607758327	0.843989420063	0.851761369456	0.0500352202239	0.782049360547	0.795010534023	0.0312311307573	-0.372178668609	-300.0	0.830262837677	0.814185591534	0.0603940895122	0.790471417778	0.789821244608	0.0535514890875	-0.349556809025	-4.27717589511	0.345728451475	0.345705045906	0.0757557574986	0.341142541595	0.337990876296	0.0295507790381	-0.0787119060969	-114.757906024
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.586603501475	0.647325842997	0.22632119727	0.444494935545	0.489137238198	0.159688622875	-0.0694789510356	-14.6981036301	0.778767328994	0.789158835435	0.0499942325891	0.761372174844	0.767680476356	0.0290191904892	-0.0346991503957	-300.0	0.669040611868	0.675287546292	0.0474173067638	0.663883976099	0.66213171312	0.0447828298311	-0.1125	-2.09237328579	0.315444280935	0.314643015286	0.0618117410342	0.310212712571	0.309035796037	0.0380259070294	-0.0179944920234	-51.0859897505
NR3C1	-1.8464264783	9.6750664889	7.8286400106	0.493481660679	0.537693961488	0.237065650757	0.353510723923	0.374008371468	0.149823251253	-0.031799075597	-13.4054490317	0.815902039827	0.822278661662	0.0445086401382	0.785764263109	0.795267827401	0.0273400715122	-0.0416595026691	-300.0	0.423592753605	0.41648377598	0.0739402394292	0.402339150604	0.396418259088	0.0539698754957	-0.165231788079	-2.06791514968	0.293111533747	0.291173412469	0.0334587891747	0.295473901842	0.295244778906	0.0559990553723	0.00909962036609	-36.8853609751
IRF1	-1.7207699439	8.2650849333	6.5443149894	0.531711989053	0.576944604476	0.198238205578	0.403832063872	0.440301359137	0.138213976778	-0.0518658185113	-51.0918848416	0.846589488071	0.852549929016	0.0389243627463	0.794407983655	0.803267111859	0.0254155705695	-0.42629696287	-300.0	0.508532602668	0.508171230002	0.0330991515842	0.502696076681	0.50080401158	0.0225536255863	-0.148786157025	-12.0880052763	0.226896091252	0.193738270902	0.256036928145	0.220703074497	0.147504426441	0.154518747054	-0.123230769231	-0.533088103207
SOX9	-1.6463590651	7.5684512556	5.9220921905	0.609433021006	0.636647042095	0.218738779846	0.471559501229	0.50383526013	0.144517068986	-0.0188209173725	-4.3358631396	0.785086694979	0.794508101635	0.02438582438	0.811136365381	0.815558399468	0.0480211799197	0.0261275751736	-300.0	0.726244574133	0.720643388986	0.0472625141765	0.702211724369	0.698271432988	0.0367540206154	-0.237001594896	-2.65010320511	0.31341020613	0.311964014213	0.0444040428208	0.313993475079	0.315142234974	0.0572299966418	0.0495621825462	-5.38858354799
RFX5	-1.5997156902	8.0311831611	6.4314674709	0.539570037616	0.589825583774	0.223334263417	0.3937320943	0.43204669175	0.146987867077	-0.0402896917394	-23.7476375337	0.835422491077	0.843912524787	0.0533705805751	0.778672883397	0.79339587728	0.0305272509258	-0.260554250393	-300.0	0.648982199893	0.636717274566	0.0710771096706	0.621118884724	0.618093004353	0.0705591986742	-0.0281388580931	-1.52882007291	0.307233988968	0.305152022596	0.0382724428217	0.311024565595	0.306750841276	0.0802316513673	0.0642020487519	-23.2241807123
ELF1	-1.3094928196	9.8966036556	8.587110836	0.560593274893	0.5871333814	0.191540277192	0.413676637334	0.44466771973	0.125714198487	-0.0494935231956	-48.1405368564	0.780302982705	0.789955779537	0.0348394549774	0.782666059364	0.798345322228	0.0575397276431	0.177671019676	-300.0	0.577742264515	0.566848611531	0.0558036982313	0.557713997243	0.55477690611	0.0452459986213	-0.158867521368	-4.02745926713	0.327671656837	0.326569695875	0.0339015325913	0.331914488014	0.327422839033	0.0803209350284	0.0540188657554	-55.4299915779
GATA3	-1.2686822069	5.6419831222	4.3733009153	0.501017272277	0.554993273405	0.205894230703	0.383055202774	0.434691418901	0.127795817798	-0.0551590865079	-11.30773841	0.745674902727	0.758512638591	0.0686950642759	0.700339553904	0.707273088283	0.0322875921801	-0.195159567806	-300.0	0.312114417146	0.314348456026	0.0533393289408	0.306544509165	0.307764210228	0.0500201041885	-0.199372586873	-1.94921785693	0.324614394912	0.322960460583	0.0253865858721	0.327053737667	0.326357407055	0.0596777069279	0.0105193674742	-20.9476601539
T	-1.1067090704	6.8493768111	5.7426677407	0.338709872292	0.381069133599	0.140841900932	0.465812983879	0.463784096006	0.24284776264	0.0331833616762	-5.73254047832	0.780805637592	0.793368561494	0.0563506457387	0.741449668628	0.749371534605	0.0324405078443	-0.174098378388	-300.0	0.596107795952	0.586318254078	0.0693221018661	0.558419990302	0.55763010722	0.0602184176074	-0.247525265613	-2.65834784787	0.276984864392	0.275760191896	0.0335763343317	0.278504024759	0.275821589016	0.0598898162254	0.0549052998837	-9.199958645
TCF7L2	-1.0379809175	8.1292303778	7.0912494603	0.458552241283	0.485385712845	0.184742526045	0.549648024111	0.552586943941	0.272623660337	0.130306484825	-5.89247301516	0.827573084774	0.833678499652	0.0448833000322	0.7939305376	0.803160312734	0.0281023061041	-0.0363720486542	-300.0	0.474507848526	0.469675793043	0.0787281973333	0.456690802975	0.45149271512	0.0458098863436	-0.127335047129	-2.67552932897	0.307346298887	0.305447712869	0.0332853601282	0.308301428839	0.306356302278	0.0645957704332	0.0345134307804	-21.0506634897
CREB1	-0.9881595307	9.1957632556	8.2076037249	0.390264253845	0.386079402072	0.165649086525	0.519834091914	0.517090080103	0.22403183054	0.0776056717341	-1.93362926558	0.752413168183	0.775862810814	0.0779977138753	0.717462583812	0.728974061451	0.0412529173998	-0.125716729719	-300.0	0.374562860981	0.364900701559	0.0761619286181	0.362395981352	0.351134997154	0.0277659518786	-0.153658536585	-0.215575075516	0.261397061172	0.260575859944	0.0342897422105	0.269732274527	0.263522233644	0.0889631347602	0.0554043797929	-4.07007410693
STAT3	-0.8814597069	10.6886940667	9.8072343598	0.509425920721	0.563624587266	0.224077158543	0.355605588336	0.399317221538	0.145493384455	-0.0396171266391	-15.7433170342	0.760534582157	0.772009001997	0.0282042980967	0.799412129145	0.805252646786	0.0607272843746	0.00910973358765	-300.0	0.318675136439	0.314311168478	0.0683562336205	0.315428511422	0.308874316772	0.0211261363672	-0.0295454545455	-0.751747394743	0.283515913451	0.282457414959	0.0394635548036	0.287326888432	0.282681638758	0.0731575726898	0.0405807644402	-18.8283334996
ELK4	-0.795803281	8.3372889	7.541485619	0.420317412737	0.445867165782	0.136303425628	0.567000703336	0.600501069423	0.196951506756	0.00320193141795	-34.1699309613	0.771734877984	0.795984034939	0.072131476731	0.753940571541	0.7665854996	0.0410901103366	-0.00287142868632	-300.0	0.582144451153	0.574663909088	0.0580453345398	0.561222460324	0.557432552149	0.0432345870856	-0.16737925574	-1.19138407713	0.314523169285	0.314124950833	0.0384649979317	0.3213290803	0.31475613662	0.0919172936632	0.0479127931115	-49.3622899718
GFI1	-0.5620815095	5.9600981444	5.3980166349	0.559139457249	0.588507166772	0.207191761642	0.365765149769	0.379927657589	0.123789793929	-0.0916486271768	-22.4349855555	0.779081566368	0.795742591844	0.0302035601718	0.802201849729	0.809355128739	0.0639448804631	0.188769512615	-300.0	0.454125793138	0.448081181893	0.084114381061	0.433185288205	0.424780090126	0.0587793677312	-0.132089552239	-1.97609817564	0.345021793939	0.343876911457	0.0551675357212	0.358757217057	0.347685491721	0.10569689415	0.0103184652975	-28.3827967402
HOXA5	-0.5275261365	3.8746430889	3.3471169524	0.508041854322	0.55177367523	0.213633465284	0.382425924161	0.403653775454	0.121932007712	-0.0156414433693	-16.1649164615	0.833320515961	0.839856512946	0.0456610375033	0.793024660435	0.803955620204	0.0265054784572	-0.123071174759	-300.0	0.692597039147	0.694076484243	0.0704498263173	0.688851318927	0.683352687393	0.0586183151918	-0.0342075578116	-1.39371827715	0.325281056907	0.324170484836	0.032830848152	0.330672958294	0.327422145586	0.0666700467908	0.0411777159142	-26.829501818
SREBF2	-0.459857972	9.3969251889	8.9370672169	0.567255932303	0.577876926581	0.237087815543	0.401576404435	0.453239819111	0.152758505487	-0.00197987644221	-10.0667151877	0.777297692183	0.791484328895	0.0588901791731	0.753915579616	0.761956862531	0.0323622435653	-0.043650234929	-300.0	0.671700307973	0.672388985844	0.0476875543574	0.667285185741	0.66541359424	0.0236216136446	-0.0257509386733	-1.72598833941	0.251044516374	0.250309310465	0.0317703296078	0.25686651382	0.253064953501	0.0649236505918	0.0345606865046	-20.9919711263
ZFX	-0.433919887	8.1387332944	7.7048134074	0.449711549477	0.465826518632	0.181910139046	0.319396731725	0.348137656681	0.105042930521	-0.0209685747551	-55.0716659108	0.774116797041	0.79457351532	0.0345008942278	0.803901674011	0.813901412293	0.061681556555	0.158558853912	-300.0	0.531372202622	0.526403271325	0.024742234967	0.534440999554	0.532005403425	0.0460544435177	0.0287833435513	-1.74320384355	0.320967505674	0.32007849276	0.0436865901308	0.329628708283	0.32309588995	0.087404866744	0.0610071534519	-57.1571975755
SPI1	-0.4202474275	7.6557025333	7.2354551058	0.355473859711	0.373423649744	0.100838762797	0.473127026122	0.493189228496	0.169842789436	0.00894881946296	-132.580052928	0.846320179968	0.857358811354	0.0646660673445	0.77198666395	0.794324356194	0.0342109542034	-0.250083765508	-300.0	0.571557365352	0.573648841478	0.0377785473498	0.577534985309	0.575330574715	0.0453008340121	0.0944410145599	-0.784885619005	0.331484824308	0.329621719723	0.0459533773453	0.343581613784	0.333503706401	0.101950411907	0.0604906663626	-197.040729066
NFATC2	-0.4050990344	7.8968279444	7.4917289101	0.525244767102	0.547508871313	0.18976938621	0.301472949289	0.333083456901	0.135107509089	-0.152081045934	-12.9717601961	0.796850302993	0.802239658196	0.0264042602237	0.797681805862	0.806585433675	0.0446568311705	0.199884272671	-300.0	0.777891460593	0.777935272653	0.0458504425701	0.79590770603	0.778748966234	0.0534615580246	0.0209754163362	-0.420029662286	0.319231215528	0.315959141821	0.0636510798422	0.311741934189	0.310549770771	0.0523143220919	-0.0106834679811	-18.5381671806
SRF	-0.368290577	8.5141720056	8.1458814286	0.386190469178	0.395365915623	0.126923798708	0.507615969673	0.516352307748	0.216733199223	0.0260700557435	-9.27721252589	0.841943783366	0.848256362001	0.0446233173685	0.800227379665	0.80979186338	0.0262958382224	-0.146826200533	-300.0	0.553880932503	0.536121806678	0.0927053398085	0.530618249471	0.524623363731	0.0838640405952	-0.0462171899125	-1.18228476762	0.317835969293	0.31412594659	0.0716414281717	0.311007470383	0.309632820055	0.0352334897846	-0.0144197614397	-40.850032969
NKX2-5	-0.3477572392	6.1980671333	5.8503098942	0.333303164515	0.349990249062	0.140177413865	0.487126923803	0.52007335349	0.221817033211	0.000614565714874	-14.4705646147	0.767184286239	0.775631723255	0.0322445257435	0.785802326806	0.798528868653	0.05340588719	0.00315169590662	-300.0	0.5286669669	0.526262199972	0.0498776447782	0.535006284106	0.529204400527	0.0548617773249	0.0803498906592	-0.133443614294	0.287444002608	0.287030760712	0.0355549709796	0.294510792801	0.291058317128	0.0648530698365	0.0088439595565	-39.0437369263
SOX17	-0.315282727	6.6900928222	6.3748100952	0.593593607053	0.633455403469	0.183233277842	0.457402394276	0.487604765839	0.11123749476	-0.0665375682103	-27.7965836869	0.795120271037	0.807328346623	0.030633316735	0.816307787647	0.824349062457	0.0494002830327	0.196877307641	-300.0	0.28403683592	0.285320224477	0.0733765924762	0.283681782855	0.279011592306	0.0470059818845	-0.0442119944212	-1.23974761641	0.313263774471	0.309578717891	0.0673228808918	0.304493579052	0.304000033083	0.0277321129417	-0.0199111715257	-90.047921885
REST	-0.3104942741	7.8934747556	7.5829804815	0.496522765052	0.54732619729	0.218014170363	0.358906251679	0.40466670953	0.149711608883	-0.00695353299094	-24.225387251	0.777288004132	0.793616705094	0.0602821520764	0.742433173976	0.751063958122	0.0335291391949	-0.1605854716	-300.0	0.328214622837	0.322720362605	0.0414669629507	0.332976572713	0.324190549989	0.0574776047298	0.05	-0.577725437723	0.295254511681	0.294692269365	0.0363102463313	0.303413960291	0.299185562832	0.0746583582093	0.0251906121811	-52.6398871707
RXRA	-0.3028018288	7.0916307389	6.7888289101	0.521616198284	0.560467201998	0.219686896532	0.358859557022	0.384030759091	0.13797953583	-0.020807526219	-25.2524090137	0.844395035172	0.850190365461	0.0448012610653	0.796198047552	0.806824668081	0.0249898117365	-0.206017141405	-300.0	0.299021451179	0.297117096871	0.0408488389086	0.301131020192	0.301425619828	0.0572457992049	0.0697181550367	-0.608339405148	0.303951856604	0.302575987616	0.0355992259951	0.310200991144	0.306865061484	0.0662256616499	0.0171108907235	-52.7219967163
USF1	-0.3023841979	7.3838312667	7.0814470688	0.504063472868	0.534391633383	0.207497267021	0.342325382516	0.379928545352	0.136825140339	-0.00117141449464	-17.5359237914	0.761315966723	0.783453687846	0.0753964872959	0.720066476886	0.73231904842	0.0407444349034	-0.154504762687	-300.0	0.457182593328	0.454611305613	0.0234979439041	0.459766383181	0.456901900938	0.055143690931	0.0024101665206	-0.880542441892	0.351485335695	0.339215298049	0.110532993067	0.33447628317	0.332593426721	0.0508434024673	-0.0257406781301	-80.538948584
YY1	-0.2742424783	9.2492416	8.9749991217	0.571979337383	0.630369699009	0.200774805456	0.395517705239	0.423960612642	0.141921952022	-0.0722942493926	-25.5184479552	0.837956066935	0.847105102772	0.0577172507083	0.783258336652	0.799542856942	0.0317212046538	-0.117064302632	-300.0	0.543183132764	0.541437602726	0.0356686994334	0.550540528964	0.542937681076	0.0567536179514	0.0582943896348	-0.568956314484	0.345836738106	0.345761920793	0.0415878486115	0.355413839649	0.350132145586	0.0901087385636	0.0290150224148	-31.2110132587
RELA	-0.2724742439	8.8449193444	8.5724451005	0.629128765347	0.66423793062	0.204948057353	0.441367161953	0.48447401971	0.144319915874	-0.126117760556	-24.3668028794	0.859787799432	0.866287924551	0.0452300960692	0.799759591211	0.811074867025	0.0269001054361	-0.330591298577	-300.0	0.551522316454	0.550646295104	0.0417086678263	0.55391009261	0.550687007964	0.0504873025279	0.0493442041829	-0.254213968808	0.316391861019	0.313782150634	0.0640348784825	0.31000328494	0.309919694032	0.0254937883402	-0.00747792227428	-65.6255677304
NR2F1	-0.269684032	5.6412763389	5.3715923069	0.542082183053	0.584771371445	0.178980587193	0.322001993117	0.362227295307	0.132287405016	-0.246979942945	-11.1660759097	0.833878071416	0.840655254889	0.050468804667	0.794225597635	0.806619781348	0.0292270207503	-0.0674807080545	-300.0	0.304407582309	0.302589203308	0.0266430888981	0.306749842495	0.302878762344	0.0569007350031	0.00421233612723	-0.442423883537	0.3254178661	0.324405882984	0.0391624653963	0.331678716436	0.329835335088	0.0580004059517	0.00793761107538	-15.4019923373
SOX10	-0.2637979979	5.3629255111	5.0991275132	0.493814399217	0.535608687509	0.205501378326	0.358035735456	0.38758582768	0.127919224309	-0.023201681208	-23.9105529611	0.788349480999	0.802822095669	0.0285238238624	0.811775859667	0.819336519592	0.052110684455	0.167631803844	-300.0	0.315373523986	0.322418403864	0.0744033308617	0.313694680254	0.307843256385	0.0566601722472	-0.0401217861976	-1.68537849378	0.3377525171	0.33396198952	0.0728512441094	0.328939725898	0.328713160869	0.0339967797265	-0.00681084332758	-83.5091209405
NFYA	-0.2394532122	8.3065107889	8.0670575767	0.579046861837	0.618012264058	0.211261839739	0.400803151273	0.412163068754	0.136092307669	-0.000551170759745	-45.8342122101	0.856986793232	0.873997269908	0.0819305600056	0.76119065711	0.790272193773	0.0438285068901	-0.281675955412	-300.0	0.368550789642	0.348048267339	0.0897231617788	0.355321967762	0.337795352623	0.0884797451785	-0.100925925926	-1.10185377241	0.343636596529	0.337498136986	0.0879592263655	0.37258999411	0.342639775002	0.163300676927	0.0389734634408	-35.4127509629
FOXP2	-0.217106004	2.4335675278	2.2164615238	0.408622994912	0.445160832542	0.125524989392	0.528234592373	0.573004233484	0.218345357337	0.000223338665434	-14.1030138006	0.793615155837	0.803344864756	0.0486204491693	0.751766215646	0.75736276399	0.0269675226715	-0.203070154554	-300.0	0.601497089664	0.600926799191	0.0497105520424	0.593099256437	0.59694885146	0.0338754586333	-0.0425583266291	-1.90151432979	0.324169827204	0.323643213573	0.0317375696182	0.328620958571	0.326128867575	0.0663811734152	0.0316156463037	-21.2652562136
TCF7L1	-0.2158135534	8.4069930667	8.1911795132	0.555308333824	0.600121471505	0.204762719217	0.402118896505	0.432888575246	0.122781428714	-0.0668051294646	-41.4654969867	0.794475844198	0.806503507804	0.0278264160457	0.803677504851	0.810889886209	0.0481409215351	0.287288230333	-300.0	0.463464004967	0.460489873815	0.0414979939667	0.466943771755	0.462623985998	0.0538174066243	0.0959244264507	-0.310573270272	0.317553639005	0.317174533864	0.0272662392744	0.322073248315	0.320025619591	0.0654632466074	0.0298440691288	-80.0851085857
SP2	-0.1813165365	6.2019310444	6.0206145079	0.40051104277	0.440475844456	0.133130127896	0.522019978277	0.547409211569	0.196615002229	0.0272053948802	-29.5793750348	0.802870160512	0.812271807372	0.0267588031143	0.816780385359	0.823296736983	0.0417884735777	0.266446349489	-300.0	0.632438309515	0.629661359725	0.0444967995002	0.624239529754	0.62457546508	0.0288000903907	-0.123980304069	-5.82944978648	0.329841646992	0.325510372329	0.0816714659184	0.318809470486	0.318693899886	0.034083569818	-0.0387943119868	-154.055620829
INSM1	-0.1721305868	6.3427609889	6.1706304021	0.575852616577	0.598701381284	0.178616986792	0.435062948568	0.463807587124	0.113582479907	-0.0112491223875	-29.2939272428	0.862696740152	0.869595799053	0.045984401602	0.796895952792	0.809399112987	0.0265946071583	-0.379488363054	-300.0	0.658203709806	0.65806473257	0.0476786436427	0.658133080798	0.654172537253	0.0295326617711	-0.00242290748899	-1.13574586535	0.294819619588	0.293899739269	0.0334883230478	0.304912273006	0.298749418192	0.0776449455297	0.00886729652756	-84.5366146381
