FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	FS_GM12878_protection_mean	FS_GM12878_protection_median	FS_GM12878_protection_std	FS_K562_protection_mean	FS_K562_protection_median	FS_K562_protection_std	FS_protection_ks_stat	FS_protection_ks_pvalue	FS_GM12878_tc_mean	FS_GM12878_tc_median	FS_GM12878_tc_std	FS_K562_tc_mean	FS_K562_tc_median	FS_K562_tc_std	FS_tc_ks_stat	FS_tc_ks_pvalue	FS_GM12878_fos_mean	FS_GM12878_fos_median	FS_GM12878_fos_std	FS_K562_fos_mean	FS_K562_fos_median	FS_K562_fos_std	FS_fos_ks_stat	FS_fos_ks_pvalue	FS_GM12878_flr_mean	FS_GM12878_flr_median	FS_GM12878_flr_std	FS_K562_flr_mean	FS_K562_flr_median	FS_K562_flr_std	FS_flr_ks_stat	FS_flr_ks_pvalue
ETS1	-6.1447406735	9.4926612556	3.347920582	0.0966616717723	0.0875996051904	0.0326587990189	0.112217282492	0.0964876381232	0.049694402813	0.102110516336	-53.3352593485	0.797242617525	0.803580252429	0.0563661285781	0.71823809348	0.733256712506	0.0347916342445	-0.433705388993	-300.0	0.489034488619	0.48075148319	0.0702884587688	0.403100746924	0.394726433751	0.0431700195922	-0.328164720243	-300.0	0.340524023459	0.34026460716	0.0620325834935	0.311288841121	0.308927564552	0.0293968213238	-0.388639117771	-300.0
FLII	-5.7267807974	8.5333091889	2.8065283915	0.244807486593	0.220848670053	0.103615028721	0.172484180248	0.151777781905	0.0706151820497	-0.167862198314	-91.1093326745	0.755818818231	0.760148009294	0.0550565469632	0.715082719051	0.725405863609	0.03551930424	-0.0751501456818	-300.0	0.419971197138	0.413762253634	0.0756296901659	0.337616137837	0.329367927696	0.0426718988831	-0.247302221209	-300.0	0.289129705583	0.289240469731	0.0411183099607	0.266183396115	0.265358784118	0.0196663449655	-0.332315060796	-300.0
PAX5	-5.2702007889	9.8008520111	4.5306512222	0.100402445311	0.0936122892321	0.0366730160806	0.114772930907	0.106447697899	0.051396003012	0.0484475548532	-31.4284358883	0.772314459732	0.779499204523	0.0674633696579	0.720223969147	0.740079926838	0.041171070557	-0.133803261273	-300.0	0.50451813499	0.490074035877	0.103722653738	0.433175752035	0.411438927467	0.0596969004266	-0.202777961445	-300.0	0.318364874206	0.31875038394	0.0759618654073	0.293252004368	0.291879216461	0.0364721687206	-0.300378913422	-300.0
EBF1	-4.7106986376	8.5508527222	3.8401540847	0.215767795688	0.199979278776	0.0547138029072	0.239225709566	0.213490329853	0.0858434362761	0.158169914825	-11.3113812852	0.858393684511	0.864074749763	0.0461725966822	0.749148411467	0.76179656908	0.0291736164011	-0.641699971159	-300.0	0.544571886461	0.536865345192	0.072959943537	0.471462908111	0.462203405492	0.0393465178443	-0.29803195026	-300.0	0.312982686905	0.312979787386	0.0550333680832	0.289805266015	0.289304221632	0.0293250661342	-0.337835715286	-300.0
EGR2	-4.387910581	8.0011205333	3.6132099524	0.0956009949452	0.0880492838494	0.0346180215936	0.116831412216	0.102289777728	0.0581739349854	0.103381833176	-74.2496423613	0.866302338507	0.874179895556	0.0588288322262	0.736103151069	0.754461312107	0.0331706960468	-0.641055765144	-300.0	0.529456782685	0.515265958867	0.0909175221488	0.49309175192	0.471053043341	0.0490678087615	-0.0545340607851	-300.0	0.340244481495	0.339528750601	0.0905079320869	0.323156499109	0.316688784522	0.0382880084966	-0.23027111868	-300.0
TP53	-3.4232058254	9.438751	6.0155451746	0.356628147155	0.314771904431	0.143323521672	0.255379899429	0.240947561846	0.0829911975293	-0.162693059453	-48.7622371382	0.743441695467	0.757692361129	0.0358497404173	0.769730220951	0.774861851293	0.0562904155516	0.0876278789284	-143.817656704	0.381374391083	0.370617295112	0.0814172643089	0.325908461432	0.314346999175	0.0461467709667	-0.257810221136	-300.0	0.287941771698	0.287029409143	0.0595382194982	0.271581072331	0.271157326134	0.0371049618926	-0.192270012551	-300.0
STAT1	-3.0891702317	11.2946308667	8.2054606349	0.183481799725	0.158971322838	0.0822356770739	0.137608155181	0.117886445139	0.0715965323062	-0.105756635762	-78.5971867254	0.842906023872	0.848058383581	0.0461237970259	0.756056178518	0.767248123065	0.0357694749407	-0.512955730228	-300.0	0.471185105323	0.460651044855	0.0626903580623	0.401933088299	0.398532501385	0.0497873070734	-0.259023962928	-300.0	0.341253141474	0.341461621866	0.0470632618958	0.32718570247	0.327581951667	0.0342019043264	-0.193959728956	-300.0
HNF1B	-2.9064154892	6.2265196056	3.3201041164	0.207138596382	0.161906790676	0.129740674922	0.153271182036	0.124249344249	0.0905387291559	-0.0395224458872	-13.6938231237	0.74825921969	0.750079010945	0.0324218527882	0.755734444453	0.765139353332	0.0501482394797	0.125506723933	-112.527190833	0.336174451447	0.33022160514	0.073952829746	0.272955278295	0.267355017819	0.0420078106863	-0.23950865277	-300.0	0.291195622771	0.291540554768	0.0411451106247	0.27713078726	0.279167157201	0.0283190729484	-0.268333555406	-300.0
PRDM1	-2.8595321966	7.5904785722	4.7309463757	0.236509971317	0.21208214848	0.100739256955	0.16669460562	0.151506285217	0.0590872828723	-0.0789493243297	-66.70520693	0.728630923436	0.752095360843	0.0779133565744	0.718979392223	0.730093055794	0.0466267327414	-0.00448638273899	-299.999999998	0.468692712182	0.450200151326	0.114403985087	0.418917459082	0.39087412936	0.0683108494832	-0.0722366562705	-264.105818304	0.276039283652	0.273754514722	0.100356023856	0.265457664685	0.256916636981	0.0499484710847	-0.170187392459	-269.810578114
STAT4	-2.825769995	5.2946641167	2.4688941217	0.237371278244	0.216289771231	0.0799823340673	0.196536362999	0.185791004248	0.0473836457888	-0.0931230045905	-56.0185869097	0.846195982668	0.84952974685	0.0425731920562	0.763796852245	0.773300514196	0.0324036214914	-0.516931268963	-300.0	0.441414112527	0.433827978452	0.0606364135779	0.372327740888	0.370320333958	0.0443467857514	-0.251626971319	-300.0	0.3089347158	0.307700364148	0.0451456433047	0.301037862665	0.298983375891	0.0339770698895	-0.0563879566502	-300.0
TP63	-2.7040282939	7.2572711722	4.5532428783	0.152816264429	0.130868749112	0.0666770237962	0.193104048456	0.159463775776	0.100947501002	0.0278784472486	-48.0266816651	0.79821475104	0.805613795531	0.0645358429318	0.738109619246	0.756013425169	0.0371414593589	-0.187313334551	-300.0	0.428721094196	0.411963607717	0.106325553123	0.383065614327	0.358534774652	0.0615960483092	-0.078375914483	-300.0	0.338197380209	0.328179779547	0.0470097377935	0.339803965735	0.336775842805	0.104976868004	0.0275452166021	-155.089098857
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.171668695682	0.148741017612	0.0703572955242	0.219814331119	0.184693246528	0.108127936725	0.0542092134845	-35.9272971839	0.867715690902	0.872515963856	0.0457322435307	0.76461259167	0.776645315841	0.0282135011346	-0.586497389594	-300.0	0.594728153132	0.588814826384	0.0683692208666	0.542775882038	0.536703736076	0.0343129339395	-0.204508098801	-300.0	0.337397449553	0.337586897159	0.0586340315092	0.326441267564	0.325545994128	0.0257054957476	-0.119583183265	-300.0
MEF2C	-2.312784923	10.5691021611	8.2563172381	0.180968040205	0.153918841862	0.0826161986361	0.14665747104	0.125970171829	0.0687918644043	-0.0223967460245	-70.0261955235	0.767673235351	0.776297745359	0.0317709457657	0.77326012693	0.776786353989	0.0459468554907	0.280350461	-59.4955111166	0.442281072565	0.437226740172	0.0557903995414	0.387048529268	0.385133463254	0.038821441102	-0.235160793396	-300.0	0.337734867972	0.337031938892	0.0412454914105	0.33297755847	0.330017247294	0.0239183802989	-0.11552970495	-300.0
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.213298665479	0.192070910517	0.0822375127232	0.167189334345	0.151101804266	0.0582684453546	-0.0377455300542	-67.9894582499	0.80716846387	0.81170281216	0.0535003663858	0.750840553189	0.763094530308	0.0312583340175	-0.189915012654	-300.0	0.402496727776	0.394273940669	0.0775077934953	0.354377975304	0.344431737911	0.0456696503656	-0.0999803824513	-300.0	0.293207610313	0.291657995269	0.0279554135237	0.300338274302	0.299909761911	0.0570352171343	0.000805572347368	-260.815898756
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.182958498647	0.157094909121	0.0748024773277	0.148215356634	0.131032520154	0.0735699862809	-0.00912487858967	-20.9368044859	0.759357726165	0.769853444665	0.0312850332358	0.787558564343	0.792280684786	0.0497088343657	0.0390438678094	-300.0	0.287099007813	0.28146365422	0.0543010878668	0.2440576374	0.239213187239	0.035723072951	-0.158817809854	-300.0	0.326114838976	0.325718598582	0.041824946221	0.317089858352	0.318486468242	0.0318356731368	-0.0569130747443	-154.116160524
REL	-2.0628250132	8.3178302778	6.2550052646	0.264291917942	0.23984740863	0.0771101298419	0.318031564329	0.282582823912	0.116585173066	0.106804138102	-23.6033552009	0.830456660913	0.836196110379	0.052396232313	0.76127450597	0.775372531874	0.031526487659	-0.37501321151	-300.0	0.606947767708	0.599214263176	0.080560067092	0.567786733518	0.555130696463	0.0392014621834	-0.109386677739	-300.0	0.342115151089	0.33909166862	0.0293788408856	0.345690619717	0.345503331202	0.0676274391932	0.0321518016188	-155.505704417
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.164466964748	0.141185852012	0.0863438679622	0.109281740828	0.0945030964339	0.0592654033526	-0.04667616409	-92.8604382576	0.762667504808	0.772036906456	0.0300406442269	0.777923146985	0.782638478954	0.0495276231862	0.210518093414	-266.866213293	0.479711948693	0.475402708907	0.0501794909764	0.434015677226	0.431843697616	0.0304561631755	-0.207554193845	-300.0	0.314826820543	0.314751454238	0.0445993793329	0.311553162766	0.310280235716	0.0209339773043	-0.00573762727365	-300.0
NR3C1	-1.8464264783	9.6750664889	7.8286400106	0.242170318176	0.205169497662	0.11359459089	0.186334528429	0.160245634862	0.0779012935248	-0.0424908318538	-40.0438389651	0.80080582578	0.803990337534	0.0470782513243	0.765180713357	0.776154156985	0.031118204443	-0.0413016215956	-300.0	0.385643124408	0.378170036416	0.071968182398	0.332133640892	0.324426112696	0.0428745164015	-0.170995465305	-300.0	0.295798183411	0.295955207447	0.0467615431466	0.287608928902	0.287923248565	0.0278181637314	-0.0147205796949	-192.947878697
IRF1	-1.7207699439	8.2650849333	6.5443149894	0.205012759813	0.19205599254	0.0499210094108	0.241348849027	0.216328169584	0.0779578241691	0.0778517042731	-127.315857794	0.843718718634	0.84811821723	0.041367701975	0.780555740241	0.78901622389	0.0265065889547	-0.364783765597	-300.0	0.476450559094	0.471570065508	0.0530392144175	0.428083599505	0.425484035072	0.0328942599162	-0.205392764223	-300.0	0.523857101795	0.503374282438	0.285289804142	0.605358479557	0.653651622651	0.304650406623	0.0825447797854	-264.937435243
SOX9	-1.6463590651	7.5684512556	5.9220921905	0.194673863494	0.152203145621	0.102781341387	0.253061296907	0.193846563487	0.142691853615	0.00218687266935	-20.8577217125	0.806000121863	0.80887195185	0.0479553425313	0.768773779845	0.778956031668	0.0318811800706	-0.0632060995746	-300.0	0.386013476897	0.377085864265	0.0831633292192	0.324680800896	0.319984653876	0.0548368632013	-0.173457549161	-208.773737824	0.311501033871	0.313043658999	0.0308722928887	0.315821094762	0.317694391141	0.0409301794285	0.0500244496604	-52.0866387006
RFX5	-1.5997156902	8.0311831611	6.4314674709	0.0783334552044	0.0700705159611	0.0300101564469	0.105480241898	0.0890682770948	0.0548435643308	0.047243207554	-67.5609489171	0.816665835304	0.823186320503	0.055977844328	0.763113552668	0.778778970108	0.033291303351	-0.187793881617	-300.0	0.445537365869	0.435333060299	0.0831345199499	0.41022804041	0.394568585861	0.0444567005967	-0.070727304363	-300.0	0.303244368404	0.300457891861	0.0347699337338	0.307207735955	0.30702234569	0.0730024381069	0.0618059336178	-132.133938652
ELF1	-1.3094928196	9.8966036556	8.587110836	0.101512801423	0.0925533472738	0.0297985642823	0.126969930611	0.11194316724	0.0486826979153	0.0310219266584	-189.279906777	0.747117506482	0.764884639012	0.036012809347	0.761404722574	0.768603304393	0.0641107187133	0.270801854018	-212.886773744	0.440981084745	0.430875053678	0.0794372913583	0.390827289106	0.380375589719	0.0481175668242	-0.113005969636	-300.0	0.327768856963	0.32609400384	0.0307456957824	0.330040389125	0.327817730555	0.0714272079599	0.166797310081	-55.2080868412
GATA3	-1.2686822069	5.6419831222	4.3733009153	0.119585660338	0.101294520317	0.0721431761981	0.150074991604	0.130877084937	0.0967531698315	0.169776092744	-9.23145902154	0.742419130502	0.755220312446	0.030859176165	0.763769452076	0.76710011294	0.0587633824746	0.177756021798	-252.521705722	0.444223675955	0.440312454878	0.054581360093	0.412548171872	0.405653766273	0.0322192676193	-0.047814111135	-300.0	0.324720570382	0.323005579452	0.0189625080116	0.326391989533	0.325813019166	0.0560307188927	0.0424681154158	-110.825628228
T	-1.1067090704	6.8493768111	5.7426677407	0.209027079071	0.162240145929	0.120964414893	0.147671863236	0.114235655744	0.0774237622799	-0.0112789969291	-25.0064036568	0.749748777409	0.764564021651	0.0621043133024	0.687254268823	0.69283017274	0.0363296436279	-0.26345969431	-300.0	0.453114502545	0.445682393248	0.0786850254698	0.416567690683	0.403143504603	0.0411100990928	-0.0922090842415	-230.9780131	0.271750724734	0.273424193095	0.0362954680086	0.276618570284	0.276176822996	0.0437390380831	0.154113766128	-10.3698556035
TCF7L2	-1.0379809175	8.1292303778	7.0912494603	0.219320451386	0.187862542023	0.0983132210583	0.173958226091	0.148874532283	0.077405583501	-0.0177368599292	-51.6266558775	0.773473687604	0.782920318777	0.03394284928	0.799964597647	0.802866077738	0.0461042370455	0.0960106777157	-300.0	0.469704578722	0.465439317589	0.0540454522069	0.423798492384	0.42168970842	0.0339947587577	-0.146790823187	-300.0	0.321552149852	0.320873563292	0.027997286754	0.327278681957	0.32314782292	0.0470930735813	0.157566497536	-23.1822708916
CREB1	-0.9881595307	9.1957632556	8.2076037249	0.159543371566	0.108242174544	0.110615274986	0.226819625776	0.157088021149	0.169294551672	0.0652628382915	-9.34842784738	0.728373244613	0.751904388655	0.0826862755425	0.639773772016	0.65068629188	0.04434037654	-0.305326878565	-300.0	0.487651284619	0.470313013797	0.0774826233271	0.540520307619	0.524245556805	0.120542189562	0.0236953633474	-47.5178340132	0.243460755273	0.243437411923	0.0317573532748	0.260982278388	0.249487389532	0.0873278079434	0.0543663471778	-26.0398107076
STAT3	-0.8814597069	10.6886940667	9.8072343598	0.118839705503	0.108100220374	0.0677666021602	0.171040287465	0.162804368856	0.0937402197837	0.011029343264	-33.9651624547	0.737230458055	0.751466211263	0.0341714027436	0.759323996078	0.76287567214	0.0613735667714	0.193252125733	-204.80676844	0.56051208955	0.555404292741	0.0500332082283	0.527372785287	0.522518631737	0.0326486547248	-0.0807346214906	-300.0	0.28161750412	0.28138257751	0.0317077161404	0.286958652415	0.282159883937	0.0743335616067	0.102811652056	-41.3402826447
ELK4	-0.795803281	8.3372889	7.541485619	0.0754982002244	0.0666661272254	0.0278690263669	0.102106637061	0.0890518912014	0.0473413109066	0.0123136154715	-219.19921404	0.730718409358	0.739922135466	0.0406405851515	0.730726184822	0.752710180265	0.0770964754427	0.123312261478	-300.0	0.492166914784	0.47915210133	0.0975457456893	0.448315499431	0.43362287069	0.0563947914428	-0.0135170098042	-300.0	0.31444462133	0.314157424711	0.0359050206323	0.320750986665	0.314740178511	0.0887183217207	0.148384313608	-56.201583191
GFI1	-0.5620815095	5.9600981444	5.3980166349	0.145882448865	0.136664947038	0.0724549370592	0.232888050752	0.209486142117	0.135742890988	0.0543602240898	-49.5150655105	0.753367966565	0.774464984309	0.0393819561022	0.771174980684	0.777492377192	0.0718349296915	0.298403608352	-63.8831253271	0.503853703358	0.493333121472	0.0933805101723	0.47411749713	0.457722165628	0.0507043303565	-0.00453988848396	-224.899512669	0.344839843927	0.344253444161	0.0476828828903	0.356463494991	0.347989687617	0.0903672010447	0.114506616734	-39.6382786879
HOXA5	-0.5275261365	3.8746430889	3.3471169524	0.133542545556	0.122403884087	0.0553546664102	0.167578965282	0.146738215189	0.081315642654	0.156203422669	-25.4802783888	0.773990555941	0.787438815184	0.0305029539797	0.796514546141	0.801142353841	0.0506455193178	0.210696069361	-268.289975847	0.49531055963	0.487523143842	0.0748821186696	0.46017631407	0.451048131391	0.0380489587517	-0.0615059238148	-300.0	0.32539572998	0.324637504737	0.0288442618891	0.325480662848	0.324975516204	0.0603725939346	0.165647908372	-21.0661563147
SREBF2	-0.459857972	9.3969251889	8.9370672169	0.24610640926	0.220072103456	0.0880013505029	0.306685192896	0.264892719677	0.126298668873	0.100098986191	-24.5226078575	0.775057666211	0.788677067827	0.032391250087	0.804081633672	0.808435180536	0.0516592068041	0.135840604874	-300.0	0.455684381687	0.448158823372	0.091326150209	0.417263219238	0.404697052601	0.0430831199369	-0.0603278147763	-290.156382206	0.303847602274	0.303545719348	0.0248296165874	0.314524237159	0.309956146751	0.0593520144569	0.00957827961364	-136.17218635
ZFX	-0.433919887	8.1387332944	7.7048134074	0.167482668074	0.154556998013	0.0473483349423	0.225290056323	0.195379596394	0.0915185941226	0.00184019445271	-300.0	0.757813722418	0.778314708973	0.0360145710715	0.788276809664	0.796650525063	0.0666364950907	0.213627507249	-300.0	0.424132844643	0.39367202322	0.061036889158	0.434160785845	0.417079767877	0.123517547909	0.105093520235	-300.0	0.32056656314	0.319949505137	0.0351366367158	0.33650260609	0.32709302247	0.0907221718011	0.0349820428343	-300.0
SPI1	-0.4202474275	7.6557025333	7.2354551058	0.119054350542	0.112265588682	0.0330184522863	0.144683126041	0.12911286733	0.0566849863311	0.213449508463	-214.969524753	0.832443645324	0.841131253344	0.0652963210991	0.763321590468	0.785276989514	0.0347458817383	-0.180298561846	-300.0	0.546327088557	0.530909036132	0.0454707197408	0.549263740313	0.533055853999	0.0898191378264	0.208831608222	-300.0	0.33086109457	0.329810341814	0.0398561922934	0.34331516681	0.334010416477	0.101834838529	0.117938906083	-300.0
NFATC2	-0.4050990344	7.8968279444	7.4917289101	0.148732543487	0.111937151149	0.0861907811111	0.218232605231	0.181446180317	0.129005251904	0.00523629615576	-36.3046833144	0.752981594371	0.756186483806	0.0348587870706	0.771892578742	0.782443302403	0.0500417790346	0.0546809807182	-300.0	0.574953004799	0.569623632616	0.0522351419924	0.547428362384	0.544224784547	0.0317556063315	-0.0549061153488	-222.634422898	0.2915486429	0.287513977133	0.0429143838074	0.282581270381	0.281922780261	0.0353239194046	-0.0366636413127	-190.300766462
SRF	-0.368290577	8.5141720056	8.1458814286	0.201162497518	0.179180473393	0.100002876223	0.130558916067	0.123754490522	0.0557700864172	-0.0983208064352	-83.1647880488	0.836687093391	0.839106573652	0.047116032309	0.77928454521	0.790314131956	0.0295544967219	-0.246974468956	-300.0	0.499486651393	0.494880578034	0.0561965205134	0.469270541916	0.465457918064	0.0290746996161	-0.0807465645441	-300.0	0.311271920122	0.310424671015	0.0288612807246	0.320592448321	0.316485706979	0.0586391420844	0.0323992348636	-112.933960941
NKX2-5	-0.3477572392	6.1980671333	5.8503098942	0.152797276473	0.13224712722	0.0522886693866	0.176142737068	0.152806326146	0.0696138700393	0.0881985059919	-36.5438009716	0.771155688595	0.77777015221	0.0323386390915	0.772760346063	0.784604267418	0.0536175680495	0.209544921087	-238.101705745	0.500624111604	0.4938315533	0.0727827945628	0.460622099481	0.455036550876	0.0382549760318	-0.107981596996	-300.0	0.300562910726	0.295163270954	0.0597001686275	0.287206815737	0.286914927975	0.0308396617351	-0.00846111290506	-172.828379082
SOX17	-0.315282727	6.6900928222	6.3748100952	0.14242810126	0.129355076775	0.0624922840141	0.190866584081	0.164690777174	0.10316129978	0.188378159859	-32.5330132673	0.755683424133	0.761081960625	0.0341001762831	0.761834571631	0.77673163852	0.0581589298922	0.136866781198	-300.0	0.599571832246	0.592524440754	0.0676471940221	0.563554184498	0.556573090071	0.0395214290601	-0.0415008271293	-300.0	0.276724435024	0.276703975973	0.0262489251997	0.287329200149	0.282544544095	0.0622837245831	0.0416018275839	-201.402459632
REST	-0.3104942741	7.8934747556	7.5829804815	0.210119957801	0.203955980686	0.0529674070213	0.269280366839	0.254147118001	0.0923225859095	0.00646348026017	-100.270892956	0.762631781537	0.778804256714	0.0600809818187	0.733347329007	0.739467687752	0.0341938408958	-0.0845380197549	-300.0	0.495150294893	0.483635954738	0.0903211308999	0.460199698745	0.44676507239	0.0488055174664	-0.0286037213951	-300.0	0.32756972746	0.327355031002	0.0285864056009	0.328380504271	0.327462649068	0.0658698936553	0.169736864425	-25.8519474313
RXRA	-0.3028018288	7.0916307389	6.7888289101	0.218747950933	0.199768816147	0.0568171100228	0.264366030361	0.234405027623	0.0895048868537	0.0637842823478	-65.0289334249	0.828975604872	0.833780973897	0.0473350818935	0.778743497954	0.791016485363	0.0296387565429	-0.182253053117	-300.0	0.432138135832	0.421677064159	0.0962783516113	0.391361007189	0.376804320399	0.0515965151163	-0.0632125730234	-300.0	0.303814407154	0.303277000175	0.0334372106898	0.315920329016	0.310907803233	0.0636947561133	0.00995055413901	-226.864535905
USF1	-0.3023841979	7.3838312667	7.0814470688	0.146403180018	0.125979260332	0.0636236999795	0.195705917541	0.163079559873	0.101201736349	0.0595757944908	-66.467795886	0.736903401877	0.759108990721	0.0781844885008	0.704017262895	0.712903999846	0.0425596839235	-0.0628209744062	-300.0	0.429626256492	0.405348805945	0.057863680867	0.456015499702	0.439997249691	0.103385522644	0.0262675828606	-264.872727049	0.334203132322	0.332940925178	0.0464560737767	0.351829772088	0.339350260219	0.109843530254	0.0607807446328	-108.884977866
YY1	-0.2742424783	9.2492416	8.9749991217	0.201670395519	0.176926534756	0.063949464011	0.253081573185	0.217032025082	0.100373480384	0.0227110479888	-78.6326747924	0.82823206339	0.832909302509	0.0539880480799	0.771723175421	0.7863708399	0.033725937672	-0.130098887005	-300.0	0.493236323569	0.480634738495	0.0450208272726	0.52430125517	0.51373797422	0.0808962070589	0.00595855719507	-300.0	0.34272007637	0.345402731731	0.0359919436253	0.345618679077	0.345576563839	0.0659261025873	0.167857795133	-19.2851344913
RELA	-0.2724742439	8.8449193444	8.5724451005	0.17182190107	0.147633380547	0.0739358354847	0.23779798162	0.198803080263	0.122589343547	0.0883177524394	-42.6221557748	0.847711248989	0.85255518605	0.047815801043	0.780828157646	0.793171922857	0.0276704996954	-0.334389309893	-300.0	0.609146525881	0.5993015669	0.03697215319	0.635154959176	0.628694350308	0.0800526901601	0.0149142253014	-245.479669038	0.309508360154	0.309617886483	0.0233329470744	0.313349376702	0.312350888589	0.057602093478	0.14430280462	-41.8358355585
NR2F1	-0.269684032	5.6412763389	5.3715923069	0.146375241184	0.127446625848	0.0784530111606	0.183633098086	0.152844504575	0.0829621645952	0.0494817445181	-19.6300953093	0.77643471418	0.787430952874	0.0324051540313	0.813717556114	0.818848385833	0.0487602215235	0.00565198965976	-300.0	0.494078531298	0.484038196792	0.0902030982268	0.450646476825	0.438207837076	0.0556520775964	-0.0435693751604	-161.558647352	0.28826112345	0.286879296614	0.0378233712648	0.297005712717	0.293661549087	0.0532962878678	0.0141987329603	-57.5768302438
