FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	HINTBC_GM12878_protection_mean	HINTBC_GM12878_protection_median	HINTBC_GM12878_protection_std	HINTBC_K562_protection_mean	HINTBC_K562_protection_median	HINTBC_K562_protection_std	HINTBC_protection_ks_stat	HINTBC_protection_ks_pvalue	HINTBC_GM12878_tc_mean	HINTBC_GM12878_tc_median	HINTBC_GM12878_tc_std	HINTBC_K562_tc_mean	HINTBC_K562_tc_median	HINTBC_K562_tc_std	HINTBC_tc_ks_stat	HINTBC_tc_ks_pvalue	HINTBC_GM12878_fos_mean	HINTBC_GM12878_fos_median	HINTBC_GM12878_fos_std	HINTBC_K562_fos_mean	HINTBC_K562_fos_median	HINTBC_K562_fos_std	HINTBC_fos_ks_stat	HINTBC_fos_ks_pvalue	HINTBC_GM12878_flr_mean	HINTBC_GM12878_flr_median	HINTBC_GM12878_flr_std	HINTBC_K562_flr_mean	HINTBC_K562_flr_median	HINTBC_K562_flr_std	HINTBC_flr_ks_stat	HINTBC_flr_ks_pvalue
MEF2C	-2.312784923	10.5691021611	8.2563172381	0.0634404212602	0.0524722774308	0.0469178925929	0.0439912192731	0.0361814218601	0.031084524155	-0.236024695597	-213.600997503	0.658413116988	0.664248413011	0.0981267708994	0.6383767911	0.650986855217	0.0382173236919	-0.0846004603399	-16.1887038604	0.39611216261	0.395985807908	0.0486825000608	0.378481512209	0.377732935654	0.0336476963252	-0.185730103127	-170.910624581	0.337338118472	0.337031938892	0.0286161734549	0.329049869468	0.328983316881	0.0139498431339	-0.306227730013	-300.0
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.227943564833	0.193392581793	0.128453975427	0.147398578848	0.134735210532	0.0704283931971	-0.080716942799	-89.5028856438	0.65363920133	0.658524074463	0.0736505875731	0.63441986905	0.644687771276	0.0378100158053	-0.0269761579796	-32.6561435905	0.498011175914	0.497618224306	0.0581643012722	0.494252708869	0.493134298769	0.0355937627601	-0.0424574420443	-38.0024749837	0.300036161101	0.29990660901	0.036309744901	0.293035319765	0.29274320204	0.0139416373651	-0.245256308073	-300.0
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.189959142092	0.161062011186	0.101606499104	0.135233684559	0.111409087924	0.0945407772048	-0.129183021466	-44.9625710834	0.684437841322	0.691365979386	0.0895075641013	0.637917001134	0.649358397936	0.0387050657236	-0.193386276734	-18.1997136067	0.348102985673	0.347443550499	0.0573766810199	0.339322610494	0.337165326162	0.0406993387431	-0.0893915012814	-25.157930245	0.326802522921	0.326404109017	0.0285942212078	0.317046900426	0.318276480014	0.015890360787	-0.306675548535	-300.0
REL	-2.0628250132	8.3178302778	6.2550052646	0.229078001779	0.201446396085	0.122331303941	0.145725584254	0.124016453702	0.0943448180028	-0.107323649023	-106.788562625	0.67567897767	0.682609235873	0.0922589077056	0.627454681145	0.638133095226	0.0403181093563	-0.188748658186	-56.7010097254	0.682463139672	0.679786373165	0.06478038251	0.669269455467	0.666865855923	0.0424950419037	-0.0944997040972	-45.3671862684	0.345709204191	0.345679413157	0.0391513251922	0.339439860084	0.338849717374	0.0156893016345	-0.263241269473	-300.0
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.239305880361	0.197737532623	0.119194083575	0.158325624766	0.135330393185	0.0893422847943	-0.147934148659	-118.367118679	0.652697561184	0.65827959281	0.087728719575	0.637210258412	0.644554258401	0.038144425493	-0.0420521198684	-17.0738974395	0.573449415132	0.574162382198	0.0660732430803	0.557060653271	0.558570254105	0.0429049246918	-0.113144768471	-95.349276676	0.314771938492	0.314767223695	0.03030140992	0.309717232146	0.309705848592	0.013794480011	-0.13368739887	-300.0
NR3C1	-1.8464264783	9.6750664889	7.8286400106	0.0864683161847	0.0711444560325	0.051942811705	0.0571511388236	0.048918013394	0.0325982618989	-0.127183270971	-75.7408765245	0.650673024651	0.656561908812	0.0841586665709	0.646219220334	0.653645507561	0.0370031214757	-0.0287178932233	-14.8190510211	0.544385227151	0.543502318851	0.0739829900905	0.526650028076	0.527810746142	0.0515254429095	-0.0917606795827	-36.3759819016	0.295975590088	0.296064790606	0.0298345782177	0.292080134987	0.291672446839	0.0140415508836	-0.0815800425345	-300.0
IRF1	-1.7207699439	8.2650849333	6.5443149894	0.0651697033089	0.0542842831826	0.0309215010927	0.0392141787026	0.0365045165005	0.0289361339795	-0.242896647402	-300.0	0.674363532206	0.678737368161	0.0926150674711	0.654632909148	0.66019380248	0.0344899351878	-0.0663375918652	-57.9005700871	0.67177213697	0.670047469468	0.0373089565113	0.659971417045	0.657929811312	0.0241848583104	-0.183213567638	-300.0	0.283041995856	0.265885522477	0.157068434541	0.31727261566	0.340186075719	0.17034152867	0.10761007865	-282.400651442
SOX9	-1.6463590651	7.5684512556	5.9220921905	0.293235280901	0.246038406832	0.142603466309	0.194312972195	0.169196141902	0.0862468681637	-0.0968367783576	-34.1333820774	0.684620262902	0.693231794974	0.0881964806325	0.666497056479	0.678574180375	0.043329272935	-0.0307280634275	-5.18625656417	0.526734150642	0.527904803791	0.056681705785	0.515207409796	0.516574846256	0.0392750110722	-0.0840448096649	-21.3105608671	0.317768730964	0.318398703941	0.0271671304859	0.315055992084	0.315283019247	0.0152057046621	-0.00186594695158	-280.660363959
RFX5	-1.5997156902	8.0311831611	6.4314674709	0.126106516321	0.109579389061	0.07029408643	0.0756608160976	0.0678996231246	0.0454514299826	-0.099614362583	-174.330208452	0.651977659081	0.659356092496	0.0928971980681	0.625153322714	0.640263068798	0.0450119324842	-0.00294068747105	-33.179093896	0.456847900819	0.454481612138	0.0595656396697	0.451105043607	0.448620115977	0.0416103077266	-0.0143431822427	-24.0104974809	0.306255257483	0.304327493965	0.0174267092617	0.307211219063	0.307197803619	0.0434576915815	0.00393934409661	-300.0
ELF1	-1.3094928196	9.8966036556	8.587110836	0.0883507568373	0.0770063305314	0.0497419155942	0.056305519076	0.0521280020961	0.0329605631152	-0.0541239066116	-286.662213006	0.752821951136	0.757867281264	0.0694659894252	0.657316464694	0.665905781467	0.0340128373798	-0.504376048567	-300.0	0.530859153839	0.525636438569	0.0710994411612	0.527331342558	0.522440576904	0.0483768002305	-0.00972610352682	-51.8090187847	0.327788955755	0.326230538162	0.0168576328205	0.327954168183	0.327828701607	0.0454070926039	0.108127629876	-300.0
GATA3	-1.2686822069	5.6419831222	4.3733009153	0.0477571867331	0.0356166423877	0.0305275109645	0.0526685275873	0.0487323025305	0.0730096678576	0.0408673975881	-29.9609593486	0.646078244226	0.651176065683	0.0751059118557	0.624271467217	0.630958351154	0.036526711122	-0.0419457526226	-20.5672054388	0.4173383021	0.408124072423	0.0781386842748	0.388519903053	0.386250617344	0.0463563011036	-0.140412523227	-63.5801374917	0.324064663136	0.323437384309	0.00894007062077	0.325308557899	0.325126022114	0.0401550593373	0.0475162436185	-300.0
T	-1.1067090704	6.8493768111	5.7426677407	0.216395807044	0.188077813302	0.105975767344	0.140714442339	0.119971337525	0.086717966512	-0.0921509407894	-52.4246938438	0.648553433144	0.660990069693	0.0379272806115	0.663938130949	0.670459655455	0.089571835673	0.0391558055616	-5.38379046884	0.549699522826	0.547647601053	0.0815108392025	0.545896314278	0.53898441552	0.049158295451	-0.0242192531465	-8.80381106106	0.277868981027	0.27739706882	0.0170858923466	0.278027212811	0.277938975079	0.0294369165111	0.191788973496	-12.7046308504
TCF7L2	-1.0379809175	8.1292303778	7.0912494603	0.216473161548	0.181927397888	0.107208380939	0.156089284056	0.125073161604	0.104209865152	-0.0666772817496	-86.585327676	0.647828930931	0.653731961704	0.0834937921984	0.646914804054	0.652862468556	0.036207469606	-0.0198608173659	-13.0517263186	0.484936450255	0.485261156748	0.0477613650257	0.480502259105	0.481229127819	0.0363152795104	-0.0289196543646	-19.920806622	0.320457090243	0.320232697485	0.0125482778174	0.320733305245	0.320543750047	0.0285919340781	0.183452509189	-42.1184659501
