FACTOR	EXPR_FOLDCHANGE	EXPR_GM12878	EXPR_K562	Protection_GM12878_protection_mean	Protection_GM12878_protection_median	Protection_GM12878_protection_std	Protection_K562_protection_mean	Protection_K562_protection_median	Protection_K562_protection_std	Protection_protection_ks_stat	Protection_protection_ks_pvalue	Protection_GM12878_tc_mean	Protection_GM12878_tc_median	Protection_GM12878_tc_std	Protection_K562_tc_mean	Protection_K562_tc_median	Protection_K562_tc_std	Protection_tc_ks_stat	Protection_tc_ks_pvalue	Protection_GM12878_fos_mean	Protection_GM12878_fos_median	Protection_GM12878_fos_std	Protection_K562_fos_mean	Protection_K562_fos_median	Protection_K562_fos_std	Protection_fos_ks_stat	Protection_fos_ks_pvalue	Protection_GM12878_flr_mean	Protection_GM12878_flr_median	Protection_GM12878_flr_std	Protection_K562_flr_mean	Protection_K562_flr_median	Protection_K562_flr_std	Protection_flr_ks_stat	Protection_flr_ks_pvalue
TP63	-2.7040282939	7.2572711722	4.5532428783	0.193705813333	0.157738094062	0.0961607580649	0.153098659722	0.1292273256	0.0654088722291	-0.00513395959047	-168.207292461	0.793058114656	0.800908991305	0.0652206116897	0.727251634672	0.745889430399	0.0369667666191	-0.230620447754	-300.0	0.467843123442	0.397486890341	0.168311443814	0.412362056038	0.38100721927	0.0905824596994	-0.00413854295402	-2.97975621657	0.344289061408	0.342340326706	0.0885328169069	0.342599490816	0.332041427693	0.0380947675185	-0.08407960199	-300.0
NFKB1	-2.6782338148	9.3209454444	6.6427116296	0.211069266952	0.175082308109	0.097908684401	0.167846961626	0.141986193977	0.0682405201905	-0.0129578594963	-186.736965424	0.864358078689	0.869663693448	0.0470356894348	0.756446555895	0.768891577533	0.0282446905937	-0.590571792398	-300.0	0.424183715365	0.403612783585	0.0832412064234	0.442113828274	0.40742612416	0.140187377702	0.0129172911841	-2.68257952028	0.320434029868	0.318813027749	0.0545666923684	0.315596691837	0.309684621661	0.0214377754988	-0.136216419776	-300.0
MEF2C	-2.312784923	10.5691021611	8.2563172381	0.183998292695	0.157076287505	0.0791273051179	0.149932091057	0.128878221105	0.0598162050746	-0.0709774844914	-300.0	0.76353218525	0.77263955777	0.0331048670525	0.770600999474	0.77299313956	0.0467183272145	0.27766217252	-55.393725543	0.238732845464	0.217608724272	0.0890110765875	0.255588610171	0.220448151494	0.162687360906	0.0199307425933	-1.89855507199	0.34520406635	0.343598303627	0.0431935185879	0.330902924254	0.33060811606	0.0234857168322	-0.212869510899	-300.0
ZEB1	-2.2585500701	7.4546499167	5.1960998466	0.215161174294	0.191750381398	0.0786102922802	0.168096947163	0.153094965484	0.0561675491809	-0.0770430423422	-300.0	0.8010991972	0.80576984659	0.0533893621776	0.742453058733	0.75426579396	0.0309031410064	-0.224978784453	-300.0	0.309371219352	0.299148743958	0.0557227244012	0.34058862545	0.302503348263	0.147001103761	0.0664838134898	-1.4604794481	0.305611649044	0.305647819156	0.0503259998028	0.296657382268	0.29713986079	0.0221898280321	-0.0390979058109	-300.0
HNF4G	-2.2212048127	4.5430166222	2.3218118095	0.151904702362	0.134024976657	0.0534018152001	0.183840449389	0.157768247009	0.0734983365779	0.014741502282	-77.9157406246	0.753518091563	0.76471105793	0.0330483634419	0.783252236618	0.787523273267	0.0502570278467	0.0417368078916	-264.165436549	0.230046981343	0.163279730743	0.189616143764	0.16257202255	0.151385278262	0.0812701621345	-0.0881012658228	-2.5973049487	0.335575429925	0.333266710344	0.0422233421524	0.318549492985	0.321592458347	0.0239820777763	-0.250734163538	-300.0
REL	-2.0628250132	8.3178302778	6.2550052646	0.257628952637	0.230918363287	0.0738848973174	0.306509378004	0.26893687784	0.108827486835	0.0505781812182	-109.847702899	0.826727585065	0.833201344568	0.0537110342731	0.751976029483	0.766820938482	0.0314572841092	-0.409593278364	-300.0	0.411796419015	0.356616934312	0.170824871281	0.350550802284	0.32946601271	0.0882732351288	-0.0415650824088	-3.56620116593	0.342841160608	0.340916417718	0.0628336945324	0.341448470626	0.334678491639	0.0253831479573	-0.0642131076588	-300.0
FOXO1	-1.8556499325	8.4851884722	6.6295385397	0.169088456118	0.14517909773	0.0867729745036	0.11124819101	0.0948919980653	0.0549787232206	-0.0691680409662	-300.0	0.75794879619	0.767651270266	0.0308621182008	0.776251015436	0.781059850704	0.0503022635436	0.187840932771	-299.999926398	0.332412943351	0.315963346802	0.0976934713976	0.332974063231	0.318060318887	0.142571804839	0.0334772285776	-1.36338674746	0.315262049563	0.313688190959	0.0214931487983	0.316058705946	0.315335165566	0.04504263132	0.217692081727	-94.6006113529
NR3C1	-1.8464264783	9.6750664889	7.8286400106	0.244146628814	0.207916162792	0.10416984075	0.187224792035	0.162353703323	0.0712380276826	-0.0929214611845	-204.992371666	0.796637951863	0.800098495563	0.0478934865401	0.757550249767	0.769093105706	0.0315920167546	-0.0828651302419	-300.0	0.306113180712	0.291787274523	0.0804496899394	0.339104425674	0.296542035359	0.180599550019	0.049107361213	-1.15756563579	0.303650734841	0.29898992306	0.0219879225417	0.303908649861	0.30270066883	0.0436371221423	0.050296542885	-289.393729139
IRF1	-1.7207699439	8.2650849333	6.5443149894	0.1575918999	0.146041469996	0.0371695598362	0.185715506025	0.165196336761	0.0592759219714	0.0373322288427	-300.0	0.841599875635	0.845667016989	0.0420149443661	0.777478897951	0.786029517753	0.0273821361852	-0.360231609615	-300.0	0.444585957802	0.430344736553	0.0547547499108	0.448990854516	0.434981675551	0.095564341454	0.0426139784358	-5.05911935579	0.243388870861	0.232959514134	0.15028900341	0.267668663973	0.250112041595	0.170942184285	0.235460194085	-33.6047831936
SOX9	-1.6463590651	7.5684512556	5.9220921905	0.188454335405	0.144522636903	0.105709226012	0.139316236863	0.110474847716	0.0698327443694	-0.106197569659	-143.326323705	0.801768254565	0.804825331997	0.0487019395285	0.762541815523	0.773712452652	0.0330857116599	-0.0768672212248	-300.0	0.345437720282	0.27361706813	0.225329937882	0.306730841293	0.263909673087	0.133388750012	-0.0832980972516	-1.48022372423	0.317767996292	0.316145354616	0.0247148786442	0.317839871422	0.320700799845	0.0425092334977	0.229643058776	-25.6016719778
RFX5	-1.5997156902	8.0311831611	6.4314674709	0.0798882987342	0.0693999847079	0.0312324689296	0.10367721537	0.0877415654337	0.0488566771296	0.0124402675167	-237.445837225	0.812287668418	0.819387270685	0.0577553002566	0.752051460257	0.768472149376	0.0331585891845	-0.225436875216	-300.0	0.489395252169	0.442821921828	0.158795158825	0.443196394965	0.42827903218	0.0722586140659	-0.000759717314488	-3.90060534154	0.314617284902	0.31095895323	0.0278619019673	0.318887364382	0.313390721352	0.0657513448659	0.143476145905	-212.452784184
ELF1	-1.3094928196	9.8966036556	8.587110836	0.103716528398	0.0930287497064	0.0315584810178	0.128901506229	0.111669406716	0.0494191304524	0.00120548585116	-300.0	0.737550913693	0.755882675068	0.0356247195766	0.75718347964	0.764731992443	0.0647713469761	0.241712593886	-271.509741742	0.484391238905	0.472213179124	0.0678331532977	0.518702874338	0.483559505336	0.141817923005	0.0203363556443	-5.94387180405	0.331433228772	0.329951115017	0.0268251429793	0.332766296909	0.333169869838	0.0635423658699	0.143304985172	-300.0
GATA3	-1.2686822069	5.6419831222	4.3733009153	0.100303000602	0.0844589576724	0.062870469493	0.132946641873	0.114100006023	0.0940930391299	0.168365066459	-50.3428626363	0.735073246396	0.748385891157	0.0325680208271	0.759070617041	0.761687111364	0.0580800693657	0.167725238446	-224.472972493	0.353095099644	0.324225917699	0.131867875099	0.304218330891	0.291075136566	0.0827131703862	-0.0963531015678	-3.65618915607	0.332080878631	0.331027758051	0.0503116827782	0.324856012807	0.321687319248	0.0119976751566	-0.0644365949883	-300.0
T	-1.1067090704	6.8493768111	5.7426677407	0.204993791309	0.157321562844	0.116604737803	0.143374473458	0.112385630749	0.0723003191907	-0.0446362573743	-110.397137484	0.740010431704	0.755780848052	0.063442983354	0.679307946973	0.684667195122	0.036856280157	-0.248561334536	-300.0	0.20674659426	0.196967810816	0.0604193117328	0.24943606331	0.206824169471	0.175482030712	0.0235730170497	-0.737508187589	0.272426173207	0.269785764565	0.0272633991585	0.277156869684	0.270317179648	0.0463816783196	0.232995293237	-21.2874003687
TCF7L2	-1.0379809175	8.1292303778	7.0912494603	0.198240551911	0.167030258471	0.0871267978565	0.152726750698	0.131283305831	0.0560368740829	-0.0604960068504	-247.804137114	0.767218442302	0.777272161526	0.0350307216638	0.795603798979	0.798959034099	0.0465718050863	0.0773484034057	-300.0	0.419653091702	0.41078270251	0.138930860211	0.450776355945	0.414022386089	0.15339602537	0.0403846153846	-1.14122418876	0.3298705645	0.327533268623	0.0199450978183	0.331925712559	0.327681623088	0.044699818118	0.226647851129	-48.664282251
CREB1	-0.9881595307	9.1957632556	8.2076037249	0.132754702276	0.0942010250329	0.0877282363708	0.188054504446	0.134270930223	0.137223677305	0.0716671510604	-26.7784679953	0.712776537821	0.738358825909	0.0840678665648	0.634473621453	0.645441924493	0.0439444044498	-0.281362285628	-300.0	0.437116016203	0.389033996945	0.218020146577	0.391564548741	0.370471919376	0.0859695827958	-0.0518796992481	-0.654365512881	0.252260859769	0.250721450241	0.0249638647201	0.262484611669	0.251432574629	0.0790711408448	0.248459434668	-8.72504034026
STAT3	-0.8814597069	10.6886940667	9.8072343598	0.17172629678	0.161819560512	0.091785194451	0.121375388052	0.10949606253	0.0582293991223	-0.00189241018021	-157.491508427	0.731170015272	0.745611302833	0.0362629104586	0.753411880759	0.756437202237	0.0606322287694	0.202277374412	-151.438994737	0.299183802659	0.246347254935	0.18309219494	0.252713734679	0.217083253944	0.120043730476	-0.0263574253866	-2.90262439035	0.290248401163	0.28844032106	0.0232057482189	0.297328830038	0.290882956407	0.0683136609697	0.136923548535	-130.537761481
ELK4	-0.795803281	8.3372889	7.541485619	0.102844415718	0.0886808949587	0.0470661503237	0.0761783459721	0.0665769502924	0.02950279761	-0.0314087828442	-300.0	0.717557393775	0.735053869759	0.0396497574262	0.726197071346	0.737716838662	0.0762340119045	0.178689703798	-300.0	0.494836713117	0.474459589232	0.0863221556854	0.53556016136	0.498286603913	0.151819611884	0.0318378712871	-4.16949877637	0.316816180517	0.317227093988	0.0333036806719	0.322080353419	0.318597620822	0.0791803209576	0.245680764496	-69.7804033228
GFI1	-0.5620815095	5.9600981444	5.3980166349	0.140893333685	0.123703651297	0.0746043382985	0.220822561657	0.188280691705	0.127569792159	0.0901741777025	-106.574892367	0.743984550015	0.766279635805	0.0402437849207	0.76572611347	0.772869088665	0.0736468294043	0.277758226671	-72.1253192618	0.375547867775	0.344448144461	0.202016164971	0.243047881522	0.211183388026	0.107654001679	-0.155555555556	-8.52795056292	0.311793549561	0.309924386362	0.0399127148691	0.329016474863	0.314083653223	0.0880353416639	0.0325038572812	-255.204401211
HOXA5	-0.5275261365	3.8746430889	3.3471169524	0.0851186489453	0.0734422059031	0.0353777713089	0.106904989197	0.0928870802727	0.050905707807	0.0611700084606	-171.943771751	0.763279473413	0.777279214574	0.0304770212432	0.791893339461	0.797178507876	0.0521219070695	0.144537914525	-300.0	0.35537603476	0.310492567225	0.173744315608	0.319634247174	0.299307881061	0.0866559731127	-0.00332988267771	-2.46764733831	0.332778149297	0.331020069164	0.0216084063118	0.332807524666	0.333098532995	0.0507637468869	0.127076577639	-217.626693928
SREBF2	-0.459857972	9.3969251889	8.9370672169	0.222112016602	0.195268387188	0.0740649181673	0.278030206524	0.243547977473	0.109672021884	0.0367427371064	-126.732062238	0.763881391245	0.777802328457	0.0329747861968	0.79944444952	0.804106443039	0.053373357815	0.0697807040233	-300.0	0.328485798719	0.301111654921	0.0875457015199	0.381232993792	0.319267279382	0.182032636236	0.0372793354102	-0.867422580829	0.312094832794	0.310010758213	0.0189575452383	0.319198226109	0.3135749195	0.0527070956581	0.0387988575428	-261.477466934
ZFX	-0.433919887	8.1387332944	7.7048134074	0.185155540392	0.159959845396	0.0705947514027	0.139716863134	0.127716733937	0.0390481865918	-0.0755363117131	-300.0	0.743758190622	0.763112800549	0.035800497863	0.783939365025	0.792822016307	0.0682270079466	0.129814870646	-300.0	0.419577767329	0.341914733883	0.188587933129	0.335076766096	0.307860891309	0.0843602705888	-0.0328898057418	-11.489569941	0.323322096115	0.324651442368	0.0310804593477	0.337070625463	0.329115664806	0.0749727578212	0.0274237394039	-300.0
SPI1	-0.4202474275	7.6557025333	7.2354551058	0.122204444337	0.114891827858	0.0362043627909	0.145732051229	0.129683723913	0.0573532550863	0.234163020056	-300.0	0.828307091438	0.83707064219	0.0666710215261	0.749228746464	0.76949169888	0.0343409971115	-0.21983840126	-300.0	0.480178173412	0.4319485704	0.161163393507	0.407330979848	0.379781332611	0.0881967399322	-0.0351006213913	-32.2114339074	0.337557355747	0.332369632057	0.0339172410494	0.343047758537	0.334784277495	0.0902710164406	0.187101781524	-300.0
NFATC2	-0.4050990344	7.8968279444	7.4917289101	0.179419374638	0.148224053728	0.103678646948	0.122393632588	0.0887964475803	0.0653904142029	-0.0500039612435	-179.270711973	0.748715231642	0.752135010635	0.0361073686634	0.765687047027	0.776796918177	0.0506045055137	0.0640588372551	-300.0	0.313328902457	0.278605996019	0.15752470095	0.28041086895	0.253295131772	0.0949301212598	-0.0612386648659	-1.93207182837	0.288314219711	0.282767716417	0.0460545637545	0.276103309168	0.277591767484	0.0313270389755	-0.0603531462147	-300.0
SRF	-0.368290577	8.5141720056	8.1458814286	0.190566519857	0.167702233679	0.0934124101831	0.120470333502	0.117104646842	0.045593278945	-0.156779149685	-300.0	0.832816753123	0.835653547181	0.0477674600398	0.773538819504	0.784983362454	0.0302016385145	-0.260622492828	-300.0	0.407664481977	0.363028972015	0.153359910766	0.364011115908	0.35650842593	0.082927573022	-0.0229166666667	-1.94714700485	0.326066239516	0.321239174081	0.0540342918722	0.313654336771	0.315738694117	0.0227380786775	-0.0361002359322	-300.0
NKX2-5	-0.3477572392	6.1980671333	5.8503098942	0.153991524198	0.132225923576	0.0503718875044	0.178888316611	0.154287798186	0.0687134956314	0.0272459065404	-178.068488296	0.76106707394	0.773807222722	0.0321788387042	0.768147894803	0.775752813384	0.0550796301917	0.260328386879	-117.728898234	0.316839887264	0.309159343196	0.0710307851783	0.369079952535	0.316580228217	0.184984572496	0.0217787114846	-1.68259037726	0.296647340248	0.293973269361	0.0231050462501	0.299844866021	0.297257983206	0.0523669921831	0.0797472989306	-253.527513818
SOX17	-0.315282727	6.6900928222	6.3748100952	0.1030669751	0.0927528198161	0.0453638609176	0.13059095156	0.11283032428	0.0698161925608	0.214236560787	-84.2256091746	0.750909768639	0.75644802023	0.0339155691436	0.752839869765	0.767948702055	0.0588841919388	0.170548704132	-300.0	0.391883110621	0.35653275099	0.166557164733	0.355284508568	0.337819268833	0.0983917237313	-0.0334023661596	-4.67337295955	0.309462629775	0.307819611534	0.019805486724	0.315036268327	0.311476828869	0.0549083249775	0.0922548923813	-300.0
REST	-0.3104942741	7.8934747556	7.5829804815	0.269822179086	0.256763758115	0.0872777378141	0.215050681244	0.206773052243	0.0569555180568	-0.0182397097998	-300.0	0.750076771605	0.7658104625	0.0616159341111	0.728345812196	0.73512289424	0.033891963977	-0.0421435234688	-300.0	0.483285358563	0.456827322412	0.12962902057	0.454738976814	0.439865251234	0.0630946768464	-0.00668420651262	-3.96962518895	0.305180652198	0.298331251031	0.0594742222075	0.295974631014	0.293865617117	0.0226547174406	-0.00622032736984	-300.0
RXRA	-0.3028018288	7.0916307389	6.7888289101	0.265703147284	0.234177449927	0.0849368976757	0.219483386554	0.199050223283	0.0538870973942	-0.00678318906596	-300.0	0.824639782155	0.830017013119	0.0486150295645	0.769936478397	0.782655390564	0.0296871264619	-0.214927405895	-300.0	0.406777333002	0.383462862	0.0797810002212	0.439074277664	0.396494615554	0.14564389681	0.00672974973493	-3.37663402471	0.284442029271	0.282238011683	0.0254455939376	0.291807519645	0.286262864938	0.055839048597	0.0268169312413	-300.0
USF1	-0.3023841979	7.3838312667	7.0814470688	0.148325382145	0.125924841645	0.0625379519531	0.197687629824	0.162086853725	0.0979000790133	0.022568001106	-221.175360355	0.723619728482	0.746106454806	0.0788131511669	0.697973431712	0.707324154271	0.0422072953261	-0.0373701093006	-300.0	0.479563263322	0.41084211103	0.178436259153	0.398279654688	0.368211172678	0.0903533030008	-0.0486295313882	-4.29445963364	0.340426354669	0.338573605815	0.0364506853624	0.35656509091	0.344089699097	0.0942153588485	0.00129981739724	-300.0
YY1	-0.2742424783	9.2492416	8.9749991217	0.214678332459	0.181537817298	0.0845534660296	0.171227375266	0.148164187751	0.0554796016044	-0.0158314382758	-254.068540118	0.823700833354	0.82866305513	0.0547055711988	0.764409491279	0.779462592296	0.0338636206923	-0.143633165746	-300.0	0.424954229508	0.402929831873	0.0827515807083	0.459732234471	0.424821979768	0.155941038319	0.0432500660463	-1.70747978252	0.372760685894	0.359068889368	0.0703040357968	0.356580050532	0.352370961133	0.0256168560593	-0.0775843262728	-300.0
RELA	-0.2724742439	8.8449193444	8.5724451005	0.153725855257	0.129405355761	0.0646140526482	0.204880834344	0.169918673158	0.0992232427844	0.0543997024223	-169.382144547	0.844302211753	0.849561249137	0.0489970846032	0.772240449724	0.785189117277	0.0276021222757	-0.367601912402	-300.0	0.390380332569	0.347194723346	0.163537588992	0.341397097689	0.324036657214	0.0897960758034	-0.0142958244869	-2.68530167814	0.307823697508	0.306025506857	0.0176993884826	0.316629354988	0.31056090551	0.0547977000784	0.0144177583103	-300.0
NR2F1	-0.269684032	5.6412763389	5.3715923069	0.186973701844	0.155877656952	0.0794001434823	0.146906929124	0.124741636238	0.0595507078045	-0.0323715499674	-101.794253374	0.808397670405	0.814037683079	0.0491993968557	0.768645748202	0.779700399988	0.0339119900574	-0.0143761766714	-300.0	0.207572956394	0.179169327358	0.0815043027894	0.251022719026	0.179723983152	0.20763046771	0.0241088180113	-0.357131405301	0.236783222491	0.233443967741	0.0311598456608	0.244329962303	0.237757826098	0.0538780819319	0.0670807114794	-105.016626106
SOX10	-0.2637979979	5.3629255111	5.0991275132	0.216145910236	0.190900367784	0.0820144961461	0.163078367826	0.149458973023	0.0509201036733	-0.111906274428	-300.0	0.757068165748	0.773204218396	0.0323747025802	0.772769128037	0.779886132444	0.0591321235243	0.2840774501	-153.271953	0.441641727174	0.405690589527	0.140089531109	0.403415025797	0.387444307219	0.0680180566159	-0.042442482611	-5.10007273928	0.343638258489	0.339710411493	0.060985546634	0.333054391157	0.334321367765	0.0236838680927	-0.0311950420408	-300.0
NFYA	-0.2394532122	8.3065107889	8.0670575767	0.175332865158	0.163238160058	0.0747715824999	0.106922127018	0.101780917613	0.0389792651693	-0.171300556201	-300.0	0.717917993237	0.750741642142	0.0504342576849	0.787496808019	0.800646649055	0.0926447329958	0.0856032977436	-300.0	0.53467364011	0.527749164041	0.170054981249	0.424213426422	0.386287855944	0.107287674859	-0.134455958549	-21.055809263	0.387365899284	0.346968435254	0.154543887173	0.337425884422	0.336091746285	0.0676692129311	-0.0568895015181	-300.0
FOXP2	-0.217106004	2.4335675278	2.2164615238	0.19153032233	0.167679002922	0.0862659226148	0.134023010163	0.122458206942	0.0541482082598	-0.0390893728555	-300.0	0.76794624987	0.778285414902	0.0562207411854	0.700490453197	0.706559640388	0.0308279940704	-0.331967283192	-300.0	0.218099089056	0.212014622646	0.0534259028737	0.238536908422	0.215879578956	0.124804215339	0.0141932002159	-1.75638445716	0.325665949869	0.327961946667	0.0178901171577	0.333674310241	0.33334864163	0.0447016208533	0.0228712118155	-300.0
TCF7L1	-0.2158135534	8.4069930667	8.1911795132	0.166037481112	0.145664098353	0.0588923736403	0.199882774877	0.169032076667	0.0838019519376	0.104841149073	-299.999464577	0.7609981324	0.77499214992	0.0297965166478	0.780062018876	0.78578675226	0.0539314852294	0.257159979334	-300.0	0.448060947732	0.41788352473	0.128184846295	0.407312551237	0.397783135667	0.0511171895009	-0.0376893939394	-7.25809946833	0.314994534123	0.31258044313	0.0197459090713	0.315432747702	0.315745124429	0.0532925332931	0.129824281812	-300.0
SP2	-0.1813165365	6.2019310444	6.0206145079	0.0825223867782	0.0690307316999	0.037800135123	0.109178980629	0.0893557309713	0.0577783252665	0.0386272697578	-300.0	0.779986266245	0.789750622876	0.0296661574822	0.791262210286	0.794431663718	0.0470244000202	0.329038303278	-187.87718682	0.363664207982	0.355117712781	0.0515945334665	0.382683418867	0.361122649177	0.112005308295	0.0493069092484	-2.82368354414	0.32764201393	0.325909646516	0.0217080976286	0.330658970309	0.330069574898	0.0519384411179	0.105668167404	-300.0
INSM1	-0.1721305868	6.3427609889	6.1706304021	0.0915247508095	0.0809641905841	0.0357065162579	0.117634431569	0.0999462113777	0.0550093661302	0.139687274924	-204.684533578	0.843823673229	0.850657414448	0.0528862561522	0.775186785761	0.790699678304	0.0294038868307	-0.316707295031	-300.0	0.583608046156	0.529958161627	0.14525111246	0.523193341738	0.502846344194	0.079366342946	-0.0622279681103	-7.68529501381	0.301932206187	0.299572537005	0.0231365011436	0.309495642824	0.303977700502	0.0642873353864	0.0377361603395	-300.0
MAX	-0.1670527532	6.8057894833	6.6387367302	0.183413569143	0.155145445837	0.0835713905395	0.139202342116	0.120093521771	0.0570804551198	-0.0822152394245	-300.0	0.753864331398	0.755786185261	0.0331832017568	0.776087715307	0.786170952698	0.0489869083444	0.0652766415924	-300.0	0.235340577995	0.211249663811	0.0883113051833	0.274906867676	0.221530933301	0.186325341583	0.0612331032909	-0.760025318528	0.318246880175	0.31697522069	0.0267495309728	0.319149200811	0.319090840804	0.045697223384	0.0999014834905	-270.896999453
